Depth,Giesecke et al. 2014 (MADCAP)Calendar years BP,EPD uncalibratedRadiocarbon years BP,EPD calibratedCalendar years BP,Eucalyptus spike,Eucalyptus suspensionquantity added,Eucalyptus suspensionconcentration,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Armeria maritima (type B),Artemisia,Asphodelus-type,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bryophyta undiff.spore,Buxus,Campanulaceae,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cf. C. cyanus-type,Centaurea cf. C. nigra-type,Centaurea cf. C. scabiosa-type,Cichorioideae,Cirsium-type,Cladium mariscus,Cornaceae,Cornus,Corylus,Cyperaceae,Echium-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericales,Euonymus europaeus,Fabaceae,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum-type,Hippophaë,Ilex,Indeterminable/spore,Juglans,Juniperus-type,Larix,Liliaceae-type,Malvaceae,Mentha-type,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum,Myriophyllum verticillatum,Nuphar,Nymphaea,Ornithogalum-type,Ostrya-type,Oxyria-type,Papaveraceae,Phillyrea,Picea,Pinus,Pistacia,Plantago,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polypodiumspore,Populus,Potamogeton,Potentilla,Poterium sanguisorba,Primulaceae,Pteridiumspore,Quercus ilex,Quercus undiff.,Ranunculus-type,Resedaceae,Rhamnaceae,Rosaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Serratula-type,Solidago-type,Taxus,Thalictrum,Tilia,Typha angustifolia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valerianoideae,Viburnum,Vicia-type,Vitis,cf. Acorus,cf. Alchemilla,cf. Armeria (type A),cf. Baldellia,cf. Cedrus,cf. Centaurium,cf. Daphne,cf. Epilobium,cf. Euphorbia,cf. Hypericum,cf. Lonicera,cf. Myrtus,cf. Olea,cf. Persicaria amphibia,cf. Polygonum,cf. Succisa,cf. Viscum
2366,32391/31829/31266,--/32061/--,--/32061/--,,2,48000,,,,2,56,4,7,,95,,1,,,,,,,,,,,,,,2,1,,,,1,1,,2,,,,,1,1,,,,3,,,1,,,,,4,,,,,,,,,,,,1,,,,,5,,,,2,,,74,,,,,,,,,,,8,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,32406/31938/31451,--/32062/--,--/32062/--,27,2,48000,2,,,,33,5,1,,54,,4,,,1,,,,,,1,,,,1,3,,,,,,4,,,,,,,,1,,,,3,,,5,,,5,,5,,,,,,,,,,,,1,,,,,46,,2,2,,,,84,,,,,,,,,,,6,,,,1,4,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2396,32701/32069/31422,--/32336/--,--/32336/--,35,2,48000,1,,,,29,2,1,,31,,,,,2,,,,,,2,,,1,,1,3,,,,,6,,6,,,,,1,1,,,,2,,,8,2,,4,,20,,,,,,,,,,,,,,,,,31,,,,3,,,61,,,,,2,,,,,,2,,,,,,,,,1,,1,,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2406,32654/32199/31727,--/32446/--,--/32446/--,13,2,48000,,,,,35,2,2,,23,,,,,,,,,,1,1,,,,1,,1,,3,,,,,1,,,,,1,2,,,,2,1,,,2,,5,,4,,,,,,,,,,,,,,,,,5,,1,,1,,,39,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2426,33077/32459/31827,--/32679/--,--/32679/--,12,2,48000,,,,,44,1,,,45,,,,,1,,,,,1,3,,,,3,4,2,,,,,1,,,,,,,,,,,,2,,,7,1,,11,,1,,,,1,,,2,2,,,,1,,,,,8,,1,,2,,,39,,,,,,,,,,,2,1,,,,,,,2,,,2,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
2445.5,33182/32675/32149,--/32852/--,--/32852/--,31,2,63700,1,,,1,13,,3,,11,,,,,2,,,,,1,2,,1,2,,3,3,,,,,,,1,,,,,,,,,,1,,,,,,34,,,,,,,,,,,,,,,,,,,3,,,,1,,,52,,,,,,,,,,,12,,,,,,,,2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455.5,33400/32785/32198,--/32942/--,--/32942/--,51,2,63700,,,,,36,3,1,,37,,,,,1,,,,,,5,,,1,,7,3,,,,,3,,4,,,,,2,,,,,2,,,1,,,17,,1,,,,,,,,,,,,,,,,,18,,,,,,,94,,,,,,,,,,,6,1,,,,,1,,,,2,6,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2477.5,33650/32980/32323,--/33001/--,--/33001/--,15,2,63700,4,,,4,50,3,5,,82,,1,,,1,,,,,1,9,1,,,,2,1,,,,1,17,,,,,,,,1,,,,3,,1,4,,,3,,4,,,,,,,,,,,,,,,,,37,,2,,1,,,94,,,,,,,,,,,8,,,,,1,,,,,,4,,2,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,,,,
2505.5,33684/33034/32370,--/33303/--,--/33303/--,36,2,63700,2,,,1,15,7,2,,29,,4,,,,,,,,1,3,,,,,5,1,,,,,5,,6,,,,,,5,3,1,,9,,,1,2,,6,,4,,,,,,,,,,,,2,,,,1,63,,,1,1,1,,156,,,,,,,,,,,20,,,1,,,,,,,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2525.5,33794/33312/32833,--/33496/--,--/33496/--,33,2,63700,3,,,1,17,5,6,,54,,3,,,,,,,,,4,,,1,,1,3,,,,,4,,,,,,,,4,,,,4,,,2,2,,12,,15,,,,1,,,,,,,,,,,,2,55,,,1,4,,,128,,,,,3,,,,,,16,,,1,,,,,,,,1,,2,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
2550,34250/33561/32906,--/33763/--,--/33763/--,20,2,63700,3,,,2,13,3,7,,80,,3,,,,,,,,1,6,,,,,4,1,,,,,6,,2,,,,,2,6,,,,9,,,6,1,,2,,3,,,,,,,,,,,,,,,,,37,,2,,4,,,188,,1,,,,,,,,,15,2,,,3,,,,,,,3,,5,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,
2572,34283/33791/33309,--/34032/--,--/34032/--,12,2,63700,4,3,,4,18,2,7,,58,,5,,,2,,,,,3,2,,,1,,1,,,,,1,2,,,,,,,2,11,,,,7,,,1,2,,5,,11,,,,,,,1,,,,,1,,,,,39,,2,,7,3,,155,2,1,,,,,,1,,,28,,,,,2,,,,,,,,2,1,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,
2610,34765/34238/33710,--/34488/--,--/34488/--,33,2,63700,6,,,4,10,2,4,,38,,,,,1,,,,,2,4,,,,,8,2,,,,,,,,,,,,3,1,,,,1,,,,1,,9,,2,,,,,,,,,,,,,,,,,20,,,,1,,,49,,,,,,,,,,,11,,,,1,,,,,,,2,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
2630,35004/34490/33956,--/34788/--,--/34788/--,23,2,63700,4,,,4,44,7,2,,77,,6,,,,,,,,,2,,,,,1,1,,,,3,,,1,,,,,2,7,,,,3,,,,,,12,,5,,,,1,,1,,,,,,5,,,,,12,,2,1,2,,,137,,,,,,,,,,,24,,,,,1,,,,,,3,,1,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2648,35290/34766/34255,--/34961/--,--/34961/--,18,2,63700,19,,,8,53,11,5,,91,,3,,,1,,,,,,,,,1,,3,,,,,1,4,,3,,1,,,,6,1,,,4,,,,,,3,,3,,,,,,,,,,,,2,,,,,24,,,,2,,,123,,,,,,,,,,,18,1,,,,3,,,1,,,1,,3,,1,,5,1,,,,,,,,,,,,,,,,,,,,,,,,
2668,35612/34963/34266,--/35221/--,--/35221/--,49,2,63700,7,,,3,11,2,5,,22,,3,,,,,,,,2,2,,,1,,3,1,,,,,9,,4,,,,,,9,,2,,8,,1,2,1,,6,,3,,,,,,,,,,,,,,,,2,56,,2,,,,,148,,,,,,,,,,,42,1,,,,2,,,,,,,,6,1,3,,2,,,,,,,,,,,,,,,,,,,,,1,,,,
2708,36037/35475/34920,--/35730/--,--/35730/--,39,2,63700,13,4,,6,17,3,7,,24,,9,,,,,,,,2,4,,,,,,2,,,,6,4,,,,,,,1,13,1,3,,2,,,1,,,6,,15,,,,,,,,,,,,4,,,,,44,,,,1,,,110,,,,1,,,,,,,69,2,,,1,1,,,1,,,1,,,,12,,4,2,,,1,,,,,,,,,,,,,,,,,1,,,,
2728,36274/35750/35235,--/36005/--,--/36005/--,33,2,63700,5,5,,2,13,3,13,,15,,32,,,,,1,,,4,,,,,,4,1,,,,2,9,,2,,,,,,24,,3,,4,,,,,,5,,12,,4,,1,,,3,,,,,4,,,,1,38,,2,,1,,,103,,,,,1,,,,,,62,,,,,,,,,,,,,,2,13,1,8,,1,,,,,,,,,,,,,,,,,,,,1,,,
2750,36557/36050/35522,--/36282/--,--/36282/--,12,2,72600,7,1,,3,10,2,5,,19,,23,,,2,,,,,,5,,,,,,,,,,2,5,,5,,,,,1,9,,5,,6,,,,,,3,,6,,,,,,,1,,,,,,,,,,50,,1,1,,,,119,,,,,1,,,,,,37,,,,,1,2,,,1,,1,,4,,4,,7,,,,2,,,,,,,,,,,,,,,,,3,,,,
2770,36999/36296/35598,--/36283/--,--/36283/--,65,2,72600,7,2,,8,7,,9,,12,,33,,,1,,,2,,9,5,1,,,,1,,,,,4,4,,,,1,,,2,11,3,10,,4,,,,1,,4,,6,,,,1,,,,,,,3,1,,,,,33,,,,1,,,79,,,,,,,,1,,,82,,,,1,,,,,1,,1,,2,6,13,,11,,,,,,,,,,,,,,,,,1,,,,,,,,
2810,36807/36292/35766,--/36284/--,--/36284/--,23,2,72600,2,2,,4,5,2,8,,27,,21,,,,,,,,5,10,1,,,,2,1,,,,7,11,,,,,,,,28,,8,,4,,,2,,,8,,8,,,,,,,,,,,,3,,,,,46,,3,,,,,107,3,,,,1,,,,,,74,,,,1,,,,,1,,1,,9,1,18,,14,,1,,,,,,,,,,,,,,,,,,,1,,,,
2830,36827/36289/35769,--/36284/--,--/36284/--,13,2,72600,10,,,15,19,4,7,,62,,11,,,4,,1,,,4,5,,,,,2,1,,,,,5,,1,,,,,1,11,,3,,3,,,1,,,4,,12,,,,,,,1,,,,,1,,,,,51,,,,,,,109,7,,,,2,,,,,,45,,,,2,,,,,,,,,3,6,1,,6,2,3,,,,,,,,,,,,,,,1,,,,,,,,
2850,36874/36287/35674,--/36284/--,--/36284/--,42,2,72600,23,2,,8,12,,4,,15,,7,,,1,,,,,6,,,,,,,,,1,,4,6,,3,,,,,,23,,12,,,,1,1,,,5,,3,,1,,,,,2,,,,,5,,,,,27,,,,,,,79,,,,,1,,,,,,79,,,,,1,,1,,,,,,,1,19,,11,1,,,,,,,1,,,,,2,,,,,,,,,,,,
2870,37005/36284/35541,--/36445/--,--/36445/--,29,2,72600,7,,,3,21,3,15,,36,,8,,,,,2,,,2,,,,1,,2,,,,,2,3,,1,,,,,,9,,1,,3,,,,2,,,,3,,8,,1,,,,,,,,1,,,,,60,,,,,2,,168,,,,,,,,,,,43,,,,2,2,1,,,3,,,,2,,1,,3,,,,1,,,,,,,,,,,,,1,,,,,,,,
2910,37400/36717/36056,--/36929/--,--/36929/--,19,2,72600,14,1,,8,25,4,7,,61,,3,,,1,,,,,2,2,1,,,1,5,1,,,,,9,,4,,,,,1,11,,,,10,,,,1,,,,6,,,,,,,,,,,,,,,,,31,,1,,1,,,166,1,,,,,,,,,,23,1,1,,1,1,,,,,,2,,2,1,5,,,2,,,,,,,,,,,,,,,,1,,,,1,,1,,
2929,37430/36922/36414,--/37186/--,--/37186/--,42,2,72600,15,3,,2,7,3,9,,15,,36,,,,,1,,,5,1,,,,,1,2,,,,7,4,,,,,,,2,25,,5,,1,,,,,,3,,7,,,,,,,,,,,1,4,,,,,30,,1,,,,,61,,,,,,,,1,,,94,1,,,,,1,,,,,1,,5,3,,,32,,,,,,,,,,,,,,,,1,3,,,,,,,,
2945,37931/37152/36409,--/37388/--,--/37388/--,614,1,22500,9,,,2,24,6,4,,54,,2,,,2,,1,1,,1,8,,,,,6,2,,,,,4,,,,,,,,5,1,2,,8,,,,1,,,,9,,,,,,,,,,,,,,,,1,35,,,,1,,,81,2,,,,1,1,,,,,30,,,,,6,2,,,,,,,1,,1,,1,3,,,,,,,,,,,,,,,,1,,,,,,,,
2965,38138/37406/36663,--/37623/--,--/37623/--,136,,22500,5,1,,4,23,11,,,65,,2,,,6,,,,,,1,,,3,,2,1,,,,,2,,,1,,,,,5,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,36,,,,,1,,140,2,,,,,,,,,,9,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2985,38340/37616/36900,--/38091/--,--/38091/--,223,,22500,11,1,,8,20,4,8,,53,,7,,,2,,1,,,7,1,,,,,1,,,,,1,5,,1,,,,,,28,2,1,,7,,,,1,,,,5,,,,,,,,,,,,2,,,,,45,,,,2,,,120,11,,,,,1,,,,,50,1,,,,1,1,,,,,3,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
2995,38562/37877/37154,--/38371/--,--/38371/--,190,,22500,35,2,,2,16,2,4,,29,,6,,,,,,,,3,,,,,,2,,,,,,8,,1,1,,,,,27,,1,,3,,,,1,,,,2,,,,,,,,,,,1,,,,,,59,,,,,2,,70,9,,,,,,,,,,57,,,,,1,,,,,,3,,1,,,,7,1,2,,,,,,,,,,,,,,,,,,,,,,,
3010,38773/38232/37692,--/38806/--,--/38806/--,560,1,22500,41,3,,4,15,3,4,,24,,10,1,,2,,1,,,6,1,,,,,,,,,,4,7,,,1,,,,,36,,1,,4,,,,,,,,2,,,,,,,,,,,,,,,,2,48,,3,,,,,87,7,,,,,,,,,,88,,,,,2,2,,,,,,,3,,,,7,2,1,,,,,,,,,,,,,,,3,,,,,,,,
3030,39349/38806/38232,--/39381/--,--/39381/--,220,1,22500,24,2,,2,16,1,6,,16,,46,,,7,,,,,10,,,,,,,1,,,,2,5,,1,1,4,,,,31,,10,,6,,,,,,,,6,,,,,,,,,,,,4,,,,1,31,,,,2,,,75,3,,,,1,,,,,,104,1,,,,4,1,,,,,,,,4,,,29,1,,,,,,,,,,,,,,,,,,,,,,,,
3046,39840/39270/38671,--/39814/--,--/39814/--,157,1,22500,7,6,,2,9,2,5,,13,,42,,,2,,,,,9,2,,,,,,1,,,,1,5,,2,,,,,,20,,11,,3,,,,,,,,6,,,,,,,,,,,1,,,,,,25,,,,,,,63,6,,,,,,,,,,82,,,,,3,,,,,,,,,4,,,20,4,,,,,,,,,,,,,,,,1,,,,,,,,
3066,40479/39815/39179,--/40335/--,--/40335/--,202,1,22500,1,3,,5,12,2,3,,25,,69,1,,1,,,,,3,2,,,,,1,,,,,5,4,,,,,,,,7,,1,,8,,,,,,,,5,,,,,,,,,,,1,,,,,,38,,3,,,,,65,5,,,,,,,,,,82,,,,1,1,,,,,,,,2,1,1,,5,3,,,,,,,,,,,,,,,,4,,,,,,,,
3106,41664/40888/40057,--/41451/--,--/41451/--,324,1,22500,4,1,,5,25,3,3,,77,,5,,,1,,,,,,1,,,,,1,2,,,,,6,,,1,,,,,4,,,,8,,,,,,,,41,,,,,,,,,,,,,,,,,12,,2,,,,,138,9,,,,,,,,,,14,2,,,1,5,1,,,,,,,7,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
3126,42325/41441/40614,--/41903/--,--/41903/--,450,1,22500,16,,,5,16,4,4,,38,,10,1,,1,,,,,5,,,,,,4,,,,,,4,,1,1,,,,,17,,1,,3,,,,1,,,,1,,,,,,,,,,,1,,,,,1,42,,3,,,,,160,8,,,,,,,,,,39,,,,,4,,,,,,1,,2,,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
3149,42592/41895/41183,--/41941/--,--/41941/--,,,,9,,,4,48,6,5,,66,,2,,,4,,,,,1,1,,,,,3,,,,,1,2,,1,,,,,,3,,,,8,,,,1,,,,2,,,,,,,,,,,,,,,,,22,,3,,,,,119,8,,,,4,,,,1,,20,1,,,,6,1,,,,,1,,2,,1,,,4,3,,,,,,,,,,,,,,,,,,,,,,,
3168,42730/41908/41148,--/42331/--,--/42331/--,,,,5,,,3,16,5,2,,46,,6,,,5,,,,,3,,,,,,,,,,,1,4,,1,2,,,,,8,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,27,,2,,,1,,150,16,,,,1,,,,,,12,1,,,,3,1,,,,,1,,1,,6,,1,3,1,,,,,,,,,,,,,,,1,,,,,,,,
3188,42937/42304/41677,--/42880/--,--/42880/--,,,,12,1,,6,20,1,8,,33,,6,,,1,,,,,3,,,,,,2,,,,,1,8,,,,,,,,16,,2,,8,,,,,,,,1,,,,1,,,,,,,,,,,,1,36,,,,1,,,91,4,,,,,,,,,,34,,,,,2,1,,,,,2,,1,1,3,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
3198,43463/42590/41721,--/43160/--,--/43160/--,24,1,46000,4,,,,1,,3,,4,,20,,,1,,,,,2,3,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,,27,5,,,,,,,,,,27,1,,,1,,,,,,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3208,43498/42881/42240,--/43440/--,--/43440/--,,,,12,,,3,16,,6,,28,,5,,,,,,,,8,1,,,,,,,,,,3,4,,,1,,,,,18,,1,,5,,,,1,,,,3,,,,,,,,,,,,,,,,,41,,,,,,,121,4,,,,,,,,,,45,,,,,1,3,,,,,1,,1,,,,6,1,2,,,,1,,,,,,,,,,,,,,,,,,,
3228,44055/43427/42810,--/43996/--,--/43996/--,,,,26,,,11,19,5,7,,35,,9,,,2,,,,,1,,,,,,,2,,,,,8,,,,,,,,14,3,2,,5,,,,,,,,3,,,,,,,,,,,,1,,,,1,53,,2,,,,,145,9,,,,,,,,,,35,,,,,2,1,,,,,3,,2,,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
3246,44569/43963/43356,--/44497/--,--/44497/--,187,1,27000,42,2,,4,11,2,7,,34,,14,,,2,,,,,6,,,,,,2,,,,,1,6,,,1,,,,,9,,,,3,,,,2,,,,3,,,,,,,,,,,,,,,,1,60,,,,,,,100,6,,,,,,,,,,54,,,,,2,,,,,,1,,2,,2,,3,2,,,,,,,,,,,,,,,,1,,,,,,,,
3265,45163/44463/43735,--/45029/--,--/45029/--,124,1,27000,39,1,,,12,1,5,,19,,,,,6,,,,,2,,,,,,,1,,,,6,5,,,1,,,,,11,,1,,2,,,,1,,,,1,,,,,,,,,,,,1,,,,2,45,,,,,,,77,2,,,,,,,,,,42,,,,,1,1,,,,,2,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3285,46017/45034/44137,--/45514/--,--/45514/--,,1,27000,35,1,,4,18,1,5,,27,,28,,,,,,,,1,2,,,,,,1,,,,3,6,,1,1,,1,,1,18,,3,,9,,,,,,,,3,,,,1,,,,,,,,3,,,,1,29,,,,,2,,103,4,,,,,1,,,,,47,2,,,,2,,,,,,1,,1,1,1,,9,2,,,,,,,,,,,,,,,,,,,,,,,,
3294.5,45981/45291/44550,--/45737/--,--/45737/--,18,1,46000,3,,,3,,,1,,4,,4,,,,,,,,,9,,,,,,,,,,,3,,,,,1,,1,8,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,19,,,,1,,,47,,,,,,,,,,,14,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3305,46211/45505/44808,--/45891/--,--/45891/--,30,1,27000,43,1,,2,23,2,4,,20,,22,,,1,,1,,,11,,,,,,,,,,,3,7,,,,,,,,9,,4,,1,,,1,1,,,,5,,,,,,,,,,,,1,,,,1,50,,1,,,,,85,13,,,,,1,,,,,85,,,,,2,1,,,,,,,,3,1,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,
3315,46477/45746/45001,--/46168/--,--/46168/--,,1,27000,60,,,5,18,1,3,,27,,13,,,4,,,,,5,,,,,,,,,,,2,4,,,1,,,,,21,,3,,4,,,1,,,,,,,,,,,,,,,,,,,,,,44,,,,,2,,86,4,,,,,,,,,,60,1,,,,4,1,,,,,1,,2,,2,,7,,2,,,,,,,,,,,,,,,,,,,,,,,
3325,46600/45863/45176,--/46448/--,--/46448/--,,1,27000,29,4,,4,10,,5,,22,,8,,,2,,,,,6,,,,,,,1,,,,4,4,,,,,,,,9,,9,,4,,,,,,,,3,,,,,,,,,,,1,1,,,,,46,,,,1,,,59,5,,,,,,,,,,55,,,,,1,,,,,,3,,3,1,2,,10,,,,,,,,,,,,,,,,,,,,,,,,,
3335,46843/46167/45444,--/46726/--,--/46726/--,,,,41,3,,1,15,2,6,,16,,23,,,,,1,,,13,,,,,,,,,,,1,10,,,1,,,,,14,1,5,,5,,,1,1,,,,3,,,,,,,,,,,1,1,,,,1,52,,,,,,,75,5,,,,,,,,,,75,1,,,,3,2,,,,,1,,1,2,,,18,,,,,,,,,,,,,,,,,1,,,,2,,,,
3344,47264/46435/45644,--/46977/--,--/46977/--,5,,,10,5,,4,20,2,3,,23,,28,,,1,,1,,,6,,,,,,,1,,,,4,4,,,1,,,,,25,,7,,4,,,1,,,,,1,,,,,,,,,,,,,,,,1,33,,,,3,,,60,5,,,,,,,,,,70,,,,,,2,,,,,,,1,5,7,,7,,1,,,,,,,,,,,,,,,,,,,,,,,
3358,47512/46824/46120,--/47363/--,--/47363/--,109,1,27000,40,4,,2,8,,2,,20,,20,,,1,,,,,8,1,,,,,1,,,,,5,1,,1,,,,,,20,,8,,4,,,1,,,,,4,,,,,,,,,,,,1,,,,,28,,,,1,,,62,4,,,,,,,,1,,99,,,,,4,2,,,,,1,,1,4,6,,9,,5,,,,,,,,,,,,,,,,,,,,,,,
3368,48040/47099/46166,--/47644/--,--/47644/--,90,1,27000,25,4,,1,9,1,2,,13,,23,,,1,,,,,10,,,,,,,1,,,,3,2,,,1,,,,,14,,7,,6,,,,,,,,,,,,,,,,,,,,1,,,,1,38,,,,,,,63,6,,,,1,,,,,,71,1,,,1,,1,,,,,1,,2,16,6,,11,1,2,,,,,,,,,,,,,,,,,,,,,,,
3375,47980/47288/46545,--/47840/--,--/47840/--,25,1,46000,9,,,4,4,,3,,3,,12,,,1,,,,,1,4,,,,,1,,,,,1,,,,,,,,1,8,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,9,,,,,,,31,,,,,1,,,,,,38,,,,,1,2,,,,,1,,1,2,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,
3388,48467/47639/46826,--/48155/--,--/48155/--,89,1,27000,8,4,,1,10,,7,,12,,25,,,,,,,,10,,,,,,1,,,,,9,8,,,,,,,,20,,10,,4,,,1,,,,,1,,,,1,,,,,,,,3,,,,1,26,,,1,,,,80,5,,,,,,,,,,77,,,,,1,4,,,,,1,,,12,3,,14,5,1,,,,,,,,,,,,,,,,,,,,,,,
3398,48603/47915/47207,--/48435/--,--/48435/--,137,1,27000,11,2,,3,4,1,6,,13,,45,,,3,,,,,5,1,,,,,,,,,,3,5,,,1,,,,,17,,9,,5,,,,,,,,1,,,,,,,,,,,,,,,,1,26,,,,,,,49,3,,,,1,,,,,,90,1,,,,,2,,,,,,,1,8,9,,13,,1,,1,,,,,,,,,,,,,,,,,,,,,
3408,49171/48189/47246,--/48715/--,--/48715/--,142,1,27000,5,5,,3,10,2,3,,18,,27,,,,,,,,4,,,,,,,,,,,7,4,,,1,,,,,27,,4,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,20,,2,,,,,55,4,,,,1,,,,,,96,,,,,1,2,,,,,1,,,5,11,,18,2,3,,,,,,,,,,,,,,,,,,,,,,,
3418,49181/48461/47741,--/48995/--,--/48995/--,187,1,27000,13,6,2,5,2,3,4,,17,,30,1,,,,,,,24,1,,,,,,,,,,7,10,,,1,,,,,43,,4,,5,,,,,,,,6,,,,,,,,,,,,1,,,,,43,,,1,,,,62,2,,,,3,,,,,,102,1,,,,,,,,,,,,1,3,11,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,
3428,49648/48733/47876,--/49276/--,--/49276/--,238,1,27000,5,7,,2,14,,7,,31,1,52,,,1,,1,,,15,3,,,,,1,1,,,,3,6,,,5,,,,,37,,9,,3,,,1,1,,,,2,,,,,,,,,,,,,,,,,31,,,,,1,,100,6,,,,2,,,,,,87,,,,1,2,2,,,,,,,1,1,25,,12,,,,,,,,,,,,,,,,,1,,,,,,,,
3438,49732/49007/48265,--/49556/--,--/49556/--,152,1,27000,2,4,,4,14,1,3,,16,,21,,,,,,,,5,2,,,,,1,1,,,,8,8,,,,,,,,13,,5,,3,,,,,,,,4,,,,,,,,,,,,,,,,,35,,,,,,,71,5,,,,,1,,,,,57,,,,,2,1,,,,,2,,,4,13,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,
3448,49965/49279/48558,--/49827/--,--/49827/--,,1,46000,,1,,1,,,1,,3,,8,,,3,,,,,1,1,,,,,,,,,,2,4,,,,,,,,9,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,12,,,,1,,,39,,,,,2,,,,,,25,,,,,,,,,,,3,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3458,50290/49546/48815,--/50039/--,--/50039/--,139,1,27000,2,7,,2,4,1,8,,24,,30,,,,,4,,,1,,,,12,,3,1,,,,5,4,,,1,,,,,24,,3,,4,,,,,,,,3,,,,,,,,,,,,,,,,,55,,,,,3,,82,2,,,,1,,,,,,51,,,,,1,,,,,,1,,1,1,15,,10,,,,,,,,,,,,,,,,,2,,,,,,,,
3469,50867/49866/48857,--/50285/--,--/50285/--,136,1,27000,,4,,,6,,11,,15,,19,,,3,,,,,,,,,,,3,,,,,2,8,,,1,,,,,12,,1,,2,,,,1,,,,6,,,,,,,,,,,,,,,,,42,,,,,,,95,4,,,,3,,,,,,53,,,,,,,,,,,2,,,,11,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,
3488,51020/50248/49476,--/50703/--,--/50703/--,480,1,27000,,4,,1,35,8,8,,26,,7,,,1,,,,,1,,,,4,,5,,,,,1,13,,,,,,,,3,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,45,,,,,,,106,10,,1,,3,,,,,,31,,,,,3,2,,,,,1,,,1,,,1,2,1,,,,,,,,,,,,,,,1,,,,,,,,
3562,53089/52063/51026,--/52492/--,--/52492/--,440,1,22500,1,1,,3,41,7,11,,74,,5,,,3,,,,,1,3,,1,,,,,,,,,9,,3,,,,,,5,,1,,12,,,2,2,,,,8,,,,,,,,,,,,,,,,,24,,,,,2,,180,7,,,,,,,,,,28,,,,,2,1,,,,,,,6,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
3582,53327/52493/51680,--/52951/--,--/52951/--,435,1,22500,5,,,2,20,1,8,,25,1,17,2,,5,,,,,,,,,,,,,,,,,9,,,2,,,,1,12,,,,5,,,,,,,,14,,,,,,,,,,,,,,,,,40,,2,,,,,124,15,,,,3,,,,,,41,,,,,2,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,
