"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Ephedra","Quercus ilex-type","Cistus","Plantago","Olea","Unknown (monolete)","Quercus","Quercus robur-type","Unknown","Ericaceae","Poaceae","Unknown (trilete)","Sparganium-type","Asteroideae","Phillyrea","Pseudoschizaea","Potamogeton","Cyperaceae","Amaranthaceae","Cichorioideae","Pinus","Rubiaceae","Brassicaceae","Artemisia","Lamiaceae","Apiaceae","Fraxinus","Typha latifolia-type","Poaceae (Cerealia-type)","Euphorbia","Buxus","Pistacia","Dinoflagellata","Betula","Corylus","Juglans","Hedera","Myriophyllum","Rhamnus","Ligustrum","Helianthemum","Ulmus","Malva","Fagus","Tilia","Salix","Juniperus","Liliaceae","Abies","Geraniaceae","Caryophyllaceae","Ranunculaceae","Convolvulaceae","Campanulaceae","Carpinus"
7785,7910,7646,1550,4,47,3,NA,NA,NA,2,NA,4,29,4,18,42,3,202,NA,NA,3,5,3,2,71,NA,NA,7,4,41,NA,NA,3,NA,3,6,NA,3,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,35,5,NA,NA,NA,1,NA,NA,NA
7795,7919,7656,1560,4,44,1,NA,NA,NA,6,NA,2,23,5,16,49,5,161,NA,5,2,2,1,NA,67,NA,NA,7,2,35,NA,NA,2,NA,NA,2,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,34,9,NA,NA,NA,1,NA,NA,NA
7804,7929,7667,1570,NA,38,3,NA,NA,NA,7,4,7,10,1,5,30,13,203,NA,5,22,NA,1,NA,49,NA,3,7,10,56,NA,NA,NA,NA,NA,4,NA,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,14,4,NA,NA,2,1,NA,NA,NA
7814,7939,7678,1580,2,14,3,NA,NA,NA,2,NA,5,13,1,4,21,4,212,NA,2,7,2,1,1,42,NA,NA,6,3,32,NA,NA,NA,NA,NA,6,NA,NA,31,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,16,3,NA,NA,NA,1,NA,NA,NA
7823,7947,7687,1590,1,21,4,NA,NA,NA,4,NA,7,8,1,9,29,7,124,NA,4,16,2,2,NA,46,NA,NA,6,2,55,NA,NA,3,NA,NA,3,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,21,3,NA,1,NA,1,NA,NA,NA
7842,7967,7707,1610,2,24,6,NA,NA,2,2,NA,8,14,1,24,40,2,136,NA,4,NA,2,2,NA,63,2,NA,3,2,36,NA,NA,2,NA,NA,2,NA,NA,27,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA
7852,7976,7717,1620,NA,22,4,2,NA,NA,2,NA,4,21,6,1,61,2,154,NA,5,7,2,1,NA,32,2,2,5,4,32,NA,NA,NA,NA,NA,10,2,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,2,NA,NA,NA,NA,NA,1,NA
7861,7985,7726,1630,1,27,6,NA,NA,3,2,2,2,24,6,4,62,5,137,NA,NA,9,2,1,NA,51,NA,NA,9,6,31,NA,NA,NA,NA,NA,3,NA,1,22,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,12,6,1,NA,NA,2,NA,NA,NA
7871,7994,7735,1640,2,36,1,NA,1,NA,1,NA,2,4,2,2,35,4,152,1,3,4,1,1,1,47,NA,NA,3,5,13,NA,NA,NA,NA,NA,5,NA,1,31,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA
7880,8004,7744,1650,6,36,1,NA,NA,NA,2,NA,2,11,3,3,32,9,181,2,NA,11,1,NA,1,69,NA,NA,11,3,17,NA,NA,1,NA,NA,9,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,NA,NA,NA,4,NA,NA,NA
