"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Helianthemum","Olea","Anthemis-type","Centaurea nigra-type","Serratula-type","Calluna","Indeterminable","Rumex","Pistacia","Ephedra fragilis-type","Ericaceae","Amaranthaceae","Plantago","Aster-type","Quercus suber-type","Cyperaceae","Unknown (trilete)","Quercus (evergreen-type)","Cedrus","Quercus (deciduous-type)","Poaceae","Taraxacum","Pinus","Lycopodium spike","Caryophyllaceae","Cirsium-type","Ephedra distachya-type","Anogramma leptophylla","Artemisia","Isoëtes","Cupressaceae","Gentianaceae","Alnus","Brassicaceae","Phillyrea","Mercurialis-type","Halimium","Lygeum spartum","Botrychium-type","Corylus","Vitis","Myrica","Centaurea scabiosa-type","Poterium sanguisorba","Unknown","Cistus","Pseudoschizaea","Asphodelus","Unknown (monolete)","Betula","Ophioglossum lusitanicum","Carpinus","Alisma-type","Selaginella","Fabaceae","Hedera helix","Polypodium vulgare-type","Scabiosa","Ambrosia-type","Lamiaceae","Rosaceae","Buxus","Salix","Tilia","Plumbaginaceae","Ulmus","Fraxinus excelsior-type","Mentha-type","Rhamnus-type","Cryptogramma","Thalictrum","Valerianoideae","Veronica-type","Apiaceae","Linum","Ranunculaceae","Hippophaë","Ulex-type","Tamarix","Abies","Poaceae (Cerealia-type)","Echinops","Typha","Acer","Centaurium","Campanulaceae","Pilularia globulifera","Potamogeton","Plantago lanceolata-type","Liliaceae","Vicia-type","Galium-type","Coriaria myrtifolia","Crassulaceae","Euphorbia","Polygonum aviculare-type","Pedicularis","Picea","Lemna","Taxus","Persicaria maculosa-type","Scrophulariaceae","Bupleurum-type","Spergularia-type","Primulaceae","Filipendula","Arceuthobium","Geranium","Boraginaceae","Urtica","Lythrum","Sanguisorba officinalis","Erodium","Populus"
16587,NA,NA,757,"21358","3.5","1","","1","","","","3","","","3","","16","","1","","","","","7","1","4","1","427","1202","1","","10","","43","","3","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","","","","","","1","","","","","","","","","","",""
16970,NA,NA,767,"21358","3","1","1","","","","","1, 2, 3","","","2","","7","","","","","","2","16","1","3","2","631","6797","","","4","","13","1","2","","2","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17281,NA,NA,775,"25084","4","3","","6","1","","2","1, 2","","","","5","26","2","3","","","","2","3","","5","3","132","159","","","2","","58","1","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17669,NA,NA,785,"37160","8","4","","5","","1","","1, 17","","1","11","3","9","1","3","1","1","1","","23","","3","4","1508","2230","1","","6","","27","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17825,NA,NA,789,"37160","8","3","","3","2","1","","1, 12","","1","5","3","8","","2","","","","","41","4","","12","2427","2944","","","8","","3","","1","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18478,NA,NA,805,"37160","8","8","","4","1","","","1, 14","","","","","9","2","2","","","","","16","5","4","11","665","3015","","","3","","33","1","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","",""
19464,NA,NA,825,"25084","3","3","","3","","","1","3","","","1","7","5","2","4","1","","1","3","15","1","3","1","623","4939","","","1","","19","1","4","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19661,NA,NA,829,"37160","8","2","","","","1","","1","","","","10","3","1","1","","","1","1","1","2","4","1","142","3930","","","2","","24","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19956,NA,NA,835,"21358","3.5","5","","2","","","2","1, 6","","","1","20","10","3","10","","","","2","9","4","1","4","592","3644","1","","4","","17","","1","","1","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20154,NA,NA,839,"37160","8","2","","5","","1","","3","","","2","16","8","1","4","","1","","6","6","3","3","5","452","4128","","","3","","19","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
20646,NA,NA,849,"37160","8","4","","","","","1","1","","","","5","3","","1","","1","1","2","2","4","5","3","302","2061","2","","1","","23","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
20942,NA,NA,855,"21358","3","4","","","","","","1, 2","","","2","6","3","","4","","","1","","8","2","2","4","456","2624","","","3","","11","2","2","","2","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21108,NA,NA,859,"37160","8","","","3","","","","1","","","2","11","6","1","","1","","","1","6","5","2","2","412","4378","","","4","","35","","7","","2","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22973,NA,NA,889,"37160","8","1","","1","2","","","2","","","1","9","2","2","4","","1","","6","1","2","","13","406","4279","","","5","","20","1","8","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23440,NA,NA,895,"25084","3","3","","2","","","4","1, 6","","","","11","4","1","","","","","2","7","4","3","4","481","2596","2","","1","","43","2","5","","2","4","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23735,NA,NA,905,"25084","6","5","","2","2","","","1, 2","","","2","10","10","1","1","","2","","3","2","5","12","8","248","3350","1","","1","","28","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23853,NA,NA,909,"37160","8","8","1","9","2","","","1, 4","","","","4","17","2","4","1","2","","1","7","","6","6","552","1901","","","4","","21","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24028,NA,NA,915,"25084","5.5","3","","2","","","","1, 2","","","1","4","18","4","7","","","","1","6","1","5","2","358","888","","","9","","70","1","3","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24142,NA,NA,919,"37160","8","7","","11","","1","","1, 4","","","4","10","18","1","5","1","","","","6","4","1","7","797","3947","2","","6","1","11","2","1","","","","","","","","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","3","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24313,NA,NA,925,"25084","4.5","8","","9","","","","2, 3","","","4","1","10","2","5","","1","1","4","5","2","2","17","205","2359","1","1","15","","11","3","","","","3","","","","","","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24427,NA,NA,929,"37160","8","7","","3","3","","","1, 3","","","2","3","23","","6","","","1","","1","","4","9","154","3833","","","5","","25","","1","","","6","","","","","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24598,NA,NA,935,"25084","4","3","","4","2","","2","1, 4","","","1","8","5","1","4","","2","1","1","4","3","","6","304","4126","2","1","3","","17","1","1","","","","","","","","","1","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25135,NA,NA,945,"25084","6","2","","2","1","","","4, 8","","","1","7","9","2","1","","","","5","5","5","6","9","139","972","2","","1","","37","1","7","","","1","","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26112,NA,NA,965,"21358","4","5","","2","","","","4","","","1","16","7","1","4","","","","3","15","6","4","9","549","1099","","1","2","","28","3","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26501,NA,NA,975,"21358","4","3","","4","","","1","1, 2","","","2","14","6","2","1","","","1","4","10","4","","8","777","1209","2","","3","","30","","4","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26656,NA,NA,979,"37160","8","7","","5","","","1","1, 3","1","","","15","7","2","1","","1","","5","6","6","5","9","501","1470","","","4","","21","3","4","","","1","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26906,NA,NA,985,"25084","4","","","5","1","","","1, 20","","","","16","2","2","3","","3","","1","24","3","10","15","853","1367","","","2","","7","2","7","","","1","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27462,NA,NA,995,"25084","5","3","","1","","","1","2, 7","1","","3","9","6","1","3","","6","","8","13","3","9","16","276","363","","","2","","18","3","9","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
28015,NA,NA,1005,"25084","3","1","1","5","1","","","3, 13","","","1","5","12","","2","","1","","2","16","1","7","8","415","3366","1","","4","","24","1","11","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28561,NA,NA,1021,"25084","3","1","","2","","","","1, 13","","","3","13","5","1","2","","4","","3","10","7","8","11","438","1047","","","3","","19","","11","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28808,NA,NA,1031,"25084","3","5","","4","1","","1","1, 15","","","1","9","4","2","","","2","","1","15","6","7","8","429","1428","","","4","","11","2","20","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","6","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28907,NA,NA,1035,"25084","4","3","","1","","","","1, 10","","","1","4","4","3","","","1","2","2","14","6","18","8","192","728","2","","1","","9","1","12","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
30149,NA,NA,1055,"25084","3.5","1","","7","","","","3, 10","","","1","1","9","1","2","","1","","","11","1","11","2","511","753","","","14","","30","","6","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
30636,NA,NA,1065,"25084","3.5","","","2","","","","7","","","1","3","19","","","","3","","","18","2","8","9","423","1141","1","","14","","12","","7","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
30973,NA,NA,1075,"25084","3","4","","6","1","","","1, 29","","","1","8","8","2","5","","1","","2","23","2","2","19","639","1940","1","","13","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31164,NA,NA,1085,"25084","5.5","1","1","5","","","1","1, 4, 9","","","2","8","4","2","1","","5","","3","27","6","7","4","414","806","1","","","","12","","10","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31407,NA,NA,1095,"25084","4","2","1","3","","","","1, 3, 4, 15","","","","4","5","","2","","3","","6","12","5","14","7","294","788","1","","3","","17","1","6","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31552,NA,NA,1101,"25084","3.5","3","","5","","","","1, 2, 10","","1","1","4","8","","1","","","","2","19","7","6","8","235","3964","1","","2","","20","","10","","","2","","1","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31649,NA,NA,1105,"25084","3","2","","3","","","","1, 16","","","1","13","3","","2","","1","","1","36","6","3","11","613","4471","","","5","","10","","5","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31858,NA,NA,1115,"25084","3.5","1","","3","1","","","1, 5, 8","","","3","5","7","1","5","","1","","2","15","9","9","5","571","775","1","","3","","14","1","11","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
32033,NA,NA,1125,"25084","3","1","","1","","","","1, 2, 10","1","","1","4","6","","1","","1","","6","27","15","7","2","633","574","","","1","","14","2","10","","2","2","","","","","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
32160,NA,NA,1131,"25084","3","1","","1","1","","","1, 2, 24","","","","9","8","","2","","","","2","42","16","","13","916","1357","","","1","","3","1","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
32318,NA,NA,1135,"25084","4","1","","3","","","","2, 4, 5, 15","","","2","5","6","","3","","4","","4","9","13","12","9","351","516","","","2","","6","","12","","3","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32555,NA,NA,1141,"25084","4","2","","1","","","","2, 4, 6, 14","","","2","6","10","","7","","6","","5","17","6","6","12","473","1010","1","","","","18","","7","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32713,NA,NA,1145,"25084","4","1","","2","","","","1, 3, 10","","","4","3","10","3","1","","2","","2","8","11","9","5","350","563","","","6","","21","","6","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32933,NA,NA,1151,"25084","3","1","","4","3","","","3, 31","","","2","2","13","","","","2","","1","19","10","3","3","647","1475","1","","9","","17","","5","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33025,NA,NA,1155,"25084","3.5","2","","","","","","1, 6, 16","","","","4","16","","2","","","1","","9","2","9","4","280","322","1","","6","","46","","9","","","1","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33254,NA,NA,1165,"25084","3","","","1","","","","18","","","1","6","4","4","1","1","3","1","9","23","16","7","4","531","607","","","1","","10","2","15","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33391,NA,NA,1171,"25084","5","1","","1","1","","","1, 9","","","1","12","6","","1","","2","","3","26","9","7","3","282","425","1","","1","","14","2","9","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33517,NA,NA,1175,"25084","3","3","","2","1","","1","1, 14","","","1","2","5","","3","","1","","6","29","12","5","7","474","855","","","1","","13","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34082,NA,NA,1185,"25084","5","1","","","","","","1, 2, 3","","","","2","7","1","2","","2","1","3","12","2","5","3","187","199","2","","7","","36","1","24","","2","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34606,NA,NA,1195,"25084","5","2","","3","1","","","1, 2, 14","","","2","9","9","","3","","1","","1","23","7","8","4","561","344","","","5","","16","","11","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34765,NA,NA,1205,"25084","3","3","","2","1","","","1, 8","1","","","10","7","2","","","","","6","21","17","7","3","626","405","1","","1","","3","3","15","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34860,NA,NA,1211,"25084","3.5","3","","1","","","1","2, 10","","","2","10","2","","2","","2","","6","44","20","4","8","722","389","","","3","","3","2","15","","","1","","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
34923,NA,NA,1215,"25084","3","1","","3","","","","1, 29","","","","3","3","","2","","2","1","3","53","13","4","14","1321","1130","","","4","","3","1","5","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35018,NA,NA,1221,"25084","3","1","1","1","","","","2, 3, 21","","","3","9","5","1","1","","1","","5","52","9","3","6","995","897","","","2","","8","2","12","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35082,NA,NA,1225,"25084","4.5","2","","2","","","","1, 2, 16","1","1","","7","5","1","1","","5","","5","19","14","9","11","407","294","","","3","","9","","12","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
35177,NA,NA,1231,"25084","2.5","","","2","","","","1, 2, 14","","","2","1","9","1","5","","2","","5","38","9","3","3","612","643","1","","9","","21","","15","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35241,NA,NA,1235,"25084","4","1","","3","1","","","2, 4, 18","","","","4","4","","2","","4","","3","30","6","5","10","509","633","1","","7","","6","1","9","","1","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35787,NA,NA,1245,"25084","4.5","5","","8","","","","2, 16","","","","7","15","","8","","","","1","35","2","2","1","558","711","","","8","","23","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36199,NA,NA,1251,"25084","4.5","1","","6","1","","","1, 4, 13","","","1","2","11","","3","1","1","","2","29","5","5","4","495","476","","","9","","21","","6","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36315,NA,NA,1255,"25084","5.5","2","","3","","","","1, 5","","","1","1","13","1","1","","","","11","11","14","7","6","271","102","","","3","","26","","11","","1","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","",""
36490,NA,NA,1261,"25084","6","1","1","4","","","","12","","","","4","11","","2","","","","11","40","9","10","1","599","258","","","2","","11","1","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
36606,NA,NA,1265,"25084","6.5","1","","2","","","","2, 5","","","","7","10","","2","","2","","7","23","13","10","4","429","150","","","1","","14","5","6","","1","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36664,NA,NA,1267,"25084","5","2","","3","","","","1, 12","","","","5","5","","2","1","1","","5","9","21","6","3","323","123","1","","3","","18","1","12","","2","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
36780,NA,NA,1271,"25084","4.5","1","","2","","","","1, 2, 6","1","","1","3","7","","5","","4","","9","8","18","15","6","302","164","","","4","","15","","15","","","3","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","",""
36896,NA,NA,1275,"25084","4","","","4","","","","3, 15","1","","3","3","8","1","","","1","1","9","7","8","11","1","281","157","","","3","","13","1","18","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","3","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
37187,NA,NA,1285,"25084","4","2","","","","","","1, 16","1","","2","3","9","2","","","2","","16","11","9","12","6","398","218","","","2","","9","3","12","","1","3","1","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37361,NA,NA,1291,"25084","4.5","1","","2","1","","","1, 15","","","2","7","6","1","3","","1","1","5","16","13","14","11","445","341","","","2","","10","4","12","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37477,NA,NA,1295,"25084","6","","","2","","","","1, 12","","","","6","7","1","3","1","2","","8","22","12","14","2","482","227","","","2","","12","6","17","","2","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
37652,NA,NA,1301,"25084","4.5","2","","","1","","","1, 2, 13","","","","8","6","3","","","5","","4","14","13","12","7","421","260","1","","7","","5","2","20","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37768,NA,NA,1305,"25084","5.5","","","","","","","2, 3, 5","","","3","3","13","","1","","1","","7","10","17","17","10","370","194","","","1","","12","6","24","","2","1","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
37942,NA,NA,1311,"25084","4","","","4","3","","","1, 15","","","1","7","8","","2","","3","","9","18","19","4","2","495","551","","","2","","7","3","12","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38059,NA,NA,1315,"25084","4.5","2","","2","","","","2, 23","","","1","6","3","","3","","2","","","24","13","13","7","577","796","","","3","","15","5","7","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
38367,NA,NA,1325,"25084","4","","","3","","","","1, 3, 19","","","1","11","5","1","5","1","9","","","14","15","11","6","354","1085","","","6","","5","2","15","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
38649,NA,NA,1331,"25084","9","2","","9","","","","1, 2, 5, 6","","1","","3","7","1","2","","","","3","17","6","7","2","283","223","1","","6","","42","1","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38836,NA,NA,1335,"25084","4","3","","4","","","","1, 6","","","3","4","18","2","3","","","","","10","1","5","1","220","283","","","7","","47","1","12","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38930,NA,NA,1337,"25084","5","5","","7","1","","","1, 9","","","3","3","28","3","5","","","","","9","3","8","","404","834","","","10","","38","","10","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
39118,NA,NA,1341,"25084","3.5","1","1","4","","","","1, 8","","","1","3","12","1","1","","1","","","8","1","6","2","377","828","","","11","","39","1","13","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
39306,NA,NA,1345,"25084","4.5","","","3","","","","1, 10","","","3","4","26","1","3","","","","1","13","2","4","6","373","540","","","5","","43","","6","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
39588,NA,NA,1351,"25084","3","2","","1","","","","1, 8","","","2","3","17","1","4","","","","","9","","7","4","271","1255","","","18","","33","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
