"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Pediastrum","Betula","Polygonum aviculare-type","Ranunculus undiff.","Brassicaceae","Mentha-type","Rhamnus","Sparganium","Plantago maritima","Daphne","Teucrium","Ephedra distachya-type","Ephedra fragilis-type","Ranunculus arvensis","cf. Tsuga","cf. Gentianella-type","Gundelia-type","Pteridium","Picea","Alnus","Fraxinus","Ranunculus acris-type","Hippophaë","Hypericum","Salix","Bistorta officinalis-type","Helianthemum","Urtica-type","Liliaceae","Juniperus","Centaurea solstitialis","Sanguisorba minor-type","Potamogeton","Tamarix","Caryophyllaceae","Thalictrum","Apiaceae","Rosaceae","Pistacia","Filipendula","Olea","Cyperaceae","Cichorioideae","Galium-type","Quercus coccifera-type","Rumex","Pinus","Indeterminable (broken)","Plantago lanceolata","Juglans","Poaceae (Cerealia)","Bryophyta sensu lato","Asteroideae","Amaranthaceae","Artemisia","Quercus","Poaceae","Lycopodium spike","Myriophyllum","Tilletia","Acer","Centaurea cyanus","Cousinia-type","Onosma","Fabaceae","Plantago undiff.","Botryococcus","Centaurea undiff.","Polygonum sensu lato undiff.","Ulmus","Sisyrinchium","Polypodiaceae","Bupleurum","Indeterminable (unknown)","Tilia","Carpinus","Polygonum oxyspermum","Corylus","Abies","Lamiaceae","Papaver","Carpinus orientalis","Prunus-type","Secale","Carpinus betulus","Fagus","Cannabis-type","Herniaria-type","Onobrychis","Allium","Castanea","Anemone coronaria-type","Campanulaceae","Hedera","Turgenia","Potentilla-type","Vitis","Dipsacoideae","Symphytum","Ericaceae","Erodium","Tetraëdron","Cedrus","Populus","Typha angustifolia","Euphorbia","Hydrocharitaceae","Ranunculus parviflorus","cf. Acanthaceae","Saxifraga","Scrophulariaceae","Plumbaginaceae","Sanguisorba officinalis","Eryngium","Leontice","Platanus","Fagopyrum","Utricularia","Papaveraceae","Pleurospermum","Linum","Knautia","Pulmonaria-type","Succisa-type","Atraphaxis","Armeria","Plantago coronopus","Persicaria maculosa-type","Iridaceae","Rheum","Aesculus","Capsicum-type","Bongardia","Boraginaceae","Echium"
12934,NA,NA,533.3,9574,NA,13,7,NA,9,NA,NA,NA,NA,NA,NA,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,4,NA,NA,NA,NA,1,6,NA,9,4,16,2,2,NA,NA,5,5,5,3,5,3,5,NA,NA,6,8,24,198,34,9,132,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13094,NA,NA,541,16048,123,32,10,1,17,NA,NA,4,NA,NA,NA,39,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,4,1,3,NA,1,1,4,1,10,15,54,2,NA,2,2,5,6,5,1,3,2,16,1,NA,13,6,39,465,118,23,104,295,1,NA,NA,5,NA,NA,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13259,NA,NA,549,20689,40,29,8,5,19,NA,1,1,NA,NA,NA,31,3,NA,NA,1,NA,NA,1,1,1,NA,NA,1,5,NA,3,NA,3,NA,4,NA,1,5,11,14,98,1,11,1,4,5,7,6,1,6,1,10,NA,NA,28,12,36,362,118,34,172,236,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13425,NA,NA,557,17735,3,24,7,NA,4,NA,NA,1,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,4,1,1,NA,NA,NA,1,NA,1,NA,3,12,41,4,3,10,NA,8,5,3,NA,2,1,25,3,NA,14,12,36,164,48,9,97,148,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13590,NA,NA,565,15885,NA,18,6,NA,20,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,3,NA,5,NA,2,NA,3,NA,4,NA,19,13,80,6,3,3,NA,3,4,9,NA,5,4,25,NA,NA,32,13,58,310,95,13,103,520,NA,NA,NA,8,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
13755,NA,NA,573,10279,1,9,2,NA,11,NA,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,NA,1,NA,NA,1,NA,NA,2,3,3,12,34,5,NA,1,NA,2,1,1,NA,6,1,8,NA,NA,11,9,20,186,60,5,73,221,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13921,NA,NA,581,21826,18,9,8,NA,11,NA,2,1,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,2,NA,3,2,NA,NA,1,1,3,19,19,6,3,NA,NA,4,6,3,NA,4,NA,11,3,NA,18,10,23,151,53,8,102,106,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14086,NA,NA,589,13967,5,18,9,5,15,NA,NA,14,NA,NA,NA,25,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,15,NA,NA,NA,NA,NA,1,NA,4,NA,2,23,73,5,4,6,NA,4,6,7,NA,2,5,25,NA,NA,30,42,67,344,110,13,132,309,NA,NA,1,2,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14252,NA,NA,597,32580,14,3,2,NA,2,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,3,NA,2,15,14,1,NA,NA,2,3,4,1,NA,2,1,13,5,NA,14,NA,27,240,59,1,107,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
14417,NA,NA,605,4041,33,1,2,1,3,NA,NA,NA,NA,NA,NA,30,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,2,NA,2,NA,3,NA,6,7,4,NA,NA,5,NA,NA,NA,14,NA,37,278,103,3,182,822,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14576,NA,NA,613,12643,13,NA,3,NA,1,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,5,2,1,NA,1,NA,4,4,1,NA,NA,1,13,1,NA,19,3,15,202,183,1,71,201,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14727,NA,NA,621,4617,26,3,1,NA,4,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,3,16,1,NA,NA,6,22,NA,NA,21,11,40,224,82,1,179,1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
14878,NA,NA,629,3603,31,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,NA,2,1,1,NA,NA,3,NA,2,10,5,NA,NA,5,17,NA,NA,14,14,17,150,51,NA,135,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15029,NA,NA,637,9291,16,1,3,NA,5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,8,9,NA,NA,NA,NA,4,6,2,NA,NA,2,12,1,NA,10,5,8,202,109,1,82,242,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15180,NA,NA,645,8306,26,5,4,NA,8,NA,NA,2,NA,NA,NA,16,1,NA,NA,NA,1,NA,1,NA,NA,1,2,7,NA,NA,2,1,NA,NA,NA,NA,2,NA,NA,3,10,1,NA,5,NA,8,7,3,2,NA,1,22,NA,NA,26,7,38,397,271,2,168,575,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
15331,NA,NA,653,3001,24,5,NA,3,4,NA,NA,NA,NA,NA,NA,16,2,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,8,3,NA,NA,NA,14,16,1,NA,NA,5,10,NA,1,50,NA,17,354,74,2,129,1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15482,NA,NA,661,23952,16,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,4,2,NA,NA,NA,2,NA,NA,7,14,16,6,NA,3,NA,5,1,3,NA,NA,1,7,NA,NA,28,NA,11,250,192,3,56,122,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15633,NA,NA,669,5673,16,3,5,1,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,5,2,NA,1,2,NA,4,7,NA,NA,NA,2,12,NA,NA,32,NA,14,220,77,1,53,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15784,NA,NA,677,1738,47,3,1,2,3,NA,NA,4,NA,NA,NA,17,5,NA,NA,NA,1,NA,NA,1,NA,NA,1,4,NA,NA,NA,NA,2,1,NA,NA,NA,NA,4,2,2,1,NA,NA,NA,9,24,2,NA,1,13,7,NA,NA,34,6,22,181,42,2,157,3064,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15935,NA,NA,685,5365,50,5,1,NA,3,NA,NA,1,NA,NA,NA,10,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,1,NA,4,4,3,1,NA,NA,NA,8,17,3,NA,NA,4,21,1,NA,21,7,21,438,239,1,179,865,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16086,NA,NA,693,20544,16,3,1,2,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,NA,NA,NA,1,7,1,NA,NA,NA,5,NA,NA,5,1,17,222,137,NA,56,109,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16237,NA,NA,701,7383,23,1,NA,1,4,NA,NA,3,NA,NA,NA,9,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,11,2,2,3,NA,2,NA,1,NA,1,NA,9,5,13,2,NA,11,NA,6,9,10,NA,1,5,26,NA,NA,17,14,24,373,205,2,89,538,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
16388,NA,NA,709,10781,11,NA,2,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,1,NA,NA,2,1,1,2,NA,NA,NA,1,10,NA,NA,6,3,10,216,155,NA,62,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
16539,NA,NA,717,1407,107,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,27,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,5,29,NA,NA,NA,10,NA,NA,NA,14,NA,28,143,56,2,179,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16690,NA,NA,725,6848,9,4,2,NA,2,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,3,1,NA,NA,NA,2,6,NA,NA,NA,2,12,NA,NA,9,5,19,180,142,NA,43,300,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16841,NA,NA,733,6662,17,3,NA,NA,9,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,1,NA,NA,NA,NA,1,NA,4,10,10,1,NA,2,NA,11,6,5,NA,NA,1,30,NA,1,18,4,26,324,212,3,125,1152,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16992,NA,NA,741,5378,57,1,2,2,7,NA,NA,1,NA,NA,NA,7,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,3,NA,2,NA,3,4,4,3,NA,2,NA,9,17,3,NA,NA,7,25,NA,NA,19,13,31,436,172,1,211,856,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17143,NA,NA,749,7490,22,2,1,NA,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,2,1,NA,NA,6,7,1,NA,NA,NA,8,NA,NA,6,4,6,200,97,NA,103,170,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17294,NA,NA,757,8919,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,8,3,1,1,NA,NA,1,8,3,1,NA,2,8,NA,NA,4,3,7,200,137,1,55,237,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
17445,NA,NA,765,4207,34,1,NA,2,2,NA,NA,2,NA,NA,NA,6,NA,NA,NA,8,NA,NA,2,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,13,10,1,NA,2,6,9,NA,1,39,NA,20,336,145,2,80,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
17596,NA,NA,773,8904,44,1,NA,1,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,5,2,2,NA,2,NA,2,16,NA,NA,3,7,11,NA,1,26,NA,23,370,234,NA,77,420,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
17748,NA,NA,781,5966,7,1,1,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,NA,4,5,4,3,NA,2,NA,NA,8,2,NA,NA,2,7,NA,NA,12,5,9,240,138,NA,34,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17899,NA,NA,789,7511,42,1,NA,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,14,4,1,NA,3,NA,2,15,2,NA,NA,6,26,NA,NA,17,12,12,252,149,1,112,793,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
