"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Euphorbia","Prunus-type","Rhus","Rumex acetosa-type","Filipendula","Brassica-type","Ephedra distachya-type","Plantago coronopus-type","Silene-type","Armeria/Limonium","Phillyrea latifolia","Filago-type","Plantago cylindrica-type","Ranunculus asiaticus-type","Turgenia-type","Pteridium","Vitis","Alnus","Cedrus","Olea","Centaurea scabiosa-type","Plantago maritima-type","Malabaila","Unknown","Picea","Platanus","Polygonum aviculare-type","Apiaceae","Spinacia-type","Dryopteris-type","Plantago lanceolata-type","Sanguisorba-type","Ranunculus repens-type","Betula","Sparganium-type","Galium-type","Sambucus","Thalictrum","Cichorioideae","Cyperaceae","Senecio-type","Caryophyllaceae","Centaurea solstitialis-type","Matricaria-type","Poaceae (Cerealia-type)","Juglans","Poaceae","Amaranthaceae","Artemisia","Pinus","Quercus cerris-type","Ericaceae","Rhododendron","Ulmus","Acer","Ranunculaceae","Carpinus betulus","Tamarix","Hippophaë","Delphinium-type","Cirsium/Gundelia","Cousinia","Ephedra fragilis-type","Quercus coccifera-type","Urtica dioica-type","Chardinia","Cynoglossum","Pimpinella-type","Pistacia","Bunium-type","Dipsacus-type","Rosaceae","Abies","Eryngium-type","Artemisia vulgaris-type","Ostrya/Carpinus orientalis","Scilla-type","Plantago major-type","Fraxinus ornus","Castanea","Gentiana","Echinops","Plantago media-type","Thymus/Mentha","Anisosciadium-type","Phlomis","Gossypium","Salix","Juniperus","Geranium","Viola","Helianthemum","Centaurea cyanus-type","Noaea-type","Ranunculus arvensis-type","Arctium/Jurinea","Colchicum","Ferula-type","Psylliostachys","Inula-type","Isoëtes","Cupressaceae","Lonicera","Primulaceae","Convolvulus","Daphne","Teucrium","Asparagus-type","Rheum","Fagus","Nymphaea","Taxus","Asphodelus","Scorzonera-type","Allium","Fraxinus excelsior","Scrophularia/Verbascum","Atropa","Unknown (trilete)","Cheilanthes","Lycopodium","Typha latifolia","Pterocarya","Digitalis","Aquilegia-type","Atraphaxis","Valeriana","Fabaceae","Stachys-type","Valerianella","Hypericum perforatum-type","Datisca","Scabiosa columbaria-type","Thesium","Trifolium-type","Lomelosia rotata-type","Caltha","Epilobium","Prunella-type","Onopordum-type","Lycium-type","Calligonum","Fagopyrum","Thelypteris palustris","Potentilla-type","Capsella-type","Asteroideae","Genista-type","Bupleurum-type","Loranthus","Rumex patientia var. kurdicus","Pseudopediastrum boryanum","Potamogeton","Prosopis","Solanum dulcamara","Mercurialis annua","Carthamus","Pediastrum undiff.","Haplophyllum","Syringa","Alisma","Anemone","Jasione-type","Onobrychis-type","Ranunculus sect. Batrachium-type","Ophioglossum","Plantago tenuiflora-type","Sisyrinchium","Rhamnus","Populus","Symphytum-type","Glaucium","Linum","Vicia-type","Crataegus-type","Heliotropium-type","Asperula-type","Halothamnus-type","Cistus","Secale","Tilia","Rhynchospora-type","Leontice leontopetalum","Frangula","Campanula-type","Maianthemum","Humulus/Cannabis","Spergularia-type","Malva","Plantaginaceae undiff.","Bongardia","Tribulus","Matthiola","Fontanesia phillyreoides","Botrychium","Sphagnum","Menyanthes trifoliata","Melampyrum","Lotus-type","Carduus-type","Cornus mas","Celtis","Xanthium","Anchusa/Pulmonaria","Centaurium-type","Ranunculus sceleratus-type","Echium-type","Theligonum","Rhinanthus-type","Hyoscyamus","Papaver","Agrimonia","Myriophyllum spicatum/M. verticillatum","Crassulaceae","Myriophyllum alterniflorum","Asphodeline","Aruncus","Lythrum","Crupina","Butomus umbellatus","Lithospermum-type","Knautia","Adonis","Persicaria maculosa-type","Rumex hydrolapathum","Saxifraga oppositifolia","Polygonaceae","Sanguisorba officinalis","Reaumuria","Centranthus","Aesculus"
6548,6894,6230,460,5,1,NA,NA,NA,2,4,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,4,1,1,NA,1,15,4,4,NA,15,1,35,4,2,1,5,12,8,21,12,11,63,69,NA,57,124,74,45,687,NA,NA,3,2,NA,NA,NA,NA,1,2,1,5,NA,NA,NA,1,NA,21,1,NA,NA,2,NA,NA,12,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6704,7038,6386,470,NA,NA,NA,NA,3,4,1,9,1,NA,NA,NA,1,NA,1,4,NA,NA,4,1,NA,1,NA,5,1,NA,NA,5,7,NA,5,2,16,1,42,4,10,NA,13,14,4,24,15,11,42,57,NA,71,116,133,26,437,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,14,7,NA,NA,1,4,NA,18,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6863,7189,6549,480,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,3,1,NA,2,1,1,NA,11,NA,NA,NA,1,11,9,9,8,15,12,35,NA,23,12,8,23,149,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,1,NA,NA,NA,1,NA,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7024,7342,6716,490,2,1,3,NA,NA,1,2,21,NA,1,NA,NA,1,NA,NA,7,NA,NA,4,7,NA,1,2,NA,3,1,NA,9,14,2,9,NA,19,2,42,2,2,NA,5,33,15,29,23,53,65,77,NA,81,124,105,61,420,NA,NA,3,2,NA,1,NA,NA,NA,4,1,5,1,1,1,NA,NA,38,1,1,NA,2,3,NA,10,1,NA,NA,NA,NA,1,NA,1,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7186,7492,6879,500,7,1,4,NA,4,7,4,20,NA,1,NA,NA,NA,NA,NA,13,NA,5,5,NA,2,4,1,7,2,NA,NA,9,17,2,8,1,19,6,86,5,12,NA,8,30,14,36,22,25,82,65,NA,150,178,233,51,374,NA,NA,1,2,NA,4,1,NA,1,2,3,3,NA,NA,NA,NA,1,45,19,NA,NA,1,8,NA,9,2,1,NA,1,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7347,7642,7037,510,1,1,NA,NA,NA,1,5,30,NA,2,NA,NA,1,NA,1,6,NA,1,6,1,NA,5,NA,4,1,NA,NA,14,12,1,12,2,12,2,31,3,2,NA,10,49,29,32,21,23,71,62,NA,125,109,78,47,311,NA,NA,2,2,NA,4,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA,59,7,1,NA,NA,5,NA,17,1,NA,NA,NA,NA,3,NA,NA,6,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7507,7794,7195,520,3,NA,NA,NA,NA,NA,2,20,2,NA,NA,NA,2,NA,1,5,NA,2,3,3,NA,1,3,3,1,NA,NA,18,18,1,8,NA,18,1,35,2,4,1,11,26,13,41,15,24,59,57,NA,98,165,125,27,239,NA,NA,2,1,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,48,6,NA,NA,1,3,NA,12,NA,1,NA,NA,NA,1,NA,1,4,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7666,7945,7353,530,4,NA,NA,NA,7,NA,6,6,NA,NA,NA,NA,NA,NA,1,3,NA,1,3,1,NA,5,1,6,3,NA,NA,6,4,NA,5,3,10,2,39,3,4,NA,8,23,24,33,15,15,58,34,NA,215,115,113,8,215,NA,NA,1,4,NA,1,NA,NA,1,NA,NA,4,1,NA,NA,NA,1,33,12,NA,NA,NA,3,NA,7,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7821,8096,7511,540,NA,NA,3,NA,1,1,9,23,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,2,2,NA,NA,2,2,1,NA,9,19,NA,7,2,5,3,68,2,5,1,15,44,22,29,13,16,58,57,NA,276,117,133,20,211,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,4,1,NA,NA,1,2,43,12,1,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7974,8246,7665,550,NA,1,2,NA,1,1,3,13,NA,NA,NA,NA,1,NA,NA,3,1,2,1,1,NA,1,NA,4,2,NA,NA,5,13,NA,2,4,2,3,55,3,18,NA,14,22,15,34,10,30,72,47,NA,276,129,118,11,128,NA,NA,1,1,NA,1,NA,NA,NA,2,1,1,NA,NA,1,NA,NA,36,9,NA,NA,NA,2,NA,5,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,1,NA,3,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8123,8397,7814,560,1,2,NA,NA,4,1,7,35,NA,2,NA,NA,1,NA,NA,3,1,1,2,3,1,1,NA,4,2,2,NA,25,26,NA,2,2,3,2,31,2,9,NA,9,34,26,28,17,22,87,69,1,198,218,156,9,101,NA,NA,NA,NA,NA,6,NA,NA,NA,2,4,5,NA,NA,NA,NA,NA,26,7,NA,NA,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,2,5,NA,NA,2,NA,NA,NA,1,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8269,8545,7960,570,2,NA,2,NA,1,1,5,44,NA,NA,1,NA,1,NA,NA,8,NA,2,5,3,2,1,2,3,2,NA,NA,9,39,5,8,2,1,1,45,NA,10,NA,16,170,12,37,13,29,75,59,NA,116,295,199,24,173,NA,NA,2,2,NA,2,NA,1,NA,NA,1,6,NA,NA,NA,NA,NA,14,8,NA,NA,1,1,NA,8,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,35,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,6,NA,NA,NA,2,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8411,8688,8100,580,2,NA,NA,NA,4,NA,10,36,NA,NA,NA,NA,NA,NA,NA,8,NA,2,1,4,NA,11,1,2,2,NA,NA,19,22,4,1,NA,NA,4,32,8,10,NA,22,41,33,43,14,29,69,55,NA,115,303,88,10,164,NA,NA,1,3,NA,3,NA,NA,NA,2,1,8,NA,NA,NA,NA,1,18,14,1,NA,1,5,NA,15,3,NA,NA,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,NA,1,NA,1,NA,3,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,1,63,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8548,8825,8236,590,NA,NA,NA,NA,9,NA,16,50,NA,NA,NA,NA,NA,NA,1,6,NA,1,2,NA,NA,3,1,7,4,NA,NA,16,19,NA,3,2,1,1,25,4,6,NA,9,40,13,55,10,20,68,24,NA,207,260,100,3,128,NA,NA,3,1,NA,NA,2,NA,NA,1,NA,12,NA,NA,NA,1,5,41,43,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,1,1,NA,NA,NA,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,1,2,NA,NA,NA,2,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8810,9083,8495,610,NA,1,NA,NA,NA,NA,8,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,5,NA,NA,NA,15,55,NA,1,1,NA,NA,16,5,2,NA,18,25,14,27,9,19,53,47,NA,60,352,117,5,87,NA,NA,NA,NA,NA,NA,1,3,NA,2,5,3,NA,NA,NA,NA,NA,9,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
8933,9204,8619,620,NA,NA,NA,NA,NA,NA,2,63,NA,1,NA,NA,NA,NA,NA,6,NA,1,NA,2,NA,1,NA,NA,2,1,NA,8,27,NA,NA,NA,NA,NA,15,1,NA,NA,5,6,2,7,10,12,16,16,NA,16,401,112,9,45,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
9050,9319,8741,630,1,NA,NA,NA,1,NA,5,39,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,2,1,2,NA,16,13,NA,NA,NA,NA,NA,12,9,2,NA,7,9,3,5,5,18,22,59,NA,41,374,47,42,76,NA,NA,NA,1,NA,NA,NA,1,NA,4,2,1,NA,NA,1,NA,NA,2,1,1,NA,2,NA,NA,4,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,2,1,NA,2,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9162,9428,8858,640,NA,NA,NA,NA,NA,NA,8,40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,7,42,NA,NA,NA,NA,NA,12,4,2,NA,15,3,3,5,8,7,20,32,NA,21,568,192,3,33,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
