"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Typha latifolia","Ulmus","Vitis","Fabaceae","Rosaceae","Vicia-type","Carpinus betulus","Valerianella","Phillyrea","Centaurea cyanus-type","Ephedra fragilis-type","Apium-type","Scilla-type","Polygonum cognatum-type","Quercus cerris-type","Ranunculus sceleratus-type","Turgenia-type","Selaginella","Salix","Thalictrum","Filago-type","Aquilegia-type","Sanguisorba minor/Poterium","Indeterminable","Equisetum","Taxus","Apiaceae","Trifolium-type","Ephedra distachya-type","Butomus","Thymus/Mentha-type","Poaceae (Cerealia-type)","Symphytum-type","Abies","Senecio-type","Brassica-type","Fraxinus ornus","Cirsium/Gundelia-type","Galium-type","Plantago lanceolata-type","Caryophyllaceae","Centaurea solstitialis-type","Polygonum aviculare-type","Artemisia herba-alba-type","Matricaria-type","Cedrus","Amaranthaceae","Juniperus","Poaceae","Sparganium-type","Cichorioideae","Dryopteris-type","Pinus","Cyperaceae","Castanea","Corylus","Fagus","Tilia","Lythrum","Juglans","Alisma","Helianthemum","Delphinium-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Quercus coccifera-type","Asparagus-type","Bellis-type","Maianthemum","Scorzonera-type","Spinacia-type","Scabiosa palestina-type","Cheilanthes","Anthoceros laevis-type","Olea","Ophioglossum","Pteridium","Alnus","Arceuthobium","Cladium","Elaeagnus","Euphorbia","Malvaceae","Xanthium","Lemna","Potamogeton","Lysimachia","Rumex acetosa-type","Plantago major-type","Knautia","Artemisia vulgaris-type","Mercurialis annua","Acanthus","Arctium-type/Jurinea","Botrychium","Isoëtes","Triletes","Ericaceae","Daphne","Centaurea scabiosa-type","Fallopia convolvulus-type","Moltkia","Nymphaea","Onopordum-type","Carya","Ranunculus arvensis-type","Hydrocharis","Cousinia","Ranunculus repens-type","Cercis","Plantago coronopus-type","Aristolochia","Sphagnum","Humulus/Cannabis","Anthriscus-type","Centaurea jacea-type","Inula-type","Cupressus","Eryngium-type","Spergularia-type","Rumex hydrolapathum","Amaranthus-type","Geranium","Nuphar","Primula","Hypericum perforatum-type","Urtica dioica-type","Asteroideae","Persicaria amphibia","Malva","Heracleum-type","Teucrium","Epilobium","Persicaria maculosa-type","Crataegus-type","Liquidambar","Campanula-type","Sorbus-type","Plantago maritima-type","Hippuris","Capsella-type","Bunium-type","Juniperus sabina","Carthamus","Andrachne","Potentilla-type","Leontice","Scrophularia/Verbascum-type","Stachys-type","Matthiola","Sambucus nigra-type","Carduus-type","Hippocrepis-type","Ononis-type","Rhinanthus-type","Datisca","Sambucus ebulus","Ranunculaceae","Populus","Filipendula","Tribulus","Asperula-type","Platanus","Oleaceae","Fontanesia","Silene-type","Anisosciadium-type","Convolvulus","Papaver","Ferula-type","Crupina","Ilex","Acer","Gentiana","Plantaginaceae","Noaea-type","Adonis","Osmunda","Valeriana","Rheum","Pistacia","Lotus-type","Nigella","Echium-type","Melampyrum","Rosa-type","Centaurea","Salvia","Lilium","Hedysarum/Ebenus","Myrtus","Prunus-type","Prunella-type","Capparis","Phlomis","Reseda","Styrax","Digitalis","Hottonia","Halothamnus-type","Viola","Hedera","Veronica","Cytisus sect. Spartopsis","Scutellaria","Asphodeline","Clematis-type","Echinops","Dipsacus-type","Malus-type","Bongardia","Bupleurum-type","Ceratocephala-type","Lycopodium","Allium","Glaucium","Cotoneaster","Roemeria","Celtis","Fagopyrum","Ranunculus sect. Batrachium-type","Caltha","Scabiosa columbaria-type","Descurainia","Cotinus","Scabiosa","Ranunculus asiaticus-type","Plantago media-type","Paliurus","Menyanthes","Cuscuta","Cryptogramma","Rhynchospora-type","Boraginaceae","Calystegia","Hibiscus","Huperzia selago","Homogyne/Tussilago-type","Polypodium","Tulipa-type","Pterocephalus-type","Bistorta officinalis-type","Fraxinus excelsior","Impatiens","Verbena","Linum","Secale","Anagallis","Hypericum assyrianum-type","Brassicaceae","Aesculus","Centranthus","Plantago tenuiflora-type","Primula veris","Sisyrinchium","Succisa","Theligonum cynocrambe","Liliaceae","Malabaila","Myrica","Sanguisorba officinalis"
8360,NA,NA,460,2,5,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2,NA,NA,4,1,NA,11,1,NA,4,23,13,22,38,196,2,4,13,39,46,182,136,31,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8585,NA,NA,470,5,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,3,NA,1,NA,NA,5,NA,NA,38,3,NA,9,NA,NA,3,18,16,47,64,113,6,10,48,78,15,171,66,32,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8811,NA,NA,480,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,3,NA,NA,3,7,NA,10,2,NA,6,22,13,39,41,72,4,11,61,129,33,97,30,105,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9034,NA,NA,490,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4,1,1,3,11,8,7,31,261,3,5,69,141,33,315,125,137,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9257,NA,NA,500,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,4,NA,NA,NA,1,NA,1,2,1,3,9,5,8,24,248,1,5,61,80,29,404,137,146,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9929,NA,NA,530,3,8,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,2,NA,4,6,NA,NA,2,NA,NA,16,23,13,21,54,116,4,5,43,52,203,299,189,121,NA,3,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10153,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,12,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,2,18,15,17,34,41,4,14,26,41,47,101,100,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10599,NA,NA,560,1,10,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,1,4,NA,NA,1,3,NA,6,NA,NA,1,34,22,20,67,21,6,18,18,63,37,42,45,72,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
11050,NA,NA,580,NA,11,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,2,3,NA,8,NA,NA,5,81,27,25,107,29,2,18,18,35,83,64,108,72,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11500,NA,NA,600,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,8,1,2,NA,NA,13,NA,NA,2,NA,NA,NA,5,NA,4,NA,NA,1,NA,NA,11,1,NA,14,NA,NA,4,131,33,20,204,20,18,24,9,9,80,54,46,63,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11945,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,NA,NA,1,1,NA,NA,2,1,NA,NA,6,NA,5,NA,1,3,NA,NA,10,NA,NA,18,4,NA,7,112,47,40,239,36,123,40,23,23,116,93,99,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,4,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,1,2,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
12397,NA,NA,640,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,1,NA,8,NA,NA,2,56,19,12,195,2,69,14,16,50,80,131,30,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12844,NA,NA,660,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,44,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,5,NA,NA,1,1,NA,8,1,NA,7,60,24,27,170,12,22,35,37,243,36,173,67,34,NA,4,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13291,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,1,NA,NA,5,NA,1,12,NA,NA,21,NA,NA,5,18,31,7,95,37,3,2,15,11,27,39,224,18,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13740,NA,NA,700,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,10,NA,NA,28,NA,NA,2,20,NA,1,37,8,3,1,6,2,55,17,135,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
