"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
2648,NA,NA,225.5,"","","1","","","","","","","3","","","2","","","4","1","3","1","","","","2","","1","","3","2","28","","3","1","23","1","3","","3","33","41","69","28","105","","","","","2","2","","1","4","","","","","","","","3","2","","1","13","","","","","","","2","","","","","","4","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2823,NA,NA,236,"","","","","1","","","","","","","","3","","","11","1","6","1","","1","","","2","","","","1","46","","2","","82","2","3","","1","19","28","23","34","32","","","","","1","1","","","","","1","","","","","","4","","","","23","","","","3","3","4","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2981,NA,NA,245.5,"1","","1","","1","","","","","1","","","","","","6","2","2","","","","","1","1","1","1","1","2","68","","1","1","61","1","3","","","24","48","72","10","58","","1","","1","2","2","","2","1","1","","","","","1","","3","","","2","11","","2","","","","","1","","","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3132,NA,NA,254.6,"","","3","","","","","","","","","","4","","","18","","4","","","","","","3","","","1","","24","8","","","31","1","1","1","","8","27","127","12","132","","","","","","","","7","1","","","","","","","","1","","","","8","","","","5","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3314,NA,NA,265.5,"","","","","","3","","1","","","","2","4","","","36","","11","1","","","","1","3","","","1","","58","10","1","","27","1","4","","","29","66","52","25","26","","1","","","","1","","4","2","1","","","","","1","","5","1","","1","30","","","","","","","","","","","","","19","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3425,NA,NA,273.3,"","","2","","","","","","","","","","7","","","33","","19","2","","2","","","9","","","1","1","19","","1","","16","1","1","","2","18","44","126","19","104","","","","","1","","1","8","1","","1","","","","","","12","","","","24","","","","11","","","1","","1","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3456,NA,NA,275.5,"","","1","","2","","","","","","","","5","","","25","","27","","","2","","","2","2","1","1","","27","5","","1","11","1","2","","1","20","47","86","13","65","","1","","","1","1","","4","","","","","1","","2","","3","","","1","10","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4018,NA,NA,315.5,"","","1","","","1","","","","2","2","1","","","","24","","13","","","3","2","1","1","","","1","","29","16","1","","10","","4","1","","10","67","47","16","106","","3","","","2","1","","4","","","1","1","","","","","","","","1","14","","","","","","","","","","","","","13","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4043,NA,NA,319.3,"","","2","","","","","","","","","","4","","","32","","27","2","","","","","4","","","4","1","25","1","1","","19","","2","","3","9","47","53","19","124","","","","","2","","","5","1","","2","","","","","","2","","","2","30","","","","2","6","3","","2","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4050,NA,NA,320.5,"1","","","","","","","1","","","","","","","","9","","9","2","","2","4","4","12","","2","3","","21","","3","","27","1","5","1","1","6","36","25","9","125","","","","","","1","","","","","","","1","","1","","3","1","1","1","27","","","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4175,NA,NA,330.7,"","","2","","","","","","","","","","2","","","26","","4","3","","","","","","","","5","1","21","1","","","29","2","5","","","9","40","127","24","110","","","","","","","","4","1","","","","","","","","","","","","5","","","","1","1","4","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4257,NA,NA,337.4,"","","2","","","","","","","","","","1","","","37","1","8","3","","2","","","8","","","1","1","40","1","2","","30","2","9","","1","22","79","67","15","145","","","","","4","","","","","","","","","","","","5","","","","44","","","","8","","1","","2","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4331,NA,NA,343.4,"","","1","","","","","","","","","","12","","","51","","24","8","","","","","26","","","4","1","39","","1","","12","1","6","2","1","11","60","149","23","131","","","","","","","","5","2","","","","","","","","5","","","","44","","","","11","3","1","","1","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4342,NA,NA,344.2,"","","4","","","","","","","","","","1","","","43","","7","2","","2","","","5","","","1","","15","1","1","","9","1","2","","1","6","33","63","14","134","","","","","2","","","6","","","2","","","","","","8","","","","6","","","","4","3","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4446,NA,NA,352.7,"","","6","","","","","","","","","","4","","","30","","17","","","3","","","10","","","5","","34","4","1","","26","","3","","1","15","71","98","9","120","","","","","5","4","","4","","","","","","","","","","","","1","37","","","","3","2","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4581,NA,NA,363.7,"","","3","","","","","","","","","","2","","","42","","5","4","","3","","2","5","","","3","1","23","3","4","","16","2","6","","1","15","44","101","10","138","","","","","","1","","2","3","","","","","","","","4","","","2","38","","","","2","2","","","1","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4662,NA,NA,370.3,"","","1","","","","","","","","","","2","","","38","1","5","1","","2","","","13","","","2","","21","4","1","","16","","2","","1","18","30","81","8","110","","","","","3","","","3","1","","1","","","","","","4","","","1","30","","","","4","","1","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4810,NA,NA,382.3,"","","","","","","","","","","","","4","","","30","","6","2","","1","","","3","","","","","20","","3","","10","","2","","","6","40","116","6","114","","","","","2","1","","4","","","","","","","","","2","","","","37","","","","4","2","2","","2","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4916,NA,NA,391,"","","4","","","","1","","","","","","6","","","39","","10","1","","","","","8","","","3","","18","2","","","9","","4","","","19","33","112","15","199","","","","","","","1","6","3","","1","","","","","","3","","","","19","","","","8","1","","1","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4943,NA,NA,393.2,"","","7","","","","","","","","","","3","","","34","1","10","2","","","","","9","","","2","2","11","","3","","16","","3","","","13","24","105","12","107","","","","","1","","","","","","","","","","","","5","","","","3","","","","1","1","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5013,NA,NA,398.9,"","","2","","","","","","","","","","3","","","24","1","9","","","","","","6","","","2","","27","7","","","15","","2","","1","8","25","117","11","136","","","","","1","1","","3","","","","","","","","","4","","","","22","","","","2","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5144,NA,NA,409.5,"","","","","","","1","","","","","","1","","","23","1","8","3","","","","","7","","","1","","26","","","","75","1","2","","","13","54","185","22","145","","","","","3","1","1","4","2","","1","","","","","","2","","","","9","","","","2","","4","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5334,NA,NA,425,"","","4","","","","","","","","","","","","1","6","1","4","2","","1","1","","3","","6","6","","15","","6","","39","","5","","1","5","37","82","15","94","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5345,NA,NA,425.7,"","","","","","","","","","","","","4","","","20","","5","","","","","","6","","","1","2","14","","","","8","","6","","","7","46","120","15","135","","","","","5","","","3","3","","","","","","","","","","","1","15","","","","5","1","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5500,NA,NA,435.8,"","","","","","","","","","","","","1","","","23","","6","1","","1","","","","","","1","3","13","6","1","","34","","3","","1","14","55","99","8","129","","","","","5","1","","1","","","","","","","","","","","","","25","","","","4","","","","1","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5601,NA,NA,442.3,"","","1","","","","","","","","1","","","","","25","","8","","","","","","1","","","","","9","1","","","14","1","2","","4","8","33","122","20","161","","","","","1","","","2","1","","","","","","","","4","","","","18","","","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5640,NA,NA,444.9,"","","3","","","","","","","","","","1","","","43","","2","2","","2","","","8","","","1","","11","2","1","","12","1","5","1","","12","44","165","20","131","","","","","1","","","4","","","1","","","","","","5","","","2","3","","","","3","","1","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5705,NA,NA,449.1,"","","1","","","","","","","","","","1","","","36","","6","","","1","","","","","","3","","9","2","","","10","","1","","","14","40","74","6","165","","","","","6","","","5","","","","","","","","","3","","","","21","","","","2","4","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5815,NA,NA,456.3,"","","1","","","","","","","","","","2","","","20","2","3","1","","1","","","4","","","2","","9","","","","5","1","8","","1","7","36","110","16","143","","","","","2","1","","3","","","","","","","","","2","","","","16","","","","4","2","6","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5942,NA,NA,464.5,"","","","","","","","","","","","","","","","15","","","3","","1","","","15","","","3","2","14","","","","16","","5","1","1","12","39","121","15","141","","","","","3","1","","3","2","","","","","","","","5","","","1","26","","","","10","2","9","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6079,NA,NA,473.4,"","","2","","","","","","","","","","4","","","51","","13","5","","1","","","4","","","2","","18","","","","10","","2","","","12","33","102","22","134","","","","","4","1","","5","","","","","","","","","5","","","","17","","","","6","1","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6165,NA,NA,478.9,"","","5","","","","","","","","","","3","","","31","1","3","","","1","","","4","","","7","2","15","3","","","17","","1","","1","10","46","16","18","152","","","","","5","","","4","3","","","","","","","","3","","","","3","","","","12","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6224,NA,NA,482.8,"","","2","","","","1","","","","","","4","","","52","2","4","1","","","","","1","","","3","","12","4","","","3","","3","","2","12","50","57","9","126","","","","","","","1","1","","","","","","","","","2","","","1","14","","","","4","1","5","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
