"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Potamogeton","Pteridium","Abies","Cyperaceae","Cichorioideae","Rumex","Juniperus-type","Pistacia","Humulus/Cannabis","Plantago lanceolata-type","Filipendula","Olea europaea","Ulmus/Zelkova","Amaranthaceae","Plantago","Phillyrea","Sanguisorba minor-type","Vitis vinifera","Poaceae (Cerealia-type)","Platanus orientalis","Sparganium-type","Juglans regia","Indeterminable (degraded)","Artemisia","Quercus (evergreen)","Brassicaceae","Poaceae","Vaccinium-type","Corylus","Alnus","Ostrya/Carpinus betulus-type","Fagus","Pediastrum","Pinus","Botryococcus","Quercus (deciduous)","Lycopodium spike","Tilia","Ephedra","Rubiaceae","Typha latifolia-type","Sorbus group","Polypodiaceae","Ranunculaceae","Caryophyllaceae","Asteroideae","Fraxinus excelsior-type","Centaurea","Fraxinus ornus","Polygonum aviculare-type","Salix","Urticaceae/Moraceae","Scrophulariaceae","Picea","Myriophyllum","Rosaceae","Loranthus europaeus","Melampyrum","Papaver rhoeas-type","Allium vineale-type","Ballota-type","Hedera","Cistus","Hippophaë rhamnoides","Thalictrum","Fabaceae","Solanaceae","Helianthemum","Plumbaginaceae","Liliaceae sensu lato","cf. Plantago","Indeterminable (immature)","Acer","Ranunculus lanuginosus-type","Mentha-type","Teucrium","Lemnoideae","Celtis","Buxus","Mercurialis","Hypericum perforatum-type","Taxus","Potentilla-type","Populus","Lycopodiella-type","Sambucus","cf. Pterocarya fraxinifolia","Unknown","Linum","Convolvulus arvensis-type","Asteraceae","Selaginella willdenowii","Blackstonia-type","Papaver argemone","Campanulaceae","Salvia-type","Euphorbia","Buglossoides arvensis","Genista group","Cornus","Trifolium","Spiniferites cruciformis","Dipsacus/Cephalaria","Anemone coronaria","Centranthus","Lythrum","Menyanthes trifoliata","Dipsacoideae","Echinops","Herniaria-type","Ligustrum-type","Polycnemum","Rumex aquaticus-type","Ceratonia siliqua","Valeriana","Sanguisorba officinalis","Urtica pilulifera","Adonis aestivalis-type","cf. Ranunculaceae","cf. Phillyrea","cf. Carya","Lamiaceae","Alchemilla group","Arum","Hedysarum","Lomelosia argentea-type","Rhinanthus group"
13110,NA,NA,1054,7,NA,NA,NA,4,6,3,5,NA,NA,2,NA,1,1,2,13,NA,NA,1,NA,NA,NA,26,NA,38,70,2,3,100,NA,1,12,1,NA,24,21,18,239,27,2,NA,9,1,NA,1,2,2,12,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13489,NA,NA,1064,9,NA,NA,NA,5,9,6,2,6,NA,NA,NA,NA,NA,3,15,NA,NA,1,NA,NA,NA,3,NA,41,53,NA,1,96,NA,3,11,1,NA,47,23,49,208,41,1,3,3,NA,NA,NA,1,NA,20,1,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,2,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13867,NA,NA,1074,8,NA,NA,1,7,10,2,1,8,1,NA,NA,1,1,4,22,1,NA,1,NA,2,NA,2,NA,67,56,2,NA,104,NA,2,6,NA,NA,140,65,78,215,63,1,1,NA,NA,NA,NA,NA,1,17,1,6,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14245,NA,NA,1084,8,NA,NA,NA,7,11,7,2,14,NA,NA,NA,NA,NA,1,24,NA,NA,NA,NA,2,NA,6,NA,72,48,1,2,131,NA,1,11,NA,NA,145,94,25,144,79,NA,3,5,NA,1,2,NA,1,24,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14809,NA,NA,1106,25,2,NA,NA,3,12,9,4,6,1,NA,NA,NA,1,1,19,NA,NA,NA,NA,4,NA,9,NA,63,52,1,1,230,NA,1,9,1,NA,37,76,30,55,78,NA,7,3,1,NA,1,1,3,19,1,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,4,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15117,NA,NA,1120,19,1,1,NA,1,11,14,2,17,NA,NA,NA,1,NA,1,131,NA,NA,NA,NA,10,NA,2,NA,109,71,NA,6,200,NA,NA,6,NA,NA,14,31,28,26,120,NA,9,6,1,NA,NA,NA,6,19,NA,2,NA,1,3,NA,1,1,2,2,NA,NA,1,NA,1,NA,NA,6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15337,NA,NA,1130,11,2,NA,NA,3,4,5,1,25,NA,1,NA,NA,NA,NA,69,1,NA,NA,NA,4,NA,NA,NA,39,179,1,4,97,NA,NA,2,NA,NA,11,29,3,21,73,NA,13,1,NA,NA,NA,1,4,17,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15778,NA,NA,1150,20,1,NA,NA,2,7,6,NA,23,NA,NA,NA,2,NA,NA,67,NA,NA,NA,NA,6,NA,1,NA,22,199,NA,1,102,NA,NA,3,1,NA,8,36,58,16,92,NA,8,6,1,NA,NA,1,4,19,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16214,NA,NA,1170,19,2,NA,NA,2,9,5,1,10,NA,NA,NA,NA,NA,1,41,2,NA,1,NA,9,NA,1,NA,18,195,NA,NA,107,NA,2,6,1,1,16,28,83,10,57,NA,3,4,NA,NA,NA,1,3,22,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16754,NA,NA,1200,22,3,NA,NA,1,5,2,NA,22,1,NA,NA,NA,NA,NA,89,NA,NA,1,NA,6,NA,NA,NA,34,196,NA,3,97,NA,NA,2,NA,NA,10,52,98,7,99,1,10,3,NA,NA,NA,1,3,22,1,3,NA,1,2,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,6,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17132,NA,NA,1221,14,2,NA,NA,2,5,5,2,23,NA,NA,NA,NA,1,3,74,1,1,NA,2,2,NA,NA,1,24,190,NA,NA,92,1,1,4,1,1,12,29,231,23,56,NA,2,4,NA,NA,NA,5,3,14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
17753,NA,NA,1255.5,23,2,NA,NA,NA,5,1,2,14,1,NA,NA,1,NA,1,74,1,NA,2,NA,3,NA,3,NA,40,214,NA,5,102,NA,NA,1,1,NA,6,48,39,3,94,NA,3,6,NA,NA,NA,NA,2,21,NA,9,NA,1,2,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18122,NA,NA,1276,16,4,NA,NA,NA,3,4,3,36,NA,NA,NA,1,NA,NA,59,NA,NA,NA,NA,3,NA,4,NA,32,191,NA,2,100,NA,NA,3,NA,NA,3,25,42,7,76,NA,1,2,NA,NA,NA,2,5,29,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18653,NA,NA,1305.5,2,1,NA,NA,NA,2,24,NA,NA,NA,NA,NA,1,NA,NA,99,1,1,NA,NA,2,NA,7,NA,82,65,NA,7,31,NA,NA,1,1,NA,5,78,61,3,486,NA,1,NA,NA,NA,NA,3,5,102,NA,10,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,48,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19076,NA,NA,1329,10,1,1,NA,1,4,9,NA,5,NA,NA,NA,2,NA,NA,60,1,NA,NA,NA,8,NA,NA,NA,36,127,NA,5,78,NA,NA,NA,1,NA,4,90,811,9,326,NA,1,NA,NA,NA,NA,4,12,77,NA,2,NA,NA,NA,1,NA,1,NA,4,NA,NA,NA,NA,4,NA,NA,33,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19961,NA,NA,1351,5,1,NA,NA,NA,1,18,NA,1,NA,NA,NA,1,1,NA,40,NA,NA,NA,NA,4,NA,4,NA,54,97,NA,4,80,NA,NA,NA,NA,NA,4,79,269,4,407,NA,NA,2,NA,NA,1,2,9,74,1,8,NA,NA,4,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,65,2,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
20649,NA,NA,1364,NA,NA,NA,NA,NA,4,20,NA,4,NA,NA,NA,1,NA,NA,30,1,NA,NA,NA,4,NA,2,NA,69,96,NA,5,81,NA,NA,NA,NA,NA,13,86,2281,7,343,NA,1,NA,1,NA,NA,8,7,76,NA,8,NA,3,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,50,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21125,NA,NA,1373,3,NA,NA,NA,NA,1,19,2,2,NA,1,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,48,114,NA,5,36,NA,NA,NA,NA,NA,1,109,1064,4,417,NA,1,NA,NA,NA,NA,1,7,82,NA,7,NA,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21654,NA,NA,1383,2,NA,1,NA,NA,1,19,NA,4,NA,NA,1,1,NA,NA,48,2,NA,NA,NA,2,NA,NA,NA,72,128,NA,4,56,NA,NA,1,NA,NA,3,87,835,3,307,1,NA,NA,NA,NA,1,6,4,61,NA,2,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,56,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22793,NA,NA,1407,NA,NA,NA,NA,1,NA,24,1,2,NA,1,NA,1,1,1,23,1,NA,NA,NA,4,NA,NA,NA,43,67,NA,5,43,NA,1,NA,NA,NA,10,143,1,5,380,NA,NA,NA,NA,NA,1,3,9,80,NA,7,NA,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,5,NA,NA,102,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23614,NA,NA,1425,2,NA,1,NA,NA,6,29,1,2,NA,NA,NA,NA,NA,1,77,NA,NA,NA,NA,1,NA,1,NA,54,70,NA,14,43,1,1,NA,NA,NA,7,83,3,3,385,1,NA,NA,NA,NA,1,7,7,69,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,66,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24070,NA,NA,1435,1,1,NA,NA,NA,1,35,1,1,NA,NA,NA,NA,NA,NA,38,1,NA,NA,1,4,1,NA,NA,65,79,NA,6,62,NA,NA,NA,1,NA,3,112,1,3,439,NA,1,1,NA,NA,1,2,6,71,1,9,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,3,NA,NA,81,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24888,NA,NA,1454.5,NA,1,NA,NA,NA,6,40,NA,1,NA,NA,NA,3,NA,1,74,NA,NA,NA,1,4,NA,1,1,73,100,NA,5,81,NA,NA,1,1,NA,2,34,NA,1,529,NA,1,NA,NA,NA,1,5,8,98,NA,5,NA,NA,2,NA,NA,1,NA,1,NA,NA,4,NA,2,NA,NA,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25243,NA,NA,1475,3,1,NA,NA,NA,3,38,NA,NA,NA,NA,NA,2,NA,1,49,2,NA,NA,1,2,NA,NA,NA,69,110,NA,3,77,NA,NA,1,NA,NA,6,60,1,1,335,NA,NA,1,NA,NA,1,3,10,89,NA,3,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,4,NA,NA,47,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25754,NA,NA,1504.5,2,NA,NA,NA,2,7,23,NA,NA,NA,NA,NA,1,1,NA,37,NA,NA,NA,NA,4,NA,3,NA,66,97,NA,4,76,NA,NA,3,NA,NA,8,104,2,4,314,NA,NA,4,1,NA,NA,3,10,78,NA,2,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
26178,NA,NA,1529,2,NA,NA,NA,NA,5,26,NA,NA,NA,NA,NA,NA,NA,1,58,NA,NA,NA,NA,16,NA,NA,NA,79,72,NA,3,95,NA,1,3,NA,NA,3,72,3,NA,323,NA,3,NA,NA,1,NA,5,10,104,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,19,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26525,NA,NA,1549,2,2,NA,NA,2,8,30,NA,NA,NA,NA,NA,NA,1,NA,52,NA,NA,NA,NA,2,NA,4,NA,69,93,1,5,52,NA,NA,NA,NA,NA,10,79,1,3,500,NA,1,1,NA,NA,NA,4,12,94,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27044,NA,NA,1579,1,1,1,NA,2,7,14,NA,5,NA,NA,NA,1,NA,NA,68,2,NA,NA,NA,11,NA,2,NA,66,128,NA,3,62,NA,NA,NA,NA,NA,3,50,1,NA,354,NA,1,2,1,NA,1,4,5,95,NA,5,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,NA,3,NA,NA,24,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
27395,NA,NA,1599.25,21,NA,2,NA,1,8,18,1,NA,NA,NA,NA,1,NA,1,59,1,NA,1,NA,5,NA,1,NA,66,128,NA,4,86,NA,NA,3,NA,NA,4,85,NA,22,247,NA,3,2,NA,NA,NA,2,5,62,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,20,1,1,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27875,NA,NA,1627,1,1,1,NA,4,10,15,2,1,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,5,NA,NA,NA,47,134,NA,4,76,1,NA,2,1,NA,11,53,5,6,259,NA,4,NA,NA,NA,NA,3,9,82,NA,4,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28265,NA,NA,1649.5,6,NA,NA,NA,4,8,7,2,NA,NA,NA,NA,NA,1,NA,39,1,NA,NA,NA,5,NA,NA,NA,52,140,NA,1,108,NA,NA,4,NA,NA,10,76,5,13,151,NA,4,6,NA,NA,NA,1,6,62,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,9,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28447,NA,NA,1660,4,1,NA,NA,11,12,10,NA,5,NA,NA,NA,NA,NA,1,31,1,NA,NA,NA,9,NA,NA,NA,38,74,2,4,89,NA,NA,9,1,NA,41,117,7,62,149,NA,1,1,NA,NA,NA,1,5,31,NA,5,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
28620,NA,NA,1670,2,1,NA,NA,8,9,9,1,8,NA,NA,NA,NA,NA,1,27,2,NA,NA,NA,8,NA,NA,NA,39,51,1,5,114,NA,NA,8,NA,NA,33,137,14,51,152,1,NA,2,NA,NA,NA,1,9,42,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
28793,NA,NA,1680,5,2,1,NA,3,12,9,1,4,NA,NA,NA,1,NA,NA,27,1,NA,1,NA,7,NA,3,NA,24,136,1,2,147,NA,NA,2,NA,NA,11,35,8,31,110,NA,1,5,1,NA,1,2,3,27,NA,2,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
29131,NA,NA,1699.5,21,2,NA,NA,3,6,5,NA,NA,NA,NA,NA,NA,NA,1,58,NA,NA,1,1,11,NA,2,NA,29,245,NA,2,109,NA,NA,1,NA,NA,15,25,7,4,108,NA,3,2,NA,NA,NA,NA,8,33,NA,5,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
