"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Picea","Plantago lanceolata-type","Potentilla","Betula pubescens","Corrigiola telephiifolia","Pteridium aquilinum","Drosera","Vitis","Ranunculus acris-type","Alnus glutinosa","Poaceae","Quercus ilex-type","Erica arborea-type","Quercus robur-type","Olea europaea","Lycopodium spike","Artemisia","Amaranthaceae","Corylus avellana","Galium-type","Sedum-type","Erica umbellata","Rumex acetosella-type","Platanus × acerifolia","Erica australis","Cichorioideae","Zea mays","Rumex acetosa-type","Micranthes stellaris-type","Plantago major-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Halimium/Tuberaria","Peucedanum-type","Anthemis-type","Cytisus scoparius","Secale","Polypodiales (monolete)","Eucalyptus","Calluna vulgaris","Brassicaceae","Sambucus nigra","Saxifraga spathularis","Juniperus communis","Ulmus","Castanea sativa","Echium","Trifolium repens","Daucus","Arnoseris minima","Arenaria","Aster-type","Jasione-type","Solidago","Hedwigia","Senecio","Sparganium","Gentiana lutea/G. pneumonanthe","Montia fontana","Saxifraga granulata-type","Hypericum perforatum-type","Salix","Genista-type","Plantago subulata-type","Poaceae (Cerealia)","Poterium sanguisorba","Campanula","Phillyrea","Anagallis","Ornithopus","Carduus","Silene dioica-type","Sorbus aucuparia","Rubus","Silene foetida-type","Papaver rhoeas-type","Solanum nigrum-type","Cerastium","Aesculus","Boraginaceae","Spergula","Pedicularis sylvatica","Scleranthus annuus","Fabaceae","Caryophyllaceae (porate)","Lotus","Pistacia","Filago-type","Dianthus lusitanus-type","Apiaceae","Viburnum","Humulus lupulus","Herniaria-type","Juniperus","Polygonum aviculare-type","Carum verticillatum","Juglans","Ranunculus","Fagus sylvatica","Eryngium","Minuartia recurva","Armeria","Anogramma leptophylla","Angelica palustris-type","Torilis arvensis-type","Viola","Portulaca","Tilia","Hippophaë rhamnoides","Asphodelus albus","Asplenium","Frangula alnus","Colchicum montanum","Succisa","Gagea nevadensis","Athyrium filix-femina","Allium","Buxus sempervirens","Cistus ladanifer-type","Urtica","Thymelaeaceae","Cedrus","Narcissus pseudonarcissus-type","Taxus baccata","Hedera helix","Linaria-type","Sagina","Lamiaceae","Ephedra fragilis-type","Ambrosia","Anthriscus sylvestris","Marchantiophyta","Lavandula","Equisetum","Myrtus communis","Alchemilla","Vicia","Pinus sylvestris-type","Pinus pinaster","Mercurialis annua","Sphagnum","Helianthemum","Conopodium majus","Dryopteris filix-mas-type","Cannabis sativa","Aquilegia","Mentha","Cirsium-type","Plantago coronopus","Anemone","Scirpus-type","Polypodium","Ephedra distachya-type","Reseda/Sesamoides","Veronica","Centaurea nigra-type","Symphytum-type","Rosaceae","Valerianella","Chaerophyllum temulum","Vaccinium","Physospermum cornubiense","Dryopteris dilatata","Solanum dulcamara","Narcissus bulbocodium","Thalictrum","Cuscuta","Sparganium emersum-type","Scilla","Sanicula europaea","Rumex obtusifolius-type"
324.05,NA,NA,52,"11329, 1","2","7","","1","4","7","","8","","2","2","5","160","18","158","50","95","395","3","2","","143","73","5","21","","7","1","1","3","1","1","","","7","1","1","2","12","1","","5","1","1","2","44","","7","","","","2","","","2","","1","","","","","1","","3","2","","2","","","2","","","","","","","","","","","","","1","","","","","","2","2","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","80","","","","","","","","","","7","","","","","","1","","","","","","","","","","","","","","","",""
327.5,NA,NA,52.5,"11329, 1","2","8","","2","3","8","","8","","2","5","2","173","14","179","53","100","398","","4","","90","81","7","16","","12","3","","4","1","","2","2","5","","2","","10","","","5","","1","","60","","8","","","","1","1","","2","1","1","","","","","","2","2","1","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","82","","","","1","","","","","","2","","","","","","","","","","1","","","","","","","","","","","",""
330.95,NA,NA,53,"11329, 1","2","7","","13","1","11","","13","1","","3","2","208","13","186","39","95","329","2","1","3","104","102","3","30","","14","2","1","","","","","","2","1","2","3","11","","","5","","","","141","","3","1","","","1","","","1","","","1","","","","2","1","1","2","2","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
334.4,NA,NA,53.5,"11329, 1","2","10","","4","1","11","","6","","","6","3","172","13","226","68","87","351","1","","1","105","97","8","23","","19","1","","2","2","","","","1","","4","","13","2","","4","","","2","75","","2","","","","","","","","","2","","","","","","1","1","5","","5","1","","2","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","4","85","","","","","","","","","","4","","","","","","","","","","","1","","","","","","","","","","",""
337.86,NA,NA,54,"11329, 1","2","17","","4","2","11","","17","","","7","12","225","18","231","67","153","579","6","2","3","109","105","11","29","","17","","1","2","1","","2","5","3","1","1","4","15","3","","9","","1","2","56","","4","3","","","3","1","","","","2","","","1","","","1","2","","3","2","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","104","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
341.31,NA,NA,54.5,"11329, 1","2","8","","4","2","13","","6","","","2","3","147","9","157","46","84","523","3","2","","42","81","6","17","","9","2","1","4","","","1","2","4","","4","2","7","1","","3","","","1","47","","5","2","","","","","","","","3","","","","","","1","","2","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","68","","","","","","2","","","","6","","","","","","","","","","","","","","","","","","","","","",""
344.76,NA,NA,55,"11329, 1","2","10","","3","2","8","","4","","1","3","7","160","11","149","25","59","402","3","","","30","62","8","17","","9","","","1","","","","1","4","","1","","17","","","2","1","1","","82","","8","","","","","","","","","1","","","","","","","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","85","","","","1","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","",""
348.21,NA,NA,55.5,"11329, 1","2","5","","3","","12","","6","","2","6","","110","23","158","48","98","324","4","","1","36","71","11","24","","7","1","1","2","4","","1","","5","","2","1","6","2","","9","2","","","35","","2","","","","2","1","","","","1","","","","","","1","","1","","3","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","58","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","",""
351.67,NA,NA,56,"11329, 1","2","6","","4","1","13","","14","","2","5","4","123","17","194","55","74","293","","1","1","22","108","17","17","","13","","","2","1","","1","","3","","4","","13","4","","4","","1","","44","","7","","","1","","","","1","","1","","","","","","1","","2","","5","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","104","1","","","","","","","","","1","","","","","","","1","","1","","","","","1","","","","","","","",""
355.12,NA,NA,56.5,"11329, 1","2","8","","6","","9","","5","","1","3","2","111","13","182","37","86","259","6","1","","24","91","9","17","","11","3","","1","3","","1","1","","","2","","9","1","","1","","","","38","","4","1","","","","","","1","","","","","","","","","","1","","5","","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","89","","","","1","","","","","","2","","","","","1","","","","","","","","","","","","","","","","",""
358.57,NA,NA,57,"11329, 1","2","7","","7","","9","","4","","","3","2","97","9","136","40","64","256","3","1","","6","68","4","10","","15","1","","1","2","","","","2","","","1","10","1","","","","","","75","","3","","","","","","","","","2","","","","","","","","1","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","86","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","",""
362.02,NA,NA,57.5,"11329, 1","2","8","","5","2","5","","6","","1","2","2","108","12","195","42","89","334","5","2","","11","96","14","22","","10","1","1","1","","1","","1","1","","3","","9","1","","2","","","1","30","","9","1","","","","","2","","","1","","","1","","","","","1","","3","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","84","","","","","","","","","","2","","","","","","","","","1","","","","","","","1","","","","","",""
365.48,NA,NA,58,"11329, 1","2","5","","1","1","11","","8","","1","5","3","103","10","145","38","75","294","3","","","9","80","7","12","","12","","","3","","","2","1","3","","4","","8","","","3","","","","39","","6","1","","","1","","","","","","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","1","77","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
368.93,NA,NA,58.5,"11329, 1","2","6","","4","","10","","9","","1","4","3","96","10","148","32","75","413","1","","1","13","77","7","8","","10","","","2","6","1","","1","1","","2","1","9","2","","2","2","","1","35","","3","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","84","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
372.38,NA,NA,59,"11329, 1","2","6","","6","","8","","6","","2","3","2","81","13","156","26","64","263","2","1","","6","77","6","16","","8","2","1","","4","","","1","","","4","","18","","","","","1","","100","","8","","","","","","","","1","2","","","","","","","","1","1","7","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","69","","","","","","","","","","","","2","","","1","","1","","","","","","","","","","","","","","",""
375.83,NA,NA,59.5,"11329, 1","2","9","","3","","9","","12","","1","3","2","113","11","206","45","114","298","2","1","","10","161","15","18","","26","1","","","2","1","1","1","1","2","5","","14","1","","6","","","","66","1","7","2","","","","","2","1","","1","","","","","","","","3","","2","1","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","3","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
379.29,NA,NA,60,"11329, 1","2","3","","6","","9","","5","","1","5","5","94","19","163","52","100","271","3","1","","4","99","5","13","","17","1","","3","","","","1","3","","2","1","13","","","1","","","","48","","3","2","","","","1","","","","","","","","","","1","","","1","3","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","60","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","1","1","","",""
382.74,NA,NA,60.5,"11329, 1","2","7","","3","1","7","1","6","","","2","4","101","15","231","30","90","397","4","1","","8","134","10","16","","12","","","2","1","","","1","1","","3","2","11","2","","3","1","","","65","","5","1","","","1","","","","","","","","1","","","","","2","3","3","","","3","","","","","","","","","1","","","","","","","","","","1","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","2","72","","1","","","","","","","","4","","","","","","","","","","","","","","","","","","","","1","",""
386.19,NA,NA,61,"11329, 1","2","7","","6","3","9","","10","","","3","5","117","5","187","29","67","276","5","","2","11","97","3","10","","13","1","1","","","","1","1","1","","2","","6","2","","2","","","","91","","5","","","","","1","","1","","1","","","","","","","1","1","2","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","76","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","",""
389.64,NA,NA,61.5,"11329, 1","2","5","","4","","13","","5","","1","1","4","102","12","178","37","86","302","1","","2","11","122","5","17","","17","3","","","","","","1","2","","","1","10","3","","","","1","1","52","","7","1","","","","","","","","","","","","","","","","1","","2","","","3","","","","","","","1","","","","","","","","","","","","1","","","1","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","75","","","","","","","1","","","3","","","","","","","","","","","","","","","","","1","","","","1",""
393.1,NA,NA,62,"11329, 1","2","4","","3","","10","","7","","","2","4","86","13","183","42","96","285","1","","","5","101","5","17","","15","3","","","","","","3","2","","5","","12","4","","3","1","1","1","54","","4","","","","","","1","","","","","","","","","","","1","","3","","","7","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","62","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","",""
396.55,NA,NA,62.5,"11329, 1","2","9","","4","","8","","4","","1","2","3","120","23","246","52","114","284","","","","7","106","7","26","","16","","","","2","","1","","2","","1","","13","2","","2","","","2","88","","6","","","","1","","","","","3","","","","","","","","","","2","","","1","1","","1","","","","","","","","","","","","","","","","1","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","56","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
400,NA,NA,63,"11329, 1","2","5","","2","2","8","","4","","","3","4","84","4","102","28","61","172","2","1","3","2","70","3","11","","15","","","","1","","2","","","","1","1","16","2","","4","","","1","90","","3","","1","","","","","1","1","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","2","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
