"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Rumex","Ulmus","Lythrum","Filipendula","Olea","Persicaria lapathifolia","Fraxinus ornus","Betula","Cichorioideae","Thalictrum","Plantago","Juniperus","Poaceae (Cerealia-type)","Abies","Artemisia","Amaranthaceae","Asteroideae","Ostrya/Carpinus orientalis","Corylus","Nymphaea","Polygonaceae","Fagus","Alnus","Poaceae","Sparganium","Quercus (deciduous)","Salix","Cyperaceae","Pinus","Unknown (monolete)","Tilia","Ranunculaceae","Pistacia","Hedera","Myriophyllum alterniflorum","Rubiaceae","Quercus ilex-type","Carpinus betulus","Algae","Gloeotrichia","Platanus","Vitis","Acer","Brassicaceae","Fraxinus","Pediastrum","Juglans","Alisma","Buxus","Poterium","Fabaceae","Picea","Apiaceae","Typha","Lamiaceae","Rumex aquaticus","Lysimachia","Castanea","Urtica","Helianthemum","Calluna","Mougeotia","Mercurialis","Ephedra","Solanaceae","Centaurea","Fagopyrum tataricum","Boraginaceae","Rosaceae","Caryophyllaceae","Rhamnus","Scrophulariaceae","Secale","Asphodelus","Iridaceae","Cistaceae","Sambucus","Hydrocotyle","Utricularia","Euphorbiaceae","Nuphar","Primulaceae","Lotus corniculatus","Cedrus","Hippophaë","Persicaria amphibia","Saxifragaceae","Gentianaceae","Campanulaceae","Valerianoideae","Dipsacoideae","Potentilla","Sanguisorba"
9079,NA,NA,605,NA,4,15,1,NA,NA,NA,4,1,NA,NA,NA,3,NA,32,1,1,NA,3,22,37,NA,NA,21,13,16,101,5,127,67,13,6,1,NA,1,25,1,NA,1,64,64,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9201,NA,NA,610,NA,1,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,1,NA,NA,5,45,NA,NA,11,12,6,80,8,125,72,28,5,2,1,NA,5,1,NA,1,37,37,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9323,NA,NA,615,NA,1,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,26,NA,NA,NA,1,7,21,NA,NA,11,9,46,55,6,37,117,4,3,11,NA,NA,42,1,NA,NA,270,270,NA,NA,NA,23,1,NA,NA,1,NA,NA,NA,NA,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9445,NA,NA,620,NA,NA,2,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,10,3,2,NA,1,3,15,NA,1,28,14,46,99,70,16,98,2,3,6,2,1,40,1,NA,NA,26,26,NA,NA,NA,2,2,NA,NA,5,NA,NA,NA,NA,24,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9563,NA,NA,625,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,21,4,1,NA,NA,7,9,NA,NA,52,8,17,54,99,27,80,20,8,NA,NA,1,10,2,NA,NA,27,26,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,18,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9682,NA,NA,630,NA,NA,NA,3,NA,NA,NA,NA,2,1,NA,NA,2,NA,43,1,2,NA,NA,3,NA,NA,NA,56,4,4,35,36,20,112,44,8,2,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,13,NA,NA,NA,21,NA,NA,NA,NA,21,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9800,NA,NA,635,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,9,1,4,NA,NA,4,2,NA,NA,56,7,11,49,29,65,68,166,2,3,NA,NA,1,2,NA,NA,16,16,NA,NA,1,7,1,NA,NA,11,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9918,NA,NA,640,NA,NA,3,3,8,NA,NA,NA,NA,NA,NA,NA,1,NA,11,3,1,NA,NA,2,2,NA,NA,45,17,20,69,12,117,126,362,9,NA,NA,NA,3,NA,NA,NA,37,36,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,3,21,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,NA,NA,645,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,4,5,NA,NA,3,2,NA,NA,12,66,12,14,5,50,61,355,1,1,NA,NA,3,2,NA,NA,205,204,NA,NA,NA,3,NA,NA,NA,5,NA,1,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10155,NA,NA,650,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,1,NA,2,5,NA,NA,8,4,13,21,8,22,91,149,4,3,NA,NA,18,NA,NA,NA,100,100,NA,NA,NA,8,NA,NA,NA,2,NA,1,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10273,NA,NA,655,NA,NA,5,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,6,2,4,1,NA,4,NA,NA,NA,5,28,4,21,3,178,64,766,2,NA,NA,1,1,6,1,NA,22,22,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10392,NA,NA,660,NA,NA,2,NA,1,NA,NA,1,NA,1,1,NA,1,NA,2,1,2,NA,NA,4,1,NA,NA,4,66,16,30,7,205,46,774,2,2,NA,1,3,3,NA,NA,26,26,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10510,NA,NA,665,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,10,3,NA,1,1,NA,NA,7,31,3,29,NA,418,106,104,4,NA,NA,NA,3,5,NA,NA,12,12,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10697,NA,NA,670,1,NA,3,4,1,NA,NA,1,1,NA,NA,1,NA,NA,2,4,5,NA,1,2,1,NA,NA,24,39,9,41,11,334,99,98,7,1,NA,NA,1,NA,NA,NA,28,28,NA,NA,NA,6,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10884,NA,NA,675,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,5,5,3,1,NA,1,NA,NA,NA,2,76,6,7,2,203,86,403,3,NA,NA,NA,1,4,NA,NA,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11070,NA,NA,680,NA,1,1,2,NA,NA,NA,NA,3,1,NA,NA,2,NA,11,10,6,1,NA,1,NA,NA,NA,3,165,16,33,2,307,98,138,5,NA,NA,NA,NA,2,NA,NA,12,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11257,NA,NA,685,NA,NA,1,1,NA,NA,NA,NA,1,NA,3,NA,2,NA,5,8,4,3,NA,2,1,NA,NA,1,157,10,22,NA,84,91,147,2,NA,NA,NA,NA,4,NA,NA,40,40,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11444,NA,NA,690,NA,NA,1,1,NA,NA,NA,NA,4,NA,1,NA,2,1,NA,8,3,NA,NA,NA,2,NA,NA,NA,181,20,20,1,72,47,108,NA,NA,1,NA,1,3,NA,NA,30,30,NA,NA,NA,12,NA,NA,NA,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11533,NA,NA,695,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,1,1,NA,66,54,4,NA,1,NA,NA,NA,NA,13,36,36,1,749,51,1,NA,NA,NA,NA,NA,23,NA,NA,213,202,NA,NA,NA,4,NA,1,NA,4,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,10,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11621,NA,NA,700,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,44,15,3,NA,NA,NA,NA,NA,NA,8,53,28,NA,485,91,NA,NA,NA,NA,NA,1,2,NA,NA,233,195,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11710,NA,NA,705,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,3,2,3,33,8,2,2,NA,NA,1,NA,1,10,28,12,NA,229,57,4,NA,1,NA,NA,NA,14,NA,NA,138,104,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11770,NA,NA,710,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,6,15,5,NA,NA,4,2,NA,NA,3,15,61,29,2,333,81,25,1,NA,NA,NA,2,5,NA,NA,173,141,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11830,NA,NA,715,NA,2,1,17,1,NA,NA,NA,2,NA,1,1,1,NA,7,12,4,1,NA,2,2,NA,1,1,40,36,39,NA,425,60,36,NA,1,NA,NA,NA,2,NA,NA,187,179,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11890,NA,NA,720,NA,3,1,25,NA,NA,NA,NA,5,NA,NA,1,3,NA,9,14,5,2,NA,NA,19,NA,NA,2,232,47,52,1,190,71,40,NA,NA,NA,NA,18,2,NA,NA,110,105,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,6,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
11950,NA,NA,725,NA,1,1,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,20,7,4,1,1,3,9,NA,1,2,428,39,67,1,113,111,322,2,1,NA,NA,17,NA,NA,NA,121,119,NA,NA,NA,4,1,1,NA,2,NA,NA,1,NA,2,NA,NA,6,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12010,NA,NA,730,NA,1,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,6,8,4,NA,1,2,11,NA,NA,3,194,40,44,2,78,46,127,1,NA,NA,NA,6,5,NA,1,56,46,NA,NA,NA,2,1,9,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12070,NA,NA,735,NA,1,2,2,NA,NA,NA,NA,9,1,NA,NA,5,NA,6,16,6,NA,NA,3,12,NA,NA,2,655,25,52,2,61,71,100,NA,2,NA,NA,8,3,NA,NA,38,38,NA,NA,NA,2,1,NA,NA,1,NA,NA,1,NA,5,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12130,NA,NA,740,NA,3,1,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,7,9,7,NA,NA,3,3,NA,NA,1,632,56,41,NA,69,88,43,2,NA,NA,NA,8,NA,NA,NA,8,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12190,NA,NA,745,NA,NA,3,4,1,NA,NA,NA,1,NA,NA,1,2,NA,11,5,1,2,NA,3,5,NA,3,5,92,15,34,1,200,85,342,2,1,NA,NA,3,3,NA,NA,52,41,NA,NA,1,14,1,1,NA,2,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12250,NA,NA,750,NA,NA,2,NA,1,NA,NA,NA,1,1,NA,2,NA,NA,17,2,3,NA,1,3,4,NA,NA,12,117,23,35,5,214,71,347,2,NA,NA,NA,5,4,NA,NA,40,40,NA,NA,1,14,3,NA,NA,3,NA,NA,NA,NA,9,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12310,NA,NA,755,NA,2,NA,10,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,24,3,1,1,NA,3,NA,1,NA,107,92,64,1,610,73,3,1,NA,NA,NA,6,8,NA,NA,196,163,NA,NA,NA,NA,1,3,NA,5,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,30,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12370,NA,NA,760,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,1,2,NA,2,35,15,NA,1,NA,2,NA,1,2,61,110,50,2,453,77,23,NA,1,NA,NA,2,8,NA,NA,114,106,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12429,NA,NA,765,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,3,NA,2,62,22,4,NA,1,4,NA,NA,1,12,176,88,4,551,118,40,NA,2,NA,NA,3,5,NA,NA,668,655,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12489,NA,NA,770,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,49,11,4,NA,2,3,NA,NA,NA,387,134,19,2,36,82,17,1,NA,NA,NA,NA,12,NA,NA,139,117,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12549,NA,NA,775,NA,NA,NA,16,1,NA,NA,NA,3,NA,NA,NA,1,NA,2,59,5,1,1,NA,2,NA,NA,NA,293,197,47,NA,365,91,22,2,NA,NA,NA,6,8,NA,NA,74,55,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
12609,NA,NA,780,NA,2,NA,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,3,67,21,3,NA,NA,3,NA,1,1,57,145,49,5,142,122,78,1,2,NA,NA,2,2,NA,NA,203,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12669,NA,NA,785,NA,1,NA,5,NA,NA,NA,NA,9,NA,NA,NA,1,NA,2,80,9,1,NA,1,29,NA,NA,NA,59,140,44,2,88,61,29,NA,NA,NA,NA,5,3,NA,NA,129,120,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12721,NA,NA,790,NA,1,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,67,9,6,NA,1,60,NA,1,NA,51,179,39,NA,70,107,28,NA,1,NA,NA,25,1,NA,NA,103,81,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12772,NA,NA,795,NA,NA,NA,4,1,NA,NA,NA,7,NA,NA,NA,NA,NA,3,35,11,7,NA,1,171,NA,NA,1,19,86,41,NA,115,154,6,NA,5,NA,NA,8,4,NA,NA,208,193,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,14,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
12823,NA,NA,800,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,31,5,4,NA,NA,90,NA,NA,2,3,46,71,2,262,152,10,NA,8,NA,NA,3,1,NA,NA,343,288,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12875,NA,NA,805,NA,NA,NA,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,3,28,6,2,NA,1,19,NA,NA,1,11,101,24,NA,243,145,NA,NA,5,NA,NA,2,NA,NA,NA,123,98,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
12926,NA,NA,810,NA,NA,1,1,1,NA,NA,NA,5,1,1,NA,1,NA,15,17,17,3,1,1,5,NA,NA,1,17,72,41,NA,194,216,6,NA,2,NA,NA,2,1,NA,NA,153,125,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
12978,NA,NA,815,NA,1,1,3,NA,NA,NA,NA,4,2,NA,1,2,NA,9,26,4,1,NA,NA,22,NA,NA,1,51,103,19,1,257,90,32,NA,1,NA,NA,1,4,NA,NA,195,178,NA,1,NA,8,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13029,NA,NA,820,NA,NA,NA,1,NA,NA,NA,1,2,1,1,NA,NA,NA,8,37,12,6,NA,2,20,NA,1,4,22,119,46,NA,260,201,32,2,2,NA,NA,3,2,NA,NA,389,360,NA,NA,NA,7,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13080,NA,NA,825,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,6,38,2,2,NA,NA,17,NA,NA,NA,24,68,30,NA,135,125,12,1,1,NA,NA,2,2,NA,NA,342,320,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
13132,NA,NA,830,NA,NA,2,NA,NA,NA,NA,NA,3,1,NA,NA,3,NA,21,26,3,8,NA,NA,18,NA,NA,NA,22,49,24,NA,63,150,17,NA,10,NA,NA,2,NA,NA,NA,191,177,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13183,NA,NA,835,NA,2,NA,1,NA,NA,NA,NA,3,NA,NA,2,3,NA,1,11,7,1,1,1,10,NA,NA,1,180,91,30,NA,53,95,67,NA,3,NA,NA,3,5,NA,NA,10,10,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,1,NA,9,2,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
13234,NA,NA,840,NA,NA,1,10,1,NA,NA,NA,5,NA,NA,NA,1,NA,9,24,10,2,1,1,14,NA,NA,NA,123,119,28,1,72,147,87,NA,1,NA,NA,8,6,NA,NA,146,132,NA,NA,NA,37,NA,5,NA,1,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13286,NA,NA,845,NA,NA,1,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,4,18,8,2,NA,1,12,NA,NA,1,233,81,18,1,25,85,45,NA,NA,NA,NA,4,1,NA,NA,133,98,NA,NA,1,10,1,32,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
13409,NA,NA,850,NA,NA,2,6,1,NA,NA,1,8,1,1,2,2,NA,4,21,5,2,NA,3,24,1,NA,NA,118,129,35,4,50,140,183,NA,2,NA,NA,8,3,NA,NA,291,280,NA,NA,1,1,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
