"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Pseudopediastrum boryanum","Fagopyrum","Fabaceae undiff.","Nymphaea","Acer","Avena-type","Rubiaceae","Secale","Ranunculus acris-type","Anemone-type","Carpinus betulus","Hedera","Mercurialis","Rhamnus-type","Ephedra fragilis","Hordeum-type","Myrtus","Plantago coronopus","Cistus albidus-type","Cichorioideae undiff.","Botrychium","Betula","Rumex","Brassicaceae","Triticum-type","Poaceae (Cerealia-type)","Fraxinus ornus","Theligonum cynocrambe","Fagus","Plantago major/P. media","Artemisia","Corylus","Plantago lanceolata","Vitis","Platanus","Amaranthaceae","Juniperus","Unknown","Pteridium","Cyperaceae","Sparganium-type","Alnus","Asteroideae undiff.","Fraxinus angustifolia-type","Erica","Olea","Ulmus","Pinus","Ostrya/Carpinus orientalis","Phillyrea","Pistacia","Quercus (evergreen-type)","Poaceae","Quercus (deciduous-type)","Lycopodium spike","Lonicera","Myriophyllum","Salix","Scrophulariaceae","Trifolium","Centaurea solstitialis-type","Dorycnium-type","Panicum-type","Abies","Apiaceae","Aster-type","Sanguisorba minor-type","Caryophyllaceae undiff.","Typha latifolia","Juglans","Ranunculus","Euphorbiaceae","Sorbus-type","Gypsophila","Unknown (trilete, verrucate)","Polypodiophyta undiff.","Tilia","Liliaceae","Plantago","Quercus cerris-type","Calligonum","Polypodium","Ilex","Rosaceae","Thymelaeaceae","Ephedra distachya","Castanea","Monactinus simplex","Armeria","Pediastrum duplex","Polygonum aviculare","Cistus monspeliensis","Picea","Quercus","Potamogeton","Celtis","Potentilla-type","Humulus/Cannabis","Arbutus","Geranium","Ligustrum","Buxus","Asphodelus","Convolvulus arvensis","Xanthium","Jasminum","Crataegus-type","Aconitum","Persicaria maculosa","Polygala","Campanulaceae","Melampyrum","Centaurea scabiosa","Primulaceae","Micranthes cf. M. stellaris","Helianthemum","Genista-type","Papaver argemone","Lamiaceae","Cotinus-type","Taxus","Gentianaceae","Plantago lagopus-type","Sambucus","Linum catharticum-type","Nuphar","Vicia","Solanum","Dipsacus","Utricularia","Glaucium","Centaurea cyanus","Serratula-type","Lotus-type","Filipendula","Heliotropium-type","Alchemilla-type","Nigella","Ononis-type","Ranunculus arvensis","cf. Samolus","Cornus","Onobrychis","Verbascum","Papaveraceae","Knautia","Saxifraga cf. S. oppositifolia","Scabiosa","Viburnum","Teucrium-type","Persicaria amphibia","Marrubium","Anemone sect. Pulsatilla-type","Valeriana","Lythrum"
6878,NA,NA,930,"2","","","1","3","","2","","1","5","","2","","9","","","3","","","","4","","2","2","3","2","6","29","","6","2","4","15","2","1","","7","1","5","10","14","29","","1","13","","","6","23","39","8","23","3","149","327","222, 25084","","28","2","2","","","","","8","1","2","","2","","","","","","","2","10","4","","1","2","","1","","2","","","","3620","","9","3","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7118,NA,NA,946,"2","","","2","7","","1","","1","4","1","1","","2","","","","","","","9","","","5","","2","","25","","1","4","5","17","","1","","8","5","7","8","9","31","6","3","3","","","11","21","27","15","37","9","171","334","215, 25084","","3","","","","","","","6","1","4","","","","","","","","","","1","8","","","","","1","","1","","","","9693","","4","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7288,NA,NA,954,"1.6","","","","2","","1","","1","2","1","","","","","","2","","","","5","","1","1","2","1","4","5","1","2","2","","29","1","1","","3","2","6","8","12","22","2","7","2","2","","7","32","10","","29","12","139","367","326, 25084","1","1","","","","","","","6","","1","","3","","","","","","","","2","8","","","","","2","","","","","","14570","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7458,NA,NA,962,"1.9","","","","4","1","","","1","2","1","","","1","","1","1","","","1","6","","","","4","1","3","8","2","1","1","","9","","","","4","2","3","13","6","9","3","2","2","1","","5","39","14","3","29","5","168","371","271, 25084","","2","","","","","","","11","","1","3","","","","","1","","","","3","10","","2","","","","","1","","","","2670","1","4","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","",""
7629,NA,NA,970,"1.7","","","","4","","","1","3","","","","","2","","3","4","","","","11","","1","3","8","3","1","9","","","1","2","12","1","1","","2","3","10","15","12","11","2","2","2","1","","5","50","8","6","16","2","150","373","665, 25084","1","3","","1","","","","","15","","6","","2","","","1","","","","1","5","4","","2","1","","6","","","","","","1310","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7799,NA,NA,978,"1.7","2","","","3","","1","1","4","1","1","","","3","","","1","","","","16","","1","4","5","1","4","10","","3","6","","7","","2","","13","2","7","11","8","19","1","3","4","1","1","6","29","8","8","17","1","214","394","243, 25084","","5","","4","","1","","","10","3","4","2","4","","","","","","","","19","7","","1","","","7","","","","","","13676","","11","","","1","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","",""
7969,NA,NA,986,"2","1","","","","","","","2","1","1","1","","1","","2","4","","","","21","","","1","3","1","4","5","2","","3","","3","","","","14","6","5","18","27","13","3","8","","2","","4","80","1","3","15","1","205","378","310, 25084","1","3","","","","","","","16","2","7","1","1","","","","","","","","11","9","","","","","16","","","","","","6320","","6","","","","","","","","","1","","","","1","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8076,NA,NA,991,"1.8","3","","","1","","","1","5","1","","1","","4","","1","3","","","1","13","","","1","3","2","4","4","","1","4","3","5","1","","","12","5","8","23","18","6","","6","2","1","","11","59","2","6","24","1","212","381","204, 25084","","1","","","","","","","10","1","6","3","3","","","","","","","2","3","9","1","1","","","8","","","","","","10130","","2","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
8225,NA,NA,998,"1.8","","","","","","","1","5","1","","","","2","","1","4","","","","18","","","1","4","2","6","7","","","4","1","10","1","","","10","","7","14","8","8","1","4","7","1","","9","36","1","4","31","4","205","400","230, 25084","","","","","","","","","2","","2","7","1","","","","","","","","5","4","","1","","","5","","","","","","12540","1","2","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","",""
8363,NA,NA,1006,"1.7","1","","","","","1","","2","1","","","","","","1","4","","","","14","","1","1","4","","6","6","1","","4","","14","","1","","11","1","4","6","11","10","1","11","1","","","9","47","6","5","37","5","221","376","231, 25084","1","2","1","","","","","","9","","7","5","","1","","","","","","","9","5","1","3","","","3","","","","","","10220","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1",""
8507,NA,NA,1015,"1.4","","","","","","2","","12","3","","","","2","","1","1","","","","24","","","2","7","","5","4","","4","2","","8","2","1","","14","4","5","22","15","4","","9","5","1","","4","64","","1","46","","260","363","493, 25084","1","1","","","","1","","","12","","6","4","","","","1","","","1","7","9","7","","3","","","","","1","","","","14880","1","4","","","","","","","","","","","","","","","","","","1","2","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1",""
8619,NA,NA,1022,"2","","","","1","","3","","11","","","","1","","","5","8","","","","20","","2","4","11","2","13","10","1","1","3","7","5","","1","","18","3","9","12","29","3","3","8","6","","","10","43","","3","38","1","345","382","346, 25084","","14","1","","","","","","2","1","4","3","","2","","","1","","","2","9","3","3","","","","","","","","","","10368","","3","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1"
8746,NA,NA,1030,"2","","","1","","","1","","22","","1","","","2","","3","8","","","","39","","","5","3","","17","8","1","2","1","7","9","1","","","23","3","8","16","33","4","1","7","2","1","","6","63","2","","52","2","369","367","593, 25084","","8","1","","","3","","","4","2","7","3","1","1","","","","","1","2","7","2","","3","","","","","1","","1","","15270","","5","","","","","","2","","","","","","","1","","","1","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
8874,NA,NA,1038,"2.4","2","","3","1","2","2","","7","","","","2","","","2","12","","","","33","","3","7","11","1","30","9","","3","3","6","5","","2","","24","8","8","15","21","6","3","9","5","1","","6","69","2","5","52","2","377","338","337, 25084","1","13","","","","3","","","7","1","6","7","5","","","","1","","1","2","16","4","","","1","","","","2","1","","","14800","","3","","","1","","","","","","","","","","1","","","1","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","1"
9002,NA,NA,1046,"1.3","2","","","","","","","16","2","","","1","","","2","6","","","1","46","","2","7","5","","19","3","2","1","1","2","5","","1","","17","4","6","22","25","6","","12","1","3","","5","95","1","2","54","1","294","319","559, 25084","","9","","","","1","","","18","1","8","15","2","","","","","","","6","16","3","","3","","","","","","","","","27662","","7","","","","","","","","","","","","","1","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","3","","","","","","","","",""
9130,NA,NA,1054,"1.2","1","","2","1","","4","1","34","","","","","1","","1","17","","","1","24","","3","2","4","5","42","8","1","2","","7","4","1","","","26","4","5","9","24","3","1","5","4","1","","14","42","4","","104","6","365","465","335, 21358","1","31","1","1","","","","","2","1","4","6","2","1","","","","","","1","6","3","1","3","2","","","","","","","","16700","","3","","","","","","","","","","","","","","","","","","","4","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","2","","","","","","","","","2","","","","","","","","1","1"
9258,NA,NA,1062,"2.1","","","1","","","","","","","","","","","","","","","","","2","","","","","","10","","","","","","","","","","2","","4","","3","1","","1","","","","","1","","","3","","22","11","23, 21358","","9","","","","","","","","","3","","","","","","","","","","2","","","","","","","","","1","","","1172","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1",""
10024,NA,NA,1110,"1.9","1","","3","1","","","","29","2","1","","","","","3","7","","","","37","","8","4","3","1","22","4","","1","","12","1","1","","","16","9","17","1","34","67","4","5","1","5","","9","30","1","2","47","2","880","177","681, 21358","","44","","1","2","1","","","","1","15","2","12","","","1","","","2","","1","3","","1","","","","","","","","","6801","12","3","1","","","","7","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","3","","","","","2","","","","","","","","","1","","","","","","","","",""
10328,NA,NA,1129,"1.3","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","4","","1","3","","","","","","","4","","","1","","4","3","43, 21358","","","","","","","","","","1","1","","1","","","","","","","","","1","","","","","","","","","","","898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
