"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cannabis sativa","Ranunculus-type","Secale","Spergula-type","Cistus","Sambucus nigra","Ceratonia siliqua","Silenoideae-type","Urtica membranacea-type","Cuscuta","Prunus-type","Salix","Xanthium","Ruppia","Liliaceae-type","Castanea sativa","Ephedra fragilis-type","Quercus cerris-type","Vitis","Poaceae (Cerealia)","Mercurialis annua","Quercus ilex-type","Artemisia","Apiaceae","Asteroideae","Anthemis-type","Urtica dioica-type","Rumex acetosella","Tamarix","Sparganium-type","Cyperaceae","Pinus","Amaranthaceae-type","Poaceae","Cichorioideae","Juniperus-type","Brassicaceae","Olea","Lycopodium spike","Charcoal","Ulmus","Zea mays","Rosaceae","Plantago lanceolata-type","Eucalyptus","Genista-type","Hypericum perforatum-type","Plantago coronopus-type","Alisma-type","Alnus glutinosa-type","Chamaerops humilis","Selaginella denticulata","Pistacia","Fraxinus excelsior-type","Cistaceae","Ostrya-type","Myriophyllum alterniflorum","Corylus avellana","Paronychia-type","Phillyrea","Lythrum","Thalictrum","Rubiaceae","Astragalus-type","Urtica pilulifera","Pteridophyta (monolete) undiff.","Eryngium","Silene vulgaris-type","Polygonum aviculare-type","Sagittaria","Fabaceae","Mentha-type","Persicaria maculosa-type","Convolvulus","Echium","Asphodelus albus-type","Erica arborea-type","Agrostemma githago","Cynoglossum officinale-type","Isoëtes","Amaranthus","Fagus sylvatica","Borago officinalis","Quercus pubescens-type","Celtis australis","Geranium","Helianthemum","Plantago maritima-type","Papaver rhoeas-type","Pteris cretica","Boraginaceae","Caltha-type","Cerinthe","Juglans regia","Fraxinus ornus","Scrophularia-type","Aesculus","Utricularia","Scabiosa","Asparagus","Pteridium aquilinum","Riccia","Citrus","Heliotropium","Centranthus","Ophioglossum lusitanicum","Myrtus communis","Theligonum cynocrambe","Lotus-type","Solanum dulcamara","Buxus sempervirens","Anthoceros laevis","Lamiaceae","Ranunculus acris-type","Trifolium pratense-type","Potentilla-type","Carduus","Sedum-type","Teucrium","Hedera helix","Anthoceros punctatus","Linaria-type","Rumex obtusifolius-type","Fumana","Euphorbia","Polypodium","Picea","Viola","Cirsium","Serratula-type","Cheilanthes-type","Lygeum spartum","Potamogeton-type","Carpinus betulus","Pisum sativum","Osmunda regalis","Linum usitatissimum","Veronica","Typha latifolia-type","Populus","Ornithogalum-type","Valeriana officinalis-type","Sphagnum","Allium-type","Daphne","Vicia-type","Sorbus-type","Botrychium","Platanus","Bupleurum","Centaurea nigra-type","Ilex aquifolium","Gladiolus-type","Rhamnus","Betula","Pinus subg. Pinus","Daucus","Calendula","Ammi-type","Glomus","Apium-type","Peucedanum-type","Cyperus-type","Sporormiella","Malvaceae","Scilla-type","Anemone hortensis-type","Rubus","Polygonatum","Ranunculus sect. Batrachium","Ligustrum","Limonium","Knautia","Linum austriacum-type","Luzula","Phragmites-type","Pimpinella major-type","Taxus baccata","Medicago falcata-type","Gelasinospora","Aster-type","Pinus subg. Strobus","Dinoflagellata","Anthyllis","Bituminaria bituminosa","Nerium oleander","Mercurialis perennis","Chaerophyllum hirsutum-type","Cerastium-type","Geum-type","Carlina","Ambrosia","Myriophyllum spicatum","Nymphaea","Euphrasia-type","Gnaphalium-type","Reseda","Sideritis","Diporotheca","Ustulina deusta","Bidens-type","Sanguisorba officinalis","Silene dioica-type","Centaurium","Trifolium repens-type","Cladium mariscus","Spirogyra-type","Onopordum","Equisetum","Carthamus","Falcaria-type","Rumex acetosa-type","Hippophaë rhamnoides","Cercophora-type","Matthiola-type","Smyrnium-type","Plantago major","Odontites-type","Phlomis","Arbutus","Ornithopus","Gypsophila arrostii","Humulus lupulus","Lysimachia vulgaris-type","Podospora-type","Calystegia","Eupatorium","Lycium","Centaurea scabiosa-type","Polygala vulgaris-type","Asphodeline","Turgenia latifolia","Anemone nemorosa-type","Dryopteris filix-mas-type","Ficus carica","Herniaria-type","Senecio-type","Alnus viridis","Juncaceae","Melampyrum","Galanthus-type","Rhus","Ephedra distachya-type","Ribes","Tuberaria","Thelypteris palustris","Jasione","Linum","Solanum nigrum-type","Tilia","Hydrocotyle","Scutellaria-type","Pediastrum","Rhynchospora","Acer","Viburnum tinus","Filipendula"
3525.432,NA,NA,613,"10679, 4","1","","","","","","","","","","","","","","20","","","6","66","","1","6","42","10","2","","4","","10","7","","5","","60","56","17","6","2","28","162","7285.55, 58502.34","1","","","5","","1","","6","","","8","","69","10","","1","","","5","","","2","1","","","","","","","","","","","","","","3","","","","","1","","20","","2","","1","","","","","","","2","","","","","2","2","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","4","1","","1","2","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","9","","","","1","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3573.611,NA,NA,619,"10679, 4","1","","","","1","1","","","","","","","","","","","","3","30","","","6","77","10","","","2","2","13","3","2","2","","56","71","10","11","2","57","441","4131.396, 34614.69","3","","","6","","","","5","","1","9","","78","17","","4","","","8","1","","4","","","","1","1","","","","1","","","","","","6","","","","","","1","35","","","","5","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","1","","","1","4","","","1","5","1","","","","","","","","","","","","","3","","","1","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3726.514,NA,NA,637,"10679, 4","1","","","","","1","","","","","","","1","","14","1","","11","5","","2","5","11","8","4","","11","1","20","4","1","14","","34","50","28","17","8","9","619","3126.212, 27815.07","","","","13","","","","2","1","2","1","2","48","16","","","","","11","","1","1","","1","","","","","","","1","","","","","","2","","","3","","","","6","","","","3","","","","","","","","","","","","2","1","","","","","1","","2","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","2","1","","2","2","6","9","","","","","","","","","","","","","","1","","","4","2","2","","1","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3813.84,NA,NA,646,"10679, 4","1","","","","","","","","","","","","1","","15","","","11","31","","2","5","15","10","","","8","4","24","5","2","4","","55","92","18","19","7","15","290","2996.604, 29075.6","1","","","14","","1","","3","1","2","3","","138","11","","1","","1","6","","","2","","","","1","","","","","","1","","","","","4","","","1","","","","6","","","","5","","","","","","","","","","","","1","1","","","1","","","","","1","","","","1","","","","1","","","","","","","","1","","","","","1","","","1","","","","","","","","1","","","","","","","","","","1","","","","","1","1","2","2","","1","3","17","2","","","","","","","","","","","","2","","","","","4","1","3","","","","","","","","","","","","","1","1","","","","","","1","","1","","6","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3949.68,NA,NA,660,"10679, 4","1","","","","3","","","","","","","","1","","30","","","10","24","","1","4","18","2","1","","6","1","26","14","2","11","","34","54","15","17","4","5","244","6381.033, 61914.21","","","","10","","2","1","2","1","1","2","1","132","11","","2","","2","2","","","3","","","","1","","","","","1","","","","1","1","6","","","1","","1","","6","","","","8","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","3","","","","1","1","1","1","1","","","","24","1","","","","2","","","","","","","","","","","","","3","3","1","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","","1","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4046.708,NA,NA,670,"10679, 4","1","","","","1","","","","","","","","1","","127","","","15","6","","","","25","6","3","","9","6","17","22","2","6","","18","52","37","23","9","28","506","6630.79, 64337.68","1","","","13","","","","4","","4","19","7","95","","","","","1","7","","","","2","","","1","","","1","","","1","","","","","11","","","9","","1","","5","","","1","7","","1","","","","","","","","","","","","","","","","1","1","","","1","","","","","","2","2","","","1","","","","","1","","1","","1","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","3","","","6","2","2","11","","","","","","","","","","","","4","1","","","1","4","","20","","","","","","","","","","","","","2","","","","","","","","","","","11","","","","","1","","5","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4143.737,NA,NA,680,"10679, 4","1","","","","3","1","","","","","","","","","46","","","13","15","","1","6","75","8","3","1","7","2","23","39","","7","","10","105","19","31","5","22","295","4964.425, 48169.11","5","","","22","","1","","1","","4","6","1","90","1","","1","","","","","","6","","","","","1","","","","","","","","1","2","3","","","2","","","","13","1","1","","5","","","","","","","","","","","1","1","1","","","","","2","","","","1","","","","2","","1","","1","","","","","","","","1","1","","","","","","3","","","","","","","","1","","","","","","","","","","","","","1","","1","","5","","","","2","1","5","","","","","","","","","","","","2","","","","1","1","1","64","","","","","1","","","","","","","","1","","","","","","","","","","","41","1","","","","","","","","2","","","2","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4240.766,NA,NA,690,"10679, 4","1","","","","3","2","1","","","1","","","","","21","","","37","6","","2","4","9","10","2","1","19","4","27","6","2","14","","18","80","41","8","16","16","268","11606.37, 112614.9","","","","44","","1","","2","3","","1","3","30","1","","","","","5","1","","","3","","","1","","","","","1","","","","","5","3","3","","4","","1","","1","","","1","14","","","","","","","","","","","","2","1","","","","","3","","","","","","","","","","","1","","","","","","","","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","2","","","","","","3","","","","7","5","","6","","","","","","","4","","","","1","1","","","","","2","2","1","","","","","2","","","","","","","","","","","1","","","","","","2","","3","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","",""
4337.794,NA,NA,700,"10679, 4","1","","","","","1","","","","","","","","","50","","","11","22","1","1","17","41","8","","1","7","4","36","15","","5","","54","58","17","24","12","14","235","4710.583, 45706.12","","","1","6","","","","3","3","2","","1","161","23","","1","","2","3","3","","3","1","","1","","","","","","","","","","","","2","","","2","","","","9","","","","6","","","","","","","3","","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","3","4","","","","","","2","","","","","","","","","","","","2","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
4454.229,NA,NA,712,"10679, 4","1","","","","","1","","","","","","","","","20","","","12","12","","1","3","25","5","2","","3","6","22","20","2","1","","28","52","18","21","9","7","239","9561.495, 92773.81","2","","","11","","","","1","1","4","","","135","8","","2","","","","","","1","","","","","","","","","","","","","1","","5","","","2","","2","","14","","","","4","","","","","","","","1","","","","2","2","","","","","","","","","1","","","","","","","1","","","","","","","","2","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","3","2","","","2","","1","","","","2","","","","","","","","4","","","","","4","1","1","","","","","","","","","","","","","1","","","","","","","","","","","5","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","",""
4531.852,NA,NA,720,"10679, 4","1","","","","","2","","","","1","","","1","","68","","","7","9","","4","6","33","8","1","","12","1","11","32","","4","","10","43","30","20","17","11","335","11613.26, 112681.9","1","","","5","","","","1","","","","","114","7","","3","","","2","3","","1","2","","","1","","","","1","","","","","","1","1","","","3","","2","","8","","","","2","","","","","","","","","","","","","1","","","","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","3","1","","4","","","2","","","","1","","","1","","","","","","","","","","2","1","3","1","","","","","","","","","","","","1","","","1","","","","","","","","11","","","","","","","1","","1","1","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
4599.771,NA,NA,727,"10679, 4","1","","","","1","1","","","","","","","","","74","","","13","34","2","","5","60","4","1","","17","5","24","16","","9","","17","27","39","12","11","30","229","7900.22, 76654.73","3","","","4","","","1","2","1","1","","","173","15","","3","","1","","","","3","1","","","","","","","","","","","","","2","3","","","","","","","12","","","","6","","","1","","","","","1","","","","2","","","","","","2","","1","","","","2","","","","","2","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","6","","1","1","1","4","","","","","","","","","","","","1","","","","","","1","","1","","","","1","","","","","","","","","","","","1","","","1","","","","6","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4764.72,NA,NA,744,"10679, 4","1","","","","","3","","","","","","","","","36","","","11","64","","","8","34","7","1","","1","1","8","2","","4","","23","75","2","55","4","23","216","2627.25, 25491.81","1","","","6","","2","","1","2","3","","","122","38","","2","","1","1","2","","","2","","","","","","","","","","","","","","8","","","","","","","15","","","1","7","","","","","","","3","","","","","2","1","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","1","","","1","3","","","","","","","","","","","1","","","","","","","","","","","","","2","3","","","","","1","","","","","","","","","","","","","4","","1","","","2","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
4822.937,NA,NA,750,"10679, 4","1","","","","4","2","","","","","","","1","","54","","","15","17","","3","3","54","2","1","","6","1","27","53","","1","","7","39","6","57","4","23","172","7396.065, 71762.88","1","","","16","","","","2","","2","","1","251","28","","3","","2","","1","","","","","","","1","","2","","","","","","1","","10","","","1","","4","","17","","","","8","","","","","","","2","","","","","4","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","1","","","","","","","","1","","","","1","","","","","","1","","","1","1","","","","5","","","1","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4900.56,NA,NA,758,"10679, 4","1","","","","","","","","","","","","1","","45","","","8","27","","1","2","176","4","1","","5","4","15","6","1","1","","7","33","8","9","4","32","157","3133.922, 30408","1","","","8","","1","","1","","","1","","187","31","","2","","","","","","2","1","","","","","","","","","","","","","","19","","","","","","","23","","1","","","","","","","","","1","1","","","","","","","","","","1","","1","","","","1","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","2","","2","","","1","","1","","","","1","","3","","","","","","4","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5211.051,NA,NA,790,"10679, 4","1","","","","3","2","","","","1","","","","","32","","","3","16","","","3","68","3","","","2","2","9","25","4","2","","16","93","3","39","2","16","203","3977.62, 38594.28","2","","","7","","1","","1","","1","","","104","40","","4","","","1","","","","1","","","","","","","","","","","","","","15","","","","","1","","17","","","","4","","","","","","","","","","","","2","","","","","","1","","","","","","","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","1","2","1","","1","3","","","","","","1","","","3","","1","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
5308.08,NA,NA,800,"10679, 4","1","","","","1","","","","","1","","","","","17","","","5","19","","1","2","105","1","1","","5","1","11","11","","","","18","52","4","14","4","10","175","3123.845, 34028","4","","","8","","2","","","","","","","210","32","","3","","1","","1","","1","4","","","","1","","","","","","","","1","","5","","","1","","","","16","","","1","5","","","","","","","6","","","","","3","2","","","","","1","","","","","","","","","","","1","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","2","1","","","","","","2","","","","","","1","","","","","2","1","1","","","","","","","","","","","","","1","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5537.841,NA,NA,820,"10679, 4","1","","","","","","","","","","","1","","","6","","","","19","","1","1","231","1","1","","4","1","10","7","","4","","","43","3","82","4","63","97","2984.621, 34949.46","13","","","6","","","","1","1","","","","74","35","","4","","2","","2","","","","1","","","","","","","","","","","2","","8","","","","","","","23","","","","","","","","","","","2","","","","","","","","","","","","","2","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","",""
5612.536,NA,NA,826,"10679, 4","1","","","","","1","","","","","","","","","8","","","","3","","","1","167","3","","","1","2","11","6","","4","","12","44","1","62","2","13","267","2144.504, 26697.5","8","","","3","","1","","1","","","1","","31","21","","","","","1","2","","","","","","","","","","","1","","","","","","7","","","","","2","","38","","","1","5","","","","","","","4","","","","","","","","","","","","","","","","","","1","","","1","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","1","1","1","","","1","","","","","","","","","","","","","","2","","","","","3","","170","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","2","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","",""
5786.826,NA,NA,840,"10679, 4","1","","","","","3","","","","","","1","3","","35","1","","","4","","3","8","115","4","","","2","4","19","5","2","7","","4","81","11","60","5","20","370","5146.799, 64074","","","","8","","","","1","","1","1","","82","20","","3","","1","","1","","","1","","","1","","","","","","","","","","2","7","","","9","","","","41","","","1","3","","","","","","","","","","","","","1","","","","","1","","","","","","5","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","2","1","","","","","","","","","","","1","7","","","","","1","1","25","","","","","1","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","",""
5861.522,NA,NA,846,"10679, 4","1","","","","","2","","","","","","","","","11","","","1","1","1","1","7","109","1","1","","2","3","14","10","3","26","","8","93","3","67","7","20","272","2536.109, 31572.7","1","","","6","","","","2","","1","","","127","7","","5","","2","1","1","1","","","","","","","","","","","","","","","","2","","","","","1","","38","","","","","","","","","","","2","","","","","1","","1","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","1","1","","","","","","","","","","","","","6","","2","","","1","1","139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
6048.261,NA,NA,861,"10679, 4","1","","","","","1","1","","","","","","1","","15","","","1","4","","4","5","32","2","","","4","3","26","","7","12","","8","60","19","13","15","6","435","9386.516, 115491.4","","","","1","","","","","","","","","60","10","","1","","","","2","1","","","3","","","","","","","1","1","","","1","7","","","","29","","","","32","","","1","4","","","","","","","2","","","","","","6","","","","","3","","","","","","40","","1","2","1","1","","","","","","","","5","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","4","","","","4","1","","","","","","","","1","","","","1","","","","","2","1","4","","","","","1","","","","","","","","3","","","3","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6279.857,NA,NA,880,"10679, 4","1","","","","","","","","","","","","","","1","","","","2","","2","4","28","1","","","","1","4","","2","13","","3","54","3","28","2","2","216","5818.167, 68963.18","","","","","","","1","1","","","","","73","9","","1","","1","1","","1","","1","","","","","","","","1","","","","","","1","","","4","","","","37","","","","","","","","","","","2","","","","","","3","","","","","","","","","","","6","","","","","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","2","1","","1","","","1","","","","","","1","","","","","","","","3","","3","","","2","","26","","","","","","","","","","","3","1","","","","","","","","","","","6","","","","","","1","","","","1","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
6392,NA,NA,890,"10679, 4","1","","","","","","","","","","","","","","","","","","3","","","4","42","","","","1","1","8","","2","7","","4","67","3","46","2","1","226","7141.993, 80092.5","","","","3","","","","","","2","","","58","13","","","","2","","","","","","","","","","","","","","","","","","1","","","","3","","1","","71","","","","","2","","","","","","1","1","","1","","","2","","","","","1","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","1","1","1","","","","","1","6","","","","","","","","","","","","","5","","3","","","1","2","16","","","","","","","","","","","2","","","1","","","","","","","","","12","1","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6504.143,NA,NA,900,"10679, 4","1","","","","","","","","","","","","2","","6","","","","4","2","","1","41","","","","","5","17","2","2","10","","4","79","2","123","3","2","279","3446.302, 38647.81","1","","","6","","","","1","","","","","121","23","","4","","","","","","1","","","","2","","","","","1","","","","2","1","","","","4","","","","86","2","","","4","","","","","","","3","","","1","","","5","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","1","3","2","","","","","","","","","","","","","","","1","","4","","","","","","3","","","","","","","","","","","","","2","","5","","","2","4","20","","","","","1","","","","","","","1","1","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6616.286,NA,NA,910,"10679, 4","1","","","","1","","","","","","","","2","","3","","","","3","","","10","50","1","","","1","6","11","","6","9","","6","79","5","83","1","4","270","5957.778, 66812.2","","","","4","","","","2","","","","","59","30","","2","","1","3","2","","","","","","","","","","","","","","","","","","","","6","","","","76","","","","3","","","","","","","2","","","1","1","","4","1","","","","1","","1","","","","6","","","","","","","","","","","","","1","","","","","","","1","14","1","","","","","4","","1","","","","","","","","","","","","","","","","","","","","","3","4","2","","","","","","","","","","","","10","","","","","3","1","12","","","","","","","","","","","","","","","","1","","","","","","","24","","","","","","","","1","","1","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6728.429,NA,NA,920,"10679, 4","1","","","","","2","","","","2","","","1","","1","1","","","10","1","13","11","52","2","1","","3","1","14","1","7","19","","6","121","5","267","5","9","235","6930.393, 77719.38","1","","","3","","","","3","","","","","16","16","","10","","4","","2","","","1","1","","5","","","","","","","","","1","","2","","","13","","","","101","","","","4","","","","","","","7","","","","","","3","","","","","3","","","","","","5","","","","","2","","","1","","","","","","1","","","","","","1","2","","","","","","3","1","","","","1","","","","","","","","","","","1","","","2","","","","2","10","","","","","","","","","","","","","","","","","","2","2","55","","","","","2","","","","","","1","1","","2","","","","","","","","","42","1","","","","","","","","","1","","","","","","","","","","","3","","","","","","","","1","","","","","","","","1","","","1","2","","","","","","","","","",""
6840.571,NA,NA,930,"10679, 4","1","","","","","","","","","","","","","","3","1","","","4","","","7","27","2","","","","3","8","1","2","21","","7","77","4","210","3","7","208","12472.84, 139874","","","","4","","","","1","","3","","","5","5","","4","","3","","","1","","","","","","","","","","","2","","","","1","4","","","9","","","","48","","","","","","","","","","","1","","","","","","4","","","","","1","","","","","","3","","","","","","","","1","","","","","","","","","","","","","1","","","","","","3","1","","","","","","","","","","","","","","","","","1","2","","","","2","3","","","","","","","","","","","","","5","","","","","2","3","25","","","","","1","","","","","","","","","","","1","","","","","","","34","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","","","","","","","",""
6952.714,NA,NA,940,"10679, 4","1","","","","","","","","","","","","2","","2","","","","5","5","1","1","45","","2","","3","6","23","","6","12","","2","110","1","11","1","4","228","4364.559, 48945.41","1","","","12","","","","2","","2","","","1","5","","6","","2","","2","","","","","","1","","","","","","1","","","","","3","","","1","","","","49","","","","6","","","","","","","3","","","","","","2","","","","","","","1","","","","2","","","","","1","1","","","","","","","1","","","","","","","","4","1","","","","","5","","","","","","","","","","","","","","","","","1","2","","1","","","1","5","","","","","","","","4","","","","","3","","","","","","3","8","","","","","","","","","","","","","1","","","","","","","","","1","24","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","",""
6997.571,NA,NA,944,"10679, 4","1","","","","","","","","","","","","4","","7","","","","5","4","","6","40","1","1","","3","7","33","","10","25","","3","115","8","7","5","6","279","5737.113, 64337.68","","","","15","","","","4","","1","","","2","15","","7","","1","","","2","","1","","","1","","","","","","","","","1","","3","","","9","","","","62","","","","6","","","","","","","","","","","","","2","","","","","1","","","","","","4","","","","","2","","","","","","","","1","","","","","","","1","12","1","","","","","6","1","1","","","","","","","","","","","","","","","1","3","","2","","","1","12","1","","","","1","","","","","","","","4","","3","","1","1","1","11","","","","","","","","","","","","","1","","","1","","","","","","","38","","","","","","","","","","3","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","1","","","","",""
7132.143,NA,NA,956,"10679, 4","1","","","","1","","","","","","","","","","5","","","1","2","2","1","9","18","1","","","2","8","17","","20","23","","8","147","5","5","4","","331","2758.29, 30932.28","6","","1","18","","","","5","","2","","","3","15","","12","","3","2","1","1","","1","","","","1","","","","","1","","","","2","1","","","7","","1","","134","","","1","1","","1","","","","","1","","","","1","","4","","","","","","","1","","1","","1","","","","","","","","","","","","","","","","","","","","","2","1","","","","","6","1","","","","","","","","","","","","","","","","","3","","","","3","4","16","","","","","","","","","","","","","4","1","1","","","1","2","","","","","","1","","","","","","","1","1","","","1","","","","","","","35","","","","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
7177,NA,NA,960,"10679, 4","1","","","","","1","","","","","","","","","2","","","2","2","1","1","2","18","","1","","2","2","","","6","31","","6","91","9","","3","1","283","8846.913, 99211.35","1","","","10","","1","2","2","","1","","","6","","","5","","3","1","1","","","1","","","","","","","","","","","","2","","","","1","3","","1","","56","","","","1","","","1","","","","","","","","1","","3","","","","","","","","","","1","2","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","9","1","1","","","","","","","","","1","","","","","","","1","","","","","7","11","1","","","","2","","","","","","","","2","","1","","","3","2","33","","","","","","","","","","","","","2","","","1","","","","","","","22","","","","","","","","1","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","13","","",""
7221.857,NA,NA,964,"10679, 4","1","","","","1","","","","","","","","","","1","","","","1","2","1","6","11","5","","","1","3","24","","16","35","","7","133","15","2","9","","316","5481.341, 61469.37","","","","10","","","","","","2","","","","2","","6","","3","1","1","","","2","","","1","1","","","","2","","","","1","1","2","","","5","","","","64","","","","4","","","","","","","","","","","","1","2","","","","","1","","","","","","1","","1","","","3","","1","1","3","","","","","","","","","","","","5","1","","","","","1","","1","","","","","","","","","","","","","","1","4","2","","","","2","","12","","","","","","","","","","","","","","","2","","","2","1","37","","","","","4","","","","","","","","1","1","","","","","","","","","35","","1","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","1","1",""
