"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Cistaceae","Quercus (evergreen)","Brassicaceae","Erica","Olea/Phillyrea","Artemisia","Cichorioideae","Asteroideae","Cyperaceae","Poaceae","Pinus","Amaranthaceae","Corylus","Ephedra fragilis-type","cf. Juniperus","Polypodiaceae","Plantago","Typha/Sparganium","Poaceae (Cerealia-type)","Tamarix","Ruppia","Quercus (deciduous)","Alnus","Liliaceae","Lamiaceae","Scabiosa","Betula","Armeria","Caryophyllaceae","Euphorbia","Myriophyllum","Salix","Sambucus","Tilia","Apiaceae","Vitis","Fabaceae","Campanulaceae","Fraxinus","Pistacia","Centaurea","Rhamnus","Persicaria maculosa-type","Polygala","Coriaria","Buxus","Hedera","Echium","Ephedra distachya-type","Thymelaea","Sanguisorba minor-type","Hypecoum","Lygeum","Chamaerops","Cannabaceae"
4251,NA,NA,630,0,2,31,4,0,4,3,1,1,1,20,162,13,1,5,2,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
4264,NA,NA,640,0,12,28,0,0,4,3,0,0,3,13,199,6,0,3,1,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4292,NA,NA,650,0,11,132,2,0,9,7,0,1,16,56,223,7,1,5,10,2,5,6,0,9,1,13,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4321,NA,NA,660,0,11,60,2,2,10,9,0,3,3,18,143,17,1,3,8,0,2,3,0,4,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4348,NA,NA,670,0,11,60,2,0,4,5,1,2,1,28,189,8,0,1,8,0,2,3,0,0,4,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4378,NA,NA,680,0,6,24,2,0,3,10,1,3,1,28,160,7,0,3,1,1,1,1,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4407,NA,NA,690,0,3,36,2,0,4,3,3,0,3,18,188,13,2,4,3,0,4,5,0,5,0,2,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
4437,NA,NA,700,0,7,20,2,0,2,3,0,4,2,19,117,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4466,NA,NA,710,0,7,22,2,3,3,2,1,1,8,14,142,5,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4553,NA,NA,740,0,10,82,6,3,6,14,2,1,8,10,355,11,2,2,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4664,NA,NA,780,8,1,143,7,6,21,27,1,3,10,15,282,21,2,5,1,0,3,3,0,2,0,16,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
4772,NA,NA,820,1,12,142,1,2,18,46,5,4,11,12,242,56,1,5,6,0,6,3,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
4855,NA,NA,850,3,9,137,0,7,27,40,5,9,10,24,185,71,0,1,11,1,2,3,0,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
