"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Corylus","Thalictrum","Ulmus","Apiaceae","Poaceae (Cerealia-type)","Echium","Solanum dulcamara","Lysimachia","Ostrya","Phillyrea","Fraxinus excelsior","Erica arborea","Quercus ilex","Abies","Juglans","Pistacia","Pinus","Plantago","Centaurea","Amaranthaceae","Artemisia","Rumex","Asteroideae","Cichorioideae","Brassicaceae","Polypodiophyta (monolete)","Typha angustifolia/Sparganium","Castanea","Olea","Alnus","Quercus robur-type","Poaceae","Fagus","Osmunda-type","Cyperaceae","Ranunculaceae","Filipendula","Mentha","Cannabaceae","Botrychium","Pteridium","Isoëtes","Acer","Lamiaceae","Sedum","Potamogeton","Ranunculus sect. Batrachium-type","Typha latifolia","Fraxinus ornus","Fumaria officinalis","Urticaceae","Carpinus","Morus","Vitis","Convolvulus","Armeria","Cistaceae","Galium","Rosaceae","Papaver","Hedera helix","Salix","Mercurialis","Betula","Juniperus","Polygonum aviculare-type","Campanulaceae","Alisma","Volvocaceae","Liliaceae","Fabaceae","Scrophulariaceae","Helleborus","Nymphaeaceae","Cynoglossum","Selaginella","Ephedra","Tilia","Populus","Viscum","Botryococcus","Centaurium erythraea","Buxus sempervirens","Sambucus racemosa","Prunus","Viburnum","Taxus","Cerinthe","Linum","Knautia","Celtis australis","Valerianoideae","Sambucus","Helianthemum","Ilex","Ligustrum","Poterium sanguisorba","Primula","Gentianaceae","Epilobium","Picea","Lythrum","Geranium","Carthamus-type","Hypericum","Euonymus","Ceratophyllum","Parnassia","Theligonum","Dryopteris","Asperula","Solanum nigrum","Androsace","Sorbus-type","Cirsium","Scabiosa","Dipsacoideae","Saxifraga","Plumbaginaceae","Euphorbia","Myriophyllum","Polygonum","Malvaceae","Anthericum"
10959,NA,NA,798,"","","2","8","4","","","","1","4","","1","","2","45","","","29","3","2","5","5","8","6","1","1","2","","","","8","95","53","146","","","","","","","","","","","2","","","","","6","","","","","","","","","","","","2","","7","5","","","","","","","","","","","","","1","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10981,NA,NA,800,"4","3","2","8","8","5","","","","4","2","2","1","2","43","","","9","7","","4","7","13","2","3","3","6","15","","","18","138","68","170","","1","","1","","","","","","2","","","","","","9","","1","","","","","","","1","4","","2","2","","12","4","","2","2","","","","1","","","1","","2","1","2","","22000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
11024,NA,NA,804,"8","2","","6","5","15","1","","","7","3","4","","3","30","","","18","1","","12","1","19","7","8","3","1","","","","12","117","56","67","1","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","2","","11","","","","","","","","","","","","","1","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","",""
11066,NA,NA,808,"30","","","10","3","4","","","","1","","","1","1","23","","","10","4","","6","16","38","9","22","4","","","1","","13","80","65","28","1","3","","","","","","","","","5","","","","","5","","","","","","1","","","","","","","1","","4","","","3","","","","","","","","","","1","","","","1","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11106,NA,NA,812,"35","1","","3","5","6","","1","","5","","2","","","26","","","14","7","5","5","23","17","13","13","5","3","","","","12","92","69","6","1","2","","","","","","","","","3","","","","1","1","","","","","","7","","","","","","1","2","","1","1","","","","","1","","","","","","","4","","","","13","","","","","","","","","","","","","6","","","1","","","","","","1","","","","","","","","","","","","","","1","","2","","","","",""
11146,NA,NA,816,"48","","","1","2","","","","","3","","","","","32","","","19","12","5","4","21","5","12","46","","2","","","","12","53","46","3","1","3","","","","","","","","","4","","","","","","","","","","","16","","","","","","","","","3","1","","1","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","3","1","1","","",""
11184,NA,NA,820,"55","1","2","3","3","","","1","","3","","","","","17","","","22","13","4","5","25","18","15","41","","1","","","","11","70","77","3","1","4","","","","","","","","","7","","","","1","","","","","","1","5","","","","","","","","1","","1","","","","","","","","","","","","4","1","","","","","","","","","","","","","","","","12","","","1","","","","","","1","","","","","","","","","","","","","","","","2","","","1","",""
11222,NA,NA,824,"39","1","","3","4","","","","","4","","2","","","5","","","9","11","5","5","45","22","20","37","","1","","","","10","68","78","","","4","","","","","","","","","5","","","","","1","","","","","1","","","","","","","","","","6","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11259,NA,NA,828,"53","3","","2","4","","","","","7","","","","","14","","","14","19","4","5","33","8","12","38","","3","","","","8","53","100","","","1","","","","","","","","","3","","","","","1","","","2","","2","9","","","","","","","","","2","2","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","7","","","","","","","","","1","","","","","","","","","","","","","","1","","1","3","","","1",""
11295,NA,NA,832,"46","","","7","3","","","","","1","","1","","","18","","","8","9","11","6","35","6","8","53","","","","","","6","84","68","5","","2","","","","","","","","","2","","","","","3","","","","","1","8","","","","","","","4","1","4","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
11331,NA,NA,836,"47","2","","7","5","","1","1","","6","","1","1","","17","","","9","28","7","5","33","5","12","45","","1","","","","16","67","66","3","2","","","","","","","","","","2","","","","","1","","","","1","2","4","","","","","","1","1","","1","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","2","","3","","","","",""
11367,NA,NA,840,"30","","","2","6","","","","","3","","1","","","3","","","23","20","3","5","17","22","8","22","6","13","","","","11","88","110","8","1","1","","","","","","","","1","3","","","","","7","","","","","1","6","","","","","","","","","4","2","","","","","1","1","","","","","","1","","","","1","","1","","","","","","","","","","","6","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2"
11403,NA,NA,844,"9","","1","3","7","1","","","","1","","1","","","4","","","27","3","","7","14","44","2","8","3","14","","","","13","87","76","46","1","1","","","","","","","","","2","","","","","7","","","","","","5","","","","","","1","1","","13","1","","","","","1","","","","","","","","1","","","3","","","","","","","","","","","","","11","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
11439,NA,NA,848,"","1","2","3","3","5","","","","3","","","1","","1","","","10","6","","7","5","44","4","4","","3","","","","11","124","135","26","","","","","","","","","","","3","","","","","6","","","","","1","4","","","","","","","2","","18","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
