"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Brassicaceae","Quercus ilex-type","Sparganium-type","Ulmus","Acer","Asteroideae","Rubiaceae","Filipendula","Olea","Erica arborea-type","Quercus pubescens-type","Artemisia","Fraxinus ornus","Amaranthaceae-type","Cyperaceae","Cichorioideae","Anthemis-type","Quercus cerris-type","Lemnoideae","Plantago lanceolata-type","Phillyrea","Thalictrum","Apiaceae undiff.","Poaceae","Myriophyllum alterniflorum","Lycopodium spike","Callitriche","Plantago major","Platanus","Ostrya-type","Populus","Poaceae (Cerealia)","Rumex acetosa-type","Eucalyptus","Centaurium","Sorbus-type","Trifolium pratense-type","Sedum-type","Cladium mariscus","Ilex aquifolium","Pimpinella major-type","Ranunculus sect. Batrachium","Sphagnum","Polypodium","Ranunculus acris-type","Aster-type","Plantago maritima-type","Peucedanum-type","Chaerophyllum hirsutum-type","Rumex scutatus-type","Pteridium aquilinum","Sporormiella","Trifolium repens-type","Corylus avellana","Daucus","Mercurialis annua","Pteridophyta (monolete) undiff.","Cercophora-type","Paronychia-type","Centaurea nigra-type","Urtica membranacea-type","Alnus glutinosa-type","Pinus","Urtica dioica-type","Alisma-type","Juniperus-type","Oenanthe","Plantago coronopus-type","Ceratophyllum","Potamogeton-type","Betula","Potentilla-type","Rumex","Pistacia","Bupleurum","Echium-type","Hedera helix","Silenoideae-type","Salix","Rosaceae","Helianthemum","Lythrum portula","Mentha-type","Serratula-type","Fraxinus excelsior-type","Fagus sylvatica","Ranunculus-type","Phragmites australis","Utricularia","Rumex obtusifolius-type","Carpinus betulus","Liliaceae-type","Castanea sativa","Eryngium","Genista-type","Ephedra fragilis-type","Gnaphalium-type","Cyperus-type","Ammi-type","Falcaria-type","Turgenia latifolia","Carduus","Spergula-type","Anthriscus sylvestris-type","Isoëtes","Rubus","Abies","Euphorbia","Juncaceae","Heliotropium","Vicia-type","Hypericum perforatum-type","Papaver rhoeas-type","Solanum dulcamara","Asphodelus albus-type","Trifolium-type","Picea","Apium-type","Smyrnium-type","Fabaceae undiff.","Vitis","Cannabis sativa","Astragalus-type","Humulus lupulus","Daphne","Glomus","Anthyllis","Podospora-type","Cerastium-type","Linum","Osmunda regalis","Cuscuta","Geranium","Rosa","Scabiosa","Silene dioica-type","Viburnum tinus","Loranthus europaeus","Urtica pilulifera","Typha latifolia-type","Corrigiola litoralis","Anemone-type","Cirsium","Senecio-type","Juglans regia","Foeniculum-type","Morus","Prunus-type","Cistus","Sambucus nigra-type","Saxifraga granulata-type","Lygeum spartum","Heracleum","Odontites-type","Carlina","Sanicula europaea","Gladiolus-type","Colchicum-type","Taxus baccata","Theligonum cynocrambe","Ceratonia siliqua","Knautia","Ephedra distachya-type","Calendula","Cynoglossum officinale-type","Cyclamen purpurascens","Gelasinospora","Pteridophyta (trilete) undiff.","Lotus-type","Tilia","Matthiola-type","Epilobium","Calligonum","Polygonum aviculare-type","Allium-type","Melampyrum","Lysimachia vulgaris-type","Ophioglossum lusitanicum","Linaria-type","Scilla-type","Lamiaceae undiff.","Sanguisorba minor-type","Cerinthe","Valerianoideae","Nymphaea","Caltha-type","Viola"
8800.18,NA,NA,604,"18583, 4","1","3","157","2","6","","","","","","","78","","12","1","3","1","1","51","2","","","2","","55","","112","","","","","","3","","","","","","","","4","","","","1","","","","","","","","","","1","","","7","","","","","","","1","","","","","82","3","1","","","","","","1","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8917.63,NA,NA,620,"18583, 4","1","","187","","3","","1","","","","1","76","","10","1","1","","1","54","7","1","","","3","41","","250","","","","","","","","","","","","","","7","","","","","","","","","","","","","","1","","","10","","","","","","1","","","","","","102","3","","","3","","","","2","","","","","","","","","36","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
9035.08,NA,NA,636,"18583, 4","1","","99","","2","1","","","","","1","80","","14","","","1","","117","8","","","","2","42","","83","","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","12","","","","","1","","","","","","","48","2","","","","3","","","4","","","","","","","","8","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9152.52,NA,NA,652,"18583, 4","1","","115","","1","1","","","","","","92","","7","1","1","1","5","110","","1","","","2","53","","162","","","","","","1","","","","","","","","8","","","","1","","","","","","","1","","","2","","","6","","","","","","","","","","","","46","8","","2","","","1","","3","","","","","","","","31","8","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9269.97,NA,NA,668,"18583, 4","1","","100","","1","","1","1","","","1","130","","14","","4","1","1","83","4","","","","2","37","","95","","","","1","","","","","","","","","","1","","","","","","","","","","","2","","","3","","","13","","","","","","","1","","","","","31","3","","","","","","","1","","","","","","","","17","9","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9358.05,NA,NA,680,"18583, 4","1","","66","","","","","","","2","1","129","","11","1","2","1","1","164","2","2","","1","2","49","","104","","","","","","","","","","","","","","1","","","","","","","","","","","2","","","4","","","6","","","","","","","","","","","","31","3","","","","","","","3","","2","","","","","","12","6","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9387.41,NA,NA,684,"18583, 4","1","","94","","1","1","1","","","","","94","","1","","1","","1","170","","","","","4","3","","92","","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","4","","","7","","","","","","","","","","","","28","","","","","","","","4","","","","","","1","","10","13","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9504.86,NA,NA,700,"18583, 4","1","","85","","1","","1","","","","","103","","","2","15","1","1","77","1","1","","","2","100","","113","","","","","","","","","","","","","","1","","","","","","","","","","","5","","","4","","","131","","","","","","1","","","","","","19","","","","","","","1","4","","","","","","","","10","9","2","","","","3","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","1","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
9622.3,NA,NA,716,"18583, 4","1","","154","","1","","","","","","1","108","","14","","6","","1","59","","1","","","4","85","","144","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","2","","","12","","","","","","2","","1","","","","71","","","","","","1","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
9769.11,NA,NA,736,"18583, 4","1","","49","","1","","","","","","","62","","4","1","8","","","112","1","1","","","7","155","","92","","","","2","","","","","","","","","","","","","","","","","","","","","","","","4","2","","29","","","","","","1","","","","","","","1","","","1","","","","1","","","","","","","","6","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9886.55,NA,NA,752,"18583, 4","1","","65","","3","","","","","","","65","1","","3","11","","","86","2","","","1","1","168","","195","","","","1","","1","","","","","","","","","","","","","","","","","","","1","","","","","","12","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","","3","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10004,NA,NA,768,"18583, 4","1","","85","","","3","1","1","","","2","88","1","8","1","11","","1","85","28","","","","7","125","","164","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","5","","","","","1","1","","","","","","29","1","","","","","","","","","1","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10019.91,NA,NA,796,"18583, 4","1","","83","","","","","","","","3","86","1","2","1","10","2","2","114","59","","","","3","103","","204","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","2","1","","","","","","","","","","","","","","19","","","","","","","","1","","","","","","","","2","3","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","",""
10029,NA,NA,812,"18583, 4","1","","40","","1","1","1","","","","","119","","9","","6","1","2","124","41","","","1","1","89","","169","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","1","","","15","","","","","","1","1","","","","","2","","","","","","","","1","","","1","","","","1","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10071.88,NA,NA,828,"18583, 4","1","","73","","","1","1","","","","","82","3","5","1","5","2","","127","15","","","","1","78","","274","","","","","","","","","","","","","","","","","1","1","","","","","","","3","","","2","","","7","","","","","","3","","","","","","","","","","","","1","","","1","","","","","","1","1","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
10216.6,NA,NA,882,"18583, 4","1","","45","","","6","","","","","","103","1","11","3","6","","","108","5","","","","12","116","","126","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","11","","","","","","","","","","","","","1","","5","","","","","","1","","","","","","1","1","6","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
10238.04,NA,NA,890,"18584, 3","1","","","","","2","3","","","","4","200","1","5","","13","1","","","3","1","","","52","99","","126","","","","1","","","","","","1","","","","","","21","","","","","","","","","3","","","1","","","9","","","","","","1","","","","","","2","2","","","","","3","","1","","","","","","","","3","34","5","","","","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1"
