"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Melilotus-type","Rosaceae undiff.","Fraxinus","Juglans","Galium-type","Hedera","Rhamnus-type","Aster-type","Quercus suber-type","Echium","Phillyrea","Centaurea cyanus-type","Cichorieae","Ranunculus","Helianthemum","Plantago major/P. media-type","Poaceae (>50 µm)","Quercus (deciduous-type)","Apiaceae","Plantago coronopus-type","Botryococcus","Pinus","Brassicaceae","Coronilla-type","Rumex","Astragalus-type","Plantago lanceolata-type","Cyperaceae","Amaranthaceae","Ephedra undiff.","Artemisia","Cupressaceae","Ulex-type","Olea","Poaceae","Quercus (evergreen-type)","Cedrus","Pseudopediastrum boryanum","Myriophyllum","Salix","Xanthium","Urtica","Euphorbia","Pistacia","Anthemis-type","Lathyrus-type","Anagallis-type","Betula","Scrophulariaceae","Tilia","Typha latifolia","Alnus","Caryophyllaceae","Cistus","Saxifragaceae","Pteridophyta (trilete) undiff.","Acer","Fabaceae undiff.","Potamogeton","Lotus-type","Erica undiff.","Anthyllis rupestris","Corylus","Filipendula-type","Medicago-type","Mentha-type","Cytisus-type","Lygeum spartum","Convolvulus arvensis-type","Thalictrum","Primulaceae","Ilex","Lamiaceae","Indeterminable undiff.","Equisetum","Typha/Sparganium","Botrychium","Dipsacoideae","Alisma-type","Pteridium aquilinum","Anthericum","Buxus","Campanulaceae","Pteridophyta (monolete) undiff.","Rhus coriaria-type","Geranium","Rubus-type","Vitis","Polypodium","Poterium sanguisorba","Selaginella","Linum","Plantago undiff.","Potentilla-type"
4271.6,NA,NA,980.6,NA,NA,NA,NA,1,NA,NA,NA,4,3,1,NA,NA,NA,NA,1,NA,32,2,NA,164,3,NA,7,3,7,1,NA,NA,NA,8,21,10,5,18,70,89,NA,1,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4375.3,NA,NA,1005.6,NA,NA,5,NA,2,NA,NA,3,NA,NA,1,NA,1,2,NA,1,2,15,1,1,172,NA,NA,NA,4,NA,NA,3,1,NA,19,3,NA,4,47,91,104,5,5,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4432.6,NA,NA,1015.7,NA,NA,6,NA,1,NA,NA,1,NA,1,1,NA,NA,1,2,NA,2,11,2,2,182,NA,NA,NA,NA,NA,NA,3,1,NA,15,6,NA,3,54,111,129,8,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4494,NA,NA,1025.8,NA,NA,4,NA,NA,NA,NA,NA,4,1,2,NA,NA,1,NA,NA,4,20,3,5,163,1.5,NA,NA,6,NA,NA,9,3,NA,11,7,NA,5,44,97,92,5,1,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4555.4,NA,NA,1035.9,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,17,6,2,143,0.5,3,NA,6,NA,NA,2,3,1,7,4,NA,5,40,102,103,6,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4599,NA,NA,1043,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,4,3,1,NA,25,1,NA,176,5,NA,NA,3,1,NA,2,5,3,8,6,3,2,26,100,95,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4617.5,NA,NA,1046,NA,NA,4,NA,2,NA,NA,3,2,3,5,NA,2,3,NA,NA,1,26,1,5,175,1.5,1,NA,4,NA,NA,4,1,NA,14,8,NA,3,50,122,98,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4680.2,NA,NA,1056.2,NA,NA,4,NA,1,NA,NA,2,6,NA,3,NA,NA,1,NA,2,1,22,3,4,159,0.5,2,NA,6,NA,NA,2,3,1,12,3,NA,3,58,103,83,9,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4742.2,NA,NA,1066.3,NA,NA,4,NA,1,NA,NA,NA,5,NA,5,NA,NA,2,1,NA,1,14,2,2,150,0.5,1,NA,4,NA,NA,3,2,2,8,6,NA,1,58,128,119,4,8,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4803.6,NA,NA,1076.4,NA,NA,9,NA,1,NA,NA,2,4,NA,2,NA,NA,NA,2,NA,2,19,2,NA,199,NA,NA,NA,7,NA,NA,1,4,1,20,7,NA,5,53,106,100,3,1,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4864.1,NA,NA,1086.5,NA,NA,7,NA,1,NA,NA,1,1,NA,4,NA,2,1,NA,NA,NA,21,1,3,194,0.5,1,NA,6,NA,NA,5,3,1,14,4,NA,2,47,100,102,7,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4918.8,NA,NA,1096.6,NA,NA,2,NA,NA,NA,NA,1,3,NA,6,NA,1,NA,NA,NA,NA,24,1,2,176,NA,NA,NA,7,NA,NA,5,2,NA,12,3,NA,9,51,115,88,27,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5015.9,NA,NA,1106.7,NA,NA,5,NA,1,NA,NA,NA,2,NA,4,NA,1,NA,NA,NA,1,21,3,2,181,1.5,1,NA,7,NA,NA,3,6,NA,16,2,NA,5,29,85,135,29,8,NA,NA,NA,NA,8,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5122.7,NA,NA,1116.9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,5,1,NA,25,NA,NA,180,8,4,NA,3,2,NA,10,2,8,16,10,NA,9,17,76,92,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225.1,NA,NA,1127,NA,NA,3,NA,NA,1,NA,1,1,NA,5,NA,1,3,1,NA,2,7,2,3,188,0.5,NA,NA,8,NA,NA,2,4,1,13,4,NA,5,47,104,110,23,6,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5328.3,NA,NA,1137.1,NA,NA,10,NA,NA,NA,NA,2,1,NA,5,NA,1,NA,NA,1,1,4,3,1,205,3,1,NA,7,NA,NA,1,6,1,12,2,NA,25,37,111,56,14,9,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5431.8,NA,NA,1147.2,NA,NA,4,NA,NA,NA,NA,1,2,NA,7,NA,2,3,NA,NA,3,8,2,NA,190,0.5,1,NA,5,NA,NA,4,2,NA,15,8,NA,13,32,129,39,30,15,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5534.9,NA,NA,1157.3,NA,NA,2,NA,NA,NA,NA,1,4,NA,7,NA,NA,3,NA,NA,4,9,2,1,199,2,NA,NA,5,NA,NA,2,5,1,25,23,NA,13,52,98,58,14,13,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5657.4,NA,NA,1169.5,NA,NA,2,NA,1,NA,NA,NA,5,NA,6,NA,NA,4,3,NA,1,12,3,3,210,1.5,4,NA,10,NA,NA,1,2,NA,13,25,NA,14,37,111,36,28,16,NA,NA,NA,NA,10,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5924.8,NA,NA,1201.5,NA,NA,6,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,1,4,NA,4,3,4,200,NA,1,NA,3,NA,NA,2,10,NA,13,23,NA,2,42,123,55,213,5,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5944.4,NA,NA,1204.6,NA,NA,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,10,6,8,NA,24,7,10,219,1,2,2,11,6,NA,7,15,4,35,63,2,11,81,211,79,170,5,NA,NA,NA,NA,4,2,1,NA,NA,3,NA,NA,NA,8,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008.2,NA,NA,1214.7,NA,NA,2,NA,1,NA,NA,1,3,NA,NA,NA,1,1,NA,2,2,3,4,7,277,NA,NA,NA,3,NA,NA,5,8,NA,17,19,NA,7,50,106,68,78,7,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6069.8,NA,NA,1224.4,NA,NA,5,NA,1,NA,1,3,NA,NA,3,NA,1,2,NA,1,1,7,4,6,288,1,1,NA,5,NA,NA,1,9,NA,11,19,NA,1,51,127,55,81,14,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6137,NA,NA,1235,NA,NA,6,NA,NA,NA,NA,3,2,NA,1,NA,NA,2,1,1,NA,3,3,8,361,NA,2,NA,7,NA,NA,1,5,NA,12,30,NA,2,46,100,66,161,6,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6201.9,NA,NA,1245.2,NA,NA,3,1,NA,NA,NA,1,1,NA,2,NA,1,3,1,NA,1,2,2,5,452,NA,1,NA,4,NA,NA,NA,3,NA,14,30,NA,6,33,128,76,132,7,NA,NA,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6266.9,NA,NA,1255.4,NA,NA,11,NA,3,NA,NA,2,1,NA,2,NA,NA,3,NA,1,NA,9,6,5,283,2,2,NA,4,NA,NA,1,5,NA,11,22,NA,4,52,118,42,48,14,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6330.7,NA,NA,1265.5,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,11,NA,1,1,NA,1,1,6,3,1,188,1,1,NA,6,NA,NA,1,4,NA,17,13,NA,4,53,139,22,67,19,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6395,NA,NA,1275.7,NA,NA,20,NA,NA,NA,1,1,NA,NA,7,NA,NA,NA,2,NA,NA,18,6,1,198,2,3,NA,6,NA,NA,2,10,1,26,13,NA,1,33,140,18,17,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6458.2,NA,NA,1285.8,NA,NA,4,NA,2,1,1,2,1,NA,9,NA,1,NA,NA,NA,3,7,2,2,74,1,5,NA,4,NA,NA,2,2,2,20,8,NA,10,44,140,30,7,10,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6524.3,NA,NA,1296,NA,NA,7,NA,3,NA,NA,NA,1,NA,12,NA,1,1,1,2,4,10,3,3,105,1,NA,NA,4,NA,NA,1,8,1,31,16,NA,2,50,116,16,9,12,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6662.4,NA,NA,1306.2,NA,NA,17,NA,NA,NA,NA,1,1,2,11,NA,1,NA,1,2,3,5,3,6,137,NA,4,NA,6,NA,NA,5,2,NA,24,12,NA,11,56,148,16,34,14,1,NA,1,NA,5,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6790.9,NA,NA,1316.3,NA,NA,7,NA,NA,NA,NA,1,3,1,14,NA,1,2,NA,NA,2,13,2,6,171,1,3,NA,5,NA,NA,NA,5,NA,30,5,NA,6,54,155,12,30,3,1,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936.4,NA,NA,1326.5,NA,NA,6,NA,2,NA,NA,NA,1,NA,21,NA,1,NA,1,1,3,12,5,3,186,1,2,NA,15,NA,NA,5,5,NA,33,4,NA,13,46,117,9,33,2,1,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7082,NA,NA,1336.5,NA,NA,5,NA,4,NA,NA,NA,2,NA,9,NA,NA,3,1,1,2,19,2,NA,177,1,2,NA,1,NA,NA,1,2,NA,39,5,NA,7,44,132,5,31,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7232.6,NA,NA,1346.8,NA,NA,9,NA,NA,NA,1,1,NA,NA,13,NA,1,1,NA,1,NA,4,3,4,162,1,4,NA,8,NA,NA,2,3,1,44,5,NA,7,69,211,10,84,4,3,NA,NA,NA,9,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7382.2,NA,NA,1357,NA,NA,12,NA,NA,1,NA,3,4,1,10,NA,NA,2,NA,NA,1,10,4,3,242,1,2,NA,2,NA,NA,1,NA,1,41,4,NA,8,52,172,15,48,4,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7530.2,NA,NA,1367.1,NA,NA,4,NA,1,NA,NA,1,NA,2,15,NA,NA,2,NA,1,NA,6,2,NA,207,NA,4,NA,8,NA,NA,2,5,NA,36,2,NA,8,48,148,5,74,2,2,NA,1,NA,6,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,3,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7678,NA,NA,1377.3,NA,NA,7,NA,2,1,NA,1,6,NA,8,NA,NA,2,NA,NA,3,6,5,1,260,2,3,NA,6,NA,NA,2,10,NA,38,1,NA,6,39,145,8,47,1,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7819.2,NA,NA,1387.4,NA,NA,5,NA,1,NA,NA,2,NA,1,13,NA,NA,7,1,2,1,6,8,4,209,1,3,NA,10,NA,NA,2,4,NA,43,3,NA,3,48,125,3,27,2,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,7,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7861.6,NA,NA,1390.5,NA,NA,7,NA,1,NA,1,NA,4,1,5,NA,2,1,NA,NA,1,18,9,1,258,4,3,NA,3,NA,NA,1,9,1,35,9,NA,4,42,171,9,36,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7935.3,NA,NA,1395,NA,NA,18,NA,NA,NA,NA,5,3,NA,10,NA,4,4,NA,3,3,29,9,5,620,NA,2,NA,10,NA,NA,NA,19,NA,80,6,NA,12,78,344,17,30,10,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,3,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8024.7,NA,NA,1400.5,NA,NA,5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,2,NA,1,2,6,141,1,1,NA,7,NA,NA,1,4,1,7,22,NA,4,49,126,68,8,17,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8107.8,NA,NA,1407.9,NA,NA,6,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,1,1,2,3,3,4,283,4,2,NA,3,NA,NA,1,3,NA,19,34,NA,6,49,100,70,9,29,NA,NA,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8225.7,NA,NA,1418.4,NA,NA,4,NA,NA,NA,NA,6,NA,NA,3,NA,2,1,NA,NA,1,1,1,2,140,2,2,NA,10,NA,NA,1,3,NA,17,29,NA,1,51,107,59,18,4,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8344.8,NA,NA,1428.9,NA,NA,4,NA,NA,NA,1,NA,1,1,3,NA,1,NA,NA,4,1,8,1,3,275,1,NA,NA,2,NA,NA,2,8,NA,25,28,NA,6,45,117,49,28,4,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8463.5,NA,NA,1439.4,NA,NA,10,NA,1,NA,NA,3,NA,NA,6,1,NA,NA,1,1,1,4,5,5,172,NA,1,NA,8,NA,NA,4,NA,1,19,19,NA,7,61,104,44,30,4,1,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8582.1,NA,NA,1449.8,NA,NA,5,NA,1,NA,NA,1,4,1,5,1,NA,1,NA,NA,8,8,4,2,286,2,1,NA,4,NA,NA,1,8,1,28,13,NA,3,62,133,38,53,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8701.1,NA,NA,1460.3,NA,NA,6,NA,NA,NA,NA,2,NA,NA,9,NA,NA,4,NA,NA,NA,13,5,8,199,2,3,NA,6,NA,NA,4,9,NA,44,12,NA,5,45,126,3,94,3,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
8819.6,NA,NA,1470.8,NA,NA,3,NA,1,NA,NA,1,2,NA,6,NA,1,2,NA,1,1,12,9,3,264,NA,1,NA,4,NA,NA,1,5,2,44,6,NA,3,63,128,7,35,1,2,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
