"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Sanguisorba","Rosaceae","Polygonaceae","Teucrium","Scrophulariaceae","Polygonum aviculare","Quercus ilex","Papaveraceae","Lamiaceae","Apiaceae","Plantago","Potamogeton","Amaranthaceae","Typha","Ranunculus","Pinus","Quercus coccifera","Cedrus","Brassicaceae","Asteroideae","Poaceae","Cichorioideae","Juncaceae","Cyperaceae","Poaceae (Cerealia)","Sparganium","Ephedra fragilis","Unknown","Centaurea","Cupressaceae","Liliaceae","Fabaceae","Anacardiaceae","Symphytum","Poterium sanguisorba","Monoletes","Myriophyllum","Acer","Fraxinus excelsior","Urtica/Parietaria","Valeriana","Alnus","Trifolium","Valerianella","Sarcopoterium spinosum","Botrychium","Lysimachia","Plantago major","Malvaceae","Paronychia","Cistus","Saxifraga","Betula","Potentilla","Olea","Mercurialis","Asphodelus","Castanea","Corylus","Fagus","Rumex","Juniperus","Convolvulus","Lycopodium","Triletes","Galium","Lythrum","Knautia","Thalictrum","Campanulaceae","Ruta","Abies","Gentianaceae","Euphorbia","Humulus/Cannabis","Scabiosa","Rhus","Pistacia","Euphrasia","Erica","Ilex aquifolium","Carpinus orientalis","Myrica","Rubiaceae","Berberis","Picea","Helianthemum","Iridaceae","Salix","Sedum","Carya","Tamarix","Calligonum","Primulaceae","Hippophaë rhamnoides","Filipendula","Ceratonia","Rhamnus","Cuscuta","Aristolochia","Valerianoideae","Diphasium","Eriocaulon","Myrtus","Sambucus"
13489,NA,NA,468,NA,2,NA,NA,NA,11,NA,NA,12,1,2,10,NA,NA,34,NA,1,NA,NA,18,2,16,74,117,3,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13529,NA,NA,473,6,2,NA,NA,NA,NA,NA,1,2,NA,NA,3,1,7,29,1,NA,1,2,13,11,38,31,62,27,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13607,NA,NA,478,4,1,NA,NA,NA,1,NA,NA,14,NA,4,13,NA,NA,41,NA,2,1,NA,13,4,12,67,110,5,7,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
13646,NA,NA,488,4,11,NA,NA,NA,6,NA,4,12,1,6,9,NA,7,39,NA,NA,1,1,9,9,31,55,91,9,24,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
13686,NA,NA,493,13,6,NA,NA,NA,NA,NA,1,8,NA,13,9,NA,4,49,1,NA,1,NA,22,9,30,55,79,33,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
13725,NA,NA,498,2,3,NA,2,NA,4,NA,NA,18,3,6,11,3,2,35,2,8,1,2,3,10,37,59,93,15,17,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA
13764,NA,NA,503,12,1,NA,NA,NA,2,NA,NA,20,NA,NA,18,NA,7,43,NA,2,NA,NA,23,9,22,81,64,53,17,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13804,NA,NA,508,18,5,NA,NA,NA,4,NA,8,20,NA,8,4,NA,1,59,NA,NA,1,NA,62,8,24,36,33,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13843,NA,NA,513,17,4,NA,NA,NA,2,NA,1,12,NA,15,6,NA,2,33,1,3,NA,NA,27,6,11,63,22,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13882,NA,NA,518,2,6,NA,NA,NA,15,NA,4,49,NA,13,10,NA,3,34,NA,NA,1,NA,27,4,12,80,33,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
13921,NA,NA,523,10,9,NA,1,NA,1,1,3,21,NA,15,8,1,1,34,1,1,1,4,47,4,17,81,30,10,2,1,1,NA,6,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
13961,NA,NA,528,10,2,NA,NA,NA,4,NA,NA,30,NA,16,7,NA,NA,48,NA,NA,NA,NA,52,6,17,79,28,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000,NA,NA,533,25,8,NA,NA,NA,3,NA,2,16,NA,16,11,2,12,37,1,12,NA,1,35,7,23,71,19,23,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000,NA,NA,538,11,5,NA,NA,NA,NA,1,2,39,NA,4,13,1,11,30,1,1,NA,5,72,4,22,62,23,34,12,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
