"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crassulaceae","Malvaceae","Alnus","Ranunculaceae","Fraxinus","Myrica","Pistacia","Rosaceae","Geraniaceae","Dipsacoideae","Acacia","Cedrus","Phillyrea","Ephedra fragilis-type","Noaea-type","Halothamnus-type","Myrtus","Lamiaceae (stephanocolpate)","Bellevalia-type","Cichorioideae","Fabaceae","Asteroideae","Abies","Poaceae","Podocarpus","Bunium-type","Lamiaceae (tricolpate)","Scrophulariaceae","Quercus coccifera-type","Artemisia sp.","Pinus","Cyperus","Atriplex-type","Betula","Castanea","Ericaceae","Allium-type","Centaurea","Chenopodium-type","Quercus ithaburensis-type","Cupressus","Cistaceae","Olea","Campanulaceae","Populus","Plantago","Polygonaceae","Ostrya","Poaceae (Cerealia-type)","Combretaceae","Primulaceae","Rumex","Picea","Tamarix","Cedrus libani","Thymelaea","Epilobium","Brassicaceae","Boraginaceae","Rhamnus","Ceratonia","Ziziphus","Ephedra distachya-type","Sium/Apium-type","Bupleurum-type","Saxifragaceae","Zygophyllaceae","Icacinaceae","Echinops","Papaveraceae","Asphodelus-type","Turgenia-type","Tilia","Valerianoideae","Corylus","Salix","Carpinus","Anisosciadium-type","Plantago lanceolata","Rhus","Acanthaceae","Pimpinella-type","Juniperus","Euphorbiaceae","Ferula-type","Malabaila-type","Ulmus","Caprifoliaceae","Orobanchaceae","Vitis","Acacia albida","Rutaceae","Salvadoraceae","Rubiaceae","Acer","Solanaceae","Cercis","Aristolochiaceae","Tsuga","Dacrydium","Loranthus","Amaryllidaceae","Gentianaceae"
54330,NA,NA,1203,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,18,1,NA,NA,NA,NA,NA,1,1,3,1,2,NA,NA,NA,19,21,71,20,31,NA,NA,NA,NA,NA,2,19,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54620,NA,NA,1213,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,14,1,19,1,NA,NA,NA,NA,1,1,3,NA,5,NA,NA,1,1,12,21,69,39,30,NA,NA,NA,NA,NA,4,2,1,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54900,NA,NA,1223,3,2,NA,1,1,NA,NA,NA,2,NA,NA,NA,2,NA,27,NA,NA,NA,NA,NA,NA,4,3,3,NA,NA,2,3,4,9,12,76,12,29,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55400,NA,NA,1243,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,1,14,NA,NA,NA,NA,NA,1,2,1,NA,1,NA,1,NA,1,9,31,74,19,42,NA,NA,NA,NA,2,2,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56040,NA,NA,1263,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,5,NA,7,1,NA,NA,NA,1,NA,4,2,18,NA,NA,NA,1,1,22,69,37,54,23,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56700,NA,NA,1278,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,28,5,NA,NA,NA,1,1,3,16,NA,NA,NA,1,1,NA,2,46,14,90,66,NA,NA,NA,NA,NA,5,5,NA,NA,1,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58200,NA,NA,1304,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,4,NA,9,3,NA,NA,NA,4,NA,NA,4,3,6,2,1,1,1,4,54,41,68,50,NA,NA,NA,NA,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59350,NA,NA,1325,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,11,26,NA,2,1,2,1,NA,3,2,2,NA,NA,1,NA,2,29,5,39,100,NA,NA,NA,NA,1,8,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60600,NA,NA,1345,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,10,4,NA,NA,NA,1,NA,NA,4,2,3,NA,NA,1,NA,1,43,23,73,99,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61400,NA,NA,1361,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,6,NA,8,4,NA,NA,NA,NA,2,6,2,NA,NA,2,NA,4,NA,4,60,34,20,55,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63070,NA,NA,1391,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,1,2,4,6,NA,2,4,1,4,2,4,34,56,130,52,NA,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64750,NA,NA,1411,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,5,NA,8,2,1,NA,NA,2,NA,3,1,3,5,1,1,1,2,17,40,16,94,68,NA,NA,NA,1,1,1,1,NA,1,4,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65550,NA,NA,1435,2,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,4,2,10,3,NA,1,NA,1,NA,8,2,9,3,2,NA,3,2,3,43,22,128,87,NA,NA,NA,NA,NA,4,1,NA,NA,2,NA,NA,NA,1,NA,1,1,2,2,NA,3,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67000,NA,NA,1461,3,NA,NA,NA,3,NA,1,1,NA,1,NA,NA,4,3,8,1,NA,1,2,1,1,2,10,NA,NA,NA,NA,3,1,3,67,15,76,53,NA,NA,NA,1,NA,1,1,NA,1,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68140,NA,NA,1481,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,1,8,5,1,NA,2,NA,1,NA,1,4,NA,2,NA,NA,4,NA,6,30,20,164,92,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
69620,NA,NA,1508,2,NA,NA,1,1,1,3,NA,1,NA,NA,NA,2,4,8,1,NA,NA,1,5,NA,2,2,1,3,NA,2,6,NA,8,16,29,247,72,NA,NA,NA,1,NA,4,7,NA,1,2,NA,NA,NA,1,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70500,NA,NA,1523,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,4,1,9,2,NA,NA,NA,2,NA,5,4,4,4,NA,NA,4,NA,4,32,33,145,61,NA,NA,NA,NA,NA,1,6,NA,NA,1,NA,1,NA,2,NA,4,1,1,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71600,NA,NA,1543,1,4,NA,2,1,NA,NA,2,NA,NA,NA,NA,6,4,7,3,NA,NA,NA,NA,NA,1,NA,1,7,NA,4,3,1,9,33,26,107,59,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,3,3,NA,2,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72645,NA,NA,1560,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,3,NA,NA,2,NA,NA,2,10,6,2,4,NA,2,4,NA,8,16,54,312,56,NA,NA,NA,NA,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74240,NA,NA,1585,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,7,6,NA,NA,4,1,4,NA,NA,1,2,2,NA,NA,1,1,5,34,11,237,89,NA,NA,NA,3,NA,1,3,NA,NA,1,NA,1,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
75550,NA,NA,1605,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,3,1,NA,3,3,1,1,6,NA,6,NA,NA,3,2,16,47,25,148,56,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
77200,NA,NA,1625,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,7,2,NA,NA,NA,1,NA,3,4,NA,2,3,1,1,NA,15,34,27,167,68,NA,NA,NA,NA,NA,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78780,NA,NA,1645,NA,1,NA,1,1,NA,4,NA,NA,1,NA,NA,3,3,7,1,NA,NA,NA,NA,NA,NA,1,4,1,NA,3,3,NA,12,34,57,60,57,NA,NA,NA,1,1,2,4,NA,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80000,NA,NA,1665,4,NA,NA,NA,2,NA,5,NA,NA,NA,NA,1,4,NA,3,1,1,NA,NA,NA,NA,6,3,5,5,3,NA,2,1,8,38,32,90,61,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81080,NA,NA,1681,NA,2,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,2,10,NA,NA,2,NA,NA,2,NA,4,NA,3,NA,1,2,2,16,24,58,48,40,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81800,NA,NA,1691,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,2,NA,6,8,NA,2,NA,NA,3,2,5,NA,5,2,5,2,NA,24,42,40,30,60,2,NA,NA,NA,NA,2,8,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83000,NA,NA,1703,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,3,NA,3,4,NA,1,2,2,NA,3,NA,7,5,3,1,2,2,6,15,23,113,91,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,1,1,NA,3,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
83710,NA,NA,1713,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,8,3,1,NA,NA,NA,NA,3,NA,NA,3,1,NA,1,NA,15,27,37,33,81,NA,NA,NA,2,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84150,NA,NA,1723,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,10,NA,9,5,NA,1,NA,1,NA,1,NA,4,2,2,3,2,1,9,29,53,31,52,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84310,NA,NA,1733,2,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,2,NA,16,NA,1,NA,NA,NA,NA,2,NA,8,8,NA,NA,NA,NA,10,16,56,5,58,2,NA,2,NA,NA,2,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
84640,NA,NA,1743,4,1,NA,NA,1,NA,NA,NA,4,NA,NA,NA,3,10,13,4,NA,NA,1,10,1,3,2,1,3,NA,7,5,NA,7,33,31,41,78,NA,1,NA,5,1,1,18,NA,NA,1,NA,1,1,3,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85550,NA,NA,1753,1,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,1,1,8,1,NA,NA,1,NA,NA,NA,4,4,3,NA,3,1,NA,44,20,6,7,90,NA,NA,1,2,NA,2,5,NA,1,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85640,NA,NA,1763,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,3,4,3,NA,NA,NA,1,NA,NA,3,2,3,NA,2,1,1,13,38,15,30,84,NA,NA,NA,1,NA,2,14,1,NA,5,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
85850,NA,NA,1778,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,12,3,1,NA,NA,1,NA,NA,3,7,NA,NA,NA,3,1,12,26,10,35,104,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
