"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Euphorbia","Thalictrum","Ulmus","Lythrum","Pistacia","Lamiaceae","Rosaceae","Convolvulus","Cistus","Ephedra","Plantago","Poaceae (Cerealia-type)","Monocotyledoneae","Phillyrea","Pseudoschizaea","Asteroideae","Quercus robur-type","Thymelaea","Ericaceae","Poaceae","Quercus ilex-type","Artemisia","Olea","Pinus","Cichorioideae","Amaranthaceae","Caryophyllaceae","Rumex","Sparganium-type","Fraxinus","Rubiaceae","Scabiosa","Typha latifolia-type","Cyperaceae","Fabaceae","Apiaceae","Polygonum","Rhamnus","Centaurea-type","Unknown (monolete)","Helianthemum","Juniperus","Unknown (trilete)","Vitis","Ranunculaceae","Tamarix","Carpinus","Daphne","Buxus","Echium","Alnus","Geraniaceae","Brassicaceae","Abies","Cedrus","Coriaria myrtifolia","Zygnemataceae","Myriophyllum","Urtica","Chamaerops","Picea","Papaveraceae","Corylus","Salix","Campanulaceae","Populus","Hedera","Ligustrum","Viburnum","Sanguisorba","Sedum-type","Lygeum","Boraginaceae","Botryococcus","Cannabaceae","Malvaceae","Tilia","Acer","Epilobium","Myrtaceae"
8165,8252,8078,1370,NA,NA,NA,NA,NA,NA,3,NA,NA,1,36,7,NA,1,4,85,34,NA,NA,1,14,51,50,13,3,26,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,33,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8301,8386,8216,1380,NA,NA,NA,NA,NA,NA,3,NA,NA,6,10,NA,4,NA,1,123,67,NA,NA,NA,17,45,66,6,1,53,28,NA,1,NA,NA,NA,NA,NA,1,NA,12,NA,NA,NA,5,41,NA,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8437,8521,8352,1390,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,13,1,8,NA,4,19,10,3,NA,3,20,22,19,23,40,13,134,NA,NA,40,NA,NA,NA,NA,3,1,3,NA,NA,NA,4,14,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8573,8659,8487,1400,NA,1,NA,1,NA,3,5,1,NA,2,2,3,NA,NA,1,21,26,4,NA,1,24,54,108,8,4,58,312,NA,3,1,NA,NA,NA,NA,NA,5,25,NA,NA,1,2,13,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
8709,8799,8620,1410,NA,NA,NA,NA,NA,NA,NA,1,NA,1,7,5,NA,NA,NA,105,28,NA,NA,NA,10,18,49,9,2,14,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5,21,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
8845,8942,8753,1420,NA,NA,NA,NA,NA,3,NA,NA,NA,1,9,5,3,3,3,90,34,1,NA,NA,22,11,13,9,4,158,263,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,2,17,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8981,9083,8883,1430,1,NA,NA,NA,NA,4,11,NA,NA,2,2,NA,NA,NA,1,14,30,2,NA,NA,20,71,93,4,5,138,57,5,1,NA,1,NA,NA,NA,1,4,27,NA,NA,1,NA,16,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9117,9224,9013,1440,NA,NA,NA,NA,NA,NA,3,NA,NA,3,15,NA,1,NA,2,23,76,NA,NA,NA,8,47,47,11,8,156,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,26,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9253,9366,9142,1450,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,5,1,NA,2,30,49,NA,NA,NA,12,13,42,2,1,462,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9390,9508,9271,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,27,143,2,NA,NA,20,54,98,3,3,434,2249,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,NA,5,NA,28,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9526,9650,9400,1470,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,1,32,31,NA,NA,NA,17,69,103,5,5,150,203,NA,NA,NA,NA,1,NA,NA,NA,1,20,NA,NA,NA,1,15,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9662,9792,9528,1480,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,26,5,1,NA,NA,NA,NA,18,2,4,157,112,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,3,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9798,9933,9654,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,14,49,1,NA,NA,10,36,109,6,8,207,224,NA,NA,NA,NA,NA,NA,NA,NA,2,27,NA,NA,NA,NA,21,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
9934,10077,9782,1500,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,44,45,NA,NA,NA,6,45,108,NA,1,371,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,1,1,23,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10070,10221,9909,1510,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,1,80,30,NA,NA,NA,5,18,57,16,13,69,39,NA,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,11,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10206,10366,10037,1520,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,1,NA,NA,1,15,30,2,NA,NA,3,41,102,8,7,187,61,NA,NA,1,NA,NA,NA,NA,NA,1,23,NA,NA,NA,1,15,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10342,10511,10164,1530,2,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,1,17,31,NA,NA,1,13,39,117,11,2,155,222,1,1,2,NA,1,NA,NA,3,3,25,NA,NA,NA,NA,11,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
10449,10618,10269,1540,NA,NA,NA,1,NA,3,NA,NA,NA,1,NA,2,NA,NA,2,26,14,1,NA,3,10,19,22,1,9,138,135,NA,NA,1,NA,NA,NA,NA,1,1,7,NA,NA,NA,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
10512,10673,10343,1550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,30,22,2,NA,NA,4,34,63,3,5,111,133,NA,NA,1,NA,NA,NA,NA,NA,1,13,1,NA,NA,NA,15,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
10575,10732,10415,1560,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,3,NA,NA,NA,27,37,NA,NA,NA,12,40,158,1,2,93,80,NA,NA,NA,1,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,24,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
10639,10793,10487,1570,NA,NA,NA,NA,NA,3,1,3,NA,NA,3,7,NA,NA,1,42,81,1,NA,NA,14,20,57,10,NA,424,1680,1,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
10702,10853,10553,1580,NA,NA,NA,NA,NA,1,1,1,NA,NA,3,3,NA,NA,NA,28,62,3,NA,NA,6,11,70,7,1,344,158,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,7,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10765,10915,10616,1590,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,29,27,1,NA,NA,16,45,124,3,3,77,26,NA,NA,NA,1,NA,NA,NA,1,1,27,NA,NA,NA,NA,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10828,10981,10679,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,25,11,NA,NA,NA,11,23,18,NA,4,135,24,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10892,11050,10740,1610,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,20,28,1,NA,NA,12,50,136,3,NA,129,124,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,NA,NA,NA,13,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10955,11121,10801,1620,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,1,NA,1,17,84,1,NA,NA,6,13,20,NA,NA,204,184,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,6,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11018,11190,10858,1630,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,3,39,1,NA,1,13,26,164,NA,2,219,72,NA,1,NA,NA,2,NA,NA,1,NA,15,NA,NA,NA,NA,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11081,11264,10917,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,27,72,6,NA,NA,6,31,45,4,11,179,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
11145,11337,10974,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,42,34,3,NA,NA,7,43,92,2,11,117,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,2,8,1,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
11208,11411,11029,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,23,80,NA,NA,NA,7,15,49,1,3,476,54,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,4,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
11271,11486,11084,1670,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,7,44,1,NA,NA,13,47,141,1,1,180,21,NA,1,NA,NA,1,NA,NA,NA,NA,19,NA,NA,2,NA,6,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
11334,11563,11138,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,22,1,NA,NA,2,19,89,NA,3,51,5,NA,NA,NA,NA,1,NA,NA,NA,1,13,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11398,11640,11190,1690,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3,1,2,NA,3,5,26,12,NA,3,28,44,81,12,8,126,96,1,1,4,NA,NA,NA,NA,6,4,10,NA,NA,NA,NA,14,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11461,11718,11241,1700,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,4,NA,NA,NA,3,33,1,NA,1,8,14,16,5,4,57,67,NA,1,4,NA,NA,NA,NA,2,2,1,NA,1,NA,1,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12031,12274,11824,1710,NA,2,NA,NA,NA,6,NA,NA,NA,1,8,5,NA,NA,NA,NA,23,6,NA,2,20,46,106,12,4,45,102,NA,1,7,1,NA,NA,NA,3,2,19,1,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12601,12833,12400,1720,1,NA,NA,NA,NA,NA,2,NA,NA,NA,5,7,1,NA,1,2,16,7,NA,NA,9,30,34,7,5,33,35,NA,2,10,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,6,3,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
13171,13397,12970,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,2,NA,NA,1,2,8,NA,3,16,32,11,5,9,25,19,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13741,13962,13532,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,8,3,NA,NA,NA,3,10,NA,2,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14311,14528,14087,1750,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,3,8,9,4,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
14881,15097,14642,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,16,4,3,NA,NA,6,13,12,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15451,15669,15196,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,NA,NA,8,3,7,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16591,16821,16305,1790,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,3,1,5,NA,NA,1,9,2,4,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
17730,17980,17405,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,10,3,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18870,19153,18500,1830,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,4,NA,NA,5,13,1,3,6,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010,20334,19587,1850,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,12,1,NA,NA,2,3,18,NA,NA,13,36,1,94,15,2,46,1,NA,34,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20580,20927,20129,1860,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,1,1,6,16,2,13,3,NA,15,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
