"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Castanea","Geum-type","Cichorioideae","Sagittaria","Xanthium","Pistacia","Ranunculus","Plantago major-type","Papaver","Convolvulus","Capsella-type","Centaurea solstitialis-type","Ephedra distachya-type","Ephedra fragilis-type","Paliurus","Betula","Nuphar","Asteroideae","Persicaria maculosa-type","Poaceae (Cerealia-type)","Polypodium","Caryophyllaceae","Nymphaea","Ulmus","Populus","Juniperus","Nymphoides","Olea","Pteridium","Juglans","Alisma","Myriophyllum alterniflorum","Polygonum aviculare-type","Tilia","Plantago lanceolata-type","Artemisia herba-alba-type","Poterium sanguisorba","Apiaceae","Isoëtes","Abies","Ericaceae","Amaranthaceae","Rumex acetosa-type","Dryopteris-type","Alnus","Fagus","Fraxinus ornus","Sparganium-type","Brassica-type","Carpinus betulus","Corylus","Unknown","Quercus ilex","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Poaceae","Myriophyllum spicatum/M. verticillatum","Quercus robur-type","Acer","Liliaceae","Ranunculaceae","Rosaceae","Helianthemum","Lotus-type","Hypericum perforatum-type","Thalictrum","Galium-type","Matricaria-type","Fallopia convolvulus-type","Platanus","Vitis","Lysimachia","Malva","Butomus umbellatus","Trifolium-type","Plantago media-type","Fraxinus excelsior","Ranunculus repens-type","Thymus/Mentha","Ranunculus sect. Batrachium-type","Crataegus-type","Typha latifolia","Stachys-type","Phillyrea angustifolia","Ophioglossum","Lythrum","Plantago undiff.","Fabaceae","Rumex hydrolapathum","Menyanthes trifoliata","Potamogeton","Humulus/Cannabis","Mercurialis","Clematis-type","Artemisia vulgaris-type","Colchicum","Calligonum","Equisetum","Cornus","Ranunculus sceleratus-type","Persicaria amphibia","Hedera","Centaurea cyanus-type","Asphodelus albus-type","Scilla-type","Cladium mariscus","Muscari","Scorzonera-type","Ranunculus circinatus","Helleborus","Viburnum-type","Oleaceae","Campanula-type","Plantago coronopus-type","Plantago maritima-type","Abutilon","Centaurea scabiosa-type","Bupleurum-type","Centaurea jacea-type","Potentilla-type","Pediastrum duplex","Rhinanthus-type","Teucrium","Scrophularia/Verbascum","Onobrychis-type","Salix","Ranunculus acris","Pediastrum divergens","Urtica","Pediastrum longicorne","Valeriana","Knautia","Allium","Solanum dulcamara","Boraginaceae","Euphorbia","Trifolium pratense","Geraniaceae","Centaurea undiff.","Salvinia","Thelypteris palustris","Monactinus simplex","Pseudopediastrum kawraiskyi","Filipendula","Ilex","Buxus","Sphagnum","Cistaceae","Taxus","Pseudopediastrum brevicorne","Lemna","Geranium","Hippophaë","Caltha","cf. Lycopodium","Armeria/Limonium","Saxifraga rotundifolia","Cirsium/Gundelia","Senecio-type","Scabiosa","Noaea-type","Lonicera","Linum","Utricularia","Hippuris","Aquilegia-type","Epilobium","Azolla","Erodium","Herniaria-type","Sambucus nigra-type","Fraxinus","Juniperus sabina","Myosotis","Adonis","Nigella","Lamiaceae","Dipsacoideae","Leontice leontopetalum","Saxifraga oppositifolia","Dipsacus-type","Genista-type","Spergularia-type","Rhamnaceae","Botrychium","Picea","Stratiotes","Symphytum-type","Echinops","Acorus calamus","Cistus","Viscum","Succisa","Brassicaceae","Rumex patientia var. kurdicus","Delphinium-type","Rhus","Vicia-type","Matthiola"
41076,42512,39793,865,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,154,NA,1,NA,1,NA,8,NA,NA,NA,37,4,2,NA,3,219,1,2,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41812,43286,40496,880,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,139,NA,1,1,1,1,9,NA,NA,NA,55,4,NA,NA,NA,238,NA,9,NA,49,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
42303,43801,40963,890,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,1,NA,2,NA,1,NA,1,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,125,NA,3,NA,NA,2,9,NA,NA,NA,77,19,8,NA,6,157,2,22,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42794,44316,41429,900,11,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,2,NA,4,1,5,NA,4,1,15,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,56,NA,2,NA,29,NA,23,5,3,7,10,1,2,1,71,22,3,NA,13,224,1,64,NA,322,4,NA,1,1,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43285,44832,41897,910,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,1,5,NA,1,NA,NA,NA,NA,NA,4,NA,21,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,33,NA,3,NA,10,NA,9,4,1,4,6,1,NA,NA,51,26,NA,NA,NA,113,7,34,NA,212,2,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43776,45348,42365,920,34,NA,NA,17,NA,NA,2,NA,NA,NA,NA,5,4,2,10,NA,5,NA,9,NA,12,NA,11,NA,67,NA,13,NA,NA,NA,NA,1,NA,2,8,2,167,NA,6,NA,38,NA,50,13,4,12,15,3,4,1,141,104,9,1,20,393,7,196,1,979,12,NA,2,NA,NA,NA,NA,1,1,5,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,6,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
44267,45863,42832,930,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8,3,14,NA,4,NA,4,4,11,NA,6,NA,28,NA,2,NA,NA,NA,NA,1,NA,1,NA,2,68,NA,3,NA,6,NA,28,2,7,9,7,4,3,NA,31,51,4,1,15,141,NA,81,1,460,5,NA,NA,NA,1,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
45003,46636,43533,945,39,NA,NA,2,NA,NA,NA,1,NA,NA,NA,12,1,6,2,NA,7,NA,11,3,2,NA,5,NA,4,NA,4,NA,NA,NA,NA,NA,NA,2,1,1,95,NA,3,NA,9,NA,36,6,2,4,NA,NA,29,5,6,11,11,NA,72,176,6,154,4,306,1,NA,NA,1,NA,NA,NA,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA,NA,1,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,3,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45494,47152,44001,955,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,NA,3,NA,5,1,1,NA,5,NA,9,NA,3,NA,NA,1,NA,NA,NA,NA,1,1,77,NA,1,NA,21,NA,33,2,13,7,7,NA,6,4,19,22,11,NA,28,261,4,67,3,338,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45740,47410,44235,960,43,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,3,3,3,NA,6,NA,10,4,7,NA,9,NA,7,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,117,NA,6,NA,8,NA,62,4,3,7,1,NA,20,8,4,15,17,1,58,193,2,188,2,299,2,NA,2,NA,NA,NA,NA,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,1,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46231,47925,44702,970,24,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,9,8,NA,10,NA,12,9,5,NA,10,NA,7,NA,4,NA,NA,NA,NA,NA,NA,3,2,3,257,NA,9,NA,2,NA,101,14,9,7,3,NA,67,24,11,5,16,NA,106,231,1,472,26,318,5,NA,NA,NA,2,NA,NA,2,1,14,1,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
46722,48441,45170,980,44,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,14,4,NA,8,NA,10,5,8,NA,3,NA,7,NA,1,NA,NA,NA,NA,NA,2,4,1,1,221,NA,10,NA,1,NA,66,8,4,3,2,NA,6,2,4,6,8,1,62,35,NA,158,6,192,3,2,NA,NA,NA,NA,NA,5,3,22,NA,NA,NA,NA,NA,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47213,48956,45636,990,4,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7,NA,2,NA,9,4,6,NA,13,NA,9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,1,NA,11,NA,29,NA,8,3,4,1,3,1,7,9,2,2,9,288,1,92,1,399,1,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47704,49470,46102,1000,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,NA,1,NA,4,NA,2,NA,5,NA,5,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,52,NA,1,NA,10,NA,21,4,2,3,3,NA,7,1,NA,5,12,NA,9,142,NA,51,1,218,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48195,49986,46569,1010,15,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,NA,2,NA,8,2,NA,NA,3,NA,3,NA,8,NA,NA,NA,NA,NA,NA,4,NA,NA,71,NA,1,NA,3,NA,62,7,NA,2,NA,NA,15,NA,NA,3,7,NA,43,138,NA,160,1,243,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
48685,50502,47037,1020,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,4,8,3,NA,3,NA,13,9,1,NA,6,NA,6,NA,5,NA,NA,NA,NA,1,NA,5,NA,1,173,NA,6,NA,2,NA,60,14,5,9,NA,NA,38,1,NA,4,21,1,45,71,NA,160,6,288,1,NA,NA,NA,NA,NA,NA,NA,3,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,6,NA,NA,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
49176,51017,47504,1030,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,14,10,NA,4,NA,12,1,NA,NA,5,NA,2,NA,12,NA,NA,NA,NA,NA,NA,7,NA,NA,108,NA,2,NA,1,NA,40,4,1,5,NA,NA,13,4,1,2,10,NA,33,58,NA,85,5,217,NA,NA,NA,NA,1,NA,NA,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49667,51531,47970,1040,37,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,7,6,NA,4,NA,23,2,3,NA,7,NA,2,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,110,NA,5,NA,2,NA,43,11,1,4,NA,NA,19,NA,NA,NA,4,NA,66,132,1,175,11,210,NA,NA,NA,1,NA,NA,NA,3,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,4,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50158,52047,48438,1050,4,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,5,4,1,NA,2,NA,7,1,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3,NA,2,99,NA,2,NA,4,NA,72,1,5,4,NA,NA,15,1,NA,1,45,NA,24,45,NA,115,NA,252,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50649,52562,48905,1060,11,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,2,14,7,5,NA,10,NA,35,11,5,NA,6,NA,3,NA,19,NA,NA,NA,NA,NA,NA,12,NA,NA,242,NA,9,NA,3,NA,99,16,3,7,1,NA,36,2,NA,4,28,NA,97,42,NA,320,3,220,NA,1,5,1,NA,NA,NA,1,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,6,NA,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,13,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51140,53077,49372,1070,24,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,3,6,2,NA,4,NA,9,19,NA,1,4,NA,3,NA,8,NA,NA,NA,NA,NA,NA,9,1,NA,198,NA,6,NA,5,1,83,38,13,4,NA,NA,117,NA,1,2,11,3,144,51,NA,210,14,198,NA,NA,4,NA,NA,NA,NA,1,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,23,NA,NA,NA,NA,1,NA,1,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
