"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Lamiaceae","Dipsacoideae","Olea","Ulmus","Cedrus","Castanea","Corylus","Cyperaceae","Malvaceae","Thalictrum","Hypericum","Alnus","Juglans","Juniperus","Rumex","Ranunculaceae","Polygonum","Cichorioideae","Sanguisorba","Quercus coccifera","Poaceae (Cerealia)","Equisetum","Brassicaceae","Plantago","Asteroideae","Caryophyllaceae","Ericaceae","Quercus cerris","Centaurea","Poaceae","Pinus","Iridaceae","Populus","Saxifraga","Elodea","Potamogeton","Typha","Scabiosa","Liliaceae","Lemna","Valerianoideae","Ephedra","Amaranthaceae","Fraxinus ornus","Fraxinus","Alismataceae","Apiaceae","Helianthemum","Pistacia","Nymphaea","Rosaceae","Carpinus orientalis","Rhamnus","Matthiola","Aegilops","Euphrasia","Cistus","Acer","Celtis","Butomus","Vitis","Cercis","Hydrocharis","Scrophulariaceae","Orobanchaceae","Ligustrum","Myriophyllum","Betula","Urticaceae","Salix","Tilia","Polygalaceae","Galium","Sagittaria","Sambucus","Fagopyrum","Euphorbiaceae","Campanulaceae","Fumaria","Papaveraceae","Cerastium","Arceuthobium","Platanus","Boraginaceae","Humulus"
2076.277,NA,NA,578,1,1,NA,NA,NA,5,2,4,2,69,NA,NA,NA,1,14,6,4,25,11,4,6,5,9,22,NA,14,5,4,NA,7,15,29,122,NA,1,NA,NA,NA,32,NA,NA,1,1,NA,NA,8,1,4,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2079.635,NA,NA,580,4,2,NA,NA,NA,5,3,4,4,87,NA,NA,NA,1,16,5,5,11,4,4,3,4,12,10,NA,15,4,4,NA,6,21,31,102,NA,1,NA,NA,NA,26,NA,3,2,4,NA,1,11,2,6,3,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,NA,10,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081.314,NA,NA,581,6,4,NA,NA,NA,NA,7,8,NA,60,NA,1,NA,NA,15,4,10,10,NA,5,NA,1,17,10,NA,20,5,1,NA,8,17,35,125,NA,1,NA,NA,4,52,NA,5,5,6,NA,1,15,2,8,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,2,NA,NA,2,15,NA,8,NA,NA,NA,11,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2089.708,NA,NA,586,6,6,NA,NA,NA,NA,5,6,NA,72,NA,1,NA,NA,15,5,12,15,NA,4,NA,4,15,20,NA,16,5,1,1,10,16,35,120,NA,2,NA,NA,3,42,NA,1,5,5,2,1,13,3,6,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,5,NA,NA,NA,10,NA,NA,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2096.423,NA,NA,590,5,4,NA,NA,NA,2,3,1,NA,96,NA,NA,NA,NA,12,10,12,33,NA,2,NA,3,18,46,NA,18,2,1,1,11,9,49,103,NA,4,1,NA,5,9,NA,3,6,10,5,4,11,5,6,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,5,8,NA,6,NA,NA,NA,3,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2103.139,NA,NA,594,3,20,NA,NA,4,3,1,1,NA,55,NA,8,NA,6,2,36,6,42,NA,12,NA,14,NA,38,NA,9,10,4,NA,26,8,78,32,NA,7,NA,NA,NA,4,5,2,2,5,14,12,1,8,NA,8,6,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2109.854,NA,NA,598,3,28,NA,NA,6,16,1,NA,NA,12,NA,11,NA,15,NA,75,6,3,NA,12,NA,15,1,NA,NA,3,15,6,NA,30,6,40,8,NA,16,NA,NA,NA,NA,8,9,NA,9,31,25,NA,30,NA,9,9,3,NA,NA,8,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2116.569,NA,NA,602,1,18,NA,NA,8,15,NA,NA,NA,20,NA,12,NA,12,NA,45,4,15,NA,8,NA,16,NA,6,NA,2,12,8,1,31,5,45,12,NA,17,NA,NA,NA,NA,8,7,NA,8,26,22,NA,33,NA,6,6,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2123.285,NA,NA,606,NA,6,NA,NA,3,7,1,NA,NA,128,NA,5,NA,9,2,18,8,58,NA,7,NA,8,NA,20,NA,13,11,5,2,25,9,72,17,NA,14,NA,NA,NA,5,5,12,1,5,21,8,2,20,NA,3,6,NA,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130,NA,NA,610,NA,9,NA,NA,3,12,1,NA,NA,130,NA,6,NA,8,5,20,15,60,NA,5,NA,12,2,25,NA,19,10,6,3,26,9,65,20,NA,15,NA,NA,1,5,6,NA,NA,2,18,9,2,22,1,NA,5,1,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2134.393,NA,NA,614,NA,9,NA,NA,1,8,NA,NA,NA,88,NA,5,NA,6,NA,18,14,42,NA,12,NA,8,2,7,NA,27,15,4,5,19,22,69,42,NA,9,NA,NA,1,10,5,1,1,2,11,11,1,18,1,4,4,4,1,1,5,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2138.786,NA,NA,618,NA,20,NA,NA,5,15,NA,1,NA,99,NA,6,NA,9,NA,22,11,59,NA,11,NA,9,1,5,NA,22,20,5,6,25,12,74,15,NA,16,NA,NA,NA,NA,7,1,NA,5,18,12,1,24,NA,6,5,5,NA,1,6,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2143.179,NA,NA,622,1,8,NA,NA,3,9,NA,2,NA,115,NA,1,NA,8,6,12,17,68,NA,12,NA,5,4,15,NA,27,15,5,5,18,16,75,37,NA,11,NA,NA,NA,3,7,NA,1,NA,13,6,4,22,4,1,NA,1,4,1,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2147.572,NA,NA,626,5,4,NA,NA,1,5,3,6,NA,94,NA,NA,NA,4,8,5,13,64,NA,5,NA,4,7,8,NA,20,7,1,3,12,12,54,89,NA,4,NA,NA,5,30,5,NA,9,NA,6,2,7,7,8,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,NA,8,NA,NA,NA,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2151.965,NA,NA,630,1,7,1,NA,3,8,1,2,NA,122,NA,3,NA,8,7,12,15,55,NA,10,NA,6,5,16,NA,26,13,5,3,19,10,72,38,NA,8,NA,NA,NA,10,6,NA,2,NA,13,6,5,20,5,NA,1,2,6,1,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2155.26,NA,NA,633,2,8,NA,NA,3,6,NA,5,NA,120,NA,3,NA,6,8,8,15,42,NA,6,NA,4,6,15,NA,25,12,6,3,22,12,70,42,NA,6,NA,NA,2,16,6,NA,5,NA,6,6,8,16,5,NA,1,1,6,1,3,NA,NA,NA,NA,1,NA,NA,5,1,NA,5,NA,NA,NA,5,NA,NA,6,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2159.653,NA,NA,637,7,4,NA,NA,1,2,6,7,NA,80,NA,NA,NA,4,16,3,13,7,NA,10,NA,3,16,9,NA,17,13,2,2,8,16,42,105,NA,NA,NA,NA,12,55,3,NA,12,NA,3,3,17,8,12,NA,NA,NA,18,1,1,NA,NA,NA,NA,NA,NA,NA,12,2,NA,15,NA,NA,NA,12,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2164.046,NA,NA,641,2,5,1,NA,4,3,2,6,NA,101,NA,NA,NA,6,15,8,8,30,NA,4,NA,3,17,22,NA,14,2,1,2,10,15,62,50,NA,NA,NA,NA,5,25,2,NA,5,1,8,5,22,10,8,NA,NA,NA,9,NA,3,NA,NA,NA,NA,NA,NA,NA,8,6,NA,5,NA,NA,NA,7,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2168.439,NA,NA,645,8,4,NA,NA,1,1,7,8,NA,80,NA,NA,NA,4,12,3,10,8,NA,5,NA,4,15,10,NA,18,5,NA,3,11,13,35,120,NA,NA,NA,NA,10,42,NA,NA,15,3,2,1,21,6,15,NA,NA,NA,16,NA,2,NA,NA,NA,NA,NA,NA,NA,12,8,NA,12,NA,NA,NA,12,NA,NA,1,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2173.931,NA,NA,650,2,5,NA,NA,1,3,5,6,NA,99,NA,NA,NA,5,16,4,13,15,NA,4,NA,4,13,16,NA,15,5,2,3,13,16,30,41,NA,NA,NA,NA,8,28,NA,NA,8,NA,5,2,23,5,12,NA,NA,NA,16,1,2,NA,NA,NA,NA,NA,NA,NA,12,12,NA,8,NA,NA,NA,8,NA,NA,2,NA,1,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2179.971,NA,NA,656,4,5,NA,NA,1,4,4,6,NA,85,NA,NA,NA,12,15,3,10,6,NA,5,NA,5,16,15,NA,17,7,1,1,13,13,41,115,NA,NA,NA,NA,5,38,NA,NA,12,NA,4,1,22,8,15,NA,NA,NA,15,1,1,NA,NA,NA,NA,NA,NA,NA,10,8,NA,10,NA,NA,NA,9,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2184.364,NA,NA,660,8,5,NA,NA,2,4,5,5,NA,98,NA,NA,NA,8,12,5,6,6,NA,10,NA,4,15,21,NA,21,9,1,3,10,15,58,102,NA,NA,NA,NA,2,31,NA,NA,8,2,4,2,18,5,12,NA,NA,1,12,2,1,NA,NA,NA,NA,NA,NA,NA,12,5,NA,6,NA,NA,NA,9,NA,NA,1,NA,NA,NA,6,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA
2189.306,NA,NA,664,4,7,NA,NA,1,5,1,6,NA,112,NA,NA,NA,6,8,5,12,10,NA,12,NA,5,12,25,NA,22,10,1,1,6,15,56,81,NA,1,NA,NA,2,15,NA,NA,5,4,7,5,16,8,8,1,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,10,4,NA,5,NA,NA,NA,5,NA,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2195.347,NA,NA,670,7,4,NA,NA,2,4,2,6,NA,85,NA,NA,NA,5,10,3,6,5,NA,7,NA,4,16,10,NA,16,6,NA,NA,6,13,40,102,NA,NA,NA,NA,5,34,NA,NA,9,1,3,3,20,4,13,NA,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,13,5,NA,8,NA,NA,NA,9,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2200.838,NA,NA,675,5,4,NA,NA,2,4,2,7,NA,82,NA,NA,NA,6,7,3,10,5,NA,7,NA,4,13,11,NA,20,5,NA,NA,7,15,39,112,NA,NA,NA,NA,5,34,NA,NA,8,NA,2,2,14,5,9,NA,NA,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA,12,5,NA,8,NA,NA,NA,9,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2206.33,NA,NA,680,4,5,NA,NA,1,6,NA,5,NA,102,NA,NA,NA,3,6,4,6,13,NA,9,4,6,8,18,NA,15,6,1,NA,8,9,88,88,NA,4,NA,NA,2,13,NA,4,4,NA,6,4,10,6,8,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,6,2,NA,5,NA,NA,NA,5,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2210.173,NA,NA,683,2,10,NA,NA,NA,1,NA,4,2,35,NA,NA,NA,5,10,22,3,9,3,5,8,12,13,11,NA,22,5,5,1,5,9,97,55,NA,3,NA,NA,NA,27,NA,14,NA,NA,4,15,8,NA,3,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2213.468,NA,NA,686,4,11,NA,NA,NA,2,2,2,3,29,NA,5,NA,NA,10,26,NA,13,NA,5,4,17,5,NA,NA,12,10,11,NA,6,9,130,28,NA,NA,NA,NA,NA,4,NA,4,NA,NA,5,20,5,NA,NA,4,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
2215.665,NA,NA,688,4,16,NA,NA,NA,1,3,1,2,19,NA,4,NA,NA,8,35,NA,4,NA,7,2,20,6,2,NA,4,8,6,NA,7,12,128,26,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,7,25,4,NA,NA,15,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
2218.959,NA,NA,691,2,9,NA,NA,NA,NA,NA,NA,2,23,NA,11,NA,NA,8,23,NA,1,NA,5,NA,17,6,4,NA,3,16,7,NA,7,5,177,32,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,16,4,1,NA,10,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2222.254,NA,NA,694,2,13,NA,NA,NA,NA,1,NA,1,15,NA,11,NA,NA,6,29,NA,2,NA,8,NA,20,6,NA,NA,6,15,7,NA,6,7,172,29,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,8,29,4,NA,NA,12,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2225.549,NA,NA,697,2,9,NA,NA,NA,NA,NA,NA,NA,42,NA,7,NA,NA,11,21,NA,10,NA,3,NA,15,7,NA,NA,10,26,9,NA,3,14,120,50,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3,23,3,NA,NA,6,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2228.844,NA,NA,700,2,10,NA,NA,NA,NA,NA,NA,NA,39,NA,8,NA,NA,10,25,NA,8,3,4,NA,22,7,NA,NA,10,24,8,NA,4,13,135,45,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,4,24,4,NA,NA,9,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2232.139,NA,NA,703,NA,4,NA,NA,NA,1,NA,1,3,102,NA,NA,NA,3,25,5,3,17,7,3,4,4,5,NA,NA,19,4,12,NA,5,30,18,132,NA,1,NA,NA,NA,16,NA,15,NA,NA,NA,4,5,NA,4,NA,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2235.434,NA,NA,706,NA,4,NA,NA,NA,1,NA,1,3,112,NA,NA,NA,3,18,7,4,18,5,4,4,4,4,NA,NA,17,6,10,NA,5,25,22,129,NA,1,NA,NA,NA,14,NA,12,NA,NA,NA,5,4,NA,5,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2238.728,NA,NA,709,1,6,NA,NA,NA,NA,NA,1,NA,57,NA,1,NA,3,3,5,9,21,1,10,NA,4,1,NA,NA,7,8,9,NA,8,16,35,147,NA,1,NA,NA,NA,15,NA,6,NA,NA,NA,2,NA,NA,4,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2239.827,NA,NA,710,2,4,NA,NA,NA,NA,NA,1,NA,62,NA,1,NA,2,3,8,7,20,1,8,NA,4,1,NA,2,8,6,8,NA,9,15,51,135,NA,NA,NA,NA,NA,20,NA,8,NA,NA,NA,3,NA,NA,4,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2242.023,NA,NA,712,14,13,NA,NA,NA,NA,12,NA,NA,1,NA,3,NA,NA,NA,7,4,4,1,8,NA,3,2,NA,6,22,46,4,NA,9,22,130,159,NA,NA,NA,NA,NA,NA,1,12,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2243.121,NA,NA,713,12,12,NA,NA,NA,NA,8,NA,NA,3,NA,4,NA,NA,NA,7,4,5,NA,7,NA,3,NA,NA,4,9,42,4,1,8,17,129,162,NA,NA,NA,NA,NA,NA,1,10,NA,NA,6,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2244.22,NA,NA,714,13,16,NA,NA,NA,NA,9,NA,NA,7,NA,7,NA,NA,NA,40,5,NA,NA,10,4,20,NA,NA,1,11,40,NA,10,8,18,76,127,NA,NA,NA,NA,NA,NA,6,4,NA,NA,3,3,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11,NA
2247.514,NA,NA,717,11,15,NA,NA,NA,NA,8,NA,NA,4,NA,8,NA,NA,NA,45,3,1,NA,10,5,25,NA,NA,4,12,45,NA,12,9,15,81,122,NA,NA,NA,NA,NA,NA,8,5,NA,NA,5,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA
2249.711,NA,NA,719,10,18,NA,NA,NA,NA,4,NA,NA,11,NA,7,NA,NA,NA,35,3,3,NA,9,4,15,NA,NA,5,9,42,NA,12,7,16,71,130,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,8,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
2253.006,NA,NA,722,11,19,NA,NA,NA,NA,5,NA,NA,9,NA,4,NA,NA,NA,38,NA,4,NA,8,1,15,NA,NA,4,10,45,1,13,9,14,72,128,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
2255.202,NA,NA,724,5,10,NA,NA,NA,1,8,NA,NA,20,NA,2,NA,NA,NA,36,NA,4,NA,4,4,27,NA,NA,NA,21,32,5,9,5,11,55,137,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,NA
2257.399,NA,NA,726,1,12,NA,NA,NA,NA,4,NA,NA,15,NA,4,NA,NA,NA,41,3,4,NA,4,4,25,NA,NA,1,18,35,6,6,5,11,62,129,NA,NA,NA,NA,NA,NA,8,9,NA,NA,1,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA
2260.694,NA,NA,729,NA,7,NA,NA,NA,NA,3,NA,NA,17,NA,4,NA,1,NA,40,4,17,NA,5,5,20,NA,NA,4,27,25,2,NA,8,15,80,145,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,4,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
2262.89,NA,NA,731,NA,7,NA,NA,NA,NA,3,NA,NA,17,NA,6,NA,1,NA,38,4,11,NA,6,4,18,NA,NA,2,15,27,2,NA,8,16,52,158,NA,NA,NA,NA,NA,NA,1,6,NA,NA,2,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
2266.185,NA,NA,734,NA,4,NA,NA,NA,NA,3,NA,NA,15,NA,3,NA,1,NA,51,NA,16,NA,4,NA,26,NA,NA,NA,10,18,4,3,6,12,54,155,NA,NA,NA,NA,NA,NA,2,13,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA
2268.382,NA,NA,736,NA,5,NA,NA,NA,NA,3,NA,NA,14,NA,4,NA,NA,NA,39,NA,8,NA,4,NA,19,NA,NA,NA,12,20,5,4,8,12,67,149,NA,NA,NA,NA,NA,NA,5,12,NA,NA,2,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA
2270.578,NA,NA,738,NA,11,NA,NA,NA,2,3,NA,NA,12,NA,4,NA,NA,NA,41,NA,12,NA,6,NA,17,NA,NA,NA,18,16,4,NA,5,15,76,161,NA,NA,NA,NA,NA,NA,5,5,NA,NA,2,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2273.873,NA,NA,741,4,10,NA,NA,NA,1,4,NA,NA,16,NA,2,NA,NA,NA,39,NA,13,NA,6,NA,20,NA,NA,NA,10,18,5,NA,8,16,77,158,NA,NA,NA,NA,NA,NA,3,6,NA,NA,1,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
2276.069,NA,NA,743,8,4,NA,NA,NA,1,8,NA,NA,27,NA,NA,NA,1,NA,21,NA,21,NA,4,NA,13,NA,NA,NA,12,17,2,NA,4,13,51,181,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA
2279.364,NA,NA,746,8,6,NA,NA,NA,1,7,NA,NA,28,NA,NA,NA,NA,NA,25,NA,18,NA,5,NA,16,NA,NA,NA,10,11,4,NA,6,11,53,178,NA,NA,NA,NA,NA,NA,3,5,NA,NA,1,4,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA
2281.561,NA,NA,748,12,5,NA,NA,NA,NA,11,NA,NA,12,NA,NA,NA,NA,NA,32,NA,14,NA,4,NA,13,NA,NA,NA,9,12,6,5,6,7,86,161,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,1,NA,1,NA,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2283.757,NA,NA,750,13,4,NA,NA,NA,NA,6,NA,NA,11,NA,NA,NA,NA,NA,30,NA,17,NA,4,NA,12,NA,NA,NA,8,11,4,4,7,11,59,185,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,1,NA,1,NA,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
