sample_name,depth,Monoletes undiff.,Poaceae undiff.,Asteraceae undiff.,Cyperaceae undiff.,Triletes undiff.,Podocarpus,Euphorbia-type,Suaeda-type monoica,Rubiaceae undiff.,Amaranthaceae/Chenopodiaceae,Indeterminable,Undetermined,Hypoestes-type,Ericaceae undiff.,Juniperus procera-type,Rumex,Acacia,Plantago africana-type,Olea capensis-type,Euclea,Dodonaea viscosa-type,Acanthus-type,Combretum-type molle,Typha,Myrica,Nuxia/dobera,Lamiaceae undiff.,Lannea-type,Celtis,Acalypha,Hagenia abyssinica,Apiaceae undiff.,Clematis-type,Malvaceae undiff.,Syzygium-type,Artemisia,Allophylus,Phytolacca,Ricinus communis,Trilepisium-type madagascariensis,Urticaceae undiff.,Maesa lanceolata-type,Protea-type,Capparidaceae undiff.,Anthospermum,Cyathula-type orthacantha,Vahlia somalensis-type,Scrophulariaceae undiff.,Adenium-type obesum,Fabaceae undiff.,Polygonum senegalense-type,Sapotaceae undiff.,Portulacaceae undiff.,Bersama abyssinica-type,Brucea antidysenterica-type,Commelina-type benghalensis,Rosa abyssinica-type,Cichorieae undiff.,Achyranthes-type aspera,Sapindaceae undiff.,Anthocerotaceae undiff.,Polygala-type,Rhus-type,Hypericum,Phyllanthus-type amarus,Brassicaceae undiff.,Zanthoxylum-type usambarense,Menispermaceae undiff.,Monocotyledoneae undiff.,Steganotaenia-type,Ilex mitis,Dipsacus-type pinnatifidus,Galiniera-type saxifraga,Combretaceae undiff.,Celastraceae/Hippocrateaceae undiff.,Digera-type muricata,Resedaceae undiff.,Acanthaceae undiff.,Ephedra,Dombeya-type,Potamogeton thunbergii-type,Commiphora,Cucurbitaceae undiff.,Caryophyllaceae undiff.,Prunus africana-type,Cissus-type quadrangularis,Araliaceae undiff.,Trichocladus ellipticus-type,Ipomoea-type,Thymelaeaceae undiff.,Borassus-type aethiopum,Tribulus,Centaurea-type,Rhamnaceae undiff.,Pteridophyta undiff.,Croton-type,Caesalpiniaceae undiff.,Macaranga-type,Solanum-type,Aizoaceae undiff.,Laurembergia tetrandra,Salix subserrata-type,Ebenaceae undiff.,Alchemilla,Ekebergia-type,Ranunculaceae undiff.,Cussonia,Thalictrum,Caucanthus-type,Rubia-type,Corchorus-type fascicularis,Dyschoriste-type,Pinus,Trema-type orientalis,Tamarix,Carduus-type,Buxus hildebrandtii-type,Hydrocotyle,Polyscias fulva-type,Ficus,Balanites rotundifolia-type,Chenopodiaceae undiff.,Grewia-type tenax,Phoenix reclinata-type,Vernonieae undiff.,Kohautia-type caespitosa,Cyathea-type manniana,Teclea-type,Isoglossa,Euphorbiaceae undiff.,Flueggea-type virosa,Pilea-type bambuseti,Crassocephalum-type montuosum,Myrsine africana,Swertia-type kilimandscharica,Dorstenia foetida-type,Ranunculus stagnalis-type,Hallea-type rubrostipulata,Apodytes dimidiata,Carissa-type edulis,Tacazzea-type apiculata,Tarenna-type graveolens,Mimulopsis-type,Gunnera perpensa,Psydrax-type schimperiana,Lactuceae undiff.,Rubus pinnatus-type,Stoebe kilimandscharica-type,Vepris-type daniellii,Nymphaea lotus-type
,8900,42,237,3,82,2,70,,,,3,24,2,,11,5,1,,,7,,,,2,4,8,1,,1,1,,,3,,1,,,2,,,,,,,,1,,,,,,,,,,,,2,,,,8,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,9000,31,307,2,36,16,42,,,,1,11,,1,14,,,,,8,,1,,,6,16,1,,,,1,,2,1,,,,4,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,9100,37,322,2,87,3,22,,,,4,20,2,,8,2,1,,,2,,2,,1,3,14,,,,3,,1,1,1,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9200,35,356,4,62,6,30,2,,,1,15,2,1,7,2,,,,3,,3,,3,4,11,,,,1,,1,,2,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9300,34,295,7,62,2,27,1,,1,1,9,,,1,1,1,,,10,,1,,,2,30,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,1,,,,,,,,,11,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,9400,17,300,7,53,2,8,1,,,3,21,1,,2,3,4,,1,9,,7,,4,4,41,,,,3,,3,,3,,,,,,,,,,,,3,,1,,,,1,,,,,,,1,1,,7,,3,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,9500,17,289,4,68,2,73,,,,7,30,2,,2,3,,,1,15,1,4,,,2,57,1,,,2,,2,1,4,,,4,,,,1,,,1,,,1,,,,,,,,,,,,2,,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,9600,11,220,1,87,7,45,2,,,3,34,1,,2,5,1,,,13,,1,,2,7,45,,,,,,2,4,1,,,3,,,,,1,,,,1,1,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10000,12,348,6,45,23,30,,4,,12,13,3,,9,,,,,23,,1,,,14,66,,,,,,,2,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,10300,6,190,7,48,,34,4,,,5,19,,,,6,,,,6,,,,,1,45,,,,1,,1,4,,,,6,,,,,,,,,,1,,,,,,,,,,,,1,,,5,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10700,2,49,1,26,1,6,,,,3,7,,,2,1,,,,5,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10800,4,205,1,57,,6,,,,47,37,4,,6,6,1,,,15,1,2,,,,40,1,,,,,4,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,10900,11,140,2,75,,1,1,,,35,21,,,2,7,,,,18,,1,,,2,23,,,,,,1,,1,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11210,,38,7,190,,17,,,,26,61,1,,3,2,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11300,1,178,2,83,1,,,,,15,21,2,,11,,,,,3,,1,,,2,9,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11400,2,118,14,67,,3,2,,,37,69,1,,9,,,2,,5,1,,,,1,4,1,,,,,,,1,,,133,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11500,7,476,14,328,,12,,,,61,99,3,,24,1,1,,1,8,,,,,5,10,,,,,,1,,2,,,193,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11600,1,197,9,173,1,6,,1,,31,34,6,,7,5,2,1,,10,,2,,,5,7,1,,,,,,2,,,,122,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
,11725,8,182,5,241,,2,,2,,8,31,,,7,5,,2,,7,,3,,,32,5,,,,,,,,1,,,46,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11810,5,223,4,204,,5,2,2,,24,27,5,,7,5,1,1,1,9,,3,,,21,6,,,,1,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11910,,224,,132,,3,,1,,17,17,1,,,7,,,,8,,,,,5,5,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,12000,,265,2,220,5,7,2,5,,12,8,2,,14,,1,,1,3,,4,,1,3,7,,,,,,1,1,,,,43,1,,,,,,,,1,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12100,1,92,3,392,,10,1,,,8,61,,,5,4,1,,1,5,,2,,,3,13,,,,,,2,,,,,50,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,2,3,,,,,,,,,,,,,,,,,
,12200,1,115,2,314,,11,1,,,11,55,,,10,5,5,,1,4,,1,,,4,2,,,,,,3,,,,,49,,,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
,12300,1,100,4,242,,5,1,,,13,55,,,2,4,3,1,4,8,,6,,,10,13,,1,,1,,1,,,,,9,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,12400,4,165,2,247,,7,1,,,7,42,1,,9,8,2,,,7,1,3,,,4,7,,,,,2,,1,,,,17,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
,12500,1,152,2,273,,5,,,,7,36,,,9,8,,,,8,,1,,,7,10,,,,1,,1,,,,,16,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,12600,2,170,3,129,,9,,,,6,25,,,14,25,,,1,9,,2,,,20,10,4,2,,,,4,,,,,20,,,,,,1,,,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,
,12700,17,225,6,136,1,58,,,,6,33,,,11,10,1,1,3,10,,,,,21,14,,4,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,2,1,1,1,,,,,,,,,,
,12800,13,212,2,135,2,61,,,,,28,,,7,5,1,,,6,,1,,2,19,10,,1,,1,,2,,,,1,3,,,,,2,1,,1,1,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
,12900,3,230,3,176,,35,,3,,5,24,,,6,2,,,1,3,,2,,1,62,5,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,13000,8,232,3,196,6,95,1,,,,6,2,,16,,,,,10,,,,,26,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13100,8,195,1,173,,43,1,1,,7,29,,,4,3,1,,1,6,,2,,,37,20,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,13200,2,182,1,137,,32,,,,9,15,,,8,3,,,,5,,2,,,60,10,,,,,,2,,,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,13400,8,330,10,142,1,17,1,1,,11,37,,,13,12,2,,,6,3,3,,,7,28,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,13510,25,280,5,86,,24,,1,,,30,,,35,9,1,,,16,,1,,,4,13,,2,,,,,3,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,2,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
,13600,20,320,3,78,3,24,,,,,26,1,,33,1,,,1,12,1,2,,,3,20,1,1,,,,3,1,,,,1,,,,,,,5,,,,,,,1,,,,,,,,,1,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,
,13700,20,302,2,69,4,6,2,,,1,44,,,18,2,2,,,5,,2,,,1,16,1,,,1,1,2,1,1,,,2,1,,,,,,,,1,,,,,,,,,,,,,,1,,5,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,13800,17,297,4,58,1,7,,1,,1,21,,,5,,2,,,2,,2,,,15,13,,,,,,2,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,14000,25,207,1,224,9,25,1,5,,11,4,1,,1,,,1,1,2,,1,,,42,2,,,,,,2,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14200,16,336,4,79,2,12,1,,,,23,1,1,12,2,,,1,2,3,1,,1,8,6,,,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,
,14500,6,84,,318,1,7,1,2,,5,23,,,2,1,,,1,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
,14600,6,177,2,294,2,1,,3,,29,32,,,11,10,,,,6,,1,,1,56,11,,,,,,3,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14800,2,104,,467,1,3,,8,,34,32,,,5,1,,,,4,1,2,,,65,4,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,15000,7,158,1,227,1,1,2,1,,9,8,2,,3,,,,,,,,,,84,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15300,23,338,1,45,3,3,1,,,1,40,,,11,,,,,5,,1,,,5,37,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,
,15400,27,205,1,130,3,1,1,,,4,45,,,17,6,1,,,16,,5,,,5,54,3,,,2,,2,4,,,,,,,,,3,,1,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,1,2,4,,,,,,,,,,,1,,,,,,,,,,1,,,,
,15500,33,213,2,121,2,4,2,3,,2,39,1,,23,8,,,1,27,,1,,,2,41,,,,,,9,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,3,,,,,,,,1,,,,,,,,,,,,,,1,,,
,15600,4,185,2,49,2,,2,1,,11,37,,,13,5,1,,,30,,3,,,4,50,,,,,,,,,,,12,,,,,,,,,1,,,,,,1,,,1,,,,,1,,2,,,,,2,,,,,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,
,15700,11,211,4,99,2,3,,2,,19,38,,,31,6,,,,43,,4,,,17,58,,,,1,,1,1,1,,,18,,,,,3,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,
,15750,6,217,2,35,3,1,,,,13,41,,1,14,5,,,,14,,1,,1,1,64,1,1,1,,,1,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,15800,19,118,4,223,,1,,5,,49,,,,15,39,,,1,12,,1,,,4,23,,,,2,,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,
,16100,63,192,5,75,47,1,1,10,3,14,13,5,1,14,1,1,1,,15,,2,,,17,12,,1,,,,2,2,,,,7,1,,,,,,,1,2,,,,,1,,1,,,,,,2,6,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
