Depth,Giesecke et al. 2014 (MADCAP) - Calibrated radiocarbon years BP,EPD - Radiocarbon years BP,Acer,Aconitum,Alchemilla,Allium,Alnus glutinosa,Amaranthaceae-type,Ambrosia,Ammi,Anagallis,Anemone sect. Hepatica,Angelica archangelica-type,Angelica palustris-type,Angelica sylvestris,Anogramma leptophylla,Anthemis-type,Anthemis-type (small),Anthriscus sylvestris,Apiaceae undiff.,Apium nodiflorum,Arbutus unedo,Arenaria,Armeria,Artemisia,Asphodelus albus,Aster-type,Asteroideae undiff.,Astrantia,Bellis,Berula erecta,Betula pubescens,Botrychium,Brassicaceae,Bupleurum,Buxus sempervirens,Calluna vulgaris,Campanula,Carum verticillatum,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium,Cerastium,Chaerophyllum temulum,Cichorioideae undiff.,Cicuta virosa,Cirsium-type,Cistus ladanifer-type,Colchicum montanum,Conium maculatum,Cornus sanguinea,Corylus avellana,Cuscuta,Cyperaceae,Cytisus grandiflorus,Daucus,Dianthus lusitanus-type,Dryopteris-type,Echium,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetum,Erica arborea-type,Erica australis,Erica umbellata,Eryngium,Eucalyptus,Fabaceae undiff.,Fagus sylvatica,Fallopia convolvulus-type,Filago-type,Filipendula,Frangula alnus,Fraxinus angustifolia,Fritillaria lusitanica,Gagea nevadensis,Galium-type,Genista-type,Gentiana lutea/G. pneumonanthe,Gentianella campestris-type,Geranium,Gypsophila repens-type,Halimium/Tuberaria,Hedera helix,Hedwigia,Helianthemum,Heracleum,Herniaria-type,Hippophaë rhamnoides,Hydrocotyle vulgaris,Hypericum perforatum-type,Ilex aquifolium,Isoëtes,Jasione-type,Jasminum,Juglans,Juniperus communis,Jurinea,Lamiaceae undiff.,Lamium,Laserpitium,Lathyrus,Lavandula-type,Linaria,Lonicera periclymenum,Lotus,Lycopodium spike,Lycopodium spike,Lysimachia,Lythrum undiff.,Medicago,Menyanthes trifoliata,Mercurialis perennis,Meum-type,Micranthes stellaris-type,Minuartia recurva,Montia fontana,Myrica,Myriophyllum alterniflorum,Myrtus communis,Narcissus bulbocodium,Narcissus pseudonarcissus-type,Nymphaea,Oenanthe,Olea europaea,Ornithogalum-type,Ornithopus,Papaver rhoeas-type,Parnassia palustris,Paronychia polygonifolia-type,Pedicularis sylvatica,Pentaglottis sempervirens,Peucedanum-type,Phillyrea,Physospermum cornubiense,Picea,Pimpinella anisum,Pimpinella saxifraga-type,Pinus,Pistacia,Plantago coronopus sensu stricto,Plantago lanceolata-type,Plantago major-type,Plantago subulata-type,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium,Potamogeton,Potentilla,Poterium sanguisorba,Prunus,Pteridium aquilinum,Quercus,Radiola linoides,Ranunculus,Ranunculus acris-type,Reseda/Sesamoides,Rhamnus,Rhinanthus/Veronica,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Salix,Sambucus nigra,Sample quantity,Sanguisorba officinalis-type,Saxifraga granulata-type,Scleranthus annuus,Scrophulariaceae undiff.,Sedum-type,Selinum carvifolia,Senecio,Seseli libanotis-type,Silaum silaus-type,Silene,Silene ciliata-type,Silene foetida-type,Silene vulgaris-type,Solanum dulcamara,Solanum nigrum-type,Solidago,Sorbus aucuparia,Sparganium,Sparganium emersum-type,Spergula,Spergularia-type,Sphagnum,Spike tablets,Stachys-type,Stellaria,Succisa,Taxus baccata,Teucrium,Thalictrum,Thymelaeaceae,Torilis arvensis-type,Trifolium-type,Trinia glauca-type,Typha latifolia,Ulex,Ulmus,Urtica,Valeriana officinalis,Valerianella,Veratrum album,Viburnum tinus,Vicia,Viola,Vitis,Zea mays
142.5,2842/2743/2530,--/2626/--,,,,,19,1,,1,,,,,,1,2,,,5,,,,1,3,3,1,,,,,223,,2,,,1,1,,1,,,1,,,,6,3,,5,,3,,,,,3,7,4,1,16,,,,,,139,5,2,,,,,,,,1,2,,1,5,36,,,,,,,11,,,,,,1,7,,3,,,1,,,,,,,,,,49,11329,,14,,,,,,,,,,,6,,,,,,,,,,,,20,2,,,,,18,,,4,,,1261,2,,,1,5,,,10,201,,69,,,,,,,,39,,,7,,,,,,,13,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
145,2870/2761/2520,--/2640/--,,,,,7,1,,,,1,,2,,,4,,,12,,,,,1,2,2,1,,,,171,1,3,,,,1,,2,,,,,,1,,6,,2,,,,,5,,7,6,3,,23,1,,,,,52,8,2,,,,,,,,,4,,,6,20,1,,,,,,8,,,,,,,9,,,,,,,,,,,,,,,66,11329,,11,,,,,,,,,,,2,,,,2,,,,,,,,1,2,,,,1,14,,,1,,,522,5,,,1,2,,,3,128,,55,,,,,1,,,36,1,,11,,,,,,,6,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
147.5,2918/2818/2678,--/2689/--,,,,,15,1,,,,3,,,,,2,,,11,2,,,2,2,,1,,1,,,245,1,3,,,3,2,,1,,,1,,,4,4,8,,2,,5,,,5,,8,6,1,1,28,,,,,,108,11,1,,,,,,,,1,1,,,6,20,1,,,,,,8,,,,,,,4,,2,,,,,,,,,,,,,48,11329,,14,,,,,,,,,,,4,,,,,,1,,,1,,,21,1,,,,2,12,,,,,,831,3,,1,,3,,,9,252,,54,,,,,1,,,62,,,28,,,,1,,,23,,1,,,,,,,,,,1,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,
150,2965/2874/2744,--/2738/--,,,,,8,,,,,,,,,,1,,,7,,,2,2,3,4,1,2,,,,201,,2,,,,,,1,,,2,,,1,,5,,1,,1,,,3,,6,2,1,,20,,,,,,41,5,3,,,,,,,,,,,,7,,1,,,,,,13,,,,,,,3,,1,,,,,,,,,,,,,74,11329,,6,,,,,2,,,,,,6,,,,,1,,,,,,,,,,,,1,14,,,2,,,437,11,,,1,2,,,,127,,45,,,,,,,,70,,,17,,,,,,,8,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,
152.5,3014/2930/2757,--/2787/--,,,,,12,1,,,,1,,,,,2,,,9,,,,4,2,1,,,,,,276,,3,,,1,,,,,,3,,,2,3,4,,1,,4,,,6,,6,4,,,25,,,,,,95,8,1,2,,,,,1,1,,,,,8,15,6,,,,,,9,,,,,,1,,,1,,,1,,,,,,,,,,49,11329,,7,,,,,,1,,,,,1,1,,,1,1,,,,,,,15,3,,,,,21,,,6,,,696,3,,,2,3,,,11,180,,157,,,,,,,,46,,,3,2,,,,1,,23,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
155,3066/2986/2836,--/2836/--,,,,,16,1,,,,,,,,,,1,,9,,,1,2,,2,1,1,,,,203,,6,,,,1,,1,,,1,,,,,4,,1,,,,,6,,7,2,3,,14,1,,,,,53,6,2,1,,,,,,,,,,,6,,1,,,,,,5,,,,,,,1,,,,,,,,,,2,,,,,49,11329,,1,,,,,,,,,,,1,,,,3,,,,,,,,,2,,,,,13,,,3,,,677,3,,,7,2,,,11,126,,104,,,,,,,,40,,,6,,,,,,,8,,1,,,1,,2,1,,,,5,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,
157.5,3121/3042/2908,--/2885/--,,,,,20,,,,,2,,,,,,,,11,,,,2,1,4,2,,3,,,244,,4,,,1,,,,,,2,,,1,3,8,,3,,1,,,6,,1,9,1,3,22,,,,,,91,10,5,2,,,,,,,,1,,,5,34,3,,,,1,,12,,,,,,,4,1,,,,,,,,,,,,,,50,11329,,7,,,,,1,1,,,,,3,,,,2,1,,,,1,,,10,11,,,,1,23,,,2,1,,805,4,,,2,,1,,4,213,1,147,,,,,,,,57,,,12,1,,,1,,,16,,,,,,1,2,,,,,3,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
160,3175/3098/2985,--/2934/--,,,,,18,,,,,,,,,,,,,4,,,1,2,1,2,,,,,,221,,4,,,,,,,,,2,,,2,,7,,2,,,,,,,3,,,,9,,,,,,48,7,2,1,,1,,,,,,,,,9,6,1,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,43,11329,,9,,,,,1,,,,,,,,,,1,,,,,,,,1,3,,,,,14,1,,3,,,537,6,,,,,,,11,122,,99,,,,,3,,,49,,,3,,,,,,,4,,1,,,1,,1,,,,,2,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
162.5,3229/3154/3063,--/2982/--,,,,,14,,,,,2,,,,,,,,10,,,,3,1,,1,,1,,,231,2,1,,,3,1,,2,,,,,,,7,11,,1,,4,,,4,,2,10,,,19,,,,,,90,7,,,,,,,1,,1,2,,,12,29,1,,,,,,7,,,,,,2,2,,2,,,1,,,,,,,,,,51,11329,,17,,,,,,1,1,,,,4,,,,,1,,,,3,,,8,6,1,,,,20,,,2,,,960,2,,,1,2,,,14,177,1,164,,,,,,,,48,,,8,,,,1,,,17,,,,,2,,,1,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
165,3283/3211/3148,--/3031/--,,,,,30,2,,,,,,,,,3,,,15,,,,2,4,6,,,,,,363,,9,,,5,1,1,,,,5,,,4,7,9,,1,,6,,,,,5,3,5,,32,,,,,,97,11,3,,,2,,,2,,3,,,,16,20,2,,,,1,,9,,,,,,,3,,1,,,1,,,,,,,,,,95,11329,,22,,,,,1,2,,,,,,,,,1,1,1,,,,,,8,2,,,,,34,,,2,1,,1129,6,,1,,2,,,15,257,,196,,,,,1,,,66,,,11,,,,,,1,13,,,,,,,1,,,,,2,2,,,,1,1,,,,1,,,1,,1,,,,,,,,,,,,,
167.5,3335/3267/3207,--/3080/--,,,,,17,,,,,2,,,,,1,,,9,,,,,,2,1,,2,,,169,1,4,,,3,,,,,,,,,1,1,8,,,,2,,,,,3,5,,,23,,,,,,103,12,2,1,,,,,3,,1,1,1,,8,16,4,,,,1,,10,,1,,,,,,,6,,,2,,,,,,,,,1,65,11329,,4,,,,,,,,,,,7,,,,1,,,,,2,,,15,4,,,,1,31,1,,3,1,2,1641,1,,,7,2,,,11,287,,383,,,,,,,,52,,,7,,,,,,,18,,,,,,2,1,,,,3,2,,,1,1,,1,,,,,,,,,,,,,,,,,1,,2,,,
170,3389/3323/3263,--/3129/--,,,,,13,,,,,,,,,,,,,8,,,2,1,1,3,1,1,,,,170,,9,,,,4,1,,,,4,,,,1,,,,,5,,,1,,6,8,2,6,32,,,,,,102,15,3,,,,,,3,,1,,,,8,10,3,,,,,,6,,,,,,,,,1,,,1,,,,,,,,,,96,11329,,4,,,,,,,,,,,1,1,,,,1,,,,1,,,7,4,2,,,,28,,3,1,,,812,2,,,,,,,8,256,,118,,,,,,,,53,,,3,,,,,2,,15,,,,,,,,,,,,1,,,,1,,1,,3,,1,,,,,,,,,,,,,1,,,,,
172.5,3447/3379/3318,--/3178/--,,,,,19,,,,,2,,,,1,2,,,6,,,,4,,4,3,,2,,,178,,8,,,,3,,,,,2,,,,4,2,,2,1,,,,3,,3,2,,1,28,,,,,,76,10,,,,,,,1,,1,1,,,6,17,3,,,,,,3,,,,,,1,,,1,,,1,,,,,1,,,,1,50,11329,,7,,,,,,,,,,,7,2,,,1,,,,,1,,,18,1,1,,,1,29,,,,1,,858,1,,,,4,,,11,205,,257,,,,,,,,39,,,3,,,,1,,,8,,,,,,,1,,,,,1,,,1,1,,1,,2,,,,,,,,,,,1,,,,,,3,,,
175,3505/3435/3371,--/3227/--,,,,,12,,,,,3,,,,,1,,,7,,,,1,1,1,,,,,,163,1,1,,,1,2,2,,,,1,,,,3,5,,,,2,,,1,,2,4,3,1,32,,,,,,78,7,,,,1,,,,,,,1,,10,11,1,,,,,1,7,,2,,,,,2,,1,,,,,,,,,,,,,51,11329,,1,,,,,,,,,,,,1,,,,,1,,,1,,,4,4,,,,,31,,,2,1,,678,4,,,,,,,15,219,,18,,,,,,,,39,,,2,,,,1,,,13,,,,,,,,,,,,2,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,
180,3625/3547/3475,--/3325/--,,,,,27,1,,,,,,1,,,,1,,3,,,,1,3,2,1,,,,,315,,3,,,2,,7,,,,1,,,,,4,,,,1,,,1,,47,3,,,23,,,,,,64,12,3,1,,,,,,,1,,,,3,6,,,,,2,,6,,,,,,1,,,,,,,,,,,,,,,,156,11329,,,,,,,,,,,,,1,,,,1,,,,,,,,1,3,3,,,,31,1,,3,,,381,10,,,,4,,,9,280,,62,,,,,1,,,43,,,25,,,,1,,,3,,,,,,,1,3,,,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
185,3688/3615/3544,--/3374/--,,,,,26,,,,,,,,,,,,,4,,,,1,,2,1,,1,,,172,,1,,,1,2,2,,,,2,,,,3,3,,,,,,,3,,48,2,1,1,14,,,,,,40,7,5,,,,,,3,,3,1,,,1,3,,,,,,,5,,,,,,1,1,,,,,1,,,,,1,,,,1,117,11329,,1,,,,,2,2,,,,,,,,,,,,,,,,,4,1,1,,,,33,1,2,2,,,332,5,,,,3,,,8,205,,107,,,,1,,,,24,,,23,,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
190,3754/3682/3609,--/3423/--,,,,,12,1,,,,1,,,,,,,,1,,,,3,,2,,,1,,,121,,3,,,3,1,2,,,,2,,,,3,8,,2,,1,,,3,,60,6,,1,32,,,,,,37,4,,2,,,,,2,,1,,,,7,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,208,11329,,,,,,,,,,,,,1,2,,,1,2,,,,,,,8,3,1,,,,31,1,1,1,1,,252,8,,,1,2,,,8,209,,36,,,,,,,,17,,,15,,,,1,,,8,,,,,,,,,,,2,4,,,,,,1,,,2,,,,,,,,,1,,,1,,1,,1,,1,
195,3825/3749/3669,--/3472/--,,,,,16,,,,,,,,,,2,,2,11,,,,1,,5,2,,1,,,198,,2,,,,1,5,,,,1,,,,4,7,,,,6,,,3,,1,1,6,3,35,,,,,,41,7,3,,,,,,3,,1,,,,4,4,1,,,,,,3,,,,,,,3,,2,,,,,,,,,,,,,228,11329,,,,,,,1,1,,,,,,,,,,4,,,,1,,,4,7,2,,,,32,,2,,,,474,3,,,,1,,,18,215,,350,,,,,,,,32,,,8,,,,,,,4,,,,,,,,1,,,,3,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
200,3894/3816/3724,--/3521/--,,,,,12,1,,,,,,,,,1,,,2,,,,,,1,1,,,,,107,,7,,,,3,,,,,2,,,,1,5,,,,2,,,2,,99,2,1,,13,,,,,,22,8,2,,,,,,,,,1,1,,1,2,1,,,,,,5,,,,,,,1,,,,,1,,,,,,,,,,249,11329,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,2,,,,30,,3,2,,,146,2,,,6,1,,,5,167,,82,,,,,,,,10,,,6,,,,,,,4,,,,,1,1,,,,,,2,,,,,,1,,,5,,,,,,,,,,,,1,,,,,,,
205,3969/3884/3781,--/3569/--,,,,,18,1,,,,,,,,,1,,,6,,,1,,,7,,,,,,71,,3,,,1,6,,,,,4,,,,7,1,,,,1,,,2,,173,8,1,6,25,,,,,,40,5,1,1,,,,,1,,3,,,,,3,2,,,,1,,6,,,,,,,,,1,,,,,,,,,,,,,418,11329,,,,,,,,,,,,,,,,,2,,,,,,,,10,5,1,,,,32,,,,,1,274,8,,,3,2,,,15,224,,5,,,,,,,,23,,,26,,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,
210,4064/3951/3831,--/3618/--,,,,,11,,,,,,,,,,1,,,8,,,,,1,6,1,,,,,90,,3,,,1,2,1,,,,,,,1,,6,,,,1,,,1,,42,12,6,,29,,,,,,49,6,,,,,,,,,2,1,,,4,5,,,,,,1,8,,,,,,,1,,1,,,1,,,,,,,,,,157,11329,,,,,,,,,,,,,2,1,,,,,,,,,,,3,3,6,,,,19,,,,,,301,4,,,,2,,,4,217,,17,,,,,,,,32,,,30,,,,,,,3,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
215,4196/4018/3884,--/3667/--,,,,,19,,,,,,,,,,,,,6,,,,1,,,,,,,,79,,,,,1,,,,,,1,,,,1,3,,,,2,,,2,,8,3,2,1,32,,,,,,40,5,2,,,,,,,,,,1,,1,3,,,,,,,5,,,,,,,1,,,,,1,,,,,,,,,,119,11329,,,,,,,1,,,,,,1,1,,,,,,,,,,,2,2,,,,,17,,1,1,,,152,5,,3,,,,,8,218,,34,,,,,1,,,9,,,26,,,,,,,3,,,,,,,1,1,,,,3,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,
220,4288/4085/3939,--/3716/--,,,,,6,2,,,,,,,,,2,1,,11,,,1,,,4,,,2,,,231,,4,,,1,1,,,,,2,,,,8,2,,,,4,,,1,,10,2,6,,37,,,,,,56,6,1,,,,,,,,4,1,,,3,2,2,,,,,,8,,,,,,,,,,,,,,,,,,,,,,145,11329,,,,,,,,,,,,,1,2,,,,,1,,,,,,4,1,1,,,,45,,1,,,,257,4,,,,,1,,6,257,,12,,,,,1,,,37,1,,4,,,,,,,9,,,,,,,2,,,,1,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,
225,4381/4153/3996,--/3765/--,,,,,7,1,,,,,,,,,1,,,6,,,,,1,3,2,,1,,,213,,,,,2,2,,,,,3,,,,1,1,,,,1,,,3,,23,1,2,,25,1,,,,,30,11,3,,,,,,,,1,1,,,7,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,283,11329,,,,,,,1,1,,,,,1,,,,1,,,,,,,,4,2,1,,,,32,,1,1,,,175,7,,,,,,,29,264,,8,,,,,1,,,13,,,19,,,,,,,6,,,,,,,3,,,,,2,1,,,,18,1,,,1,,1,,,,,,,,,,,,,,,,1,
230,4474/4220/4055,--/3814/--,,,,,8,1,,,1,,,,,,,,,6,,,,,1,5,1,,1,,,263,,1,,,2,3,,,,,6,,,,,8,,,,3,,,1,,13,1,4,,28,,,,,,46,5,,,,,,,2,,2,,,,6,6,1,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,159,11329,,,,,,,,,,,,,1,,,,1,,,,,,,,10,7,1,,,,36,,,1,,,268,7,,1,1,2,,,3,257,,4,,,,,,,,27,2,,13,,,,,,,16,,,,,,1,3,,,,,1,,,,1,8,1,,,,,1,,,,,,,,,,,,,,,,,
235,4566/4287/4109,--/3863/--,,,,,8,,,,,,,,,,,,,9,,,,2,1,2,1,,1,,,311,,2,,,5,2,,,,,3,,,,,,,,,1,,,,,19,5,1,,23,,,,,,40,6,,,,,,,,,2,1,,,2,1,1,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,143,11329,,,,,,,,,,,,,1,1,,1,,1,,,,,,,4,1,2,,,,17,,,,,,178,10,,2,,2,,,7,321,,3,,,,,,,,13,4,,41,,,,,,,10,,,,,,,,,,,,4,1,,,,3,1,,,,,,,,,,,,,,,1,,,,,,,
240,4658/4354/4162,--/3912/--,,,,,13,1,,,,,,,,,1,,,6,,,,1,1,4,2,,1,,,299,,2,,,4,4,1,,,,1,,,,2,1,,,,1,,,,,56,5,3,,17,,,,,,81,9,4,1,,,,,,,,6,,,2,8,1,,,,1,,5,,,,,,,,,,,,1,,,,,,,,,,220,11329,,,,,,,1,,,,1,,,2,,1,1,1,,,,,,,6,7,2,,,,32,,1,,,,275,7,,,,,,,1,299,,4,,,,,2,,,21,,,40,,,,,,,15,,,,,,,,,,,,3,,,,,49,1,,1,,,,,1,,,,,,,,,,,,,,,
245,4749/4422/4215,--/3961/--,,,,,21,1,,,,1,,,,,,,1,9,,,,,1,,,,,,,258,1,2,,,1,4,,,,,,,,,2,2,,,,1,,,3,,116,3,1,,26,,,,,,56,6,2,,,,,,,,,4,1,,2,8,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,372,11329,,,,,,,,,,,,,,2,,2,,,,,,,,1,2,11,2,,,,30,,1,1,,,238,8,,,1,,,,6,264,,4,,,,,2,,,16,3,,21,,,,,,,8,,,,,,,3,,,,,6,,,,,20,1,,2,,,,,,,,,,,,,,,,,,,,
250,4799/4481/4278,--/4004/--,,,,,10,,,,,,,1,,1,,,2,12,,,3,1,3,5,5,,,,,232,,1,,,1,,,,,,5,,,,5,5,,,,2,,,6,,27,1,3,,26,,,,,,75,12,2,1,,,,,,,,,1,,,5,1,,,,,,10,,,,,,,,,2,,,,,,,,,,,,,227,11329,,,,,,,,,,,,2,3,,,,,,,,,,,,3,2,2,,,,28,1,,1,,,402,5,,,1,,,,7,206,,36,,,,,,,,23,,,14,,,,,,,,,,,,,,2,,,,,1,,,1,1,3,1,,2,,,,,,,,,,7,,,,1,,,,,,
255,4808/4531/4353,--/4041/--,,,,,21,,,,,,,,,,,,,13,,,,,1,3,,,,,,400,,3,,,4,1,,,,,2,,,,1,2,,1,,1,,,2,,63,1,1,,31,,,,,,74,5,,,,,,,,,1,1,2,,5,7,2,,,,1,,5,,,,,,,,,4,,,,,,,1,,,,,,203,11329,1,,,,,,,1,,,,,1,1,,,,,,,,,,,4,4,1,,,,38,,,,,,257,4,,,3,1,,,10,293,,19,,,,,2,,,29,,,10,,,,,,,11,,,,,,,2,,,,,4,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,
260,4817/4582/4425,--/4079/--,,,,,11,,,,,,,,,,,4,,7,1,,,2,,7,6,,1,,,217,,,,,,,,,,,1,,1,,2,6,,1,,,,,,,38,2,5,,23,,,,,,44,5,,,,,,,,,1,3,,,3,8,1,,,,1,1,3,,,,,,,,,4,,,,,,,,,,,,,172,11329,,,,,,,1,1,,,,,1,,,,,,,,,,,,5,4,,,,,39,,,2,,1,181,1,,,2,1,,,7,213,,4,,,,,,,,11,,,9,,,,,,,17,,,,,,1,4,,,,,2,,,,,,1,,2,,,1,,,,,,,,,,1,,,,,,,
265,4820/4632/4493,--/4117/--,,,,,6,,,,,,,1,,,,,,5,,,3,1,1,5,,,1,,,855,,2,,,2,2,,,,,3,,,,,5,,1,,,,,4,,86,6,8,,32,1,,,,,62,9,4,,,,,,,,3,,,,5,4,2,,,,1,,8,,,,,,,,,1,,,,,,,,,,,,,251,11329,,,,,,,2,,,,,,1,,,,2,1,,,,,,2,3,2,1,,,,68,4,,2,,,253,2,,,7,,,,5,239,1,17,,,,,1,,,22,,,12,,,,,,,7,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
270,4822/4683/4566,--/4154/--,,,,,9,,,,,,,,,,,,,11,,,2,,2,6,,,,,,320,,,,,1,4,,,,,2,,,,,7,,,,3,,,3,,101,5,3,,26,,,,,,66,14,4,,,,,,,,,1,1,,1,6,1,,,,,,8,,,,,,1,,,2,,,1,,,,,,,,,,311,11329,,,,,,,,,,,,,2,2,,,,1,,,,,,,6,5,3,,,,37,,,,1,1,307,1,,,2,,,,12,251,,4,,,,,1,,,37,,,14,,,,,,,6,,,,,1,,4,,,,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
275,4834/4733/4640,--/4192/--,,,,,9,,,1,,,,,,,,1,,1,,,,,1,1,2,,,,,286,,2,,,,,,,,,3,,,,5,3,,,,3,,,2,,28,4,,,29,,,,,,63,14,,,,,,,,,1,2,,,3,8,,,,,1,,2,,,,,,,,,2,,,1,,,,,,,,,,173,11329,,,,,,,,1,,,,,1,,,,,,,,,,,,5,1,1,,,,42,,,1,,,203,3,,,4,,,,3,218,,25,,,,,,,,27,,,26,,,,,,,4,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
280,4871/4784/4706,--/4230/--,,,,,12,,,,,,,,,1,2,1,,3,,,,,1,3,,,,,,145,,1,,,1,1,,,,,,,,,1,3,,1,,3,,,,,53,2,3,,27,,,,,,46,9,1,,,,,,,,,1,1,,2,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,278,11329,,,,,,,2,,,,,,3,1,,,1,,,,,,,,,1,,,,,18,,,,,,472,4,,,14,3,,,5,241,,17,,,,,,,,36,,,50,,,,,,,8,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
285,4920/4834/4770,--/4267/--,,,,,11,,,,,1,,,,,,1,,5,,,1,,,1,,,,,,108,,2,,,1,2,,,,,1,,,,,4,,,,2,,,3,,66,6,2,1,15,,,,,,58,5,1,,,,,,,,2,1,,,5,4,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,523,11329,,,,,,,,,,,,,2,2,,,1,,,,,,1,,4,4,1,,,,26,1,,,,,396,2,,,4,3,,,9,221,,17,,,,,,,,35,,,125,,,,,,,2,,,,,,,2,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
290,4975/4885/4822,--/4305/--,,,,,15,,,,,,,,,,1,2,,5,,,,1,,3,,,,,,129,,,,,,,,,,,,,,,1,2,,,,,,,2,,7,4,4,2,20,,,,,,131,9,1,1,,,,,,,1,1,,,,10,1,,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,219,11329,,,,,,,,,,,,,3,,,,1,,,,,,1,,2,4,1,,,,25,,,,,,886,1,,,17,1,,,14,280,,58,,,,,2,,,49,,,43,,,,,,,5,,,,,,,1,,,,,6,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,
295,5008/4923/4859,--/4330/--,,,,,14,,,,,,,,,,,,,5,,,,,1,7,1,,,,,152,,2,,,,1,,,,,2,,,,2,,,,,1,,,,,36,4,2,,23,,,,,,148,6,2,,,,,,,,1,1,,,6,10,1,,,,1,1,7,,,,,,,4,,1,,,,,,,,,,,,1,187,11329,,,,,,,,,,,,,4,2,,,1,,,,,,,,5,4,2,,,,21,,,1,,,1132,2,,,30,,,,7,295,,64,,,,,2,,,28,,,44,,,,,,,9,,,,,,,4,,,,,4,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,
300,5046/4960/4886,--/4355/--,,,,1,7,,,,,,,,,,,,,7,,,,,,2,,,,1,,113,,1,,,,1,,,,,1,,,,1,4,,,,2,,,1,,5,1,2,1,20,,,,,,57,6,,,,,,,,,,,,,2,3,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,107,11329,,42,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,26,,,,,,248,,,,7,2,,,14,214,,228,,,,,,,,24,,,38,,,,,,,9,,1,,,1,,3,,,,,4,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
305,5084/4998/4909,--/4380/--,,,,,8,,,,,,,,,,,,,2,,,,,,2,,,,,,86,,2,,,,,,,,,,,,,,3,,,,2,,,2,,4,6,2,,13,,,,,,43,4,,1,,,,,,,,1,,,,5,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,1,110,11329,,23,,,,,,1,,,,,3,,,,,,,,,,,,4,1,,,,,19,,,,,,300,2,,,7,,,,4,224,,68,,,,,,,,15,,,60,,,,,,,9,,1,1,,,,4,1,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
310,5124/5036/4934,--/4405/--,,,,,8,,,,,,,,,,,,,3,,,,1,,4,1,,1,,,163,,2,,,,1,,,,,,,,,,4,,,,,,,,,14,3,3,1,31,,,,,,52,5,,,,,,,,,,,,,5,2,2,,,,1,,10,,,,,,,2,,,,,,,,,,,,,,,214,11329,,3,,,,,,2,,,,,1,3,,,,,,,,,,,4,1,,,,,22,1,,,,,409,2,,,4,2,,,5,206,,112,,,,,,,,49,,,48,,,,,,,3,,1,,,,,3,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
