"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Polygonum aviculare-type","Salix","Vitis","Papaveraceae","Juniperus","Geraniaceae","Cirsium/Gundelia","Fraxinus excelsior","Matthiola","Filago-type","Pimpinella-type","Turgenia-type","Cephalaria","Nymphaea","Alnus","Fabaceae","Pistacia","Rumex acetosa-type","Capsella-type","Ephedra fragilis-type","Asphodelus albus-type","Populus","Plantago lanceolata-type","Poterium sanguisorba","Alisma","Polypodiaceae","Lythrum","Apiaceae","Asteroideae","Brassica-type","Ostrya/Carpinus orientalis","Matricaria-type","Fallopia convolvulus-type","Olea","Centaurea solstitialis-type","Poaceae (Cerealia-type)","Ranunculus sect. Batrachium-type","Persicaria maculosa-type","Artemisia herba-alba-type","Cichorioideae","Sparganium-type","Amaranthaceae","Myriophyllum spicatum/M. verticillatum","Ranunculus peltatus-type","Quercus coccifera-type","Cyperaceae","Quercus robur/Q. cerris","Pinus","Poaceae","Daphne","Theligonum","Carpinus betulus","Fagopyrum","Galium-type","Artemisia vulgaris-type","Noaea-type","Cladium mariscus","Anisosciadium-type","Isoëtes","Ulmus","Ranunculaceae","Rhamnus","Filipendula","Senecio-type","Hedera","Thymus/Mentha","cf. Veronica","Halothamnus-type","Ericaceae","Caryophyllaceae","Fraxinus ornus","Monactinus simplex","Allium","Juglans","Butomus umbellatus","Echinops","Valerianella","Scrophularia/Verbascum/Digitalis","Datisca","Psoraleeae","Dryopteris-type","Castanea","Bupleurum-type","Phillyrea","Cotinus coggygria","Carthamus","Monactinus simplex (type clathratum)","Plantago undiff.","Thalictrum","Platanus","Oleaceae","Cedrus","Hypericum","Ligustrum","Gypsophila-type","Myrtus","Onobrychis-type","Inula-type","Plantago maritima-type","Plantago major-type","Abies","Rosaceae","Potamogeton","Trifolium-type","Plantago coronopus-type","Ranunculus asiaticus-type","Stachys-type","Helianthemum","Ranunculus sceleratus-type","Psammogeton-type","Corylus","Vicia-type","Tamarix","Delphinium","Rhinanthus-type","Ranunculus repens-type","cf. Medicago minima","Ephedra distachya-type","Echinophora-type","Typha latifolia","Liliaceae","Solanum dulcamara","cf. Prunus-type","Myriophyllum alterniflorum","Silene-type","cf. Cerastium glomeratum","Colchicum","Haplophyllum","Centaurea cyanus-type","Fagus","Scrophulariaceae","Scilla-type","Acantholimon","Ophioglossum","Ferula-type","Equisetum","Acer","Dianthus-type","Paliurus","Hippophaë","Prunus-type","Muscari","Calligonum","Leontice leontopetalum","cf. Bunium rectangulum","Pseudopediastrum boryanum","Sisyrinchium","Centaurea/Xeranthemum","cf. Falcaria","cf. Levisticum","Xanthium","Nuphar","Centaurea jacea-type","Valeriana","Callipeltis microstegia-type","Lomelosia rotata-type","Campanulaceae","Carduus-type","Teucrium","Parietaria","Crataegus-type","Dipsacus-type","cf. Euphorbiaceae","Mercurialis-type","Psylliostachys","Malabaila","Urtica dioica-type","Potentilla-type","Erodium","Taxus","Asperula-type","Lecokia","Trachyspermum-type","Geum-type","Onosma-type","Gagea-type","Serratula","Vaccaria/Petrorhagia","Lamiaceae","cf. Smyrniopsis","Convolvulus","Selaginella selaginoides","Triglochin","Sphagnum","Malus-type","Saxifragaceae","Eryngium-type","Lotus-type","Glaucium","Armeria/Limonium","Rhus","Solanum","cf. Gentianaceae","Boraginaceae","Calystegia","Sambucus","Plantago media-type","Loranthus","Cerastium-type","Pseudopediastrum kawraiskyi","Caltha","Jasione-type","Tilia","cf. Silene albescens","Rubus","Medicago-type","Eremurus","cf. Silene ampullata","Anchusa/Pulmonaria","Rhamnaceae","Papaver","Scabiosa","Cornus","cf. Chionodoxa","Polygonaceae","Lonicera","Thymelaeaceae","Azolla/Salvinia"
44962,NA,NA,640,NA,9,1,NA,1,8,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,NA,13,23,3,6,3,NA,NA,3,3,NA,NA,130,10,4,242,2,2,1,25,149,28,71,NA,NA,NA,NA,8,NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45650,NA,NA,650,NA,11,3,NA,3,6,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,8,1,7,NA,NA,5,7,NA,NA,142,8,5,231,NA,1,2,32,195,33,123,NA,NA,NA,NA,11,NA,10,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46200,NA,NA,658,1,2,5,1,4,25,NA,NA,9,NA,NA,NA,1,NA,1,2,NA,2,2,1,1,NA,NA,4,NA,1,1,NA,4,5,10,12,3,NA,5,1,1,NA,NA,101,9,10,166,1,1,10,29,391,77,111,NA,NA,NA,NA,8,1,2,1,NA,10,3,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47852,NA,NA,682,NA,10,8,2,1,36,NA,NA,4,NA,NA,NA,1,NA,NA,2,NA,6,1,3,1,NA,1,4,NA,1,2,NA,20,18,15,7,18,NA,1,18,2,2,NA,162,21,12,241,NA,2,16,33,462,58,162,NA,NA,NA,1,7,2,14,NA,NA,18,1,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,5,NA,45,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49228,NA,NA,702,1,NA,9,NA,NA,12,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,5,4,11,4,2,NA,NA,1,2,NA,NA,68,6,5,59,NA,1,1,21,296,62,80,NA,NA,NA,NA,6,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50466,NA,NA,720,NA,1,6,NA,1,14,NA,NA,2,1,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,NA,NA,1,NA,5,7,6,7,3,NA,1,1,NA,NA,NA,95,5,14,65,NA,1,3,36,226,64,99,NA,NA,NA,NA,11,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51842,NA,NA,740,NA,1,8,1,1,34,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,8,NA,NA,1,NA,5,12,10,7,5,NA,3,1,1,NA,NA,69,4,3,64,NA,NA,NA,30,188,28,105,NA,NA,NA,NA,8,NA,17,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,19,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53218,NA,NA,760,1,NA,3,1,NA,24,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,4,NA,NA,1,NA,7,9,6,12,4,NA,1,4,6,NA,NA,91,6,4,55,NA,NA,10,37,250,77,119,NA,NA,NA,NA,6,NA,NA,2,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54938,NA,NA,785,NA,2,2,3,NA,76,NA,NA,4,NA,1,NA,2,NA,NA,2,2,1,5,7,1,NA,NA,13,3,NA,1,NA,12,27,19,23,16,NA,3,13,13,1,NA,160,26,22,176,NA,3,17,159,496,105,235,NA,NA,NA,NA,19,NA,11,6,NA,6,NA,NA,NA,1,NA,NA,NA,1,NA,NA,5,1,NA,1,NA,NA,NA,2,NA,NA,NA,1,1,2,1,NA,NA,5,4,1,2,NA,37,NA,NA,1,NA,NA,2,NA,1,2,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56108,NA,NA,802,1,4,3,4,2,101,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,NA,NA,6,1,1,1,NA,16,13,14,19,4,NA,6,6,2,NA,NA,133,7,17,114,4,10,11,48,281,36,209,NA,NA,NA,NA,17,NA,NA,2,NA,13,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,8,NA,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57346,NA,NA,820,2,NA,1,NA,1,40,NA,NA,NA,NA,1,3,NA,1,NA,1,NA,2,2,NA,1,NA,NA,NA,NA,2,NA,NA,13,13,10,10,3,NA,2,2,6,NA,NA,120,6,2,179,7,NA,34,32,184,24,98,NA,NA,NA,NA,7,2,22,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,38,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58653,NA,NA,839,NA,3,6,5,NA,15,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,1,4,5,3,NA,NA,3,1,NA,1,NA,7,7,7,5,3,NA,NA,1,6,NA,NA,109,10,2,128,NA,NA,3,29,204,35,91,NA,NA,NA,NA,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59410,NA,NA,850,NA,3,3,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,2,2,1,3,1,1,NA,2,NA,NA,NA,NA,NA,NA,9,13,3,2,10,NA,2,2,3,NA,NA,78,11,13,56,NA,1,5,24,326,80,160,1,NA,NA,NA,13,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,15,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60373,NA,NA,864,NA,1,24,4,NA,10,NA,NA,7,NA,NA,NA,1,NA,NA,1,16,3,4,NA,NA,NA,1,3,NA,2,NA,NA,19,20,4,27,9,NA,3,6,5,7,NA,153,8,42,46,NA,8,36,34,636,107,281,NA,1,1,NA,22,1,5,7,NA,NA,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,NA,NA,1,2,2,14,NA,17,1,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61474,NA,NA,880,NA,NA,NA,11,1,7,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,10,2,1,NA,NA,NA,10,NA,3,3,NA,17,12,21,15,4,NA,3,4,5,NA,NA,16,18,50,41,27,378,15,24,321,219,208,NA,NA,NA,NA,8,NA,1,2,NA,1,8,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,4,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62850,NA,NA,900,NA,2,4,NA,NA,34,NA,2,11,NA,2,NA,NA,NA,NA,NA,2,4,3,3,1,NA,NA,5,1,NA,NA,NA,9,16,43,10,8,NA,23,5,15,NA,NA,47,51,66,56,1,NA,83,44,337,163,283,NA,NA,NA,NA,4,1,3,5,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64226,NA,NA,920,1,NA,2,1,1,31,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,13,NA,NA,1,NA,NA,4,1,2,NA,NA,4,14,37,7,3,NA,4,4,5,NA,NA,29,31,23,31,2,4,19,38,222,112,208,NA,1,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,2,NA,NA,NA,NA,4,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65465,NA,NA,938,1,3,10,4,3,20,NA,NA,4,1,3,NA,NA,NA,NA,NA,NA,3,2,3,1,NA,NA,3,NA,NA,1,NA,10,21,38,6,2,NA,NA,7,2,NA,NA,24,49,8,25,NA,NA,28,28,191,76,138,NA,NA,NA,NA,2,NA,4,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66841,NA,NA,958,1,NA,4,7,3,22,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,24,3,4,2,1,NA,2,1,NA,2,1,11,32,37,15,8,NA,5,14,3,NA,NA,117,48,3,153,NA,1,7,43,377,38,234,NA,2,NA,NA,4,NA,3,NA,NA,NA,5,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,6,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
