"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Castanea","Ostrya/Carpinus","Apiaceae","Alnus","Juglans","Brassicaceae","Triticum-type","Plantaginaceae undiff.","Quercus undiff.","Myriophyllum spicatum/M. verticillatum","Urtica dioica-type","Papaver-type","Rosa-type","Ceratonia","Polygonum sensu lato undiff.","Lemna-type","Populus-type","Platanus","Xanthium-type","Eucalyptus","Styrax","Atropa-type","Sarcopoterium spinosum/Poterium sanguisorba","Artemisia","Cichorioideae","Thalictrum-type","Ranunculus undiff.","Cyperaceae undiff.","Rumex acetosa-type","Plantago lanceolata/P. lagopus","Indeterminable undiff.","Pinus","Mentha-type","Vitis vinifera","Galeopsis-type","Scrophularia-type","Chenopodium sp.","Senecio sp.","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Poaceae","Pistacia","Cupressaceae undiff.","Olea","Quercus ilex/Q. coccifera","Lycopodium spike","Acer","Potamogeton","Vicia/Lathyrus","Tamarix","Hordeum-type","Ulmus/Zelkova","Persicaria","Pteridophyta (trilete)","Plantago maritima-type","Cistus undiff.","Urtica pilulifera-type","Erica","Vitex agnus-castus","Corylus","Potentilla-type","Hedysarum-type","Salsola-type","Dipsacus","Plantago major/P. media","Genista-type","Saussurea-type","Rubiaceae cf. Galium","Myrtus communis","Phlomis","Lavatera-type","Pteridophyta (monolete)","Berberis-type","Typha/Sparganium undiff.","Prunus sp.","Indeterminable (unknown)","Isoëtes","Mercurialis-type","Lythrum","Helianthemum","Morus-type","Echium","Asparagus-type","Asphodelus/Asphodeline","Euphrasia-type","Ephedra undiff.","Hypericum","Fabaceae undiff.","Rhinanthus/Veronica","Anthoceros laevis-type","Spergula/Spergularia","Euphorbia-type","Hedera","Plantago coronopus-type","Alisma plantago-aquatica-type","Cuscuta europaea-type","Pteridium-type","Secale","Sedum-type","Juncus","Betula","Rosaceae (herbs) undiff.","Theligonum cynocrambe","Smilax","Carduus-type","Trifolium undiff.","Carthamus","Viburnum undiff.","Thymelaeaceae","Amaryllidaceae","Centaurea solstitialis-type","Fagus","Salix","Lotus-type","Rhamnus-type","Saxifraga granulata-type","Hypecoum-type","Gentiana undiff.","Linum","Punica granatum","Nerium oleander","Saxifraga aizoides","Dioscorea communis","Acanthus-type","Androsace-type","Lupinus","Helleborus-type","Polypodium-type","Poaceae (Cerealia) undiff.","Humulus/Cannabis-type","Geranium-type","Centaurea cf. C. cyanus","Mesembryanthemum","Linaria","Polygonaceae undiff.","Convolvulus undiff.","Primula-type","Sorbus-type","Callitriche","Rubus-type","Tilia","Cryptogramma-type","Onobrychis-type","Sphagnum-type","Cedrus","Utricularia minor","Sambucus undiff.","Aconitum-type","Ribes-type","Paeonia","Alchemilla","Allium-type","Oenothera","Solanum nigrum-type","Matthiola","Ruppia maritima-type","Ophioglossum-type","Ficus carica","Teucrium-type","Lamiaceae undiff.","Saxifraga undiff.","Dracunculus","Osmunda-type","Riccia-type","Arbutus unedo","Glaucium-type","Carya-type","Campanula-type","Cyclamen","Rumex subg. Emex","Crocus-type","Valeriana-type","Colchicum-type","Pilularia","Oxalis-type","Geum-type","Fumaria","Cercis","Bryonia","Buxus","Taxus"
1415,NA,NA,92.6,NA,NA,NA,NA,2,1,NA,19,2,NA,14,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,6,3,NA,1,8,4,2,15,5,2,19,7,NA,3,NA,8,6,69,16,16,1,93,85,384,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,7,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,NA,NA,96.6,NA,NA,NA,NA,2,NA,NA,2,3,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,1,2,1,2,4,4,4,3,1,19,1,1,2,1,7,10,42,43,31,5,124,92,544,1,NA,NA,NA,7,11,NA,NA,2,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1505,NA,NA,100.6,NA,NA,NA,NA,4,NA,NA,6,2,NA,7,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,8,2,1,1,6,3,7,13,4,NA,23,5,NA,3,1,9,6,81,36,22,1,113,91,239,NA,NA,NA,NA,1,13,NA,1,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,5,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1565,NA,NA,106.6,NA,1,NA,NA,1,NA,NA,2,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,6,5,3,1,2,3,4,4,6,5,2,15,4,NA,2,1,11,7,8,24,21,1,123,148,735,1,NA,NA,NA,1,7,NA,1,NA,NA,NA,8,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1601,NA,NA,110.6,NA,NA,NA,NA,6,NA,NA,6,2,NA,17,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,4,2,6,NA,NA,5,2,2,8,4,NA,18,8,NA,3,2,10,3,68,18,15,2,73,65,247,NA,NA,NA,NA,3,10,NA,1,NA,NA,NA,7,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,2,NA,NA,NA,10,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1652,NA,NA,116.6,NA,1,NA,NA,NA,NA,2,3,6,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,5,2,2,3,4,5,7,6,2,2,23,2,NA,3,4,3,9,27,31,14,5,109,77,762,NA,NA,1,NA,3,6,NA,3,1,NA,1,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1710,NA,NA,124.4,NA,NA,NA,2,2,1,NA,4,2,NA,19,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,6,3,8,2,NA,14,10,4,8,2,NA,25,2,NA,1,5,10,8,18,65,18,NA,157,96,1311,NA,NA,NA,NA,1,8,NA,2,NA,NA,NA,4,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1735,NA,NA,128.2,NA,2,NA,1,1,1,2,1,2,1,12,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,2,17,1,NA,8,5,5,5,6,NA,18,2,NA,5,3,7,5,8,44,19,5,103,115,1009,NA,NA,NA,NA,2,2,NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810,NA,NA,141.2,NA,1,NA,3,4,2,1,NA,5,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15,10,4,3,NA,5,8,3,6,3,NA,12,4,NA,3,2,4,5,33,43,29,2,212,98,665,1,NA,NA,NA,2,7,NA,NA,3,1,1,9,3,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,NA,NA,151.2,NA,NA,NA,2,1,1,1,6,4,NA,23,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,6,5,3,1,6,4,3,10,4,1,12,4,NA,6,2,20,11,25,43,32,1,157,104,832,NA,NA,NA,NA,NA,5,NA,1,NA,1,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,NA,NA,161.2,NA,NA,NA,2,2,NA,1,2,7,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,3,2,NA,9,5,1,5,7,4,16,2,NA,3,1,12,6,48,36,14,6,164,109,710,1,NA,NA,NA,3,3,NA,1,3,NA,NA,4,2,2,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,171.2,NA,1,NA,NA,3,1,NA,19,1,NA,21,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,3,4,3,1,8,1,4,6,5,NA,22,2,NA,3,8,17,11,41,24,23,2,127,102,965,NA,NA,NA,NA,3,2,NA,1,1,NA,2,7,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,3,1,10,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,178.9,NA,NA,NA,1,2,3,NA,NA,4,NA,14,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,11,4,7,6,NA,2,9,2,7,NA,2,17,2,2,6,8,18,5,44,34,21,2,125,89,686,NA,NA,NA,1,1,1,NA,3,NA,NA,1,2,2,3,NA,NA,NA,NA,1,NA,NA,1,NA,5,NA,4,NA,NA,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,186.8,NA,1,NA,5,1,1,NA,20,2,1,3,4,1,1,NA,NA,NA,NA,NA,6,2,NA,NA,NA,8,6,3,2,NA,9,9,8,4,4,1,28,6,NA,3,4,6,5,80,41,22,1,108,107,878,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,10,NA,3,NA,NA,1,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,196.8,NA,3,NA,1,NA,5,NA,NA,5,NA,12,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,8,2,2,2,1,10,6,6,5,2,NA,15,2,NA,1,2,8,3,40,49,17,7,145,114,649,1,NA,1,2,2,2,NA,2,6,NA,2,7,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039,NA,NA,206.8,NA,2,NA,3,3,NA,NA,11,5,NA,12,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,13,7,8,2,NA,5,4,2,8,1,NA,14,5,1,4,6,15,8,71,28,9,2,111,113,816,NA,NA,NA,NA,NA,5,NA,2,1,NA,NA,11,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2070,NA,NA,216.8,NA,NA,NA,2,1,1,NA,2,NA,NA,30,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,5,3,3,3,8,4,NA,10,2,1,13,2,NA,7,3,1,7,29,32,14,5,100,125,528,1,NA,NA,NA,NA,4,NA,5,1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,5,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090,NA,NA,223.4,NA,NA,NA,1,2,3,NA,8,NA,NA,16,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,13,4,11,1,1,5,7,3,5,3,1,14,3,NA,5,4,9,15,48,16,14,3,119,97,1022,NA,NA,NA,NA,1,1,NA,7,NA,NA,1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,7,NA,5,NA,NA,NA,4,2,1,NA,NA,NA,NA,1,NA,NA,3,NA,2,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2114,NA,NA,230.9,NA,NA,NA,NA,NA,NA,NA,1,3,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,4,1,4,NA,9,6,5,6,4,1,16,1,NA,2,2,5,16,21,28,17,6,99,86,408,NA,NA,NA,NA,1,4,NA,NA,1,NA,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2173,NA,NA,250.9,NA,NA,NA,NA,5,1,NA,2,5,NA,12,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,13,4,2,2,2,10,7,2,5,4,NA,17,5,1,4,5,12,4,36,54,43,6,147,109,677,NA,3,NA,NA,6,4,NA,NA,2,NA,NA,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2217,NA,NA,266.9,NA,1,NA,1,9,NA,NA,6,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,9,4,15,1,1,6,1,6,6,3,NA,13,5,NA,5,7,7,6,50,16,30,2,111,87,917,NA,NA,NA,NA,3,2,NA,1,2,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,3,NA,1,NA,NA,1,NA,2,1,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2227,NA,NA,270.9,1,2,NA,1,2,NA,NA,6,6,NA,15,1,1,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,14,6,4,3,NA,4,3,6,4,3,1,16,2,NA,3,4,13,8,23,46,31,9,128,98,717,1,1,NA,NA,1,8,NA,2,1,NA,1,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,1,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2251,NA,NA,280.9,NA,NA,NA,2,3,NA,NA,4,1,NA,3,NA,1,NA,NA,NA,NA,NA,1,6,1,NA,NA,NA,10,3,3,2,NA,11,3,3,NA,2,NA,12,3,NA,5,3,6,4,57,31,30,7,140,66,1075,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,11,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,NA,NA,1,NA,2,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2266,NA,NA,287.7,NA,NA,NA,4,6,2,NA,3,3,NA,18,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,10,5,2,5,3,7,2,7,10,6,1,13,4,1,5,6,10,11,37,44,30,3,120,92,745,1,NA,NA,NA,2,4,NA,NA,1,1,NA,9,4,2,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,1,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
