"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium","Microthyrium-type","Mougeotia-type","Rivularia","Betula","Corylus","Papaver rhoeas-type","Verbascum pulverulentum-type","Tilletia caries-type","Thecaphora-type","Riccia lamellosa-type","Sordariaceae","Gloeotrichia","Centaurea","Bupleurum","Puccinia","Dyadosporites","Spike tablets","Quercus robur-type","Fusiformisporites","Pseudoschizaea","Typha angustifolia-type","Pluricellaesporites","Helianthemum","Asteroideae","Olea","Unknown (monolete)","Pinus pinaster-type","Amaranthaceae","Unknown","Lamiaceae (hexacolpate)","Erica arborea-type","Poaceae","Cichorioideae","Spirogyra-type","Zygnema-type","Cyperaceae","Quercus ilex-type","Pinus nigra-type","Glomus","Polyadosporites","Lycopodium","Atractylis","Alnus","Artemisia","Pistacia lentiscus","Asplenium-type","Gelasinospora","Teucrium","Anagallis arvensis","Pteridium aquilinum","Closterium idiosporum-type","Paronychia","Quercus cf. Q. suber","Nuphar","Potamogeton","Apium","Closterium idiosporum","Trichuris","Rubiaceae","Alchemilla","Bryophyta","Brassicaceae","Viburnum","Resedaceae","Cistus","Lythrum salicaria-type","Conium maculatum","Ulex-type","Malvaceae","Unknown (trilete)","Crassulaceae","Scrophularia canina-type","Ruta","Urticaceae","Rumex","Thalictrum","Vitis","Buxus","Blackstonia perfoliata-type","Ophioglossum","Lotus-type","Phillyrea","Dianthus","Rhamnus","Scabiosa","Sideritis (tetracolpate)","Salix","Cupressaceae-type","Ranunculus peltatus-type","Conium-type","Polypodium","Liliaceae","Fraxinus","Iris","Juglans","Arbutus","Cistus salviifolius","Coriaria myrtifolia","Hypericum","Myriophyllum spicatum","Sparganium","Allium","Potentilla-type","Erodium","Sorbus aucuparia-type","Lysimachia ephemerum","Agrimonia eupatoria","Equisetum","Sambucus nigra-type","Acer","Rhus coriaria","Fabaceae","Taxus","Polygala","Echinops","Pistacia terebinthus","cf. Adiantum","Pilularia","Hedera helix","Fraxinus angustifolia","Caryophyllaceae","Ilex","Polygonum aviculare-type","Ulmus","Thymelaeaceae","Lathyrus","Hydrocharis","Lycium-type","Isoëtes","Euphorbiaceae","Mercurialis","Epilobium","Lamiaceae (tricolpate)","Botryococcus","Trifolium-type","Transeauina","Gentianaceae","Ononis-type","Knautia","Nerium oleander","Sarcocapnos","Pellaea-type","Linum","Parnassia palustris","Rumex crispus-type","Botrychium","Nymphaea","Apiaceae","Sanguisorba","Scrophulariaceae","Anagallis tenella-type","Acaulon-type","Xanthium","Hypecoum","Erica multiflora-type","Galium aparine","Poaceae (Cerealia-type)","Convolvulus","Andropogon","Asphodelus fistulosus","Anchusa azurea","Alisma","Lemna","Ephedra fragilis","Typha latifolia-type","Tamarix","Anthyllis-type","Cerinthe-type","Portulaca oleracea-type","Myriophyllum verticillatum","Callitriche","Myosotis","Echium","Geraniaceae","Cedrus","Ephedra distachya/E. major subsp. major","Closterium cf. C. rostratum","Rosaceae","Rubus ulmifolius-type","Anchusa azurea-type","Myrtus","Asparagus-type","Myrica","Abies"
14921,15064,14780,137,"1","","","","1","","","","","","","","","","","","","","2, 12542","","","","","","","3","","","13","5","4","","","26","11","2","1","","","119","21","","341","","","26","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15447,15612,15283,138,"1","","","","3","1","","","","","","","","","","","","","2, 12542","","","","","","","5","","","9","4","5","","","29","12","","8","","","133","31","","322","","","61","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15974,16163,15782,139,"1","","","","1","","","","","","","","","","","","","","2, 12542","","","","","","","5","","","1","13","7","","","37","7","","8","","","46","16","","489","","","162","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
16501,16715,16277,140,"1","","","","5","","","","","","","","","","","","","","2, 12542","","","","","","","7","","","1","11","4","","","32","9","","1","","","38","21","","508","","","134","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17028,17269,16771,141,"1","","","","1","","","","","","","","","","","","","","2, 12542","","","","","","1","6","","","2","21","6","","","16","11","","4","","","66","18","","555","","","147","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
17555,17827,17265,142,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","4","","","","4","4","","","12","2","2","3","","","27","11","","799","","","52","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18081,18385,17757,143,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","3","","","","","4","","","16","4","","3","","","19","21","","1099","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
18608,18944,18250,144,"1","","1","","","","","","","","","","","","","","","3","2, 12542","","","","","4","","3","","","","9","","","","18","2","","4","","","23","5","","1271","","","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30268,31292,29137,167,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","","","","","4","4","2","","7","6","2","6","","","68","1","","331","","","32","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30338,31328,29254,168,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","","","","","","7","","","11","11","","13","","","60","4","","317","","","73","","","","","","","37","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
30408,31365,29369,169,"2","","","","","","","","","","","4","","","","","","","2, 12542","","","","","","","","","","","6","6","4","","22","11","","9","6","","67","1","","281","","","120","","","","","","","26","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30478,31403,29482,170,"2","","","","","","","","","","","2","","","","","","","2, 12542","","","","","","","6","","","","12","6","","","52","8","2","6","","","88","4","","286","","","61","","","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30548,31444,29595,171,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","13","","","","14","6","","","21","","3","9","","","52","5","","801","","","94","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30618,31485,29704,172,"2","","","","","","","","","","","","","","","","","","2, 12542","3","","","","","","2","","","","16","6","","1","14","3","","11","","","45","","","581","","","82","","","","","","","42","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
30688,31528,29811,173,"2","","","","","","","","","","","1","","","","","","","2, 12542","","","","","","","5","","","","16","3","","","26","4","2","4","","","46","","","397","","","127","","","","","","","26","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",""
30759,31572,29915,174,"2","","","","","","","","","","","","","","","","","","2, 12542","1","","","","","1","8","","","1","14","2","2","","","4","3","7","","","54","2","","454","","","101","","","","","","","31","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",""
30829,31617,30015,175,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","1","","","8","","","","12","8","1","","43","3","10","38","6","","130","1","","180","","","83","","","","","","","78","","","","","3","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","7","","","","","","","",""
30899,31663,30113,176,"2","","","","","","","","","","","","","","","","","","2, 12542","4","","","","","1","9","","","","10","15","","","23","","6","26","","1","178","5","","304","","","39","","","","","","","21","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
30969,31712,30209,177,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","3","","","","","","","6","6","3","1","18","2","6","31","","","132","4","","293","","","46","","","","","1","","21","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
31039,31764,30304,178,"1","","","","","","","","","","","","","","","","","","2, 12542","1","","","3","","","6","","","","6","11","2","3","26","4","6","20","5","1","152","","","281","","1","28","","","","","","","16","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
31109,31817,30396,179,"2","","","","","1","","","","","","","","","","","","","2, 12542","3","","","2","","","10","","","","4","10","","","41","1","10","20","12","","172","3","","306","","","51","","","","","","","24","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31179,31870,30484,180,"1","","","","","","","","","","","2","","","","","","","2, 12542","","","","","","","11","","","","12","8","","1","27","7","8","18","","","174","7","","95","","","54","","","","","","","16","","","","","5","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","1","4","1","","","","","","","",""
31250,31927,30570,181,"2","","","","","","","","","","","2","","","","","","","2, 12542","3","","","","","","4","","","","24","3","","1","18","13","4","16","16","","161","","","306","","","36","","","","","","","21","","","","","23","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","2","","","","","","","",""
31320,31986,30656,182,"2","","","","","","","","","","","1","","","","","","","2, 12542","","","","","","","4","","","","26","16","1","3","28","8","4","14","9","","146","2","","151","","1","61","","","","","","","21","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","","","","","","","",""
31390,32046,30740,183,"1","","","","","","","","","","","2","","","","","","","2, 12542","1","","","","","","3","","","","21","17","","3","29","4","24","10","22","2","115","","","127","","1","109","","","","","","","61","","","","","16","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","",""
31460,32109,30824,184,"2","","","","","","","","","","","1","","","","","","","2, 12542","1","","","","","","3","","","8","17","9","","6","37","7","16","12","13","3","76","3","","113","","","143","","","","","","","44","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","",""
31530,32177,30907,185,"3","","","","","","","","","","","1","","","","","","","2, 12542","5","","","2","","","3","","","15","11","12","4","1","18","2","13","6","5","","99","1","","106","","","51","","","","","","","18","","","","","8","","","","","","4","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","",""
31600,32250,30987,186,"3","","","","","","","","","","","","","","","","","","2, 12542","1","","","","","1","11","","","1","17","23","2","4","42","3","13","13","6","","46","1","","103","","","147","","","","","","","26","","","","","41","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
31670,32327,31064,187,"2","","","","","1","","","","","","3","","","","","","","2, 12542","5","","","","","","18","","","12","18","6","","11","27","4","30","7","11","","110","8","","126","","","91","","","","","","","16","","","","","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",""
31741,32408,31136,188,"2","","","","","","","","","","","","","","","","","","2, 12542","21","","","3","","1","11","","","","4","13","","4","41","6","16","6","21","9","177","","","64","","1","51","1","","","","","","12","","","","","58","","","","","1","1","","","","","","2","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","3","2","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
31811,32491,31201,189,"2","","","","","3","","","","","","4","","","","","","","2, 12542","11","","","2","","","7","","1","","12","11","1","2","28","6","13","11","5","4","128","","","141","","","86","1","","","","","","6","","","","","67","","","","","5","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","",""
31881,32576,31261,190,"2","","","","","","","","","","","","","","","","","","2, 12542","2","","","","","","2","","","4","3","6","1","4","21","","11","7","4","2","124","2","","142","","","31","","","","","","","2","","","","","26","","","","","6","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
31951,32664,31315,191,"1","","","","","1","","","","","","2","","","","","","","2, 12542","3","","","2","","2","6","","1","3","12","15","","1","27","7","5","3","3","","107","1","","126","","2","65","","","","","","","3","","","","","47","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32021,32755,31365,192,"2","","","","","2","","","","","","1","","","","","","","2, 12542","3","","","","","","3","","","5","3","12","","2","28","","3","1","2","1","83","","","183","","","64","","","","","","","5","","","","","17","","","","","13","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32091,32851,31412,193,"2","","","","","","","","","","","","","","","","","","2, 12542","6","","","1","","","7","","","7","11","2","2","6","31","1","6","2","4","2","109","","","155","","","36","","","","","","","5","","","","","44","","","","","9","1","","","","","","4","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32165,32905,31505,194,"2","","","1","","3","","","","","","","","","","","","","2, 12542","20","","","3","","2","2","","","14","6","4","1","3","16","4","3","5","","5","93","1","","134","","1","33","","1","","","","","4","","","","","46","","","","","5","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
32239,32957,31597,195,"2","","","","","1","","1","","","","1","","","","","","","2, 12542","12","","","2","","4","1","","","33","3","11","","3","34","","15","3","3","6","135","","","153","","","43","","","","","","","","","","","","81","","","1","","","3","","","","","","2","","","","","","","","","","","","","","","","","","2","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32312,33011,31690,196,"2","","","","","2","1","","","","","","","","","","","","2, 12542","11","","","","","1","","","","6","6","8","","","7","","","","2","7","84","","","214","","","16","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32386,33064,31781,197,"2","","","","","","","","","","","","","","","","","","2, 12542","17","","","2","","4","","","","14","3","4","2","","11","2","1","2","1","2","91","","","242","","","11","","","","","","","","","","","","46","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32459,33117,31873,198,"2","","","","","","","","","","","","","","","","","","2, 12542","23","","","1","","5","","","","16","13","4","","5","12","","","","","6","84","1","","156","","","16","","","","","","","4","","","","","37","","","","","","1","","","","","","","","","","","","","","","","","","","","","","3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32533,33171,31965,199,"2","1","","","","2","","","","","","","","","","","","","2, 12542","28","","","","","5","2","","","8","3","4","","1","15","","","","2","7","79","11","","328","","","11","","","","","","","1","","","","","76","","","","","","1","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
32606,33225,32056,200,"2","1","","","","","3","","","","","","","","","","","2","2, 12542","25","","","11","1","16","8","","","33","1","5","22","6","86","5","3","4","16","8","110","","","186","","","21","","","","","","","11","","","","","86","","","","","","3","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","3","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","3","","","","","","","","","","","","","","","2","","","",""
32680,33279,32148,201,"1","","","","","1","2","","","","","","2","","","","","1","2, 12542","19","","","10","","","5","","","17","12","8","1","","93","4","","","6","18","70","","","151","","","36","","","","","","","","","","","1","8","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
32754,33333,32239,202,"","","","","","2","4","","","","","1","2","","","","","","2, 12542","13","","","3","","","11","","4","17","16","6","","4","81","","2","5","4","4","87","3","","223","","","34","","","","","","","","","","","2","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
32827,33387,32329,203,"","","","","","","2","","","","","","5","","","","","","2, 12542","11","3","","1","","","","","","11","14","12","3","3","51","3","2","19","6","8","73","","","274","","","69","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32901,33441,32419,204,"1","","","","","1","3","","","","","1","7","","","","","","2, 12542","9","2","","3","","","","3","11","4","3","7","","11","26","","1","5","3","18","64","","","140","","","23","","4","","","","","","","","","","11","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32974,33495,32509,205,"1","","","","","","1","","","","","","8","","","","","","2, 12542","21","","1","2","","","2","","8","14","3","9","1","43","28","","","1","4","43","29","","","192","","1","17","","9","","","","","","","","","","11","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33048,33550,32599,206,"1","1","","","","","1","","","","","1","9","","","","","","2, 12542","21","9","","2","","","","1","14","19","","4","","48","16","","","3","2","36","44","","","252","","","16","","6","","","","","","","","","","9","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
33121,33604,32688,207,"1","","","","","","","","","","","","12","","","","","","2, 12542","8","","","2","2","","1","1","6","13","1","10","3","23","31","","1","2","2","17","54","","","273","","1","3","","2","","","","","","","","","1","1","","","","","","1","","","","4","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
33195,33659,32778,208,"","","","","","","1","","","","","1","3","","","","","","2, 12542","14","","1","3","","","","","9","20","2","3","","13","13","","","3","3","29","47","","","257","","","5","","6","","1","","1","","","","","","4","","","","","16","","","","","1","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33269,33715,32867,209,"1","","","","","2","1","1","","","","","","","","","","","2, 12542","12","","1","1","","","","1","8","12","2","14","2","21","30","","11","3","1","34","64","2","","233","","","8","","2","","","","","","","","","","3","","","","","4","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
33342,33771,32956,210,"1","","","","","","1","","","","","","3","","","","","","2, 12542","5","","","2","","","","2","17","5","3","7","","31","47","","4","2","","28","46","","","294","","","3","","5","","","","3","1","","","","","5","","","","","3","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","1","",""
33416,33828,33045,211,"1","","","","","1","","","","","","1","1","","","","","","2, 12542","3","","","3","","","","2","7","3","5","11","1","14","22","","","4","2","13","50","","","309","","","2","","3","","","","","","","","","","1","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33489,33886,33134,212,"","","","","","","","","","","","","","","","","","","2, 12542","2","","","2","","","","4","12","17","2","4","","25","37","","","10","7","31","68","","","263","","","1","","4","","","","","","","","","","10","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
