Depth,Calendar years BP,Foraminiferatest,Lycopodium spikecounted,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acacia,Acer,Achillea-type,Alisma,Allium,Alnus,Amaranthaceae,Anogramma leptophyllaspore,Anthoceros laevisspore,Anthoceros punctatusspore,Apiaceae undiff.,Apium,Arbutus,Arceuthobium oxycedri,Arctium,Artemisia,Asparagus,Asphodelus albus-type,Asplenium-typespore,Aster-type,Astragalus-type,Betula,Borago,Botryococcuscolony,Brassicaceae,Buxus,Callitriche,Campanula-type,Cannabis,Carduus-type,Carlina,Carpinus betulus,Carthamus-type,Caryophyllaceae undiff.,Castanea,Celtis,Centaurea cyanus-type,Centaurea nigra-type,Centaurium,Centranthus,Cerastium-type,Ceratonia,Ceratophyllumspine,Cercophora-typespore,Chaerophyllum temulum-type,Chamaerops,Cheilanthesspore,Cichorioideae,Cistus,Citrus,Cladium mariscus,Coelastrum reticulatumpalynomorph,Colchicum,Coniochaetaspore,Convolvulus-type,Cornus sanguinea,Corrigiola litoralis,Corydalis,Corylus,Crocus,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daucus,Delitschiaspore,Dinoflagellatacyst,Dioscorea,Dryopteris filix-mas-typespore,Echium,Ephedra,Equisetumspore,Erica-type,Eryngium,Eucalyptus,Euphorbia,Euphrasia,Fabaceae undiff.,Fagus,Falcaria-type,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus-type,Fumaria,Galium-type,Gelasinosporaspore,Genista-type,Gentianaceae,Geranium,Glaucium,Glomusspore,Hedera helix,Helianthemum,Herniaria,Hippophaë,Humulus,Hypericum,Iris pseudacorus-type,Isoëtesspore,Juglans,Juncaceae,Juniperus-type,Knautia,Lamiaceae,Lavandula-type,Lavatera,Liliaceae undiff.,Limonium,Linaria,Linum,Linum catharticum-type,Listera-type,Lotus,Lygeum spartum,Lysimachia vulgaris-type,Lythrum,Lythrum portula,Malva-type,Matthiola-type,Mentha-type,Mercurialis annua,Morus,Mougeotiapalynomorph,Myriophyllum alterniflorum,Myriophyllum spicatum,Myrtus,Neurosporaspore,Nymphaea,Nymphaeahair,Odontites-type,Oenanthe,Olea,Ophioglossum lusitanicumspore,Orlaya,Ornithogalum-type,Ornithopus,Osmundaspore,Ostrya/Carpinus orientalis-type,Papaver,Paronychia-type,Pediastrumcolony,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Phlomis,Picea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polypodiumspore,Polystichumspore,Populus,Potamogeton-type,Potentilla-type,Primula clusiana-type,Prunus-type,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Pteridophyta (trilete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus acris-type,Ranunculus aquatilis,Reseda,Ricciaspore,Rosa,Rosaceae,Rubus,Rumex acetosa-type,Rumex acetosella-type,Ruppia,Salix,Salsola-type,Sambucus,Sanguisorba minor-type,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scrophulariaceae,Scutellaria-type,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Sinapis-type,Smilax,Solanum dulcamara,Solanum nigrum-type,Sorbus,Spergula-type,Spiniferitesspore,Spirogyrapalynomorph,Sporormiellaspore,Stachys-type,Styrax,Tamarix,Taxus,Tetraëdronpalynomorph,Teucrium,Thalictrum,Theligonum cynocrambe,Thymelaeaceae,Tilia,Trifolium pratense-type,Trifolium repens-type,Typha/Sparganium-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Ustulina deustaspore,Utricularia,Valeriana,Valerianella,Verbascum-type,Veronica-type,Vicia-type,Vitex,Vitis,Zygnema-typezygospore
610,--/5403/--,,570,62545,1,1,,,3,,,16,4,,2,,,,,,,7,,,,,,2,,83,7,,,,,2,,,,,,,,,,,,,15,2,,6,,38,,,,,,2,,,,,12,,,,,30,,,,7,,,,,,88,,,1,,1,1,,,1,,3,,,,,,,,,1,,,,,,,,,,,29,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,7,,,,,,4,,,,,,5,,,,8,117,,5,,,,36,1,,,,1,1,,,,,3,,,57,17,5,,,2,,,,,,1,5,,,,,2,1,,,,,,,,,,,,,,,,,,2,8,,11,,,,,,,,,,22,1,3,,,,,,,,,,1,
615,--/5480/--,,322,62545,1,3,,,,1,,10,8,,2,,1,1,,,,3,,,,5,,,,307,,,,,,1,,1,,,,,,,,,,,119,2,2,,,7,4,,,,,,,,,,6,,,,,81,4,2,,15,,,,3,,111,1,,,,,2,,,,,2,,,3,1,,,,,,,,,,,1,,3,,,3,,,1,,1,,,1,,,,,1,,1,,,,,,,,2,,,,,,,4,,,,,,,,1,14,,1,13,,,,9,120,1,7,2,6,,73,1,,,,,27,,,,1,8,1,,36,28,18,,1,,,,,1,,,18,,1,,,,,,,,,3,,,1,,,,,,,,,13,,,,10,2,,,,,1,,,,32,1,,,,,,,,,,,,
620,--/5562/--,,603,62545,1,,,,2,2,,9,4,,,,1,,,,,6,,,,3,,1,,125,10,,6,,,,,,,,,,,,,,,,,6,,5,,3,2,,,,,5,,,,,7,,,,,41,,,,3,,,,,,82,1,,,,,,,,2,,7,1,,1,,1,,,,1,,,,,,2,,2,,,24,,3,,,2,,,,,,,,,,,,1,1,1,,,,,,,,,,,6,,,,,,2,,,1,,,,2,,,10,68,1,6,,,,95,20,41,,,2,9,,,1,,1,,,17,12,12,,10,,,,2,,4,10,3,,,2,1,,,,,3,,,,,,,,,,,,,,,1,4,2,8,,19,2,1,,,,,,112,5,8,1,,,,,,1,,,,1
632,--/5758/--,,1155,62545,1,,,,,,,6,4,,,,5,1,,,,3,,,,1,,1,,347,1,1,,,,1,1,1,,,,,,,,,,,545,2,,,,3,1,,4,,,,,,1,,17,,1,,,69,1,1,,6,,,,,,84,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,,8,,1,6,,,,,,,,,,,,,,,2,,,,,,,,,,,17,,,,3,,,,,,2,,1,5,,,7,,,,7,214,,2,1,4,,85,,,,,1,27,,,,,4,,,13,31,2,,1,,,,,,,1,11,1,11,,,,,,,,,,,,1,,,,1,,,,,2,1,,,26,8,,,,,,,,,22,1,,,,,,,,,,,,
640,--/5889/--,,853,62545,1,,,,,2,,5,4,,,,,,,,,5,,,1,4,,3,,28,6,,,,,,,,,,,,,,,,,,3,2,,4,,5,2,,,,,,,,,,14,,,,,22,,,,25,,,,,,135,2,,,,2,,1,,,,7,,,,,,,,,1,,,,,,,,15,,,3,,2,,,,,,,,,5,,,,,,1,1,,,,,,1,,,,,,1,,,,,,9,,,,,,3,,,,5,83,,5,,,,53,6,1,,,1,9,,,3,,1,,1,21,24,4,,4,7,,,,,,22,12,,1,,,,,,,1,,,,,,,1,4,,,,,,,4,7,,9,,111,1,,,,,,,14,3,,,,,,,4,,,,1,2
645,--/5971/--,,531,62545,1,1,,,,,,11,7,,3,,5,,,,1,5,1,3,,10,,5,,123,5,,,,,1,,2,,,1,,,,,,1,,27,,,,,28,10,,,,,,,,,,22,,,,,56,3,4,,33,,,,1,,152,1,,,,1,,,,,,2,,,1,1,,,,,,,,,,,,,12,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,7,1,,,1,,,,,40,,,11,,,,11,90,,4,1,3,,55,5,,,,,80,,,,,5,2,,23,38,7,,1,9,,2,,,,1,59,1,1,,,,,,,,,,,,5,,,,,,1,,,,20,1,,17,2,,,,,,,,,20,2,1,,,,,,,,,,,
650,--/6053/--,,853,62545,1,,,1,1,,,6,4,,1,,,,,,2,6,,,,5,,5,,24,2,,1,1,,2,,,,,,,,,,,,,,4,,,,22,4,,,,,6,,,,,16,,,,,32,,,,6,,,,1,,168,,,,,,,1,,3,1,2,,,2,,2,,,,,,1,,,,1,,3,,,5,,,,,,,,,,,5,,,,,,1,,,,,,1,,,,,,1,,,2,,,,2,,,,,,2,3,,,5,133,1,7,,1,,46,1,5,,,1,2,,,3,,5,3,,32,11,14,,2,5,,,,,,11,21,,,3,,,,,,,,,,,,,,,,,,,,,17,8,,15,,,2,,,,,,,13,1,,,,,,,,,,,1,
655,--/6135/--,,410,62545,1,,,1,1,,,10,8,,2,,3,,,,,3,1,2,,5,,1,,113,4,,,,,1,3,,,,,,,,,,,,42,2,,,,17,2,,,2,,,,,,,13,,,,,99,6,,,89,,,,2,,116,,,,,,,,,1,1,4,,,1,,,,,,,,,,,,,,12,,,3,,,,,1,,,,,1,,1,,,1,,2,,,,,,,,,4,,,,5,1,,,1,,2,,,75,,,7,,,,12,112,,6,1,4,,69,1,1,,,,76,,,,1,3,,,26,27,2,,1,3,,,,,,,46,2,7,,,,,,,,,,,,,,,,,,,2,,5,20,,,18,2,,,,,,,,,14,3,,,,,,,,,,,,
660,--/6216/--,,2471,62545,1,,,,,,,3,5,,7,,,,,,,,,,,1,,3,,5,6,,,,,2,,2,,,,,,,,,,,,10,,1,,16,6,,,,,6,,,,,7,,,,,25,,,6,,,,,,,279,,,,,,1,,,4,,,,,,,,,,,7,,1,,,,1,,9,,,3,,,,,,,1,,,,7,,,,,,3,,,1,,,,,,,,,1,,,1,,,,,,,,,,2,1,,,3,28,,2,,,,29,4,4,,,1,1,,,3,,5,3,,23,11,8,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,71,5,,6,,,,,,,,,,13,,,,,,,,,,,1,3,
665,--/6298/--,,375,62545,1,,,,1,,,3,5,,1,,2,,,,,4,,,,3,1,3,,95,,1,,,,1,1,,,,,,,,1,,,,188,3,,,,4,2,,2,,,,,,,,6,,,,,60,,,,6,,,,,,90,,,,,,1,,,,,3,,,,,,,,,,,,,1,1,1,,10,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,3,,,,,,2,,,288,,,12,,,,6,156,,4,,2,,58,1,,,,,45,1,,,,3,1,,7,21,2,,,12,1,,,,1,,13,1,5,,,,,,,,,,,,,,,,,,,1,,10,5,,,28,3,,,,,2,1,,,5,3,,,,,,,,,1,,,
670,--/6380/--,,704,62545,1,,,,,3,,7,8,,1,,,,2,,,8,,,,2,,,,23,2,,5,,,,,,,,,,,,,,,,,5,,,,3,2,,,,,3,,,,,7,,,,,45,,,,6,,,,,,79,4,,1,,,,1,,,,4,,,1,,1,,,,,,1,,,,,,9,,,7,,,,,1,,1,,,,1,,,,,,1,2,1,,,,,,,,,,,1,,1,,,,4,,,3,,,4,2,,,8,135,,8,,,,46,17,7,,,3,5,,,1,,,,1,7,15,8,,13,,,,,,5,32,13,,2,,,1,,,1,1,,1,,,,,2,,,,1,,,,7,3,1,6,,42,1,,,,,,1,9,4,7,1,,,,,,,,,1,
680,--/6568/--,,996,62545,1,,,,,2,1,4,7,,1,,,,,,1,2,,1,,5,,2,,21,,,,,,,,,1,,,,,,,,,,,7,,,,7,4,,,,,1,,,,,12,,,,,20,,,,1,,,,,,169,,,,,,,,,1,,7,,,,1,,,,,1,,,,,,,,,,,8,,2,,,,,,,,,3,,,,1,,1,,,,,,1,,,,,,,3,,,,,,2,,,,,,2,,,,2,105,,8,,,,50,2,5,,,,1,,,4,,,,,20,10,9,,3,3,,,,,,1,6,,2,4,,,,,,,,,,,,,,,,,,,,,10,6,,16,,1,1,2,,,1,,,11,2,1,,,,1,,,,,,2,
690,--/6814/--,,714,62545,1,,,1,,,,,15,,4,,,,,,,1,,,,1,,3,,58,6,,,,,,,,2,,,,,,,,,,,1,,,,59,8,,,,,,,,,,6,,,,,47,,,2,,,,,1,,163,6,,,,,,,,4,,3,,,,,1,,,,1,,,,,,,,4,,,8,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,13,63,,7,,,,48,9,,,,1,3,,,3,,2,1,,23,17,3,,6,,,,,,,5,5,,,3,,,,,,,,,1,,,,,,,,,,,,2,12,,2,,,4,,,,,,,23,3,,,,,,,,,,,,
705,--/7182/--,,250,41697,1,,,,,,,1,16,3,31,4,,,,,2,2,,1,,6,,,,19,3,,,,,3,,,,2,,,,,,,,,,3,,1,,63,17,,,1,,3,,,,,3,,,,,42,,,,1,,1,,,,248,3,,,,2,,1,,17,,,1,,,,,,,,,1,,,,,,,4,,,,,2,,,,,1,,2,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,2,35,1,5,,,,41,7,,,,2,29,,,,,5,3,1,2,6,1,,1,1,,,,,2,8,6,,,,,,,,,,,,3,,,,,,,1,,,,,16,,,14,,9,,,,,,,,5,2,,,,,,,,,,,,
712,--/7343/--,,461,62545,1,1,,,,2,1,2,29,1,7,,2,,,,,2,,,,14,1,1,,438,1,,,,,1,,,,,,,,,,,,,35,7,2,,,53,2,,,219,,,,,,,9,,,1,,42,4,3,1,,,,1,,,53,,,1,,,1,,,2,2,4,,,1,,,,,,,,1,,,,,,1,,,3,,,,,1,,,,,,1,,,,1,,,,1,,,,6,,,6,,,,1,4,,1,,,1,,,,,,5,,,,9,103,,10,,2,,137,3,,,,,1120,,,,,7,2,,10,23,,,10,7,,1,,,1,2,15,,4,,,,,,,,1,,,,2,,,,,,,,,4,27,,,13,3,,,,,,1,,,9,5,,,,,,,,,,,,
720,--/7452/--,,539,62545,1,,,,,,1,4,9,,8,,,,,,,5,,,,8,,,,85,6,,1,,,1,,,,3,,,,,,,,,,4,,,,35,6,,,,,5,,,,,11,3,,,,12,,,2,,,,,2,,131,3,,1,,,,,,,,2,,,2,2,2,,,,,,,,,,,,5,,,18,,3,,,,2,,,,,,,,,,,1,1,,,,,1,,,,,,,1,,1,,,,,,,,,,3,6,,,13,44,,7,,3,,76,23,3,1,,1,10,,,,,,1,,19,9,10,,7,,,,,,3,2,2,,1,,,,,,2,1,,,,,,,,,,,,,,,7,2,,4,,1,,,,,1,,,5,4,3,,,,,,,2,,,,1
721,--/7466/--,,546,62545,1,1,,,1,1,,5,15,1,20,3,4,,,,,3,,,1,15,,1,1,350,1,,,,,,1,,,,,,,,,,,,22,4,,,,32,10,,19,3276,,,,,,,16,,,,,55,5,4,,,,,,,,112,,,1,,1,2,,,1,,7,,,1,,,,,,,,,,,,1,,6,,,2,,1,,,,,,,,,3,,,,1,,,,,,,,2,,,11,,,,,4,,,,,,,,,,2,8,,,,14,84,1,10,,3,,156,3,,1,,,371,,,,1,8,2,,12,32,1,,,3,,1,,1,,1,11,,4,,1,,,,,,,,,,,,,,,,1,,,,4,,,11,1,1092,,,,,1,,,13,4,,,,,,,,,,,,
722,--/7480/--,,472,62545,1,,,,1,1,,7,11,,23,,4,,,,,3,,,,17,,1,,264,4,,,,,,1,1,,1,,,,,1,,,,18,2,,,,53,13,,12,1180,,,,,,,13,,,,,54,5,4,,1,,,2,,,160,1,,,1,,,,,2,,2,,,1,,1,,,,,,,,,,,,4,,1,6,,,,,,,,,,,,,,,1,,,,,,,,2,,,6,,,,2,2,,,1,,,,,,1,,2,,,,18,68,,11,,1,,143,1,,,,,261,,,,,1,1,,11,23,,1,3,2,,1,,,,3,9,,2,,,2,,,,,,,,,,,,,,,,,,,5,,,4,1,2124,,,,,,,,9,,,,,1,,,,,,,1,
723,--/7493/--,,498,62545,1,,,,1,3,,6,5,2,22,1,1,,,,,3,,1,,31,,1,,232,2,2,,,,1,1,,,,,,,,,,,,18,1,1,,,15,12,,12,448,,,,,,,17,,,,,47,3,2,,,,,1,,,229,,,,,2,,,,2,,9,,,,,,,,,,1,,,,,1,1,7,,,2,,,,,,,,,,,,,,,,,,,1,,,,3,,,10,,,1,1,2,,,,,,,,,1,,3,,,,13,31,,6,,1,,86,1,,,,,84,,,,,4,3,,6,27,1,1,,7,,1,,,,4,8,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,797,,,,,1,,,4,1,,,,1,,,,,,,,
724,--/7507/--,,573,62545,1,,,,1,,,4,1,,21,1,4,,,,,6,,,,16,,5,,430,2,1,,,,,,,,,,,,,,1,,,24,3,,,,14,13,,18,1563,,,,,,,15,,,,,46,4,1,,,,,1,3,,218,,,,,1,,,,2,,3,,,1,2,,,,,,1,,1,,,,,6,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,7,1,,,1,1,,,,,,,,,,1,9,,,,14,66,,1,,1,,109,1,,,,6,179,,,,,3,2,,10,33,1,,2,,,2,,,,3,4,,,,,,,,,,,,,,,,,,,1,,2,,,3,,,4,1,677,,,,,1,,,4,2,,,,,,,,,,,,
725,--/7521/--,,501,62545,1,,,,,1,,5,2,,11,2,2,,,1,,3,,1,,13,,1,,445,2,,,,,1,1,,,,,,,,,1,,,20,1,1,,,9,5,,14,2850,,,,,,,16,,,,,38,4,3,,,,,,,,231,,,,,1,1,,,1,,2,,,,2,,,,,,1,,,,1,,,1,,,5,,,,,,,,,,,1,,,1,2,,,,,,,,2,,,11,,,,1,,,,,,,,,,,,6,,1,,19,60,,6,,1,,90,1,1,,,3,307,,,,,5,1,,8,40,1,,1,3,,1,,,,7,3,,3,,1,,,,,,,,,,,,,,,,,,,,3,,,2,,1150,,1,,,1,,,7,3,,,,,,,,,,,,
726,--/7534/--,,412,62545,1,1,,,,,,5,4,,9,1,1,,,,,2,,1,,13,,1,,318,4,,,,,1,,,,,,,,,,,,,36,3,,,,8,9,,20,2590,,,,,,,10,,,,,36,2,5,,,,,2,,,184,,,,,,1,,,1,1,4,,,,1,,,,,,1,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,,,1,1,,,,,,,,,,,3,,,,19,57,,4,,1,,108,,,,,1,241,,,,,3,,,7,25,2,,3,1,,,,,,5,1,,1,,,,,,,,,,,,,,,,,,,,,,6,,,1,1,589,,,,,,,,9,3,,,,,,,,,,,,
727,--/7548/--,,339,62545,1,,,,3,,,4,2,,10,,1,,,,,2,,,,9,,1,,353,1,,,,,,,1,,,,,,,,,,,39,1,,,,4,6,,36,2936,,,,,,,12,,,,,39,1,3,,,,,,1,,183,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,2,,,3,,,,,1,,,,,,,,,2,,,,1,1,,,,,,,13,,,,1,,,,,,1,,,1,3,1,4,,1,,18,68,,1,,1,,117,1,,,,2,238,,,,,2,2,,4,29,2,1,2,,,1,,,,7,5,,6,,,,,,,,,,,1,,,,,,,,1,,,,,,3,1,979,,,,,,1,,15,7,,,,1,,,,,,,,
728,--/7562/--,,456,62545,1,1,,,,,,5,1,,5,,1,,,,,2,,,,6,,2,,335,,1,,,,,1,,,,,,,,,,,,50,1,,1,,4,5,,39,4013,,,,,,,10,,,,,22,2,1,,,,,,,,173,,,,,1,,,,2,,4,,,,1,,,,,,,1,,,,,,2,,,5,,,,,,,,,1,,1,,,1,1,,,1,,,,,2,,,4,,,,1,1,,,,,2,,,,1,,3,,,,9,68,,1,,,,129,1,,,,,264,1,,,,2,1,,6,26,,,1,,,2,,,,4,4,,3,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,1,456,,,,,1,,,10,3,,,,,,,,,,,,
729,--/7575/--,,456,62545,1,,,,,,,6,2,1,12,,,,,,,5,,,,6,,,,603,1,,,,,,,1,,,,,,,,,,,45,,,,,1,1,,65,1368,,,,,,,17,,,,,29,,4,,1,,,,,,179,,,,1,,3,,,,,5,3,,,1,1,,,,,,,,,,,,4,,,2,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,1,3,,,,16,48,,2,,,,109,,,,,,174,,,,1,3,1,,8,25,1,,,,,,,,,1,3,,4,,,,,,,,,,,,,,,,,1,,,,,3,,,,1,593,,,,,1,,,16,2,,,1,,,,,,,,,
730,--/7589/--,,621,62545,1,,,,,1,,2,11,1,9,,1,,1,,,7,,,2,5,,,,37,6,,8,2,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,9,,,,,25,,,,,,,,1,1,254,1,,,,,,,,8,,3,,,,,,,,,,,1,,,,3,,,,,12,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,5,,,,,,2,3,,,15,22,,,,,,65,13,,2,1,,30,,,2,,1,1,,6,6,,,1,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,1,3,1,,,1,,,13,8,7,1,,1,,,,,,1,,
731,--/7603/--,,347,62545,1,,,,,,1,2,3,,9,2,1,,,,,3,,,,4,,,,538,1,,,,,,,1,,,,,,1,,1,,,83,1,,,,10,4,,98,50,,,,,,,15,,,,,26,1,2,,,,,1,,,183,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,7,,,6,,,,,,,,,,,2,,,,3,,,2,1,,,,1,,,,,,,,,,,,,1,,,,2,1,2,,,,16,40,,1,1,2,,194,,,,,,215,,,,,3,1,,14,33,,,1,2,,1,,,,3,6,,2,,1,,,,,,,,,,,,,,,,1,,,,1,,,,3,416,,,,,1,,,31,5,,,,1,,,,,,,1,
732,--/7616/--,,383,62545,1,1,,,1,1,,4,3,,8,,2,,,,,5,,,,7,,3,,980,1,,,,,,,,,,,,,,,,,,110,,,,,2,5,,93,77,,,,,,,9,,,,,26,,3,,,,,1,,,195,,,,,1,,,,,,3,1,,2,1,,,,,,,1,,,1,,,4,,,4,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,3,3,,,1,,,2,,,,1,1,1,,,1,21,36,,,,,,236,,,1,,,294,,,,,3,,,8,32,1,,,2,,,,,1,,4,,4,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,1762,,,,,1,,1,28,1,,,,,,,,,,,,
733,--/7630/--,,320,62545,1,1,,,4,1,,2,4,1,2,2,,,,,,7,,,,,,5,,935,1,,,,,,1,,,,,,,,,,,,39,3,,,,2,4,,71,160,,,,,,,13,,1,,,23,3,2,,,,,1,,,174,1,,1,,1,,,,,2,9,1,,1,,1,,,,,,1,,,,,,4,,,6,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,2,,,,,1,2,,,,19,31,,,,2,,218,,,,,,191,,,,,3,3,,4,29,1,,2,1,,,,,,1,4,,2,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,480,,,,,1,,,20,2,,,,,,,,,,,,
734,--/7644/--,,411,62545,1,,,1,,,,2,,,5,,,,1,,1,2,,,,4,,2,,232,2,,,,,,,,,,,,,,,,,,,1,,,,2,4,,,,,2,,2,,,4,,,,,7,,,,,,,,2,,203,1,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,2,,,,13,17,,2,,,,180,3,2,,,2,4,,,7,,6,25,1,10,13,5,,1,1,,,,,,3,2,,,,,,1,,,,,,,,,,,,,,,,,,1,3,,,,2,,,,,2,,,16,,,,,1,,,,,,,,
735,--/7657/--,,457,62545,1,,,,,,,2,,,,,3,,,,,5,,,,5,,,,105,3,,,,,,,,,,,,,1,,,,,,,,,,4,4,,,,,,,,,,9,,,,,16,,,1,,,,,,,236,2,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,1,,,23,,,,,,,1,,,,1,,,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,31,,2,,,,138,2,1,,,,,,1,,,2,,,4,9,3,,6,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,8,,,,1,,,,,,,,11,1,4,,,,,,,,,,,
736,--/7671/--,,435,62545,1,,,,1,,,3,1,,5,,,,,,,4,,,,4,,,,127,3,,,,,1,,,,,,,,,,,,,,,,,,6,7,,,,,1,,,,,8,,,,,16,,,,,,,,,,266,1,,,,,2,1,,5,,2,,,,,,,,,,,,,,,,,1,,,10,,,1,,,,,,,,3,,,,5,,1,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,10,24,,2,,,,99,2,,,,2,31,,,6,,,2,4,7,6,1,,7,3,,,,,3,1,2,,,,,1,,,,,,2,,,,,,,,,1,,,,2,2,,2,,2,1,,,,1,,,10,2,1,,,,,,,,,,,
737,--/7685/--,,341,62545,1,,,,2,4,2,5,,,4,,,,,,,5,,,,2,,,,110,2,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,1,,,,,15,,,,,27,,,,,,,,,,276,3,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,17,,2,,,1,,,,,,,,,,3,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,10,28,,3,,,,92,1,2,,,,7,,,2,,3,,,5,5,3,,8,7,,,,,2,3,3,,1,,,1,,,,,,1,,,,,,,,,2,,,,2,1,,1,,,1,,,,,,,13,2,4,,,,,,,,,,,
738,--/7698/--,,349,62545,1,,,,2,1,,1,1,,4,,,,,,,2,,,,,,1,,75,2,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,8,,,,,11,,,,,,,,,,292,,,,,,,,,3,,,,,1,,1,,,,,,,,,,,,,,,7,,,1,,,,,,,,3,,,,3,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,10,40,,,,,,89,2,,,,,11,,,5,,3,,,4,9,2,,3,15,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,7,,1,,,,1,,,1,,,17,3,,,,,,,,,,,,
739,--/7712/--,,618,62545,1,,,,5,,1,1,1,,4,,,,,,1,,,1,,2,,2,1,108,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,1,,,,,7,,,,,18,,,,,,,,,,280,2,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,21,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,11,21,,2,,,,105,4,,,,,12,,,2,,1,3,1,7,6,,,1,6,,,,,,,2,,,1,,,,,,,,,,,,,,,,,2,,,,7,5,,,,,1,1,,,,,,10,2,,,,,,,,,,,1,
740,--/7726/--,,669,62545,1,,,,1,,,2,1,,1,,,,,,,1,,,2,,,1,,40,,,1,,,,,,,,,,,,,,,,12,4,,,,1,8,,,,,13,,,,,10,1,,,,30,,,,,,,,,1,301,,,,,,,,,7,,4,,,,,,,,,,,,,,,,,5,,,12,,1,,,,,1,,,,1,,,,,,,3,,,,,1,,,,,,,,,,,,,2,1,,,,,,1,,,13,11,,2,,,,63,8,1,,,2,27,,,,,,4,,5,11,,,9,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,5,,,1,,,,8,,,2,,,15,3,3,,,1,,,,,,1,,
741,--/7739/--,,428,62545,1,,,1,1,,2,5,1,,7,,,,,,,,,,,1,,1,,48,3,,,,,,,,,,,,,,,,,,,1,,,,2,2,1,,,,1,,,,,4,,,,,19,,,,,,,,1,,315,,,,,,,,,5,,3,,,2,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,4,,,1,,,,,2,,,,,,2,,,,,,,,,,1,,,,,,,13,24,,,,,,72,3,2,,,1,17,,,1,,3,6,1,9,4,4,,5,7,,,,,,1,1,,,,,,,1,,1,,1,,,,,,,,,,,,,7,10,,1,,,,,1,,1,,,8,1,,,,1,,4,,,,,,
742,--/7747/--,,683,62545,1,,,,,,,3,2,1,4,,,,,,,2,,,,6,,2,,100,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,13,,,,,34,,,,,,,,,,306,,,,,,1,,,7,,1,,,,,,,,,,,,,,,1,,1,,,15,,,,,1,,,,,,4,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,5,29,,2,,,,123,2,,,,1,8,,,1,,,,1,8,9,,,,13,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,1,,,4,,,,,,,,,,,,,
