Depth,Cal yr BP,C14 BP,Lycopodium spikecounted,Abies,Acacia,Acanthus,Acer,Aconitum-type,Adonis-type,Aesculus,Agrostemma,Alisma plantago-aquatica,Alnus,Amaranthaceae,Anchusa,Apiaceae,Apium-type,Armeria-type,Artemisia,Asphodelus,Asteroideae,Avena-type,Bistorta officinalis,Boraginaceae,Botryococcusfilament/cell,Brassicaceae,Bupleurum-type,Campanula-type,Cannabis,Carpinus betulus,Carpinus orientalis,Carthamus-type,Carya,Caryophyllaceae,Casuarina,Cedrus,Celtis,Centaurea nigra-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea-type,Ceratonia,Chelidonium-type,Cichorioideae,Cirsium/Carduus-type,Cistaceae,Cistus,Convolvulus,Corylus,Crataegus-type,Cupressaceae,Cyperaceae,Delphinium-type,Dipsacoideae,Ebenus-type,Echinops,Echium,Elaeagnus,Ephedra distachya,Ephedra fragilis,Epilobium,Equisetumspore,Ericaceae,Erodium,Eucalyptus,Euphorbiaceae,Fabaceae,Fagus,Fraxinus ornus,Fraxinus syriaca,Galium-type,Geranium,Helianthemum,Heracleum-type,Herniaria-type,Hordeum-type,Hypericum,Juglans,Knautia,Lamiaceae,Lemna,Liliaceae,Linum austriacum-type,Linum bienne-type,Lythrum portula-type,Lythrum salicaria-type,Mentha-type,Mercurialis,Myriophyllum,Olea-type,Osmundaspore,Papaver-type,Papaveraceae,Pediastrumfilament/cell,Persicaria amphibia,Phillyrea-type,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus,Plantago indeterminata,Plantago lanceolata,Plantago major/P. media,Platanus orientalis,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare,Polygonum indeterminata,Polygonum oxyspermum,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Populus,Potamogeton,Potentilla-type,Prunus-type,Quercus coccifera,Quercus indet.,Quercus ithaburensis,Ranunculaceae,Ranunculus aquatilis-type,Rhamnus-type,Rhinanthus-type,Rhus,Rosaceae,Rumex,Salix,Salvia-type,Sambucus,Sarcopoterium,Scabiosa,Scrophulariaceae,Secale-type,Solanum,Stachys-type,Symphytum,Tamarix,Thalictrum,Theligonum,Thymelaeaceae,Tilia,Trifolium-type,Triticum-type,Typha angustifolia/Sparganium,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Varia/spore,Veronica-type,Vicia-type,Vitis,Xanthium,Zea mays,Ziziphus-type
390.5,--/3675.2/--,--/3437.605/--,121,,,,,,,,,,,41,,8,,,3,,10,,,,,,,,,,,,,2,,,,,1,,,,,8,1,,,,,1,,2,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,21,9,,,,4,,,,,7,7,,,2,,,70,1,1,,,,,,,,,67,2,832,3,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,6,,,,,,
395.5,--/3754.3/--,--/3488.802/--,87,,,,,,,,,,,27,,4,,,13,1,11,,,,3,,,,,,,,,,,,,,1,,,,,12,3,,,,,,,5,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,,,,,,163,14,,,,2,2,1,,,8,4,,1,,,,55,7,,,,,,,3,,,52,,865,3,,,,,1,1,2,,,,,,,,,,,,3,,,,,,,,,4,,,,,,
398.5,--/3801.9/--,--/3519.521/--,99,,,,,,,,,,,41,,4,,,6,1,8,,,,,4,,,,,,1,,,,,,,1,,,,,5,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,127,11,,,,1,,,,,11,4,,1,,,,44,3,2,,,1,,,1,,,86,6,722,7,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,13,,,,,,
402.5,--/3869.8/--,--/3586.847/--,95,,,,,,,,,,1,38,,2,,,10,1,12,,,,6,,,,,,1,,,1,,,,,,,,,,8,2,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,247,13,,,,2,,2,,,19,2,,1,1,,,34,8,,,,,1,,3,,,58,,785,1,,,,,1,1,1,,,,,,,,,,,,3,,,1,,,,,,1,,,,,,
405.5,--/3927.5/--,--/3657.117/--,108,,,,,,,,,,,17,,2,,,4,,9,,,,1,1,,,,,,,,,,,,,,,1,,,10,2,1,,,,,1,7,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,1,,,1,,1,,134,12,,,,6,,,,,9,4,,1,,,,85,4,1,,,,,,25,,,93,,814,11,,,,,2,3,1,,,,,,,,,,,,2,,,1,,,1,,,5,,,1,1,,
410.5,--/4066.2/--,--/3774.234/--,72,,,,,,,,,,,18,,2,,,10,,18,,,,,2,,1,,,1,,,2,,,,,3,,,,,8,1,1,,,,,3,7,1,,,,,,,2,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,13,30,,,,37,,,,,6,5,,1,,,3,71,3,,,,,,,6,,,97,5,657,10,,,,,2,2,,,,,,1,,,,,,,1,,,,,,,,1,4,,,2,,,
415.5,--/4200.8/--,--/3891.351/--,94,,,,,,,,,,,23,,2,,,4,,18,,,,,1,,,,,,,,2,,,,,,,,,,19,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,1,,,,,3,,6,24,,,,40,,,,,12,6,1,,,,1,63,8,,,,3,,,6,,,99,2,740,8,1,,,,3,,,,,1,,,,,,,,,,,,1,,,,,,1,,,1,,,
420.5,--/4334.1/--,--/4008.469/--,85,,,,,,,,,,,18,,4,,,8,,12,,,,1,1,,1,,,,1,,2,,,,,2,,,,,13,,1,,,,,,4,,1,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,15,15,,,,42,,,,,10,4,1,3,,,2,76,2,,,,,,,1,,,104,7,819,6,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,3,,,,,,
425.5,--/4472.1/--,--/4125.585/--,83,,,,,,,,,,,13,,1,,,3,1,7,,,,1,,,,,,,,,1,,,,,,,,,,5,,,,,,1,1,6,,,,,,,,1,,,1,,,,,,,1,1,,,,2,,,,,1,,,,,,1,1,,15,23,,,,41,,,,,8,3,,,,,,56,5,,,,,,,6,,,77,4,750,4,,,,,1,,,,,,,,,,,,,,2,,,1,,,,,,2,,,1,,,1
430.5,--/4611.7/--,--/4242.703/--,104,,,,,,,,,,,31,,2,,,3,,5,,,,,,,,,,1,,,,,,,,2,,,,,7,1,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,52,33,,,,1,,,,,3,4,,4,,,,98,3,,,,,,,1,,,95,6,699,8,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,3,,,3,,,
435.5,--/4742.9/--,--/4359.82/--,121,,,,,,1,,,,,35,,5,,,9,2,6,,,,1,,,,,,,,,3,,2,,,,,,,,1,,1,,,,1,,10,,,,,,,,,,1,,,,,,,,,,,,,3,1,,,,2,,,,,,,,,67,58,,,,,,1,,,4,6,,1,,,,71,3,,,,,,,1,,,81,,780,11,,,,,3,1,,,,2,,,,,,,,,1,,,1,,,,,,3,,,,,,
440.5,--/4875.1/--,--/4476.937/--,124,,,,,,,,,,,23,,8,,,8,,11,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,1,3,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,180,105,,,,,,2,,1,2,8,1,,1,,,95,1,,,,,,,,,,58,4,632,32,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,
445.5,--/5007.2/--,--/4594.054/--,99,,,,,,,,,,,15,,7,,,6,1,10,,,,,,,,,,,,,4,,,,,,,,,,1,2,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,1,,1,2,,,,,,,,,,,1,,210,111,,,1,,,1,,,7,7,,3,1,,,88,5,,,,,,,,,,70,4,651,22,,,,,1,1,,,,,,,,,,,,,2,,,,1,,,,,3,,,,,,
450.5,--/5145.5/--,--/4711.171/--,75,,,,,,,,,,,22,,10,,,4,,5,,,,,4,1,,,,,,,1,,,,,,,1,,,4,,,,,,1,,2,,,,,,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,156,105,,,,,,1,,1,5,4,,1,,,,86,3,,,,,,,,,,36,2,682,11,,,,,,1,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
455.5,--/5285.8/--,--/4828.288/--,91,,,,,,,,,,,34,,7,,,6,1,9,1,,,,2,1,1,,,,,,6,,,,,,,,,,6,1,,,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,122,86,,,,1,,,,,5,2,,3,1,1,1,101,12,,,,,,,1,,,60,1,723,11,,,,,3,1,,1,,1,,,,,,,,,1,,,,2,1,,,,1,,,1,,,
459.5,--/5391.3/--,--/4864.545/--,98,,,,,,,,,,,17,,2,,,7,,3,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,105,92,,,,,,1,,,7,1,,1,2,,,31,1,,,,,,,,,1,44,,730,22,,,,,2,1,,,,,,,,,,,,,5,,,,,,,,,4,,,1,,,
462.5,--/5433.4/--,--/4885.584/--,97,,,,,,,,,,1,43,,9,,,8,1,8,,,,,1,,,,,,1,,1,,,,,,,,,,3,1,1,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,135,87,,,,1,,,,,3,3,1,1,1,,1,58,,2,,,,,,,,,33,5,692,25,,,,,1,2,,,,1,,,,,,,,,2,,,,,,,,,8,,,1,,,
464.5,--/5457/--,--/4899.61/--,88,,,,,,,,,,,36,,5,,,9,1,5,,,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,1,,,,,,,114,90,,,,13,,,,,6,8,,1,,,1,53,10,2,,,,,,1,,,48,2,753,26,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,4,,,,,,
465.5,--/5468.4/--,--/4906.624/--,57,,,,,,,,,,,41,,1,,,8,,7,,,,1,,,,,,,,,4,,,,,,,,,,1,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,111,93,,,,18,1,,,,8,7,,1,,,,42,9,,,,,,,1,,,20,2,708,14,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,,
467.5,--/5490.9/--,--/4920.649/--,110,,,,,,,,,,,33,,9,,,10,,5,,,,,2,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,1,,,,,,,150,67,,,1,10,,,,1,3,5,,2,1,,,60,6,1,,,,1,,4,,,34,4,743,23,,,,,1,2,,,,1,,,,,,,,,1,,1,,,,,,,4,,,,,,
470.5,--/5524.5/--,--/4941.688/--,89,,,,,,,,,,,32,,5,1,,5,,5,,,,,2,,,,,,,,8,,,,,,,1,,,1,1,,,,,,,8,,,,,,,,2,,,1,,,,,,,,1,1,,,2,2,,,,,,,,,,,1,,169,67,,,,10,,,,,5,7,,,,,,59,6,,,,,,,2,,,53,,743,24,,,,,2,1,1,,,1,,,,,,,,,2,,,,,1,,,,3,,,1,,,
475.5,--/5580.6/--,--/4976.753/--,117,,,,,,,,,,,50,,4,,,9,,6,,,,2,2,,,,,,,,7,,,,,,,1,,,7,,1,,,1,,1,12,,,,,,,,3,,,,,,,1,,,,2,,,,3,,,,,1,,,,,,,1,,438,38,,,,22,,2,,,7,5,,,1,,1,89,4,,,,,,,8,,,95,1,633,22,,,,,1,3,,,,2,1,,,,,,,,2,,,2,1,,2,2,,5,,,,,,
480.5,--/5638.7/--,--/5011.818/--,134,,,,,,,,,,1,59,,5,,,8,,9,,,,,6,,,,,1,,,1,,1,,,,,,,,4,,,,,,,1,3,,,,,,,,1,,,,,,,1,,,1,2,,,,2,,,,,,,,,,,,,,248,40,,1,,67,,3,,,3,4,,1,,,3,132,2,2,,,1,,,,,,95,5,550,18,,,,,6,2,,,,,,1,,,,,,,1,,,,,,,,,3,,,,,,
485.5,--/5695.4/--,--/5046.883/--,228,,,,,,,,,,,37,,4,,,19,,17,,,,,3,,,,,,,,3,,,,,,,1,,,9,4,1,,2,,,,19,,,,1,,,,,,2,1,,,,,,,1,,,,,5,4,,,,6,,1,,,,,1,,614,118,,,,54,,3,,,6,8,,3,2,1,1,107,23,2,,,,,,1,,,114,,527,11,,,,,8,9,1,,1,1,,,,,,,,,7,1,,,1,,1,,2,6,,,1,,,
490.5,--/5751.5/--,--/5081.948/--,150,,,,,,,,,,,32,,4,,,11,,12,,,,,1,,1,,2,1,1,,3,,,1,,1,,1,,,5,,,,,,,1,9,,1,,,,,,,,,1,,,,1,1,,1,,,,,4,,,,,,,,,,,,,,750,89,,,,12,,8,,1,8,7,1,3,,1,,124,7,1,,,,,1,4,1,,87,2,618,16,,,,,8,5,,,1,,1,1,,2,,,1,,4,1,,2,,,,5,1,11,,,,,,
495.5,--/5808.4/--,--/5117.013/--,277,1,,,,,,,,,,16,,3,,,14,,11,,,,,5,,,,,,,,,,1,,,,,,,,3,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,3,,847,137,,,,8,,3,,2,7,7,,1,2,,,78,11,1,,,,,,,,,92,3,629,4,,,,,8,12,,,,,,,,,,,,,2,1,,,1,1,,,,1,1,,,,,
500.5,--/5863.6/--,--/5152.078/--,240,,,,1,,1,,,,1,48,,5,,,15,,16,,,,,7,,4,2,1,1,1,,1,,,,1,1,,,,,12,2,,,,,,,11,,,,,,,,1,,,,,,,2,,1,1,1,,,,5,3,1,,,2,,,,,,,,,530,95,,1,,33,,5,,1,8,9,,4,3,,1,114,6,,,,1,,1,6,,1,115,6,595,7,,,,,4,2,1,,,,1,,,1,,,1,,,,,2,2,,,,1,12,1,,1,,,
505.5,--/5921.4/--,--/5187.143/--,235,,,,,,,,,,1,41,,5,,,12,,8,,,,1,2,,,,,,,,4,,,,,,,1,,,9,1,,,1,1,,1,8,,,,,,,,1,,,,,,,,,,1,1,,,,4,1,,,,,,,,,,,3,,1119,80,,,,72,,5,,,4,10,,2,1,,,71,5,,,,,,,5,,,73,2,644,13,,,,,3,11,1,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,
510.5,--/5978.9/--,--/5222.208/--,113,,,,1,,,,,1,1,46,,9,,,8,,11,,,,,2,,,,,1,,,1,,,,,,,,,,2,,,,,1,,,7,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,651,50,,,1,10,,4,,1,5,12,,2,1,,,115,3,3,,,1,,,6,,,46,4,645,13,,,,,8,5,,,,1,,,,,,,,,3,,,1,,1,,1,2,5,,,,,,
515.5,--/6036.2/--,--/5257.273/--,184,,,,,,,,,,2,44,,3,,,14,1,7,,,,2,1,1,,1,1,,,,2,,,,1,,,3,,,4,1,,,,1,,,15,1,,,,,,,3,,,,,,,1,,,,2,,,,4,3,,,,,,1,,,,,,,446,73,,,,61,,1,,,6,8,1,6,,,1,108,16,1,,,,,,19,,,58,,671,18,,,,,10,3,,,,2,1,,,,,,,,,,,2,3,2,,,1,2,,,,1,,
520.5,--/6093.6/--,--/5292.338/--,265,,,,,,,1,,,,81,,13,,,12,,22,,,,4,7,1,,,,,1,,1,,,,1,,,2,,,7,3,,,,,,1,14,1,,,,,,,,,,,,,,,,2,1,3,,,,6,2,,1,,2,,,,,,,,,5300,75,,,,170,1,6,,,11,9,,5,3,,,140,10,7,,,2,,,9,,,55,2,444,43,,,,,8,10,,1,,,,,,,,,,,5,,,2,1,,1,,,3,,,,,,
525.5,--/6149/--,--/5327.403/--,396,,,,,,,,,,3,54,,7,,,27,2,63,,,,1,8,,,,,1,2,,6,,,,1,,,1,,,33,7,1,,,1,,1,21,,,,,,,,,,,,,,,2,,,,3,,,,8,,,,,1,,5,,,,,,,6930,98,,,,135,10,4,,,11,5,,3,1,1,1,200,15,5,,,,1,,50,,,48,3,283,44,,,,,13,9,,,,1,,,,,,,,,4,,,1,2,2,3,,,4,,,,,,
530.5,--/6205.3/--,--/5362.468/--,450,,,,,,,,,,,62,,6,,,10,3,117,,,,2,4,,,,,,4,,10,,,,,,,,,,103,8,1,,,1,2,2,23,3,,,,,,,1,,,,,,,2,,,1,,,,,3,1,,,,,,7,,,1,,2,,536,86,,,,19,5,5,,,16,3,,1,,,,105,13,4,,,2,,3,19,,,31,4,345,23,,,1,,1,5,2,,,,1,1,,,,,,,,,,2,,,,,,10,,,,,,
536,--/6266.5/--,--/5401.039/--,392,,,,,,,,,,,67,,2,,,2,,57,,,,,1,,,,1,,,,3,,,,,1,,1,,,42,10,,,,2,,,14,2,,,,,,,2,,1,,,,,,,,,2,,,,1,5,,,,1,,5,,,,,,,395,57,,,,90,5,2,,,26,1,,,,,,156,14,4,,,2,,1,17,,,29,1,387,98,,,1,,2,,,,,,,,,,,,,,,,,1,,2,,,,7,,,,,,
542,--/6328.5/--,--/5443.117/--,190,2,,,,,,,,,,85,,2,,,1,1,24,,,,,1,,,,,,,,2,,,,,,,,,,23,3,,,,,,,5,1,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,2,,,,,1,,630,28,,,,64,,,,,15,1,,2,,,,45,14,5,,,,1,,4,,,31,3,707,33,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,7,,,,,,
