Depth,Calendar years BP,Abies,Acer,Achillea/Anthemis-type,Agrostemma githago,Allium-type,Alnus,Amaranthaceae,Anagallis arvensis,Anagallis tenella,Anemone nemorosa-type,Angiospermae undiff. (herbs),Apiaceae undiff.,Armeria,Artemisia,Asphodelus-type,Asteraceae undiff.,Betula,Bistorta officinalis-type,Boraginaceae undiff.,Brassicaceae,Bryophyta undiff.spore,Bupleurum-type,Buxus,Calligonum-type,Campanulaceae,Carpinus betulus,Caryophyllaceae undiff.,Castanea,Cedrus,Celtis,Centaurea cf. C. cyanus/montana-type,Centaurea scabiosa,Centaurea solstitialis-type,Ceratophyllum,Cichorioideae,Cirsium,Cladium,Clusiaceae/Hypericaceae cf. Hypericum,Consolida ambigua-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae undiff.,Digitalis-type,Dipsacoideae,Dryopterisspore,Echium-type,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euonymus europaeus,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Fraxinus undiff.,Fritillaria-type,Fumana,Galium-type,Geranium,Hedera,Helianthemum,Helleborus foetidus,Helleborus viridis,Hippophaë,Humulus/Cannabis,Ilex,Indeterminable (broken)/spore,Indeterminable (concealed)/spore,Indeterminable (crumpled)/spore,Indeterminable (degraded)/spore,Juglans,Larix,Lemnoideae,Liliaceae,Linum,Lithospermum,Lonicera,Lotus,Malvaceae undiff.,Marrubium-type,Mentha-type,Menyanthes,Myriophyllum alterniflorum,Myriophyllum spicatum-type,Myriophyllum undiff.,Myriophyllum verticillatum,Nuphar,Nymphaea,Olea,Ononis,Ostrya,Oxyria-type,Papaveraceae,Pedicularis,Persicaria amphibia,Persicaria maculosa-type,Persicaria undiff.,Phillyrea,Picea,Pinus subg. Strobus,Pinus undiff.,Pistacia,Plantago,Poaceae (Cerealia-type),Poaceae undiff.,Polypodiophyta undiff.spore,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Prunus spinosa,Pteridiumspore,Pterocarya,Quercus ilex,Quercus undiff.,Ranunculus,Resedaceae,Rhamnaceae,Rosaceae cf. Geum,Rosaceae undiff.,Rumex,Salix,Sambucus,Sanguisorba officinalis,Saxifragaceae,Scilla-type,Scrophulariaceae,Scutellaria-type,Serratula-type,Solidago-type,Sorbus,Spermatophyta undiff. (trees/shrubs),Sphagnumspore,Tamarix,Taxus,Thalictrum,Thymelaeaceae cf. Daphne,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Unknown undiff./spore,Urtica-type,Valeriana,Veronica-type,Viburnum,Vicia,Viola palustris-type,Viscum,Vitis,cf. Alchemilla,cf. Androsace,cf. Callitriche,cf. Centaurium,cf. Chrysosplenium,cf. Circaea,cf. Daphne,cf. Elatine,cf. Epilobium,cf. Euphorbia,cf. Frangula/Bruckenthalia,cf. Helianthemum,cf. Larixpalynomorph,cf. Mentha,cf. Mercurialis,cf. Myrica,cf. Onobrychis-type,cf. Platanus,cf. Rutaceae,cf. Sambucus,cf. Samolus valerandi,cf. Sedum,cf. Trichomanesspore
3748,--/59165/--,2,,2,,,2,8,,,,,8,,24,,,20,,,6,,,,2,,,7,,,,,,,,1,1,,,,,2,4,5,,,,,,3,,,,,,6,,3,1,,,,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,3,10,127,,,,1,,,,,,,,55,,,,,,3,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769.5,--/59478/--,1,2,2,,,4,6,,,,,5,,33,,,10,,,6,,,,1,,,9,,,,,,,1,3,1,,,,,,10,5,,,,,,,,,,,,12,,5,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,1,11,154,,,,2,1,,,,,,,55,1,,,,,1,1,,,,,,,,,,,,,,2,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3792,--/59791/--,,,1,,,4,9,,,,,5,,28,,,9,,,1,,,,,,,3,,,,,,,,2,1,,,,,4,14,2,,,,,,2,,,,,,14,1,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,41,,2,16,134,,,3,,1,,,,,,,35,1,,,,,1,,,,,,,,,,,,,,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803.5,--/60055/--,,,3,,,3,9,,,,,2,,40,,,4,,,,,,,,,,3,,,,,,,,1,,,,,,1,14,4,,,3,,1,3,1,,,,,8,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,1,122,,,,5,,,,,,,,20,,,,,,1,2,,,,,,,,,,,,,,3,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3821.5,--/60056/--,1,,,,,3,6,,,,,1,,33,,,5,,,1,,,,,,1,19,,,,,,,2,1,,,,,,1,11,3,,,,,1,,,,,,,10,,2,1,,,,5,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,29,,1,12,145,,,1,,,,,,,,,43,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3833,--/60152/--,1,,4,,,,22,,,,,2,,31,,,7,,,,,,,,,,1,1,,,,,5,1,2,,,,,,1,17,3,,,,,1,1,,,,,,16,,,,,1,,3,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,4,,146,,,,,,,,,,,,58,1,,,,,1,1,,,,,,,,5,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3854,--/60230/--,5,,4,,,1,32,,,,,7,1,69,,,4,,,2,,,,,,,1,,,,,1,1,,4,,,,,1,1,9,3,,,,,,4,,,,,1,13,,,,,,,10,,,1,,,,1,,3,,5,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,47,,,,163,,,,,,,,,,,,29,,,,,,,,,,,,,,,3,,,,,,4,,,,6,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3861,--/60341/--,3,,,,,10,15,,,,,4,,23,,,1,,1,1,,,,,,,10,,,,,,,,19,1,,,,,,3,2,,,,,3,2,,,,,,2,,,,,,,3,,,1,,,,,,,,7,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,30,,1,,128,,,,1,,,,,,,,18,3,,,,,,1,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3868.5,--/60461/--,1,1,2,,,7,28,,,,,4,1,56,,,7,,1,,,,,,,4,2,,,,,,1,1,8,1,,,,,1,7,3,,1,,,1,1,,,,,1,17,,,,,,,2,,1,1,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,58,,2,,189,,,,,,,,,,,,33,,,,,,,,1,,,,1,,,3,1,,,,,3,,,,3,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,--/60731/--,,,1,,,,23,,,,,1,,40,,,1,,,,,,,,,1,1,,,,,,1,,4,1,,,,,,4,8,,,,,1,1,,,,,1,5,,1,,,,,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,45,,4,,120,,,,,,,,,,,,31,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3907,--/61091/--,1,,1,,,1,8,,,,,1,,22,,,,,,,,,,,,,2,,,,,,4,,6,2,,,,,,2,,,,,,1,2,,,,,1,,,,,,,,,,,1,,,1,,,3,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,28,,3,,106,,,,1,,,,,,,,9,,,,,,1,,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3921,--/61331/--,1,1,,,,2,10,,,,,6,,25,,,3,,,1,,,,,,,,,,,,,2,,2,,,,,,1,3,2,,,,,2,,,,1,,,5,,,,,,,1,,,,,,,,,2,,4,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,23,,3,,81,,,,1,,,,,,,,27,3,,,,,,1,1,,,,,,,1,,,,,,,,,,1,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943.3,--/61721/--,,,1,,,,6,,,,,1,,18,,,6,,,1,,,,,,,1,,,,,,,,9,,,,,,,6,3,,,,,5,,,,,,,4,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,39,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
3958.5,--/62004/--,1,,,,,1,13,,,,,3,,22,,,8,,,,,,,,,1,1,,,,,,1,,4,1,,,,1,,15,7,,,,,4,2,,,1,,1,8,,1,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,45,,1,,122,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,,,,,,,,,,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975,--/62368/--,1,,2,,,,7,,,,,4,,13,,,2,,,1,,,,,,,,,,,,,,,6,1,,,,,1,14,3,,,,,,,,,,,,9,,,,,,,4,,,2,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,20,,,,41,,,,1,,,,,,,,18,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3992.5,--/62691/--,3,,,,,3,10,,,,,4,,38,,,4,,,1,,,,,,,5,,,,,,,,3,2,,,,,1,12,5,,,,,2,,,,1,,,15,,,,,,,2,,,,,,,1,,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,1,,100,,,,,,,,,,,,17,,,,,,1,,,,,,,,,1,,,,,,1,,,,2,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4016.5,--/63176/--,,1,1,,,,15,,,,,,,11,,,3,,1,,,,,,,,4,,,,,,1,,5,,,,,,,4,4,,,,,4,,,,,,,9,,,,,,,3,,,1,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,61,,,,,,,,,,,,12,2,,,,,2,,,,,,,,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4041.7,--/63660/--,1,,2,,,3,15,,,,,2,,54,,,3,,,3,,,,,,,4,,,,,,,1,9,1,,,,,,33,2,,1,,,2,2,,,,,,12,,,,,,,2,,,1,,,1,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,1,,110,,,1,,,,,,,,,13,1,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,--/63822/--,1,,2,,,,25,,,,,3,,84,,,2,,,1,,,,,,,2,,,,,,1,,3,,,,,,1,35,,,,,,3,2,,,,,,2,,,,,,,5,,,,,,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,4,,142,,,,1,,,,,,,,10,,,,,,2,,,,,,,,,1,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060.8,--/64154/--,,1,10,,,5,40,,,,,14,,121,,,2,,,8,,,,,,,2,,,,,,1,1,3,2,,,,,,8,2,,,,,2,5,,,,,,6,1,,,,,,16,,,1,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,36,,,,188,,,,1,,,,,,,,22,1,,,,,1,,,,,,,,,5,1,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
4075.1,--/64283/--,,,1,,,4,11,,,,,2,,16,,,5,,,,,,,,,1,1,,,,,,,,6,1,,,,,,11,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,15,,1,,73,,,,,,1,,,,,,10,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4090.5,--/64412/--,1,,4,,,1,26,,,,,4,,67,,,4,,,,,,,,,,2,,,,,,,1,1,3,,,,,1,84,8,,,,,1,6,,,,,,6,,,,,,,1,,,1,,,1,,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,3,,141,,,,,,,,,,,,12,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
4103.5,--/64594/--,5,,3,,,1,81,,,,,4,,128,,,2,,,1,,,,,,,1,,,,,,,,1,,,,,,,144,2,,,,,1,2,,,,,,5,,,,,,,4,,,3,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,30,,4,,228,,,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4119,--/64824/--,3,1,5,,,1,61,,,,,2,,126,,,,1,,2,,,,,,,1,,,,,,1,,4,,,,,,,66,6,,,,,4,2,,,,,,2,,,,,,,3,,,1,,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,,184,,,,,,,,,,,,7,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4133,--/65054/--,2,,3,,,1,53,,,,,5,,79,,,,1,,3,,,,,,,3,,,,,,,,10,1,,,,,,48,5,,,,,2,1,1,,,,,6,1,,,,,,7,,,,,,1,,,3,,8,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,27,,3,,110,,,2,,,,,,,,,5,,,,,1,1,,,,,,,,,1,,,,,2,3,,,,1,,,,,6,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
4148,--/65226/--,1,,3,,,2,35,,,,,6,,97,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,87,6,,,,,1,5,,,,,,3,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20,,2,,148,,,,,,,,,,,,10,,,,,,1,,,,,,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4162.5,--/65456/--,,2,7,,,3,86,,,,,4,,121,,,2,,,,,,,,,3,4,,,,,,1,,5,2,,,,,1,74,4,,,,,,2,,,,,1,9,,,,,,,3,,,,,,1,,,2,,4,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,33,,6,,87,,,,,,,,,,,,23,,,,,,1,,,,,,,,,3,,,,,,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4172.5,--/65685/--,,1,4,,,1,56,,,,,4,,105,,,2,,,,,,,,,,1,,,,,,,,8,1,,,,,,55,2,,,,,2,1,,,,,1,,,,,,,,5,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,3,,114,,,1,,,,,,,,,4,,,,,,3,,,,,,,,,1,,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4187,--/65915/--,7,1,1,,,6,79,,,,,6,,104,,,3,,,2,,,,,,2,4,,,,,,,,5,1,,,1,,,64,7,,,,,3,4,,,,,1,6,,,,,,,4,,,2,,,1,,,2,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,4,,171,,,,,,,,,,,,27,,,,,,2,,,,,,,,,,,,,,,4,,,,,1,4,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4206.5,--/66245/--,6,1,5,,,5,68,,,,,20,,104,,,3,,,1,,,,,,2,1,,,,,,2,,19,3,,,,,1,27,8,,,,,3,1,,,,,1,8,,,,,,,4,,,1,,,1,,,1,,3,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,28,,7,,134,,,,,,,,,,,,13,,,,,,4,1,,,,,,,,6,,,,,,2,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
4221.5,--/66489/--,3,,6,,,,58,,,,,4,,113,,,1,,,2,,,,,,1,4,,,,,,1,,7,2,,,,,,35,2,,,,,1,2,,,,,2,12,,,,,,,3,,1,4,,,1,,,2,,4,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,28,,4,,149,,,,,,,,,,,,20,3,,,,,6,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4235.5,--/66718/--,2,,6,,,,45,,,,,10,,112,,,1,2,1,,,,,,,,3,,,,,,3,,4,1,,,,,2,61,6,,1,,,1,3,,,1,,,3,1,,,,,,6,,,3,,,2,,,,,4,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,22,,2,,153,,,,,,,,,,,,6,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4243,--/66948/--,2,,9,,,1,69,,,,,8,,93,,,,7,,2,,,,,,1,4,1,,,,,1,,1,,,,,,,23,6,,,,,1,5,,,,,2,4,,,,,,,3,,,4,,,2,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,9,,135,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,
4255,--/67120/--,7,,8,,,3,105,,,,,7,,183,,,,1,,,,,,,,,3,,,,,,2,,6,,,,,,,29,5,,,,,3,2,,,4,,,2,,,,,,,3,,,2,,,,,,,3,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,9,,219,,,,,,,,,,,,13,2,,,,,3,,,,,,,,,3,,,,,,3,,,,,,1,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
4277,--/67465/--,47,2,2,,,21,68,,,,,12,,75,,,7,,,3,,,,,,4,1,,,,,,1,,1,1,,,,,4,11,4,,,,,2,2,,,,,,20,,2,,,,,2,,2,,,,2,,,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5,,151,,1,,,,,,,,,,39,1,,,,,2,,1,,,,,,,4,,,,,,1,,,,,1,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4293.5,--/67780/--,30,,2,,,29,70,,,,,4,,118,,,1,,,2,,,,,,5,3,,,,,,2,,3,1,,,,,2,9,1,,,,,,2,,,,,,32,,,,,,,4,,2,2,,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,12,,4,,145,,,,,,,,,1,,,27,,,,,,1,,,,,,1,,,3,,,,,,2,,,,4,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4310,--/68024/--,1,,5,,1,3,93,,,,,3,,138,,,1,,,3,,,,,,,1,,,,,,1,,3,,,,,,,14,,,,,,,1,,,,,,2,,,,,,,9,,,1,,,,,,1,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,3,,153,,,,,,,,,,,,3,,,,,,1,,,,,,,,1,5,,,,,,3,,,,2,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4325.5,--/68254/--,8,,12,,,3,114,,,,,6,,150,,,,,,4,,,,,,,2,,,,,,4,,6,1,,,,,,15,3,,,,,3,1,,,,,,9,,,,,,,9,,,1,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,2,,162,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4339,--/68412/--,1,2,6,,,1,76,,,,,9,,117,,,1,1,,3,,,,,,,3,,,,,,7,,4,3,,,,,,24,2,,,,,,,,,,,,5,1,,,,,,4,,,3,,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,4,,204,,,,,,,,,,,,7,1,,,,,1,1,,,,,,,,1,,,,,,1,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4352.5,--/68648/--,1,,11,,,1,33,,,,,8,,60,,,1,,1,5,,,,,,,,,,,,,1,,3,,,,,,,9,1,,,,,,1,,,,,,,,,,,,,2,,,,,,1,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,84,,,,,,,,,,,,1,1,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4366.5,--/68945/--,23,1,9,,,16,43,,,,,7,,108,,,1,,,4,,,,,,4,2,,,,,,1,,4,4,,,,,2,23,3,,1,,,2,1,,,,,1,12,,,,,,,6,,1,,,,,,1,1,,4,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,32,,5,,207,,,,3,,,,1,,,,32,,,,,,1,,1,,,,,,,5,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383,--/69241/--,9,3,3,,,8,48,,,,,19,,86,,,3,,1,5,,,,,,,2,,,,,,,,1,3,,,,,2,39,4,,,,,2,,,,1,,,15,,,,,,,7,,,,,,2,,,1,,5,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,44,,6,,184,,,,,,,1,,,,,24,1,,,,,,,,,,,1,,,4,,,,,,1,,,,1,,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4396.5,--/69543/--,65,,7,,,67,36,,,,,12,,63,1,,5,,,4,,,,,,7,,,,,,,,,1,,,,,,,18,,,,,,2,1,,,,,,54,,,,,,,7,,,1,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,3,,171,,,,1,,,,,,,,65,1,,,,,1,,1,,,,,,,4,,,,,,2,,1,,1,,7,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4411,--/69779/--,33,3,3,,,41,46,,,,,4,,45,,,5,,,,,,,,,8,2,,,,,,,,5,1,,,,,3,63,5,,,,,1,1,,,1,,,37,,,,,,,9,,,1,,,1,,1,1,,6,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,50,,2,,157,,,,1,1,,,,,,,97,,,,,1,2,1,,,,,,,,1,,,,,,1,,1,,1,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429,--/70116/--,21,1,3,,,24,17,,,,,2,,27,,,3,,,1,,,,,,4,1,,,,,,,,8,,,,,,,59,,,,,,2,,,,,,1,30,,,,,,,6,,1,,,,,,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,33,,3,,109,,,,4,,,,,,,,31,,,,,,,,,,,,,,,3,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4436,--/70250/--,20,2,2,,,32,39,,,,,5,,49,,,1,,,1,,,,,,1,1,,,,,,,,4,1,,,,,1,71,1,,,,,1,2,,,,,1,22,,,,,,,6,,,1,,,,,,3,,6,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,21,,2,,152,,,,2,,,,,,,,38,1,,,,,3,,1,,,,1,,,,,,,,,2,1,,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,--/70478/--,20,,3,,,12,60,,,,,4,,108,,,3,,,3,,,,,,,2,,,,,,3,,3,,,,,,1,44,7,,,,,1,,,,,,,5,1,,,,,,9,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,13,,147,,,,1,,,,,,,,15,,,1,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4468,--/70674/--,13,,7,,,22,48,,,,,5,,71,,,,,,,,,,,,2,1,,,,,,,,2,2,,,,,,46,5,,1,,,3,1,,,,,,11,,,,,,,1,,,,,,,,,5,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,10,,188,,,,,1,1,,,,,,12,,,,,,1,,,,,,1,,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4481,--/70870/--,7,,6,,,10,63,,,,,9,,121,,,2,1,,2,,,,,,1,4,1,,,,,,,5,4,,,,,,62,11,,,,,1,,,,,,1,16,1,,,,,,9,,,2,,,,,,,,2,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,48,,10,,255,,,,,,,,,,,,16,1,,,,,2,1,,,,,,,,5,1,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
4497.5,--/71066/--,52,,3,,,43,38,,,,,7,,59,,,1,,,6,,,,,,7,1,,,,,,2,1,,,,,,,8,28,2,,,,,2,1,,,,,,38,1,,,,,,6,,1,,,,1,,1,2,,2,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,44,,8,,174,,,,1,1,,,,,,,66,1,,,,,2,1,1,,,,,,,3,1,,,,,1,,1,,,,7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4509,--/71287/--,18,3,5,,,30,35,,,,,6,,63,,,5,,,1,,,,,,4,,,,,,,,,1,,,,,,,20,2,,,,,4,,,,,,,22,,,,,,,4,,2,,,,1,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,27,,7,,126,,,,,,,,,,,,39,1,,,,,1,,,,,,,,,1,,,1,,,1,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4518,--/71434/--,45,7,4,,,70,48,,,,,4,,62,,,7,,,3,,,,,,7,3,,,,,,1,,,1,,,,,1,5,,,,,,1,1,,,,,,51,,,,,,,6,,1,2,,,1,,1,3,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,20,,4,,162,,,,,,,,,,,,78,1,,,,,,,1,,,,,,,3,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4532,--/71630/--,35,2,3,,,59,42,,,,,5,,56,,,2,,,2,,,,,,7,2,,,,,,1,,,3,,,,,2,9,1,,,,,1,1,,,,,,35,,,,,,,2,,4,,,,1,,,2,,9,2,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,21,,1,,130,,,,2,,1,,,,,,61,,,,,,1,,1,,,,,,,2,,,,,,1,,,,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4582,--/71826/--,34,2,7,,,73,58,,,,,2,,72,,,1,,,,,,,,,9,,,,,,,5,,6,1,,,,,,20,,,,,,3,,,,1,,1,43,,,,,,,8,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,3,,122,,,,,,,,,,,,71,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
