Taxon (original name),Taxon (revised nomenclature),Family name,Pollen habit (code),Pollen habit (name),Plant habit,,,,,
Croton type Neoboutonia,Croton/Neoboutonia,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
CROTON*,Croton-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Croton/Jatropa,Croton/Jatropha,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Crotoneae,Crotoneae undiff.,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Croton-type,Croton-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Dalechampia,Dalechampia,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Elaeophorbia/Euphorbia,Elaeophorbia/Euphorbia,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euph. Croton,Croton-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphoprbia sp.(herbacees),Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
EUPHORBIA,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia (R3cp 17),Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia grande taille,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia large,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia sim.,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia sp,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia spp.,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbia type,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiacae,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacea undiff.e,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
EUPHORBIACEAE,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae (Croton type),Croton-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae (Mauritius type 172,,,,,,,,,,
Euphorbiaceae Acalypha Typ,Acalypha,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae cf Dalechampia,Dalechampia,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae cf Tyragia,Tragia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae Euphorbia Typ,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae Phyllantus,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae prolate,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae sp,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae type 1,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae undifferentiated,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae unknown 1,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae-other,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacees,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacees non determinees,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacées non déterminées,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbia-type,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Jatropa,Jatropha-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Jatropha/Croton,Croton/Jatropha,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Jatropha-type,Jatropha-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
MANIHOT,Manihot,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Micrococca,Micrococca-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Monadenium,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Monster Mallotus,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Phylanthus,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phylantus type,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllantheae,Phyllantheae undiff.,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllanthus,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllanthus (cf),Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllanthus spp.,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllanthus type 2,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllanthus-type,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phyllantus,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phylllanthus-type,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Sapium sim.,Sapium-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Tragia,Tragia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
type Clutia,Clutia,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
type Euphorbia,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
type Jatropha/Croton,Croton/Jatropha,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
type Sapium,Sapium-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Adenodolichos,Adenodolichos,FABACEAE,I,undifferentiated (tree,,,,,,
Aechynomene,Aeschynomene,FABACEAE,I,undifferentiated (tree,,,,,,
Aechynomene-type,Aeschynomene,FABACEAE,I,undifferentiated (tree,,,,,,
Aeschynomene sim.,Aeschynomene,FABACEAE,I,undifferentiated (tree,,,,,,
Aschynomene Type,Aeschynomene,FABACEAE,I,undifferentiated (tree,,,,,,
Astragalus-type,Astragalus,FABACEAE,I,undifferentiated (tree,,,,,,
cf  Astragalus,Astragalus,FABACEAE,I,undifferentiated (tree,,,,,,
cf Crotalaria,Crotalaria,FABACEAE,I,undifferentiated (tree,,,,,,
cf Erythrina,Erythrina,FABACEAE,I,undifferentiated (tree,,,,,,
cf Fabaceae,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
cf Tephrosia sp,Tephrosia,FABACEAE,I,undifferentiated (tree,,,,,,
cf. Crotalaria,Crotalaria,FABACEAE,I,undifferentiated (tree,,,,,,
cf. Indigofera,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
cf. Tephrosia,Tephrosia,FABACEAE,I,undifferentiated (tree,,,,,,
Crotalaria cf.,Crotalaria,FABACEAE,I,undifferentiated (tree,,,,,,
Crotalaria Type,Crotalaria,FABACEAE,I,undifferentiated (tree,,,,,,
Crotalaria-type,Crotalaria,FABACEAE,I,undifferentiated (tree,,,,,,
Desmodium,Desmodium,FABACEAE,I,undifferentiated (tree,,,,,,
Desmodium cf. D.adscendens,Desmodium adscendens-type,FABACEAE,I,undifferentiated (tree,,,,,,
Desmodium sp.,Desmodium,FABACEAE,I,undifferentiated (tree,,,,,,
Desmodium-type,Desmodium,FABACEAE,I,undifferentiated (tree,,,,,,
Dolichos,Dolichos-type,FABACEAE,I,undifferentiated (tree,,,,,,
Erythrina,Erythrina,FABACEAE,I,undifferentiated (tree,,,,,,
Fabaceae,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Fabaceae (Crotalaria),Crotalaria,FABACEAE,I,undifferentiated (tree,,,,,,
Fabaceae ind.,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Fabaceae type,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Fabaceae: Papilionoideae undiff.,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Indigofera,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
Indigofera cf.,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
Indigofera type,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
INDIGOFERA*,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
Indigofera-type (varia),Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
Indiogofera,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
Kotschya Type,Kotschya,FABACEAE,I,undifferentiated (tree,,,,,,
Legume-Papilionaceae,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Leguminosae Indigofera,Indigofera,FABACEAE,I,undifferentiated (tree,,,,,,
Otholobium,Otholobium,FABACEAE,I,undifferentiated (tree,,,,,,
Papilionacaea,Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Papilionaceae (arbres arbustes et lianes),Fabaceae undiff.,FABACEAE,I,undifferentiated (tree,,,,,,
Eudicotyledoneae (tricolpate,,,,,,,,,,
Eudicotyledoneae (tricolporate,,,,,,,,,,
Varia unbestimmbar,Undetermined,UNDETERMINED,I,undifferentiated (tree,,,,,,
Micro-charcoal >50¶æ?,Charcoal fragments,****CHARCOAL,Ch,charcoal,,,,,,
Diatom,Diatoms undiff.,****DIATOMS,D,diatom,,,,,,
Acrodyctis,Acrodyctis,****FUNGI,fS,fungi spore,,,,,,
Alternaria,Alternaria,****FUNGI,fS,fungi spore,,,,,,
Ascospores,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Cercophora,Cercophora,****FUNGI,fS,fungi spore,,,,,,
Cercophora-type,Cercophora,****FUNGI,fS,fungi spore,,,,,,
cf Helminthosporium,Helminthosporium,****FUNGI,fS,fungi spore,,,,,,
cf Sordaria,Sordaria,****FUNGI,fS,fungi spore,,,,,,
cf Sordariaceae,Sordariaceae undiff.,****FUNGI,fS,fungi spore,,,,,,
Cladosporium,Cladosporium,****FUNGI,fS,fungi spore,,,,,,
Coniochaeta,Coniochaeta,****FUNGI,fS,fungi spore,,,,,,
Coniogramme,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Dictyosporium,Dictyosporium,****FUNGI,fS,fungi spore,,,,,,
FormA  (Jarzen&Elsik1986),Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Fungal fruit body,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Fungal spore,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
FUNGAL SPORES,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Funghi,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Fungi (other 1),Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Fungi undiff.,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Gelasinospora cf cratiphora,Gelasinospora cratiphora-type,****FUNGI,fS,fungi spore,,,,,,
Gelasinospora Type,Gelasinospora,****FUNGI,fS,fungi spore,,,,,,
Glomus,Glomus,****FUNGI,fS,fungi spore,,,,,,
Hyphae,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Lycopedron type,Lycoperdon-type,****FUNGI,fS,fungi spore,,,,,,
Mychorrhizae,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Neurospora,Neurospora,****FUNGI,fS,fungi spore,,,,,,
Other ascospores,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Other fungal spores,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Persiciospora,Persiciospora,****FUNGI,fS,fungi spore,,,,,,
Pithocyces,Pithomyces,****FUNGI,fS,fungi spore,,,,,,
Podospora,Podospora,****FUNGI,fS,fungi spore,,,,,,
Sordaria,Sordaria,****FUNGI,fS,fungi spore,,,,,,
Sordariaceae,Sordariaceae undiff.,****FUNGI,fS,fungi spore,,,,,,
Spegazzinia intermedia,Spegazzinia intermedia,****FUNGI,fS,fungi spore,,,,,,
Sporormiella R,Sporormiella,****FUNGI,fS,fungi spore,,,,,,
T 16 cf.,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
T.1351,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Tetraploa,Tetraploa,****FUNGI,fS,fungi spore,,,,,,
Tetraploa aristata conidia,Tetraploa aristata,****FUNGI,fS,fungi spore,,,,,,
Tetraploa-type,Tetraploa,****FUNGI,fS,fungi spore,,,,,,
Tilletia,Tilletia,****FUNGI,fS,fungi spore,,,,,,
Trichoglossum,Trichoglossum,****FUNGI,fS,fungi spore,,,,,,
Type 123,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Type 16 cf.,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Type 204,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Type 89,Fungi undiff.,****FUNGI,fS,fungi spore,,,,,,
Valsaria spore type,Valsiaria,****FUNGI,fS,fungi spore,,,,,,
Xylariaceae,Xylariaceae,****FUNGI,fS,fungi spore,,,,,,
Astrella,Astrella,AYTONIACEAE,fS,fungi spore,complex thallic liverwort,,,,,
Acantha. t.,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
ACANTHACEAE,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Acanthus,Acanthus-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Acanthus sim.,Acanthus-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Acanthus type,Acanthus-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Acanthus*,Acanthus-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
ACANTHUS*,Acanthus-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Acanthus/Blepharis,Acanthus/Blepharis,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Acanthus-type,Acanthus-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Adathoda,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Asystasia,Asystasia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Barleria,Barleria,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Barleria ?,Barleria,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Barleria sp.,Barleria,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Brillantaisia,Brillantaisia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Brillantasia,Brillantaisia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Cf Dicliptera/Hypoestes,Dicliptera/Hypoestes,ACANTHACEAE,I,undifferentiated (tree,,,,,,
cf Hypoestes,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
cf Lepidagathis,Lepidagathis,ACANTHACEAE,I,undifferentiated (tree,,,,,,
cf. Barleria,Barleria,ACANTHACEAE,I,undifferentiated (tree,,,,,,
cf. Hypoestes,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Dischoriste,Dyschoriste-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Dischoriste-type,Dyschoriste-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Dyschoriste,Dyschoriste-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Dyschoriste-type,Dyschoriste-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Ecbolium,Ecbolium,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Ecbolium type,Ecbolium,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Ecbolium-type,Ecbolium,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hyphoestes,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoeste -type,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes sp.,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes type,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes*,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
HYPOESTES*,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes/Dicliptera,Dicliptera/Hypoestes,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes/Peristrophe,Hypoestes/Peristrophe,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypoestes-type,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Hypostes triflora,Hypoestes-type triflora,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Isoglosa,Isoglossa,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Isoglossa,Isoglossa,ACANTHACEAE,I,undifferentiated (tree,,,,,,
ISOGLOSSA,Isoglossa,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Issoglossa,Isoglossa,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Jusicia,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justica-type,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia 2-porate,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia 3-porate,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia B,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia o,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia sp,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
JUSTICIA SP,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia sp.,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia spp.,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia type,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia*,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia/Monechma,Justicia/Monechma,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia/Monechma-t.,Justicia/Monechma,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia-Monechma,Justicia/Monechma,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia-Monechma-type,Justicia/Monechma,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justicia-type,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justitia,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justitia*,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Justitia-type,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Lepidagathis,Lepidagathis,ACANTHACEAE,I,undifferentiated (tree,,,,,,
LEPIDAGATHIS SERICEA*,Lepidagathis sericea-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Lepidagathis sericea-type,Lepidagathis sericea-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Lepidagathis-type,Lepidagathis,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Macrorungia,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Macrorungia-type,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Mellera-type,Mellera-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Mimulopsis,Mimulopsis-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Mimulopsis-type,Mimulopsis-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Monechma,Monechma-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Monechma type,Monechma-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
other Acanthaceae,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Other Acanthaceae,Acanthaceae undiff.,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Peristrophe/Hypoestes,Hypoestes/Peristrophe,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Petalidium,Petalidium,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Petalidium-t.,Petalidium,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Petalidium-type,Petalidium,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Pseuderanthemum,Pseuderanthemum,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Ruellia,Ruellia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Thunbergia,Thunbergia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Acanthus/Blepharis,Acanthus/Blepharis,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Anisostachys,Justicia-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Brillantaisia,Brillantaisia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Dischoriste,Dyschoriste-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Dyschoriste,Dyschoriste-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Hypoestes,Hypoestes-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Hypoestes/Peristrophe,Hypoestes/Peristrophe,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Mimulopsis,Mimulopsis-type,ACANTHACEAE,I,undifferentiated (tree,,,,,,
type Ruellia,Ruellia,ACANTHACEAE,I,undifferentiated (tree,,,,,,
Agavaceae,Agavaceae undiff.,AGAVACEAE,I,undifferentiated (tree,,,,,,
Agavaceae undiff.,Agavaceae undiff.,AGAVACEAE,I,undifferentiated (tree,,,,,,
AGAVACEA-TYPE,Agavaceae undiff.,AGAVACEAE,I,undifferentiated (tree,,,,,,
cf Agavaceae,Agavaceae undiff.,AGAVACEAE,I,undifferentiated (tree,,,,,,
Aiozoaceae large,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aiozoaceae small,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aizoacea,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aizoaceae,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aizoaceae cf,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aizoaceae undiff.,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aizoaceae-type,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Limeum,Limeum,AIZOACEAE,I,undifferentiated (tree,,,,,,
Mesembryanthemaceae,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Molluginaceae,Aizoaceae undiff.,AIZOACEAE,I,undifferentiated (tree,,,,,,
Aloe,Aloe-type,ALOACEAE,I,undifferentiated (tree,,,,,,
Aloe type (incl. Lil),Aloe-type,ALOACEAE,I,undifferentiated (tree,,,,,,
ALOE*,Aloe-type,ALOACEAE,I,undifferentiated (tree,,,,,,
cf. Aloe,Aloe-type,ALOACEAE,I,undifferentiated (tree,,,,,,
Amar/Chen,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amara/cheno,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amarantaceae,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranth./Chenopod.,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae (autre espece),Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae 2,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae Indéterminées,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae sp,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae/ Chenapodiaceae,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae/Cheno,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Amaranthaceae/Chenopodiacae,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Chenopodiaceae/Amarantaceae,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Chenopodiaceae/Amaranthaceae-type,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Chenopodiaceae-Amaranthaceae sim,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Chenopodiaceae-type,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Chenopodiacées,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Chenopodiacees - Amaranthacees,Amaranthaceae undiff.,AMARANTHACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae (Africa),Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae (Mauritius type 112b,,,,,,,,,,
Euphorbiaceae (Mauritius type 88,,,,,,,,,,
Euphorbiaceae bis,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae cf Phyllantus,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae cf. Monadenium,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Euphorbiaceae indeterminata,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae sim.,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae type,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae undiff.,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae unk 1,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiaceae,,,,,,,,,,
EUPHORBIACEAE-TYPE,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacées,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacees non déterminees,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Euphorbiacées non Euphorbia,Euphorbiaceae undiff.,EUPHORBIACEAE,A,tree,herbs,,,,,
Jatropha,Jatropha-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Jatropha/Givotia,Givotia gosai/Jatropha,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Manihot,Manihot,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Manihot type,Manihot,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Micrococca type,Micrococca-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Monadenium-type,Euphorbia-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Neoboutonia/Croton,Croton/Neoboutonia,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
Phylantus,Phyllanthus-type,EUPHORBIACEAE,I,undifferentiated (tree,,,,,,
cf. Erythrina,Erythrina,FABACEAE,I,undifferentiated (tree,,,,,,
