Biogeographic area,Country ,Site ,Site_name_machine_readable,Dated,Recalibrated,Calibration R package,Radiocarbon dates,Depths,Material dated,Dating method (Conventional/AMS),Calibration curve,Period,Hiatus,post-bomb curve,Reservour effect,Accumulation rate (yr/cm),Section thickness (cm),Comments #1,Comment #2
Sahara,Chad,"Trou au Natron 1, Chad",Trou_au_Natron_1_Chad,Yes,Yes,rice,Yes,"Yes, 1 depth",organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Spain,"Turbera de La Panera Cabras, Spain",Turbera_Panera_Cabras_Spain,Yes,Yes,rice,Yes,"Yes, 1 depth",peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Arabian Peninsula,Lebanon,"Tyre, Lebanon",Tyre_Lebanon,Yes,Yes,rbacon,Yes,Yes,,NA,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Sahara,Libya,"Uan Afuda Cave, Libya",Uan_Afuda_Libya,Yes,Yes,rbacon,Yes,Yes,dung and organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Libya,"Uan Muhuggiag, Libya",Uan_Muhuggiag_Libya,Yes,Yes,rbacon,Yes,Yes,organic matter and carbonate,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Libya,"Uan Tabu, Libya",Uan_tabu_Libya,Yes,Yes,rbacon,Yes,Yes,"dung, sand and plant fragments",Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Libya,"Uan Telocat, Libya",Uan_Telocat_Libya,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Italy,"Urgo Pietra Giordano, Italy",Urgo_Pietra_Giordano_Italy,Yes,Yes,rbacon,Yes,Yes,terrestrial plant macrofossils,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,"Urio Quattrocchi, Italy",Urio_Quattrocchi_Italy,Yes,Yes,rbacon,Yes,Yes,terrestrial plant macrofossils,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Valdeyernos bog, Spain",Valdeyernos_bog_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peat samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,100,3,,
Mediterranean,Spain,"Villaverde, Spain",Villaverde_Spain,Yes,Yes,rbacon,Yes,Yes,bulk organic sediment,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Arabian Peninsula,Yemen,"Wadi Sana, Yemen",Wadi_Sana_Yemen,Yes,Yes,rice,Yes,No,Zizyphus seed and Procavia pellet,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,"When two C14 dates reported for the same sample, we selected those dated with AMS.",
Sub-sahara,Ethiopia,Wenchi,Wenchi_Ethiopia,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,1,5,,
Mediterranean,Turkey,"Yeniçaga Gölü, Turkey",Yenicaga_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic Ocean,Atlantic Ocean,A180-48,A180-48_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,10,5,,
Mediterranean,Greece,Anavyssos (AT108),Anavyssos_1_Greece,Yes,Yes,rbacon,Yes,Yes,Marine mussel shells & organic material,,2: Marine20 calibration curve ,,,,,10,5,,
Arabian Peninsula,Israel,"Dead Sea 7, Israel",Dead_Sea_7,Yes,Yes,rbacon,Yes,Yes,plant fragments,AMS,2: Marine20 calibration curve ,,,,,10,5,,
Arabian Peninsula,Oman,"Filim, Oman",Filim_Oman,Yes,Yes,rbacon,Yes,Yes,marine shells,AMS,2: Marine20 calibration curve ,,,,,20,5,,
Atlantic Ocean,Atlantic Ocean,GeoB_9503-5_Atlantic_Ocean,GeoB_9503-5_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,2,5,,
Atlantic Ocean,Atlantic Ocean,GeoB7920-2_Atlantic_Ocean,GeoB7920-2_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,50,5,,
Atlantic Ocean,Atlantic Ocean,GeoB9508-5_Atlantic_Ocean,GeoB9508-5_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,50,5,,
Atlantic Ocean,Atlantic Ocean,GIK12310-4,GIK12310-4_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,100,2,,
Atlantic Ocean,Atlantic Ocean,GIK12329-6,GIK12329-6_Atlantic_Ocean,Yes,No,,Yes,"Yes, 1 depth",,,2: Marine20 calibration curve ,,,,,,,,
Atlantic Ocean,Atlantic Ocean,GIK16017-2,GIK16017-2_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,100,5,,
Arabian Peninsula,Oman,"Kwar Al Jaramah, Oman",Kwar_Jaramah_Oman,Yes,Yes,rbacon,Yes,Yes,marine shells,AMS,2: Marine20 calibration curve ,,,,,10,5,,
Atlantic Ocean,Atlantic Ocean,M80_17B,M80_17B_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,100,5,,
Arabian Peninsula,Oman,"Mangrove of Suwayh 1, Oman",Mangrove_Suwayh_1_Oman,Yes,Yes,rbacon,Yes,Yes,Amiantis umbonella & Saccostra cucculata (marine shells),Conventional,2: Marine20 calibration curve ,,,,Yes,10,5,,
Arabian Peninsula,Oman,"Mangrove of Suwayh 2, Oman",Mangrove_Suwayh_2_Oman,Yes,Yes,rice,Yes,"Yes, 1 depth",marine shells,Conventional,2: Marine20 calibration curve ,,,,,,,,
Arabian Peninsula,Israel,"MD-9509, Israel",MD_9509_Israel,Yes,Yes,rbacon,Yes,Yes,planktonic foraminifera,AMS,2: Marine20 calibration curve ,,,,,100,5,,
Arabian Peninsula,Arabian Sea,MD92-1002,MD92-1002_Arabian_Sea,Yes,Yes,rbacon,Yes,Yes,"G. ruber, G. sacculifer",,2: Marine20 calibration curve ,,,,,20,5,,
Mediterranean,Mediterrean Sea,MD95-2043,MD95-2044_Mediterrean_Sea,Yes,Yes,rbacon,Yes,Yes,Foram. (N. paquiderma),,2: Marine20 calibration curve ,,,,Yes - reservoir effect 400 yrs,20,10,,
Atlantic Ocean,Atlantic Ocean,Meteor_12345-5,Meteor_12345-5_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,,2: Marine20 calibration curve ,,,,,20,5,,
Atlantic Ocean,Atlantic Ocean,Meteor_12347-2,Meteor_12347-2_Atlantic_Ocean,Yes,Yes,rbacon,Yes,Yes,,Conventional,2: Marine20 calibration curve ,,,,,50,5,,
Arabian Peninsula,Oman,"OS73, Sea of Oman, Oman",OS73_Oman,Yes,Yes,rbacon,Yes,Yes,gastropod shells,AMS,2: Marine20 calibration curve ,,,,, 10 yr/cm.,5,,
Sub-sahara,Senegal,Rosilda,Rosilda_Senegal,Yes,Yes,rbacon,Yes,Yes,shell,,2: Marine20 calibration curve ,,,,,20,5,,
Sahel,Senegal,"St Louis, Senegal",St_Louis_Senegal,Yes,Yes,rbacon,Yes,Yes,marine shells,AMS,2: Marine20 calibration curve ,,,,,0.2,5,,
Mediterranean,Greece,"Trikhonis 5, Greece",Trikhonis_5_Greece,Yes,Yes,rbacon,Yes,Yes,,Palaeomagnetic dates,2: Marine20 calibration curve ,,,,,20,5,,
Mediterranean,Greece,"Vegoritis 8, Greece",Vegoritis_8_Greece,Yes,Yes,rbacon,Yes,Yes,,Palaeomagnetic dates,2: Marine20 calibration curve ,,,,,20,5,,
Mediterranean,Morocco,"Merja Kahla, Morocco",Merja_Kahla_Morocco,Yes,Yes,rbacon,Yes,Yes,organic sediment,AMS,2: Marine20 calibration curve ,,,,,20,5,,
Mediterranean,Morocco,"Merja Zerga, Morocco",Merja_Zerga_Morocco,Yes,Yes,rbacon,Yes,Yes,organic sediment,AMS,2: Marine20 calibration curve ,,,,,20,5,,
Mediterranean,Greece,"Akotivika 3, Greece (AKO11)",Akotivika_3_Greece,Yes,Yes,rbacon,Yes,Yes,Wood,AMS,Post-bomb,Modern,,Yes -NH2,,100,1,"Age-depth model does not overlap with c14 dates, because negative C14 dates are reported",
Sub-sahara,Chad,"Bol, Chad",Bol_Chad,Yes,No,,No,,,,,Pre-Holocene,,,,,,Too old for calibration with INTCAL 20,
Mediterranean,Portugal,Canariza,Canariza_Portugal,Yes,No,,No,,,,,,,,,,,,
Mediterranean,Portugal,Chafariz do Rei,Chafariz_do_Rei_Portugal,Yes,No,,No,,,,,,,,,,,Pollen-based correlation with Charco da Candieira,
Mediterranean,Spain,"Cucú cueva, Spain",Cucu_cueva_Spain,Yes,No,,No,,,,,Pre-Holocene,,,,,,No radiocarbon (238U and 232 Th) The derived age is 40.2 ± 4.5 ka (95% confidence limits for age are expanded here to account for the large MSWD of 30),
Atlantic Ocean,Atlantic Ocean,DSDP 231,DSDP_231_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,,
Sahara,Chad,"Enneri Bardagué, Chad",Enneri_Bardague_Chad,Yes,No,,No,,,,,,,,,,,,
Mediterranean,Portugal,Fraga do Vale Mourisco,Fraga_do_Vale_Mourisco_Portugal,Yes,No,,No,,,,,,,,,,,Pollen-based correlation with Charco da Candieira,
Arabian Peninsula,Syria,"Ghab 1, Syria",Ghab_1_Syria,Yes,No,,No,,,,,,,,,,,"This age/depth model is based on a land/sea correlation published by Rossignol-Strick (1995; QSR 14:893-915). Do not use this chronology (Madcap notes, Walter)",
Atlantic Ocean,Atlantic Ocean,GIK13239-1,GIK13239-1_Atlantic_Ocean,Yes,Yes,rice,No,,,,,,,,,,,Published calibrated dates based on oxygen isotopes dates,
Atlantic Ocean,Atlantic Ocean,GIK15627-3,GIK15627-3_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,"Published calibrated dates based on oxygen isotopes dates, oxygen isotope event stratigraphy after Martison et al. 1987",
Atlantic Ocean,Atlantic Ocean,GIK156-69-1,GIK156-69-1_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,Published calibrated dates based on oxygen isotopes dates,
Atlantic Ocean,Atlantic Ocean,GIK16416-2,GIK16416-2_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,Published calibrated dates based on oxygen isotopes dates,
Sahel,Niger,"Gobero 2 (GO1 lakebed), Niger",Gobero_2_Niger,Yes,No,,No,,,,,,,,,,,Calibrated- based on stratigraphical data (Giraudi 2013) and two radiocarbon dates on two other lakebeds (GO7 and GOH). Between 6500-7500 BP,
Arabian Peninsula,Qatar,"Khor M, Qatar",Khor_M_Qatar,Yes,No,,No,,,,,,,,,,,Keep calibrated date -No errors (unreliable dates according to author),
Mediterranean,Italy,"Lago del Pesce, Italy",Lago_del_Pesce_Italy,Yes,No,,No,,,,,,,,,,,Keep calibrated dates (no reference/published) The age-depth model was developed through RBacon and radiocarbon dates were calibrated through the IntCal20 curve implemented in RBacon.,
Mediterranean,Italy,"Lago Grande di Monticchio 1, Italy (TM-18)",Lago_Grande_Monticchio_1_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 36773 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 10, Italy (TM-17-2)",Lago_Grande_Monticchio_10_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 35531 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 11, Italy (TM-21-1A)",Lago_Grande_Monticchio_11_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 78833 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 2, Italy (TM-18-13)",Lago_Grande_Monticchio_2_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 49631 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 3, Italy (TM-13)",Lago_Grande_Monticchio_3_Italy,Yes,No,,No,,,,,,,,,,,Calibrated- Interpolated from one tephra date 19282 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 4, Italy (TM-24A)",Lago_Grande_Monticchio_4_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 101572 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 5, Italy (MONTICCHIO)",Lago_Grande_Monticchio_5_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,"Calibrated - Tephra layers are used to correlate the four cores (Composite of multiple cores (from B/D (1990), MF93 (1993), K(1994) and L (1994))",
Mediterranean,Italy,"Lago Grande di Monticchio 6, Italy (TM-15)",Lago_Grande_Monticchio_6_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 27256 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 7, Italy (TM-6B)",Lago_Grande_Monticchio_7_Italy,Yes,No,,No,,,,,,,,,,,Calibrated- Interpolated from one tephra date 9678 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 8, Italy (TM-16B)",Lago_Grande_Monticchio_8_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 31121 BP,
Mediterranean,Italy,"Lago Grande di Monticchio 9, Italy (TM-18-1D)",Lago_Grande_Monticchio_9_Italy,Yes,No,,No,,,,,Pre-Holocene,,,,,,Calibrated- Interpolated from one tephra date 37363 BP,
Mediterranean,Egypt,"Lake Qarun, Egypt",Lake_Qarun_Egypt,Yes,No,,No,,,,,,,,,,,"Published calibrated dates taken from F1-08 (located within 50m of core Qaru-9); the Tersa core (c. 2 km south of core Qaru-9; Hamdan et al., 2016), core Q0230 (Baioumy et al., 2010) and core FA.1(c. 5 km east of core Qaru-9; Marks et al., 2018) cores, correlated with the stratigraphy by Leroy, S.A.G. OxCal4.2, IntCal13. The samples correspond to profile IV to II of Qaru-9.",
Mediterranean,Turkey,Lake Van (Van),Lake_Van_1_Turkey,Yes,No,,No,,,,,,,,,,,The published age/depth model is based on a land/sea correlation published by Rossignol-Strick (1995; QSR 14:893-915).,
Mediterranean,Turkey,Lake Van (VAN04-2),Lake_Van_2_Turkey,Yes,No,,No,,,,,,,,,,,"Published holocene dates are based on correlation with core 90-4 (Wick et al. 2003, Holocene 13:665-675). Pleistocene dates are based on event stratigraphy (Litt et al. (2001, Quat Sci Rev 20:1233-1249).",
Mediterranean,Mediterrean Sea,Levantine Basin,Levantine_Basin_Mediterrean_Sea,Yes,No,,No,,,,,,,,,,,"Published calibrated dates obtained with correlated C14 dates from core 9501, planktonic foraminifera delta 18O, speleotem (Soreq cave), corrected from reservoir effet of 400 years",
Atlantic Ocean,Atlantic Ocean,Meteor_123-92-1,Meteor_123-92-1_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,,
Atlantic Ocean,Atlantic Ocean,Meteor_160-04-1,Meteor_160-04-1_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,Published calibrated dates based on oxygen isotopes dates,
Mediterranean,Turkey,Nar Gölü,Nar_Golu_Turkey,Yes,No,,No,,,,,,,,,,,Published calibrated dates from varve years,
Atlantic Ocean,Atlantic Ocean,ODP_Site_108-658_A,ODP_Site_108-658_A_Atlantic_Ocean,Yes,No,,No,,,,,,,,,,,Published calibrated dates based on oxygen isotopes dates,Depths of the pollen sequence do not match the dated depths. Older than 400 ka BP.
Sahara,Chad,"Tarso Yega 1, Chad",Tarso_Yega_1_Chad,Yes,No,,No,,,,,,,,,,,,
Sahara,Chad,"Yebbi Bou - Yebbigué, Chad",Yebbi_Bou_Chad,Yes,No,,No,,,,,,,,,,,,
Arabian Peninsula,Israel,"Lake Hula 1, Israel",Lake_Hula_1_Israel,Yes,No,,Yes,,,,,,,,,,,,
Arabian Peninsula,Israel,"Lake Hula 2, Israel",Lake_Hula_2_Israel,Yes,No,,Yes,,,,,,,,,,,"Radiocarbon dates affected by reservoir effect. According to Van Zeist (2009), the radiocarbon dates are not reliable, even with the correction for the reservoir effect. They opted for a chronology based on the correlation with other biostratigraphic records. Thus, we have followed their recommendations. ",
,,,,,,,,,,,,,,,,,,"Radiocarbon dates affected by reservoir effect. According to Van Zeist (2009), the radiocarbon dates are not reliable, even with the correction for the reservoir effect. They opted for a chronology based on the correlation with other biostratigraphic records. Thus, we have followed their recommendations. ",
