"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus"
"2773",NA,NA," 385","   3","   0","   0","   1","  69","   0","  41","  42","   0","   0","   7","   6","   5","   6","   0","  25","  39","   0","  10","  17","   0","   7","   0","   2","   0","   0","   0","   0","   0","  12","   0","   0","  12","   0","   0","   0","  40","   7","   0","   0","   0","   7","  21","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   8","   7","   0","   0","   0","   3","   0"
"2774",NA,NA," 395","   1","   0","   0","   0"," 106","   0","  38","  45","   0","   0","   6","   1","   4","   5","   0","  28","  47","   0","  10","  17","   0","   2","   0","   1","   0","   0","   0","   0","   0","   9","   0","   0","  10","   1","   1","   0","  19","   4","   0","   0","   0","   3","  14","   0","   7","   0","   0","   0","   0","   0","   0","   2","   0","  12","   4","   0","   0","   0","   2","   2"
"2778",NA,NA," 405","   1","   0","   0","   1"," 107","   0","  44","  55","   0","   0","   6","   2","   3","   5","   0","  31","  45","   0","   7","  18","   0","   3","   0","   2","   0","   0","   0","   0","   0","   9","   0","   0","   8","   0","   0","   0","  14","   3","   0","   0","   0","   0","  13","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   3","   1"
"2782",NA,NA," 415","   0","   0","   0","   0"," 124","   0","  44","  56","   1","   0","   6","   0","   3","   6","   0","  19","  40","   0","   2","  23","   0","   1","   0","   1","   0","   0","   0","   0","   0","  13","   0","   0","  10","   0","   0","   0","  19","   4","   0","   0","   0","   0","  12","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   9","   0","   0","   0","   0","   1","   1"
"2784",NA,NA," 425","   0","   0","   0","   0"," 115","   0","  44","  53","   3","   0","   5","   0","   2","   8","   0","  10","  48","   0","   4","  25","   0","   1","   0","   1","   0","   0","   0","   0","   0","  11","   0","   0","  14","   2","   1","   0","  20","   2","   0","   0","   0","   2","  13","   0","   3","   0","   0","   0","   0","   3","   0","   2","   0","   4","   0","   0","   0","   0","   1","   1"
"2786",NA,NA," 435","   0","   0","   0","   0","  93","   0","  42","  53","   4","   0","   4","   0","   2","  10","   0","   8","  43","   0","   4","  24","   0","   4","   0","   1","   0","   0","   0","   0","   0","  11","   0","   0","  14","   4","   0","   0","  42","   3","   0","   0","   0","   8","  12","   0","   3","   0","   0","   0","   0","   4","   0","   2","   0","   4","   0","   0","   0","   0","   2","   1"
"2790",NA,NA," 445","   3","   0","   0","   0","  82","   0","  39","  38","   4","   0","   5","   2","   9","  15","   0","   1","  41","   0","   0","  22","   1","   6","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","  16","   5","   2","   0","  53","   2","   3","   0","   0","  21","  14","   0","   2","   0","   0","   0","   0","   5","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1"
"2795",NA,NA," 457","   3","   0","   0","   0","  95","   0","  46","  38","   5","   0","   5","   1","   9","  16","   0","   3","  38","   0","   0","  23","   2","   3","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","  16","   3","   1","   0","  52","   1","   1","   0","   0","  13","  13","   0","   3","   0","   0","   0","   0","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1"
"2806",NA,NA," 472","   2","   0","   0","   0","  96","   0","  47","  49","   4","   0","   5","   2","   5","  10","   0","   1","  44","   0","   2","  24","   1","   4","   0","   1","   0","   0","   0","   0","   0","   8","   0","   0","  18","   4","   2","   0","  40","   2","   0","   0","   0","  11","  12","   0","   2","   0","   0","   0","   0","   2","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0"
"2808",NA,NA," 490","   2","   0","   0","   0"," 102","   0","  49","  56","   3","   0","   4","   0","   4","   7","   0","   5","  39","   0","   0","  22","   1","   3","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","  23","   2","   1","   0","  38","   2","   1","   0","   0","   8","  14","   0","   2","   0","   0","   0","   0","   2","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0"
"2817",NA,NA," 500","   3","   0","   0","   0","  88","   0","  50","  58","   5","   0","   5","   0","   6","   6","   0","   6","  37","   0","   0","  21","   0","   4","   0","   1","   0","   0","   0","   0","   0","   9","   0","   0","  16","   5","   0","   0","  43","   4","   0","   0","   0","  10","  13","   0","   1","   0","   0","   0","   0","   4","   0","   1","   0","   5","   0","   0","   0","   0","   1","   0"
"2826",NA,NA," 510","   2","   0","   0","   0","  88","   0","  48","  62","   4","   0","   5","   0","   2","   8","   0","   9","  37","   0","   0","  26","   0","   2","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","  20","   2","   1","   0","  41","   4","   1","   0","   0","   7","  11","   0","   2","   0","   0","   0","   0","   2","   0","   1","   0","   6","   0","   0","   0","   0","   1","   0"
"2828",NA,NA," 515","   3","   0","   0","   0","  91","   0","  51","  53","   2","   0","   6","   0","   3","   6","   0","   7","  46","   0","   2","  25","   0","   2","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","  18","   3","   0","   0","  39","   4","   0","   0","   0","   9","  10","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   3","   0"
"2833",NA,NA," 520","   2","   0","   0","   0","  53","   0","  47","  60","   2","   0","   6","   2","   2","  13","   0","   0","  14","   0","   2","  18","   1","   4","   0","   1","   0","   0","   0","   0","   0","   8","   0","   0","  12","   4","   9","   0"," 101","   2","   0","   0","   0","  11","  14","   2","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0"
"2839",NA,NA," 525","   0","   0","   0","   0","  54","   0","  50","  64","   4","   0","   5","   4","   0","  13","   0","   1","  12","   0","   1","  15","   4","   5","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   8","   3","   5","   0"," 107","   4","   1","   0","   0","  11","  15","   5","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1"
"2850",NA,NA," 530","   0","   0","   0","   0","  46","   0","  27","  61","   4","   0","   3","  10","   0","  17","   0","   0","   5","   1","   3","   7","   5","   9","   0","   2","   0","   0","   0","   0","   0","   7","   0","   0","   5","   4","   9","   0"," 121","   4","   1","   0","   0","  10","  23","   4","   3","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1"
"2859",NA,NA," 535","   0","   1","   0","   4","  21","   0","  17","  57","   3","   0","   3","  15","   0","  21","   0","   0","   6","   8","   3","   1","   6","  13","   0","   6","   0","   0","   0","   0","   0","  10","   0","   0","   6","   4","  11","   0"," 127","  11","   0","   0","   1","   7","  29","  19","   1","   0","   6","   0","   0","   3","   0","   0","   0","   0","   0","   0","   4","   0","   6","   0"
"2861",NA,NA," 545","   0","   2","   0","   6","  17","   0","  17","  66","   2","   0","   5","  11","   0","  19","   0","   2","   3","   7","   2","   2","   8","  16","   0","   6","   0","   0","   0","   0","   0","   6","   0","   0","   5","   2","   8","   0"," 144","   8","   2","   0","   2","   3","  28","  19","   0","   0","   3","   0","   0","   3","   0","   0","   0","   0","   0","   0","   3","   0","   4","   0"
"2871",NA,NA," 555","   0","   2","   0","   8","  16","   0","  13","  69","   3","   0","   3","   8","   0","  27","   0","   0","   2","   6","   0","   2","  11","  18","   0","   7","   0","   0","   0","   0","   0","   8","   0","   0","   2","   2","   9","   0"," 138","   9","   2","   0","   2","   6","  33","  18","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   5","   0","   4","   0"
"2874",NA,NA," 565","   0","   1","   1","   6","   7","   0","   7","  48","   3","   0","   3","  32","   0","  27","   0","   0","   0","  26","   1","   1","   7","  19","   1","  13","   0","   0","   1","   0","   0","   6","   0","   0","   1","   1","  25","   0"," 114","  25","   1","   0","   3","   4","  49","  29","   0","   0","   6","   0","   0","   4","   0","   0","   0","   0","   0","   0","  11","   0","  10","   0"
"2882",NA,NA," 573","   0","   2","   0","  12","   7","   0","   8","  42","   4","   0","   2","  26","   0","  21","   0","   0","   0","  20","   1","   1","   9","  20","   0","   9","   0","   0","   4","   0","   0","   8","   0","   0","   6","   4","  20","   0","  96","  20","   4","   0","   2","   5","  42","  28","   0","   0","   6","   0","   0","   5","   0","   0","   0","   0","   0","   0","   8","   0","   6","   0"
"2892",NA,NA," 578","   0","   1","   1","  13","   6","   0","   4","  31","   0","   0","   1","  25","   0","  21","   0","   0","   0","  25","   0","   0","   6","  28","   1","  12","   0","   0","   5","   0","   0","   8","   0","   0","   1","   3","  26","   0"," 111","  26","   1","   0","   3","   7","  49","  29","   0","   0","   6","   0","   0","   4","   0","   0","   0","   0","   0","   2","  11","   0","  11","   0"
"2893",NA,NA," 583","   0","   1","   1","  17","   4","   0","   6","  25","   0","   0","   3","  28","   0","  26","   0","   0","   3","  32","   0","   0","   4","  28","   1","  11","   0","   0","   9","   0","   1","  10","   0","   0","   7","   3","  21","   0"," 103","  24","   1","   0","   3","   7","  51","  25","   0","   0","   4","   0","   0","   3","   0","   0","   0","   0","   0","   5","  14","   1","  10","   0"
