"sample_name","depth","Hagenia","Acacia t.","Acanthaceae undif.","Acritarcha","Aerva type","Aizoaceae t.","Algae","Amaranthaceae undif.","Anacardiaceae undiff.","Animalia","Animalia ","Apiaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Avicennia","Blepharis","Blighia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassipourea","Celosia type","Centaurea","Cichorieae","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dipterygium glaucum","Dodonaea","Echinidinium aculeatum","Echinidinium delicatum","Echinidinium granulatum","Echinidinium transparantum","Echinidinium undiff","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fern","Fungi","Hyphaene t.","Hypoestes t.","Indeterminable","Macaranga","Meliaceae undif.","Mollugo cerviana-type","Monoletes","Morella","Oethe-type","Olea t.","Operculodinium centrocarpum","Operculodinium israelianum","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Podocarpus","Polysphaeridium zoharyi","Protist","Prunus t.","Resedaceae undiff.","Rhizophora","Rosa t.","Rosaceae undif.","Rumex t.","Sapindaceae undif.","Sapotaceae undif.","Schefflera","Schrankia leptocarpa","Selenopemphix quanta","Sideroxylon t.","Solanum","Tamarix","Tintinnid","Tribulus","Triletes","Trinovantedinium applanatum","Trinovantedinium capitatum","Trinovantedinium spp.","Tuberculodinium vancampoae","Typha","Unknown","Verbena t.","Votadinium","Votadinium calvum","Xylia-type","Zygophyllum t.","charcoal"
NA,"804",NA,"  1","  0","  5","  3","  0","  2"," 55","  0"," 33","  0","  0","  0","  0","  3","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","411"
NA," 812",NA,"   3","   0","   0","   0","   1","  58","  50","   0"," 254","   6","   0","   0","   2","  15","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   1","   0","   3","   0","   0","   0","   0","   0","   2","   0","   5","   1","   0","   3","   0","   0","   0","  10","   0","   0","   4","   0","   0","   0","   2","   0","   0","   0","   4","   6","   0","   0","   1","  37","   1","  44"," 641","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","  13","   0","   8","   2","   0","   0","   1","   0","   6","   0","   0","   0","   0","   0","3800"
NA,"820",NA,"  0","  0","  0","  0","  0","  2"," 66","  0"," 12","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","554"
NA,"829",NA,"  0","  0","  0","  1","  0"," 10"," 86","  0"," 15","  0","  0","  3","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 12","  0","  0"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","299"
NA," 837",NA,"   3","   1","   0","   9","   0","  21"," 197","   0"," 122","   6","   0","   1","   0","  27","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","   6","   0","   2","   0","   0","   0","   0","   0","   5","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","  17","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","   0","   0","  44","   2","  17"," 528","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   8","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","1755"
NA,"845",NA,"  0","  0","  0","  2","  0"," 10"," 67","  0"," 55","  0","  0","  1","  0","  5","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 14","  0","  4"," 67","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","432"
NA,"853",NA,"  0","  0","  0","  0","  0","  3"," 63","  0","108","  0","  0","  2","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 10","  0","  0"," 35","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","299"
NA," 862",NA,"   7","   1","   3","  12","   0","  40"," 265","   0","  23","   2","   0","   1","   0","  22","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","  24","   0","   2","   3","   0","   0","   4","   0","   0","   5","   0","   2","   0","   0","   1","  14","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   5","   0","   0","   0","   0","  11","   0","  14"," 797","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   0","2724"
NA,"872",NA,"  0","  0","  6","  0","  0"," 16"," 63","  0"," 27","  0","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 21","  1","  3","126","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","918"
NA," 887",NA,"   2","   0","   4","   9","   0","  35"," 136","   0","  59","   1","   0","   2","   0","   4","   1","   1","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   2","   0","   0","   1","   1","   0","   0","   0","   2","   6","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   9","   2","   0","   0","   0","  26","   0","  10"," 645","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  28","   1","   2","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","1268"
NA," 911",NA,"   1","   0","   2","   0","   0","  42"," 114","   0","  34","   4","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   4","   0","  19","   0","   0","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","   8","   0","   2"," 255","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  10","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1900"
NA," 936",NA,"   2","   0","   2","   1","   0","  58","  97","   1"," 196","   0","   0","   1","   0","   7","   1","   2","   0","   2","   2","   0","   0","   0","   6","   0","   6","   2","   0","   0","   0","   0","   1","   0","  10","   0","   0","   0","   7","   3","   0","   0","   0","   2","   0","   0","   0","   0","   0","  11","   0","   0","   9","   0","   0","   1","   0","   0","   1","   0","   3","   0","   0","   0","   0","  31","   1","   8"," 786","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","  34","   0","   1","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   0","1750"
