"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Lotus t.","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Nuphar","Nymphaea","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"8229","8392","8087","2145","   0","   3","   2","  22","   3","  75","   0","   0","   0","  55","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","  48","   3","   0","  26","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  41","   0","   3","   6","   0","   0","   0","   0","   2","   4","   5","   1","   0","   0","   0","   0","   0","   0","  13","   0","   0","   7","   0","   0","   0","  22","   0","   0"
"8279","8446","8131","2170","   0","   0","   7","  47","   2"," 116","   1","   0","   0","  79","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","  44","   4","   0","  23","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   1","   2","   6","   0","   0","   0","   1","   0","   6","   1","  11","   0","   0","   0","   0","   0","   0","  15","   0","   0","   4","   1","   0","   0","  13","   0","   0"
"8329","8507","8177","2195","   0","   2","   0","  20","   0","  61","   1","   0","   0","  64","   1","   0","   0","   0","   0","   0","   0","   1","  16","   0","  50","   5","   1","  24","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","   0","   1","  11","   0","   0","   0","   0","   0","   2","   1","   5","   1","   0","   0","   0","   0","   0","   7","   0","   0","   7","   0","   0","   0","  24","   0","   0"
"8378","8572","8224","2220","   0","   1","   0","  37","   0","  83","   1","   0","   0","  83","   1","   0","   0","   0","   0","   0","   0","   0","  32","   0","  47","   1","   0","  14","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   1","   0","  16","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   1","   2","   0","   0","   5","   0","   0","   0","   6","   0","   0"
"8428","8630","8271","2245","   0","   0","   0","  46","   0","  47","   0","   0","   0","  58","   2","   0","   0","   0","   0","   0","   0","   0","  37","   0","  39","   4","   0","  16","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   1","   3","   8","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   3","   0","   0","   0","   9","   0","   0"
"8478","8688","8318","2270","   0","   0","   0","  57","   0"," 103","   0","   0","   0","  81","   0","   1","   2","   0","   0","   0","   0","   0","  31","   0","  46","   6","   0","  13","   9","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  35","   1","   0","  20","   1","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   7","   1","   0","   1","  11","   0","   0"
"8527","8744","8365","2295","   0","   1","   0","  46","   4"," 115","   0","   0","   0","  96","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","  81","   7","   0","  32","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  50","   3","   0","  14","   0","   0","   1","   0","   0","   0","   3","   6","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   2","   0","   0","  14","   3","   0"
"8577","8800","8410","2320","   0","   0","   0","  24","   1","  76","   0","   0","   2","  44","   0","   0","   0","   0","   0","   0","   0","   0","  42","   0","  48","   7","   0","  33","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  39","   4","   0","  18","   0","   0","   0","   0","   0","   0","   3","   8","   0","   0","   0","   0","   0","   0","   2","   0","   0","   6","   0","   0","   0","   0","   0","   0"
"8627","8856","8453","2345","   0","   0","   0","  14","   5","  65","   0","   0","   0","  51","   0","   0","   0","   0","   0","   0","   0","   0","  38","   0","  29","   2","   0","  10","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  35","   0","   1","  36","   0","   0","   0","   1","   0","   2","   2","   5","   0","   1","   0","   0","   0","   0","   2","   0","   0","   4","   1","   0","   0","  16","   0","   1"
"8676","8912","8496","2370","   0","   0","   0","  35","   2","  72","   0","   0","   1","  73","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","  30","   6","   0","  24","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  41","   0","   3","  24","   0","   0","   0","   0","   0","   0","   2","   7","   0","   0","   0","   0","   0","   0","   4","   0","   0","   3","   0","   1","   0","   7","   0","   0"
"8716","8957","8530","2390","   0","   1","   0","  18","   2","  99","   1","   0","   0","  42","   0","   0","   1","   0","   0","   0","   0","   0","  37","   0","  26","   0","   0","  30","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  63","   0","   0","  18","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   6","   1","   0","   0","  11","   0","   0"
"8875","9138","8662","2470","   0","   0","   0","  30","   8","  87","   0","   0","   0","  54","   1","   0","   0","   0","   0","   1","   0","   1","  20","   0","  16","   2","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  35","   0","   1","  14","   0","   0","   0","   0","   0","   5","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","  16","   0","   0"
"8954","9318","8729","2510","   0","   1","   0","  15","   0","  70","   1","   0","   0","  62","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","  14","   2","   0","  39","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  34","   2","   0","  26","   0","   0","   0","   0","   0","   0","   5","   5","   0","   0","   0","   0","   0","   0","  16","   0","   0","   3","   0","   0","   0","  30","   0","   0"
"9034","9410","8800","2550","   0","   0","   0","  23","   0","  71","   3","   0","   1","  51","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","  26","   0","   0","  11","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  25","   0","   2","  12","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   2","   9","   0","   0"
"9113","9501","8870","2590","   0","   0","   7","  25","   0","  72","   0","   0","   0","  47","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  35","   0","   0","   4","   2","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  16","   2","   0","  14","   0","   0","   0","   0","   0","   2","   6","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   3","  24","   0","   0"
"9193","9590","8938","2630","   0","   4","   3","  27","   3","  80","   0","   0","   1","  56","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","  17","   2","   0","   8","   4","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","  28","   0","   0","  24","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   1","   1","   0","   1","   7","   0","   0"
"9272","9679","9007","2670","   0","   1","   2","   7","   0","  31","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","  23","   2","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   1","  20","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   5","   0","   0"
"9431","9782","9144","2750","   0","   0","   0","  27","   1","  65","   0","   0","   0","  35","   0","   0","   0","   0","   1","   1","   0","   0","  24","   0","  15","  11","   0","  11","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  31","   1","   0","  20","   0","   0","   0","   0","   0","   4","   1","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   7","   0","   0"
"9511","9870","9212","2790","   0","   4","   0","   3","   0","  36","   0","   0","   0","  21","   0","   0","   0","   0","   2","   1","   0","   1","  35","   0","  18","  12","   0","  14","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  65","   0","   1","  40","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   9","   0","   0"
"9590","9958","9281","2830","   0","   0","   0","  23","   0","  78","   2","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","  38","   0","   8","   5","   0","  15","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  42","   1","   2","  31","   0","   0","   0","   2","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   5","   0","   0","   2","   0","   0","   1","   7","   0","   0"
" 9689","10066"," 9366"," 2880","    0","    0","    0","   37","    1","   72","    0","    0","    2","   22","    0","    0","    0","    0","    0","    0","    0","    0","   28","    0","    3","    7","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","   32","    3","    1","   18","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","   13","    0","    0"
