"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Acorus","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus suspension","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Larix","Lonicera","Malva undif.","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Oxyria","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis"
"28013","28585","27491","1806.0","0","0","0","0","0","0","26","6","6","54","0","2","0","4","0","2","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","14","1","0","0","0","0","538","0","1","2","7","0","500","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","122","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"28361","28833","27899","1826.0","0","0","0","0","0","0","32","3","4","78","0","1","2","1","0","0","300","0","0","0","1","0","1","0","0","0","1","1","0","0","0","8","4","0","0","4","0","132","0","1","0","1","0","8","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","0","1","0","0","96","3","0","0","0","0","0","0","4","0","0","0","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1"
"28671","29082","28229","1846.0","1","0","0","0","0","1","26","10","9","65","0","4","2","0","0","0","300","0","0","0","1","0","4","0","0","0","1","3","3","0","0","5","0","0","0","6","0","103","0","0","0","2","0","0","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","129","3","0","0","0","0","0","0","11","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"29000","29547","28495","1866.0","0","0","0","0","2","3","31","0","2","50","0","3","1","0","0","0","0","0","0","0","1","1","5","0","0","0","0","4","0","0","0","2","4","0","0","0","0","23","0","0","0","7","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","2","0","0","154","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"29230","29693","28773","1876.0","1","0","0","0","0","1","20","1","2","20","0","2","1","0","0","1","0","0","0","0","0","2","5","0","0","0","0","1","2","0","0","1","0","0","0","2","0","30","0","1","1","15","0","0","0","1","2","0","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","17","0","2","0","0","135","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0"
"29383","29794","28949","1886.0","8","0","0","0","0","1","14","1","7","44","0","1","2","2","0","2","0","0","0","0","0","1","4","0","0","0","1","2","1","0","0","3","0","0","0","4","0","40","0","7","2","18","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","1","0","0","166","0","0","0","0","0","0","0","15","0","0","0","0","0","1","0","0","0","2","0","7","0","0","0","0","0","2","0","0","0","0","0"
"29484","29902","29065","1896.0","10","0","0","0","0","0","7","1","0","7","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","2","0","0","1","0","2","0","0","1","0","11","0","0","1","7","0","0","0","0","6","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","0","1","0","0","54","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0"
"29850","30360","29357","1935.0","3","0","0","0","0","1","10","0","15","16","0","1","1","2","0","1","0","0","0","0","2","2","3","0","0","0","1","8","2","0","1","1","2","0","0","1","0","52","0","0","1","16","0","0","0","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","69","0","1","0","0","110","0","0","0","0","0","0","0","26","2","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0"
"29892","30323","29479","1954.0","7","0","0","0","0","0","6","1","1","5","0","0","1","2","0","0","0","0","0","0","1","0","1","3","0","0","0","2","1","0","0","0","3","0","0","3","1","16","0","0","6","11","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","59","0","0","0","0","29","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"29908","30333","29480","1964.0","4","0","0","0","0","1","1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","3","0","1","0","0","1","3","0","0","1","0","3","0","0","0","0","10","0","0","5","15","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","22","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0"
"29983","30475","29522","1984.0","4","0","0","0","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","1","2","0","0","0","0","40","0","0","3","5","0","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","32","0","0","0","1","0","0","0","14","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30032","30490","29568","1995.0","3","0","0","0","0","0","6","1","5","12","0","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","1","1","1","0","1","3","4","0","0","0","0","42","0","2","0","6","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","33","0","1","0","0","134","0","0","1","0","0","0","0","14","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","2","0","0","0","0"
"30054","30685","29449","2016.0","2","0","0","0","0","0","8","1","2","9","0","2","3","0","0","0","0","0","0","0","1","5","7","0","0","0","0","2","1","0","1","0","0","0","0","0","0","24","0","0","12","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","31","0","0","0","0","0","0","0","5","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","6","4","1","0","0","0","0"
"30509","30925","30077","2134.0","13","0","0","0","0","5","55","1","4","17","0","0","0","2","0","1","5","0","0","0","2","0","1","0","2","0","0","8","2","0","0","6","13","0","0","1","0","40","0","0","0","1","0","4","0","0","3","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","68","0","0","0","0","109","2","0","0","0","0","0","0","12","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","3","0","3","0","0","0","0","0"
"30528","30984","30083","2144.0","10","1","0","0","0","0","17","5","8","31","0","0","9","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","3","22","11","0","0","0","0","80","0","0","1","16","0","0","0","1","8","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","60","0","3","0","0","135","1","0","0","0","0","0","0","25","0","0","0","0","18","0","0","0","0","0","0","2","0","1","0","0","4","0","0","0","0","0","0"
"30529","30977","30083","2264.5","6","0","0","0","0","0","19","2","2","40","0","1","9","4","0","3","0","0","0","0","0","4","1","0","0","1","1","0","1","0","1","8","16","0","0","4","0","44","0","2","0","20","0","0","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","54","0","2","0","0","147","0","0","0","2","0","0","0","46","0","0","0","1","12","1","0","1","0","0","0","6","0","3","0","1","3","0","0","0","0","0","0"
"30541","31086","29981","2154.0","11","0","0","0","0","3","23","2","7","19","0","1","3","0","0","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","12","0","0","4","0","91","0","0","0","3","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","94","0","1","0","0","86","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","3","1","0","0","0","0"
"30633","31064","30192","2274.5","3","5","0","0","0","0","14","1","6","14","0","2","17","4","0","2","0","0","0","0","0","7","2","1","0","0","0","0","0","0","2","14","4","0","0","0","1","84","0","2","0","24","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","1","0","0","101","0","0","0","0","0","0","0","47","0","0","0","1","1","0","0","1","0","0","1","4","0","2","0","2","10","0","0","0","0","0","0"
"30819","31270","30362","2284.5","0","0","0","0","0","0","0","0","1","2","0","1","6","0","0","2","0","0","0","0","0","0","11","0","0","0","0","1","0","0","1","3","5","0","0","0","0","28","0","0","1","14","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","1","0","0","61","0","0","0","0","0","0","0","31","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0"
"31051","31630","30467","2304.5","1","2","0","0","0","0","7","3","7","14","0","0","4","7","0","0","0","0","0","0","0","3","2","1","0","0","0","1","1","0","3","8","6","0","0","2","0","56","0","0","0","8","0","0","4","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","50","0","0","0","0","164","2","0","0","0","0","0","0","76","1","0","0","2","2","3","0","0","0","2","2","3","0","1","0","0","2","1","0","0","0","0","0"
"31335","31974","30711","2324.5","0","0","0","0","0","2","13","5","4","41","0","1","2","6","0","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","28","11","0","0","0","0","31","0","0","0","5","0","0","1","0","2","0","0","0","3","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","57","0","6","0","0","126","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","2","2","0","0","0","0","0"
"31740","32284","31199","2356.0","0","0","0","0","0","0","26","2","1","20","0","0","2","0","0","1","0","0","0","0","0","0","2","0","0","0","1","1","3","0","0","12","2","0","0","1","0","22","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","31","0","0","0","0","44","0","0","1","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","2","0","0","0"
"31829","32391","31266","2366.0","0","0","0","0","0","2","56","4","7","95","0","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","1","4","1","0","0","2","0","0","0","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","74","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"31938","32406","31451","2376.0","2","0","0","0","0","0","33","5","1","54","0","1","4","1","0","1","0","0","0","0","0","0","1","0","0","0","1","3","5","0","0","5","4","0","0","0","0","27","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","4","0","0","84","0","0","0","0","0","0","0","6","0","0","0","1","4","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
"32069","32701","31422","2396.0","1","0","0","0","0","0","29","2","1","31","0","1","0","0","0","2","0","0","0","0","3","0","2","0","0","0","1","1","8","0","0","20","6","0","0","6","0","35","0","0","1","1","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","3","0","0","61","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","2","0","1","0","0","0","0","0"
"32199","32654","31727","2406.0","0","0","0","0","0","0","35","2","2","23","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","3","0","4","0","0","0","1","0","13","0","0","1","2","0","0","0","0","2","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0"
"32459","33077","31827","2426.0","0","0","0","0","0","0","44","1","0","45","0","2","0","1","0","1","0","0","0","0","2","1","3","0","0","0","3","4","7","0","0","1","1","0","0","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","8","0","3","0","0","39","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","2","0","0","0","0","1"
"32675","33182","32149","2445.5","1","0","0","0","0","1","13","0","3","11","0","12","0","0","0","2","0","0","0","0","3","1","2","0","0","0","3","3","0","0","0","0","0","0","0","1","0","31","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","52","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32785","33400","32198","2455.5","0","0","0","0","0","0","36","3","1","37","0","6","0","0","0","1","0","0","0","0","5","0","5","0","0","0","1","7","1","0","0","1","3","0","0","4","0","51","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","94","0","0","0","0","0","0","0","6","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"32980","33650","32323","2477.5","4","0","0","0","0","4","50","3","5","82","0","4","1","0","0","1","0","0","0","0","1","1","9","1","0","0","0","2","4","0","1","4","17","0","0","0","0","15","0","2","0","1","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","37","0","3","0","0","94","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","2","0","0","0","0","0"
"33034","33684","32370","2505.5","2","0","0","0","0","1","15","7","2","29","0","1","4","2","0","0","0","0","0","0","1","1","3","0","0","0","0","5","1","0","0","4","5","0","0","6","0","36","0","0","0","5","0","0","3","1","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","63","0","3","0","0","156","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0"
"33312","33794","32833","2525.5","3","0","0","0","0","1","17","5","6","54","0","1","3","0","0","0","0","0","0","0","3","0","4","0","0","0","1","1","2","0","0","15","4","0","0","0","0","33","0","0","0","4","0","0","0","0","4","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","55","0","5","0","0","128","0","0","0","3","0","0","0","16","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","1","7","0","0","0","0","0"
"33561","34250","32906","2550.0","3","0","0","0","0","2","13","3","7","80","0","3","3","0","0","0","0","0","0","0","1","1","6","0","0","0","0","4","6","0","0","3","6","0","0","2","0","20","0","0","2","6","0","0","0","0","9","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","37","0","6","0","0","188","0","1","0","0","0","0","0","15","2","0","0","3","0","0","0","0","0","0","0","5","0","0","0","0","2","0","0","0","0","0","0"
"33791","34283","33309","2572.0","4","3","0","0","0","4","18","2","7","58","0","0","5","1","0","2","0","0","0","0","0","3","2","0","0","0","1","1","1","0","1","11","2","0","0","0","0","12","0","3","2","11","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","39","0","12","0","0","155","2","1","0","0","0","1","0","28","0","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","3","0","0","0","0","0","0"
"34238","34765","33710","2610.0","6","0","0","0","0","4","10","2","4","38","0","2","0","0","0","1","0","0","0","0","2","2","4","0","0","0","0","8","0","0","0","2","0","0","0","0","0","33","0","0","3","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","1","0","0","49","0","0","0","0","0","0","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","5","0","0","0","0","0"
"34490","35004","33956","2630.0","4","0","0","0","0","4","44","7","2","77","0","3","6","5","0","0","0","0","0","0","1","0","2","0","0","0","0","1","0","0","3","5","0","0","0","1","0","23","0","0","2","7","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","12","0","5","0","0","137","0","0","0","0","0","0","0","24","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","1","2","0","0","0","0","0"
"34766","35290","34255","2648.0","19","0","0","0","0","8","53","11","5","91","0","1","3","2","0","1","0","0","0","0","0","0","0","0","0","0","1","3","0","0","1","3","4","0","0","3","0","18","0","0","0","6","0","1","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","2","0","0","123","0","0","0","0","0","0","0","18","1","0","0","0","3","0","0","0","1","0","0","3","0","0","0","1","5","2","0","0","0","0","0"
"34963","35612","34266","2668.0","7","0","0","0","0","3","11","2","5","22","0","0","3","0","0","0","0","0","0","0","1","2","2","0","0","0","1","3","2","0","0","3","9","0","0","4","0","49","0","0","0","9","0","0","0","2","8","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","56","0","2","0","0","148","0","0","0","0","0","0","0","42","1","0","0","0","2","0","0","0","0","0","0","6","0","1","0","3","2","0","0","0","0","0","0"
"35475","36037","34920","2708.0","13","4","0","0","0","6","17","3","7","24","0","1","9","4","0","0","0","0","0","0","2","2","4","0","0","0","0","0","1","0","6","15","4","0","0","0","0","39","0","0","1","13","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","44","0","1","0","0","110","0","0","1","0","0","0","0","69","2","0","0","1","1","0","0","0","1","0","0","0","0","0","0","12","4","4","1","0","0","0","0"
"35750","36274","35235","2728.0","5","5","0","0","0","2","13","3","13","15","0","0","32","4","0","0","0","1","0","0","1","4","0","0","0","0","0","4","0","0","2","12","9","0","0","2","0","33","0","0","0","24","0","0","0","3","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","1","4","0","1","38","0","3","0","0","103","0","0","0","1","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","14","8","1","0","0","0","0","0"
"36050","36557","35522","2750.0","7","1","0","0","0","3","10","2","5","19","0","1","23","0","0","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","6","5","0","0","5","0","12","0","0","1","9","0","0","0","5","6","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","50","0","2","0","0","119","0","0","0","1","0","0","0","37","0","0","0","0","1","2","0","0","0","1","0","4","0","0","0","4","7","0","2","0","0","0","0"
"36296","36999","35598","2770.0","7","2","0","0","0","8","7","0","9","12","0","1","33","1","0","1","0","0","2","0","0","9","5","1","0","0","0","1","0","0","4","6","4","0","0","0","0","65","0","1","2","11","0","1","3","10","4","0","0","0","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","33","0","1","0","0","79","0","0","0","0","0","1","0","82","0","0","0","1","0","0","0","0","0","1","0","2","0","6","0","13","11","0","0","0","0","0","0"
"36287","36874","35674","2850.0","23","2","0","0","0","8","12","0","4","15","0","0","7","5","0","1","0","0","0","0","0","6","0","0","2","0","0","0","1","1","4","3","6","0","0","3","0","42","0","0","0","23","0","0","0","12","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","27","0","0","0","0","79","0","0","0","1","0","0","0","79","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","19","11","2","0","0","0","0","1"
"36289","36827","35769","2830.0","10","0","0","0","0","15","19","4","7","62","0","0","11","1","0","4","0","1","0","0","1","4","5","0","0","0","0","2","1","0","0","12","5","0","0","1","0","13","0","1","1","11","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","51","0","0","0","0","109","7","0","0","2","0","0","0","45","0","0","0","2","0","0","0","0","0","0","0","3","0","6","0","1","6","7","0","0","0","0","0"
"36292","36807","35766","2810.0","2","2","0","0","0","4","5","2","8","27","0","1","21","3","0","0","0","0","0","0","1","5","10","1","0","0","0","2","2","0","7","8","11","0","0","0","0","23","0","0","0","28","0","0","0","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","46","0","3","0","0","107","3","0","0","1","0","0","0","74","0","0","0","1","0","0","0","0","0","1","0","9","0","1","0","18","14","1","0","0","0","0","0"
"36284","37005","35541","2870.0","7","0","0","0","0","3","21","3","15","36","0","0","8","1","0","0","0","2","0","0","0","2","0","0","0","0","1","2","0","0","2","3","3","0","0","1","0","29","0","1","0","9","0","0","0","1","3","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","60","0","2","0","0","168","0","0","0","0","0","0","0","43","0","0","0","2","2","1","0","0","0","3","0","2","0","0","0","1","3","0","1","0","0","0","0"
"36717","37400","36056","2910.0","14","1","0","0","0","8","25","4","7","61","0","2","3","0","0","1","0","0","0","0","1","2","2","1","0","0","1","5","0","0","0","6","9","0","0","4","0","19","0","1","1","11","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","31","0","2","0","0","166","1","1","0","0","0","0","0","23","1","1","0","1","1","0","0","0","0","0","0","2","0","1","0","5","0","4","0","0","0","0","0"
"36922","37430","36414","2929.0","15","3","0","0","0","2","7","3","9","15","0","1","36","4","0","0","0","1","0","0","2","5","1","0","0","0","0","1","0","0","7","7","4","0","0","0","0","42","0","3","2","25","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","30","0","1","0","0","61","0","0","0","0","0","1","0","94","1","0","0","0","0","1","0","0","0","0","0","5","0","3","0","0","32","0","0","0","0","0","0"
"37152","37931","36409","2945.0","9","0","0","0","0","2","24","6","4","54","0","0","2","0","0","2","0","1","1","0","2","1","8","0","0","0","0","6","0","0","0","9","4","0","0","0","0","614","0","1","0","5","0","0","1","2","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","35","0","1","0","0","81","2","0","0","1","1","0","0","30","0","0","0","0","6","2","0","0","0","0","0","1","0","0","0","1","1","6","0","0","0","0","0"
"37406","38138","36663","2965.0","5","1","0","0","0","4","23","11","0","65","0","1","2","0","0","6","0","0","0","0","1","0","1","0","0","0","3","2","0","0","0","0","2","0","0","1","0","136","22500","0","0","5","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","36","0","1","0","0","140","2","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"37616","38340","36900","2985.0","11","1","0","0","0","8","20","4","8","53","0","3","7","2","0","2","0","1","0","0","0","7","1","0","0","0","0","1","0","0","1","5","5","0","0","1","0","223","22500","0","0","28","0","0","2","1","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","2","0","0","120","11","0","0","0","1","0","0","50","1","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","3","2","0","0","0","0","0"
"37877","38562","37154","2995.0","35","2","0","0","0","2","16","2","4","29","0","3","6","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","2","8","0","0","2","0","190","22500","0","0","27","0","0","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","59","0","2","0","0","70","9","0","0","0","0","0","0","57","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","7","4","0","0","0","0","0"
"38232","38773","37692","3010.0","41","3","0","0","0","4","15","3","4","24","0","0","10","0","1","2","0","1","0","0","0","6","1","0","0","0","0","0","0","0","4","2","7","0","0","1","0","560","0","3","0","36","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","48","0","3","0","0","87","7","0","0","0","0","0","0","88","0","0","0","0","2","2","0","0","0","0","0","3","0","0","0","0","7","5","0","0","0","0","0"
"38806","39349","38232","3030.0","24","2","0","0","0","2","16","1","6","16","0","0","46","4","0","7","0","0","0","0","1","10","0","0","0","0","0","0","0","0","2","6","5","0","0","2","0","220","0","0","0","31","0","4","0","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","31","0","2","0","0","75","3","0","0","1","0","0","0","104","1","0","0","0","4","1","0","0","0","0","0","0","0","4","0","0","29","2","0","0","0","0","0"
"39270","39840","38671","3046.0","7","6","0","0","0","2","9","2","5","13","0","0","42","0","0","2","0","0","0","0","1","9","2","0","0","0","0","0","0","0","1","6","5","0","0","2","0","157","0","1","0","20","0","0","0","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","0","0","0","0","63","6","0","0","0","0","0","0","82","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","0","20","8","0","0","0","0","0"
