"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Morus","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Ostrya","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primula","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Taxus","Thalictrum","Theligonum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis","Volvocaceae"
" 9148",NA,NA,"614","92","0","270","0","7","0","0","2","2","7","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","255","45","0","0","10","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","57","0","0","0","0","0","3","0","0","0","30","2","0","0","0","0","0","112","3","0","0","0","1","0","0","0","0","1","0","0","2","0","1","1","5","0","0","0","0","0","0"
" 9172",NA,NA,"618","70","0","48","0","4","1","0","3","0","10","0","0","1","0","0","0","0","1","0","2","0","0","2","0","3","0","0","0","0","1","6","0","0","0","4","0","0","200","21","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","0","3","0","0","1","0","0","0","2","0","62","0","0","1","0","0","7","3","1","0","25","0","0","0","0","0","0","66","1","1","0","0","5","0","0","0","0","0","0","0","0","0","1","3","3","0","0","0","0","0","0"
" 9200",NA,NA,"623","0","0","1498","0","9","3","0","2","0","18","0","0","3","0","2","0","0","0","1","0","0","0","0","0","0","0","0","4","0","1","27","0","0","1","3","0","0","133","89","0","0","10","0","0","0","0","0","7","10","0","4","0","1","0","0","4","0","0","0","0","0","0","1","0","37","0","1","1","0","0","5","0","1","0","51","1","0","0","0","0","2","49","2","0","0","1","2","0","0","0","0","0","0","0","0","1","1","34","2","0","0","0","0","0","4"
" 9238",NA,NA,"630","62","1","13","0","9","6","0","4","0","11","0","0","5","0","1","0","0","0","0","0","0","0","0","0","2","0","0","4","0","0","15","0","1","0","4","0","0","164","87","0","0","5","0","0","0","0","0","9","0","0","0","0","2","0","1","0","0","0","6","0","0","0","0","0","52","0","0","0","0","0","1","0","2","0","28","0","0","0","0","0","0","71","0","1","0","0","9","0","0","0","0","2","0","0","0","0","2","14","2","0","0","0","0","1","0"
" 9259",NA,NA,"634","0","0","80","0","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","2","0","0","192","26","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","4","0","2","0","0","0","20","0","0","0","0","0","0","36","0","2","0","0","0","0","0","0","0","1","5","0","0","0","0","8","3","0","0","0","0","0","0"
" 9279",NA,NA,"638","117","1","216","0","5","1","0","0","0","9","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","8","0","0","0","9","0","0","364","50","0","0","5","0","0","0","0","0","8","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","37","0","0","0","0","0","5","1","2","0","19","1","0","0","0","0","0","56","3","0","0","0","4","0","0","0","0","1","0","0","0","0","2","12","1","0","0","1","0","0","0"
" 9300",NA,NA,"642","0","0","420","0","5","0","0","5","1","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","11","0","0","0","3","0","1","166","44","0","0","2","0","1","0","0","0","0","5","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","36","0","0","0","0","0","2","0","1","0","11","0","0","0","0","0","0","41","0","1","0","0","1","0","0","0","0","2","1","2","0","0","1","26","10","0","0","0","0","0","29"
" 9321",NA,NA,"646","133","0","198","0","8","1","0","3","1","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","0","0","1","0","0","163","17","0","0","3","0","0","0","0","0","3","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","0","32","0","0","0","2","0","5","4","1","0","18","1","0","0","0","0","0","58","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","3","0","0","0","0","0","0"
" 9343",NA,NA,"650","0","0","60","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","6","0","0","0","2","0","1","190","25","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","25","0","0","1","0","0","2","0","1","0","8","6","0","0","0","0","0","35","4","1","0","0","0","0","0","0","0","0","2","0","0","0","2","8","0","0","0","0","0","0","0"
" 9365",NA,NA,"654","0","0","13800","0","10","1","0","4","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","0","12","0","0","0","2","0","0","122","32","0","0","3","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","1","1","0","2","0","15","3","0","0","0","0","1","35","2","0","0","0","3","0","0","0","0","1","0","1","2","0","1","10","10","0","0","1","0","0","25"
" 9400",NA,NA,"660","57","2","90","0","9","3","0","2","3","4","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","7","0","0","1","1","0","0","190","22","0","0","4","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","5","0","0","0","39","0","0","0","0","0","0","93","0","1","0","0","5","0","0","0","0","0","1","0","0","0","0","26","6","0","0","0","0","0","0"
" 9425",NA,NA,"664","0","0","1500","0","2","0","0","1","0","6","0","0","2","0","0","0","0","2","0","0","0","0","0","30","0","0","0","16","0","0","8","0","0","0","6","0","1","252","26","0","0","4","0","0","0","0","0","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","56","0","0","0","5","0","4","4","1","0","12","0","2","0","0","0","0","68","0","0","0","0","0","0","0","0","0","4","4","0","0","0","2","26","4","0","0","0","0","0","0"
" 9451",NA,NA,"668","103","1","726","0","9","0","0","0","0","7","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","1","0","0","245","6","0","0","5","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","46","0","0","0","1","0","4","1","2","0","20","0","0","0","0","0","0","67","2","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","6","0","0","0","0","0","0"
" 9478",NA,NA,"672","0","2","730","0","12","1","0","2","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","9","0","0","0","2","0","1","157","17","0","0","5","0","0","0","0","0","1","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","25","0","0","0","4","0","5","0","0","0","15","0","0","0","0","0","0","48","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","0","0","0","0","24"
" 9508",NA,NA,"676","57","2","810","0","10","0","0","6","3","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","4","0","0","234","61","0","0","14","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","5","0","1","0","25","0","0","0","0","0","0","80","1","0","0","0","1","0","0","0","0","3","0","0","1","0","1","0","6","0","0","0","0","0","0"
" 9539",NA,NA,"680","65","3","520","0","5","1","0","5","1","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","0","2","1","3","0","0","311","81","0","0","13","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","55","0","0","0","0","0","4","1","0","0","22","1","0","0","0","0","0","71","1","1","0","0","1","0","0","0","0","0","0","0","2","0","2","1","5","0","0","0","0","0","0"
" 9573",NA,NA,"684","111","1","12500","1","8","2","0","1","3","8","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","15","0","0","0","4","0","0","206","26","0","0","8","0","0","0","0","0","5","0","0","0","0","3","0","0","0","0","0","1","0","0","0","1","1","38","0","0","0","1","0","4","1","2","0","13","3","0","0","0","0","0","41","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","25","6","1","0","0","0","0","5"
" 9628",NA,NA,"690","90","0","81","0","5","4","1","5","2","11","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6","0","0","7","0","0","0","1","0","0","207","29","0","0","13","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","18","0","2","0","37","1","0","0","0","0","0","77","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","1","0"
" 9667",NA,NA,"694","0","0","240","0","3","0","0","0","0","8","1","0","1","0","0","0","0","3","1","0","0","0","0","12","0","0","0","8","0","1","4","0","0","0","0","0","1","243","8","0","0","2","0","0","0","0","0","2","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","28","0","0","0","2","0","1","0","1","0","16","0","0","0","0","0","0","30","1","1","0","0","0","1","0","0","0","0","3","0","0","0","2","3","2","0","0","0","0","0","0"
" 9797",NA,NA,"706","64","0","118","0","11","6","0","2","3","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","12","0","0","0","4","0","0","262","3","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","40","0","0","0","2","0","6","0","1","0","34","0","0","0","0","0","0","93","2","0","0","0","1","1","0","0","0","0","0","0","0","0","4","0","12","0","0","1","0","0","0"
" 9844",NA,NA,"710","0","0","385","0","14","1","0","2","0","4","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","5","0","0","5","0","0","0","1","0","0","230","0","0","0","2","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","16","4","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
" 9892",NA,NA,"714","33","0","6850","1","9","3","0","2","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","13","0","0","0","4","0","0","105","8","0","0","3","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","1","1","0","3","1","1","0","17","1","0","0","0","0","0","53","3","0","0","0","3","0","0","0","0","1","3","0","0","0","2","71","4","0","0","0","0","0","3"
" 9967",NA,NA,"720","102","2","63","0","3","0","0","5","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","8","0","0","0","3","0","0","212","23","0","0","4","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","38","0","0","0","0","0","9","0","0","0","25","0","0","0","0","0","0","78","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","1","6","0","0","0","0","0","0"
"10018",NA,NA,"724","77","1","313","0","3","4","0","3","2","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","6","0","0","0","1","0","0","209","9","0","0","11","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","6","0","1","0","25","2","0","0","0","0","0","107","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","2","0"
"10070",NA,NA,"728","126","2","138","0","5","5","0","2","2","2","3","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","3","0","1","5","0","0","1","2","0","0","287","1","0","0","1","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","10","0","2","0","15","0","0","0","0","0","0","91","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","9","0","0","0","0","0","0"
"10136",NA,NA,"733","92","2","125","0","3","2","0","3","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","186","20","0","0","7","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","6","0","1","0","12","0","0","0","0","0","0","122","2","1","0","0","2","0","0","0","0","0","0","0","1","0","2","2","5","0","0","0","0","0","0"
"10229",NA,NA,"740","49","1","17","0","9","9","0","5","0","2","1","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","9","0","0","0","3","0","0","132","14","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","6","0","1","0","32","0","0","0","0","0","0","118","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","8","0","0","0","0","0","0"
"10283",NA,NA,"744","0","1","408","0","9","1","0","1","2","3","2","0","1","0","0","1","0","1","3","0","0","0","0","56","0","0","0","3","0","0","1","0","1","0","3","0","0","193","24","0","0","4","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","47","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","86","3","3","2","0","1","0","0","0","0","0","0","0","0","0","1","2","12","0","0","0","0","0","0"
"10337",NA,NA,"748","77","2","639","0","12","1","0","3","0","4","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","15","0","0","0","1","0","0","183","13","0","0","3","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","28","0","0","0","0","0","9","0","0","0","26","0","0","0","0","0","0","91","0","1","0","0","5","0","0","0","0","0","0","0","0","0","3","0","14","0","0","0","0","0","0"
"10390",NA,NA,"752","0","2","3650","0","5","3","0","2","1","3","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","3","0","2","4","0","0","0","0","0","1","143","8","0","0","6","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","2","0","5","0","19","4","0","0","0","0","0","31","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","9","10","0","0","0","0","0","4"
"10496",NA,NA,"760","59","1","119","0","3","7","0","0","7","7","5","0","6","0","0","0","0","0","1","2","0","0","0","0","2","0","0","1","0","0","5","0","0","3","0","0","0","212","11","0","0","14","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","16","0","0","0","0","0","11","0","1","0","33","2","0","0","0","0","0","141","0","1","0","0","1","0","0","1","0","0","0","0","0","0","2","6","13","0","0","0","0","0","0"
"10549",NA,NA,"764","28","3","639","0","8","8","0","5","7","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","219","27","0","0","20","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","2","0","0","0","25","0","0","0","0","0","0","132","1","0","0","0","6","0","0","0","0","0","0","0","2","0","4","0","16","0","0","0","0","0","0"
"10600",NA,NA,"768","0","0","171","0","7","4","0","1","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","3","0","0","4","0","0","0","1","0","2","139","3","0","0","6","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","24","0","0","0","0","0","7","0","1","0","10","0","0","0","0","0","0","94","1","0","0","0","9","1","0","0","0","0","2","0","1","0","2","0","7","0","0","0","0","0","0"
"10651",NA,NA,"772","39","3","116","0","8","6","0","2","3","4","2","0","2","0","0","0","0","1","0","0","0","0","0","0","2","0","0","5","0","1","0","0","0","0","0","0","0","161","4","0","0","6","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","5","0","9","0","0","0","2","0","9","0","0","0","54","0","0","1","0","0","0","108","1","0","0","0","6","2","0","0","0","0","0","0","0","0","3","0","16","0","0","0","0","0","0"
"10750",NA,NA,"780","64","1","71","0","10","11","0","9","6","4","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","357","6","0","0","3","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","17","0","0","0","0","0","10","0","3","0","46","0","0","0","0","0","0","95","0","0","0","0","4","1","0","0","0","0","0","0","1","0","4","5","12","0","0","0","0","0","0"
"10799",NA,NA,"784","14","4","600","0","11","7","0","3","10","3","3","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","0","1","3","0","0","1","2","0","0","349","5","0","0","7","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","8","0","0","0","5","0","10","0","0","0","45","0","0","0","0","0","0","132","3","0","0","0","10","5","0","0","0","0","0","0","1","0","1","0","18","0","0","0","0","0","0"
"10846",NA,NA,"788","0","0","23265","0","9","2","0","5","4","3","0","0","1","0","1","1","0","0","1","0","0","0","0","0","1","0","0","2","0","0","2","0","0","0","0","0","1","120","9","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","1","2","0","7","0","3","0","26","1","0","0","0","0","2","88","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","55","6","0","0","0","0","0","2"
"10892",NA,NA,"792","33","2","211","0","7","6","0","3","3","8","1","0","0","0","0","0","0","0","3","0","0","0","0","0","4","0","0","4","0","1","0","1","0","0","1","0","0","218","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","8","0","0","0","1","0","25","0","6","0","47","0","0","3","0","0","0","111","2","0","0","0","7","1","0","1","0","0","0","0","3","0","1","0","6","0","0","0","0","0","0"
"10959",NA,NA,"798","45","0","78","0","8","5","0","4","5","6","5","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","146","2","0","0","7","0","0","0","0","0","2","0","0","0","0","2","0","0","1","0","0","7","0","0","0","0","0","4","0","0","0","0","0","29","0","3","0","53","0","0","0","0","0","0","95","2","0","0","0","8","0","0","0","0","0","0","0","2","0","0","0","8","0","0","0","0","0","0"
"10981",NA,NA,"800","43","2","22000","2","18","4","0","8","7","2","12","1","3","0","2","0","0","0","4","0","0","0","0","0","3","0","0","3","0","4","1","1","0","2","1","0","0","170","6","0","1","11","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","9","0","7","0","68","5","0","2","0","0","0","138","2","0","0","4","13","2","0","0","0","1","0","0","2","0","1","15","8","1","0","0","0","0","0"
"11024",NA,NA,"804","30","0","25","0","12","12","0","5","1","7","11","0","3","0","0","0","0","0","8","0","0","0","0","0","8","0","0","2","0","0","0","1","1","1","0","0","0","67","2","0","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","3","0","18","0","1","0","56","15","0","0","0","0","0","117","3","0","0","0","19","2","0","0","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"11066",NA,NA,"808","23","0","1","0","13","6","0","3","16","9","4","0","4","0","3","0","0","0","30","1","0","0","0","0","22","3","1","0","0","0","3","0","0","1","1","0","0","28","1","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","4","0","65","4","0","0","0","0","0","80","1","0","0","0","38","1","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"11106",NA,NA,"812","26","0","13","0","12","5","0","5","23","13","1","0","5","0","0","0","0","0","35","0","0","0","5","0","13","6","7","1","0","1","2","1","0","4","0","0","0","6","4","0","0","3","0","0","0","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","14","0","7","2","69","6","0","0","0","0","0","92","0","0","0","0","17","2","0","1","0","0","1","0","0","0","0","1","3","0","0","0","0","0","0"
"11146",NA,NA,"816","32","0","0","0","12","4","0","2","21","12","3","0","0","0","1","0","0","0","48","0","0","0","5","0","46","11","16","0","0","1","3","0","0","1","0","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0","0","19","0","12","3","46","0","0","0","0","0","0","53","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"11184",NA,NA,"820","17","0","0","0","11","5","0","3","25","15","0","0","0","0","0","0","0","0","55","0","0","0","4","0","41","12","5","1","0","1","4","0","0","4","0","0","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","22","0","13","2","77","0","1","0","0","0","0","70","0","0","0","0","18","0","0","1","0","0","1","0","2","0","1","1","3","0","0","0","0","1","0"
"11222",NA,NA,"824","5","0","0","0","10","5","0","4","45","20","6","0","0","0","1","0","0","0","39","0","0","0","5","0","37","7","0","1","0","4","4","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","9","0","11","0","78","0","0","0","0","0","0","68","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0"
"11259",NA,NA,"828","14","0","0","0","8","5","0","4","33","12","2","0","0","0","0","0","0","2","53","0","0","0","4","0","38","7","9","3","0","2","1","1","0","1","0","3","0","0","3","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","7","0","0","1","0","0","14","0","19","1","100","0","0","0","0","0","0","53","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0"
"11295",NA,NA,"832","18","0","0","0","6","6","0","3","35","8","4","0","0","0","0","0","0","0","46","0","0","0","11","0","53","14","8","0","0","0","2","0","0","2","0","0","0","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","8","0","9","1","68","0","0","0","0","0","0","84","0","0","0","0","6","4","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","0"
"11331",NA,NA,"836","17","0","0","0","16","5","0","5","33","12","1","0","0","0","0","0","0","0","47","0","0","0","7","0","45","11","4","2","0","0","0","2","1","3","1","0","0","3","3","0","0","2","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","9","0","28","3","66","0","0","0","0","0","0","67","0","0","0","0","5","1","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","2","0"
"11367",NA,NA,"840","3","1","1","0","11","5","0","6","17","8","4","0","6","1","0","0","0","0","30","0","0","0","3","0","22","6","6","0","0","2","1","0","0","1","0","0","1","8","14","0","0","8","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","23","0","20","0","110","0","0","0","0","0","0","88","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0"
"11403",NA,NA,"844","4","0","3","0","13","7","0","7","14","2","13","0","3","0","0","0","0","0","9","0","0","0","0","0","8","11","5","0","0","1","1","0","0","0","0","0","0","46","15","0","0","8","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","27","0","3","0","76","1","0","0","0","0","0","87","0","0","0","0","44","1","0","1","0","0","1","0","1","0","1","0","3","0","0","0","0","0","0"
"11439",NA,NA,"848","1","0","1","0","11","7","0","3","5","4","18","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","4","1","0","1","0","0","0","0","1","1","0","26","3","0","0","6","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","10","0","6","0","135","5","0","0","0","0","0","124","0","0","0","0","44","2","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","1","0"
