"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Indeterminable","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morella","Olea t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Spergularia t.","Tamarix","Taraxacum","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Vitis"
"12860",NA,NA," 569","4.0","0","0","0","0","15","0","1","0","0","16","0","1","0","0","2","0","0","0","0","0","0","26","1","0","0","0","0","6","0","0","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","306","21358","0","0","0","0","0","0","0","0","0","255","1","1","0","6","0","0","0","0","0","1","12","3","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0"
"12933",NA,NA," 575","4.0","2","0","0","0","16","0","0","0","0","13","0","1","0","0","2","0","1","0","1","0","0","16","0","1","0","0","1","13","3","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","238","21358","0","0","0","0","0","0","0","0","0","149","1","1","0","5","0","0","0","0","0","0","5","10","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0"
"12981",NA,NA," 579","4.5","0","0","0","0","17","0","3","0","0","17","1","3","0","0","1","0","0","0","0","0","3","19","0","3","0","0","0","5","1","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","388","21358","0","0","0","0","0","0","0","0","0","248","0","0","0","4","0","0","0","0","0","0","7","6","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"13054",NA,NA," 585","4.0","0","0","0","0","10","0","0","0","0","10","0","1","0","0","4","0","0","0","0","0","0","14","0","1","0","0","0","7","3","0","0","5","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","614","25084","0","0","0","0","0","0","0","3","0","154","2","0","0","9","0","0","0","0","0","0","47","21","5","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0"
"13124",NA,NA," 589","5.0","0","0","0","0","9","0","1","0","0","9","0","1","0","0","2","0","0","0","0","0","1","18","2","3","0","0","0","5","1","0","0","10","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","389","21358","0","0","0","0","0","0","0","0","0","274","0","0","0","6","0","0","0","0","0","0","18","7","1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0"
"13330",NA,NA," 595","3.5","0","0","0","0","8","0","1","1","0","22","0","2","0","0","1","0","1","0","0","0","0","14","1","0","0","0","0","7","1","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","541","25084","0","0","0","0","0","0","0","0","0","186","1","0","0","6","0","0","0","1","0","0","7","17","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"13380",NA,NA," 599","3.0","0","0","0","0","3","0","1","0","0","5","0","4","0","0","2","0","0","0","1","0","0","24","0","0","0","0","0","6","1","0","0","5","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","508","21358","0","0","0","0","0","0","0","0","0","325","0","0","0","3","0","0","0","0","0","0","19","13","1","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0","0","0","0","0"
"13454",NA,NA," 605","4.0","0","0","0","0","19","0","2","0","0","5","0","0","0","0","2","0","0","0","0","0","1","10","0","1","0","0","0","14","5","0","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","208","21358","0","0","0","0","0","0","0","0","0","177","1","0","0","9","0","0","0","0","0","0","17","14","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","6","0","0","0"
"13504",NA,NA," 609","6.0","0","0","0","0","10","0","0","0","0","4","0","4","0","0","3","0","0","1","1","0","0","22","0","0","0","0","0","8","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","0","0","0","364","21358","0","0","0","0","0","0","0","0","0","414","0","1","1","4","0","0","0","0","0","1","18","12","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","2","0","0","0"
"13578",NA,NA," 615","6.0","0","0","0","1","11","0","1","0","0","7","0","1","0","0","0","0","0","0","0","0","0","16","0","2","0","0","0","11","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","659","25084","0","0","0","0","0","0","0","0","0","183","1","0","0","4","0","0","0","0","0","0","17","27","1","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","2","0","0","0"
"13628",NA,NA," 619","5.0","0","0","0","0","10","0","0","0","0","5","2","4","0","0","1","0","0","0","1","0","1","14","0","0","0","0","0","6","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","323","21358","0","0","0","0","0","0","0","0","0","270","0","0","0","2","0","1","0","0","0","0","24","19","1","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","1","0","0","0"
"13702",NA,NA," 625","3.5","0","0","0","1","10","0","3","0","0","8","0","1","0","0","2","0","0","0","0","0","2","22","1","2","0","0","0","14","1","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","573","21358","0","0","0","0","0","0","0","2","0","317","0","0","1","4","0","0","0","0","0","0","14","35","1","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"13752",NA,NA," 629","5.5","0","0","0","0","7","0","1","1","0","1","0","2","0","0","1","0","0","0","0","0","0","9","2","2","0","0","0","3","5","0","0","2","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","455","21358","0","0","0","0","0","0","0","0","0","318","0","0","1","7","0","0","0","0","0","0","18","21","2","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"13802",NA,NA," 633","5.0","0","0","0","0","14","0","1","0","0","5","0","0","1","0","2","0","0","0","0","0","1","11","0","1","0","0","0","8","1","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","0","208","21358","0","0","0","0","1","0","0","0","0","226","0","0","0","6","0","0","0","0","0","0","31","21","2","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","2","0","0","0"
"13876",NA,NA," 639","5.0","0","1","0","0","10","0","0","0","0","2","0","1","0","0","2","0","0","0","0","0","0","20","0","0","0","0","0","2","2","0","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","644","21358","0","1","0","0","0","0","0","0","2","257","2","0","0","6","0","0","0","0","0","0","14","16","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","3","0","0","0"
"13951",NA,NA," 645","4.0","1","0","0","1","8","0","0","1","0","7","0","3","1","0","0","0","0","0","0","0","3","7","1","0","0","0","0","15","5","0","0","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","179","21358","0","0","0","0","0","0","1","1","0","130","0","0","0","11","0","0","0","0","0","0","17","16","1","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0","0"
"14000",NA,NA," 649","4.0","0","0","0","0","14","0","0","0","0","7","0","1","0","0","1","0","0","0","1","0","0","17","0","0","0","0","0","6","1","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","469","21358","0","0","0","0","0","0","0","0","0","300","1","0","0","3","0","0","0","0","0","0","21","23","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","2","0","0","0"
"14075",NA,NA," 655","3.5","1","0","0","1","8","0","0","0","0","9","0","2","0","0","0","0","0","0","0","0","0","14","0","3","0","0","0","6","9","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","399","21358","0","0","0","0","0","0","0","0","0","179","0","0","0","10","0","0","0","0","0","0","13","16","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","1","0","3","0","0","0"
"14124",NA,NA," 659","5.5","0","0","0","1","5","1","0","0","0","5","0","5","0","0","2","0","0","0","0","0","0","24","0","1","0","0","0","8","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","489","21358","0","0","0","0","0","0","0","0","0","248","0","1","0","5","0","0","0","0","0","0","16","16","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"14199",NA,NA," 665","4.0","0","0","0","1","6","0","1","0","0","3","0","1","1","0","1","0","1","0","0","0","1","6","0","3","0","0","0","15","1","0","0","1","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","202","21358","0","2","0","0","0","0","0","0","0","123","0","0","0","5","0","0","0","1","0","0","13","24","4","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","3","0","0","0"
"14249",NA,NA," 669","5.0","2","1","0","1","5","0","1","0","0","4","0","1","0","0","2","0","0","0","2","0","0","10","0","1","0","0","0","5","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","331","21358","0","0","0","0","0","0","0","0","0","199","2","0","0","11","0","0","0","0","0","0","25","25","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0"
"14323",NA,NA," 675","4.0","0","0","0","3","4","0","1","0","0","9","0","3","2","0","1","0","0","0","0","0","1","3","0","0","0","0","0","7","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","146","21358","0","0","0","1","0","0","0","0","0","91","0","2","0","15","0","0","0","0","0","0","15","21","1","0","0","0","0","0","0","0","0","0","4","2","0","0","0","1","0","1","0","0","0"
"14373",NA,NA," 679","5.5","0","0","0","0","4","0","1","0","0","9","0","5","0","0","0","0","0","0","0","0","1","15","1","0","0","0","0","6","3","0","0","7","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","385","21358","0","0","0","0","0","0","0","0","0","170","0","0","0","1","0","0","0","0","0","0","32","28","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0","0"
"14475",NA,NA," 685","4.0","0","0","0","2","8","0","1","0","0","15","0","1","1","0","3","0","0","0","0","0","2","3","1","0","0","0","0","5","1","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","221","21358","0","1","0","0","0","0","0","0","0","134","0","0","0","16","0","0","0","0","0","0","11","15","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","1","0","0","0"
"14604",NA,NA," 691","4.0","0","0","0","0","4","0","0","1","0","9","0","6","0","0","3","0","0","0","0","0","2","7","2","1","0","0","0","5","1","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","363","21358","0","0","0","0","0","1","0","0","0","153","0","0","0","4","0","0","0","0","0","0","15","22","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","2","0","0","0","0","0"
"14690",NA,NA," 695","4.0","0","0","0","0","6","0","1","0","0","8","0","1","1","0","5","0","1","0","0","0","0","21","0","2","0","0","0","6","1","0","0","5","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","681","21358","0","0","0","0","0","0","0","0","0","220","0","1","0","6","0","0","0","0","0","0","14","12","0","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0","0"
"14776",NA,NA," 699","3.5","0","0","0","2","7","0","1","1","0","10","0","1","0","0","0","0","0","0","2","0","0","16","1","3","0","0","0","7","1","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","600","21358","0","0","0","0","0","0","0","0","0","203","0","0","0","2","0","0","0","0","0","0","19","19","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0"
"14905",NA,NA," 705","4.5","0","0","0","1","9","0","2","0","0","7","0","2","0","0","0","0","0","0","0","0","0","12","1","1","0","0","0","7","3","0","0","11","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","1","0","0","648","25084","0","0","0","0","0","0","0","1","0","299","0","0","0","10","0","0","0","0","0","0","11","17","2","0","0","0","3","0","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0"
"15003",NA,NA," 709","4.5","0","0","0","1","6","0","2","0","0","27","0","1","0","0","0","0","0","0","1","0","0","7","0","2","0","0","0","4","1","0","0","7","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","560","21358","0","0","0","0","0","0","0","0","0","325","0","0","0","14","0","0","0","0","0","0","9","2","0","0","0","0","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15201",NA,NA," 715","5.0","0","0","0","3","7","0","0","0","0","33","0","1","0","0","0","0","0","0","1","0","0","23","2","4","0","0","0","4","2","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1103","25084","0","1","0","0","0","0","0","0","0","494","0","1","0","4","0","0","0","0","0","0","9","9","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","2","0","0","0"
"15333",NA,NA," 719","3.5","0","0","0","0","7","1","1","0","0","30","0","2","0","0","0","0","0","0","0","0","1","17","0","1","0","0","0","4","1","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","808","21358","0","0","0","0","0","0","0","0","0","566","0","2","0","1","0","0","0","0","0","0","10","5","0","2","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","2","0","0","0"
"15531",NA,NA," 725","2.5","0","0","0","2","17","0","6","0","0","32","0","5","0","0","0","0","0","0","0","0","0","13","0","5","0","0","0","7","1","0","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","921","25084","0","0","0","0","0","0","0","0","0","547","0","0","2","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15663",NA,NA," 729","3.5","0","0","0","3","10","0","3","0","0","47","0","0","1","0","1","0","0","0","0","0","0","11","2","0","0","0","0","4","3","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","387","21358","0","0","0","0","0","0","0","0","0","407","0","2","0","5","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15861",NA,NA," 735","4.0","0","0","0","0","24","0","3","0","0","48","0","6","0","0","0","0","1","0","0","0","2","11","1","1","0","0","0","5","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","805","25084","0","0","0","0","0","0","0","0","0","403","0","1","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15993",NA,NA," 739","4.0","0","0","0","2","15","0","5","0","0","32","0","1","0","0","1","0","0","0","0","0","0","12","1","3","0","0","0","2","1","0","0","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","685","21358","0","0","0","0","0","0","0","0","0","849","0","1","0","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0"
"16191",NA,NA," 745","3.0","0","0","0","0","19","0","2","0","0","46","0","1","0","0","1","0","0","0","0","0","1","9","0","3","0","0","0","5","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","698","25084","0","0","0","0","0","0","0","0","0","548","0","2","0","3","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0"
"16323",NA,NA," 749","3.0","0","1","0","1","20","0","2","0","0","20","0","4","0","0","0","0","1","0","1","0","0","18","0","3","0","0","0","0","1","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775","21358","0","0","0","0","0","0","0","0","0","1367","0","0","0","3","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","1","0","0","0"
"16587",NA,NA," 757","3.5","1","0","0","1","16","1","1","1","0","43","0","1","0","0","3","0","0","0","0","0","1","7","0","1","0","0","0","3","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1202","21358","0","0","0","0","1","0","1","0","0","427","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"16970",NA,NA," 767","3.0","0","0","0","2","7","0","0","0","0","13","1","0","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","6797","21358","0","0","0","1","0","0","0","0","0","631","0","0","1","3","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"17281",NA,NA," 775","4.0","0","0","0","1","26","0","6","0","0","58","0","3","0","0","0","0","2","0","0","0","0","3","1","3","0","0","0","2","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","159","25084","0","0","0","0","0","0","0","0","0","132","0","2","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"17669",NA,NA," 785","8.0","0","1","0","1","9","0","5","0","0","27","0","3","0","0","0","0","0","0","1","0","1","23","0","4","0","0","0","1","1","0","0","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2230","37160","0","0","0","0","0","0","0","0","0","1508","1","1","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","3","0","0","0"
"17825",NA,NA," 789","8.0","0","0","0","0","8","0","3","0","0","3","0","2","0","0","1","0","0","0","1","0","0","41","3","4","0","0","0","1","0","0","0","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2944","37160","0","0","0","0","0","0","0","0","0","2427","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
"18478",NA,NA," 805","8.0","0","0","0","0","9","0","4","0","0","33","0","2","0","0","0","0","0","0","0","0","0","16","2","8","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","3015","37160","0","0","0","0","0","0","0","0","0","665","0","2","0","5","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"19464",NA,NA," 825","3.0","0","0","0","1","5","1","3","0","0","19","0","4","0","0","1","0","1","0","0","0","0","15","1","3","0","0","0","4","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0","4939","25084","0","0","0","0","0","0","0","0","0","623","0","2","0","3","0","0","0","0","0","0","1","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0"
"19661",NA,NA," 829","8.0","0","0","0","1","3","0","0","0","0","24","0","1","1","0","0","0","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3930","37160","0","0","0","0","0","0","0","0","0","142","0","1","0","4","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"19956",NA,NA," 835","3.5","1","0","0","1","10","0","2","0","0","17","0","10","0","0","0","0","2","0","0","0","1","9","1","5","0","0","0","1","0","0","0","5","20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3644","21358","0","0","0","0","0","0","0","0","0","592","0","3","1","2","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"20154",NA,NA," 839","8.0","0","0","0","0","8","0","5","0","0","19","0","4","1","0","1","0","0","0","1","0","0","6","0","2","0","0","0","1","1","0","0","5","16","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","4128","37160","0","0","0","0","0","0","0","0","0","452","0","1","0","3","0","0","0","0","0","0","3","6","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0"
"20646",NA,NA," 849","8.0","0","0","0","0","3","0","0","0","0","23","0","1","0","0","0","0","1","0","0","0","2","2","0","4","0","0","0","2","1","0","0","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2061","37160","0","0","0","0","0","0","0","0","0","302","0","0","1","5","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0"
"20942",NA,NA," 855","3.0","1","0","0","2","3","1","0","0","0","11","0","4","0","0","0","0","0","0","0","0","0","8","0","4","0","0","0","2","0","1","0","5","6","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","2624","21358","0","0","0","0","0","0","0","0","0","456","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0"
"21108",NA,NA," 859","8.0","0","0","0","2","6","0","3","0","0","35","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","7","0","0","0","6","11","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4378","37160","0","0","0","0","0","0","0","0","0","412","0","1","0","2","0","0","0","0","0","0","5","1","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1"
"22973",NA,NA," 889","8.0","0","0","0","0","2","0","1","0","0","20","0","4","0","0","1","0","0","0","0","0","0","1","2","1","0","0","0","8","1","0","0","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","4279","37160","0","0","0","0","0","0","0","0","0","406","0","2","1","0","0","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","2","0","0","0"
"23440",NA,NA," 895","3.0","0","0","0","2","4","0","2","0","0","43","0","0","0","0","4","0","4","0","0","0","2","7","1","3","0","0","0","5","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","2596","25084","0","0","0","0","0","0","0","0","0","481","0","1","0","3","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"23735",NA,NA," 905","6.0","0","0","0","0","10","0","2","0","0","28","0","1","0","0","0","0","0","0","0","0","1","2","2","5","0","0","0","5","2","0","0","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3350","25084","0","0","0","0","0","0","0","0","0","248","0","1","0","12","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0"
"23853",NA,NA," 909","8.0","0","0","0","0","17","0","9","0","0","21","0","4","0","0","0","0","0","0","0","0","0","7","2","8","0","0","0","3","2","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1901","37160","0","0","0","1","0","0","0","0","0","552","0","2","1","6","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0"
"24028",NA,NA," 915","5.5","0","0","0","1","18","0","2","0","0","70","0","7","0","0","0","0","0","0","0","0","0","6","0","4","0","0","0","3","0","0","0","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","888","25084","0","0","0","0","0","0","0","0","0","358","0","4","0","5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"24142",NA,NA," 919","8.0","1","0","0","0","18","0","11","0","0","11","0","5","0","0","0","0","0","0","1","1","2","6","1","7","0","0","0","1","0","0","0","10","10","0","0","1","1","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","3947","37160","0","0","0","0","0","0","0","0","0","797","0","1","1","1","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","0","0","0","0","0"
"24313",NA,NA," 925","4.5","0","0","0","0","10","1","9","0","0","11","0","5","0","0","3","0","0","0","1","0","1","5","0","8","0","0","0","0","1","0","0","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2359","25084","0","0","0","0","0","0","0","0","0","205","0","2","0","2","0","0","0","0","0","3","2","4","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","1","0","0","0"
"24427",NA,NA," 929","8.0","0","0","0","0","23","0","3","0","0","25","0","6","0","0","6","0","0","0","0","0","0","1","4","8","0","0","0","1","0","1","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3833","37160","0","0","0","0","0","0","0","0","0","154","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","1","0","0","0"
"24598",NA,NA," 935","4.0","0","1","0","0","5","0","4","0","0","17","0","4","0","0","0","0","2","0","1","0","2","4","4","3","0","1","0","1","2","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4126","25084","0","0","0","0","0","0","0","0","0","304","0","1","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","0","0","0"
"25135",NA,NA," 945","6.0","0","0","0","0","9","0","2","1","0","37","0","1","0","0","1","0","0","0","0","0","2","5","2","3","0","0","0","7","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","972","25084","0","0","0","0","0","0","0","0","0","139","0","2","0","6","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0"
"26112",NA,NA," 965","4.0","1","0","0","0","7","0","2","1","0","28","0","4","0","0","1","0","0","0","1","0","0","15","0","5","0","0","0","4","0","0","0","3","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","1099","21358","0","0","0","0","0","0","0","0","0","549","0","1","0","4","0","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
