Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Lycopodiumspore,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Carpinus betulus,Caryophyllaceae,Centaurea,Cichorioideae,Cistus,Corylus,Cyperaceae,Daphne,Ephedra,Ericales,Fagus,Fraxinus excelsior-type,Fraxinus ornus,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable undiff./spore,Isoëtesspore,Juglans,Juniperus,Lamiaceae,Liliaceae,Lythrum,Myriophyllum,Nuphar,Nymphaea,Olea,Osmunda regalisspore,Ostrya/Carpinus orientalis,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polygonum,Polygonum aviculare-type,Polypodiophytaspore,Potamogeton,Poterium sanguisorba,Pteridiumspore,Pterocarya,Quercus,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sparganium,Sphagnumspore,Taxus,Thalictrum,Tilia,Typha latifolia,Ulmus,Urtica,Vitis,Zelkova
74.5,--/183485/--,191403/190580/189722,,740,12077,3,,1,,,1,21,2,82,4,1,,,,,,10,5,1,,2,,,1,,,,,,,,,31,,,3,,,,,,1,,,,,,42,,,,73,2,5,,,,,,55,,,,1,,,2,,,1,,,1,,,
75.5,--/187000/--,194519/193690/192825,,314,12077,3,,1,,,1,25,,67,2,4,,,,,,4,,1,,2,,,2,,3,,,,,,,40,,,4,,,,,1,,,,,,,28,,,,42,,1,,,1,,,93,,,,,,,1,,,1,1,,,,,1
76.5,--/190515/--,197637/196800/195928,,189,12077,3,,8,,,,11,,43,2,,,,,,2,3,,1,,5,,,1,,4,,,,,,,16,,,4,,,,1,,,,,,,,84,,2,,66,,2,,,,,,65,,,,1,,,,,,2,2,,1,,,1
77.5,--/194030/--,200755/199911/199029,,246,12077,3,,8,,,,15,1,42,3,2,,,,,2,1,,2,,3,,,1,,6,,,,,,,23,,,11,,,,2,,,,,1,,,147,,,,76,,3,,,,,,49,,,,,,,,,,,,,1,,,
78.5,--/197545/--,203874/203021/202131,,350,12077,3,,12,,,1,15,,57,,3,,2,,,2,2,,3,,2,,,,,1,,1,,,,,25,,,4,,,,,,,,,,,,172,,2,,59,,2,,,,,,53,,,,,,,1,,,1,,,1,,,
79.5,--/201061/--,206994/206131/205232,,243,12077,3,,26,,,3,19,,33,5,2,,,,,4,1,1,,,6,,,,,3,,,,,,,26,,,16,,,,,,,,,,,,172,,1,,54,,,,,,,,82,,,,,,,1,,,,1,,2,,,3
80.5,--/204576/--,210115/209241/208332,,197,12077,3,,7,,,,7,,18,,1,,,,,1,,,3,,2,,,,,2,,,,,,,54,,,1,,,,,,,,,1,,,129,,1,,58,,2,,,,,,34,,,,1,1,,1,,,,,,,,,1
81.5,--/208091/--,213237/212351/211431,,202,12077,3,,12,1,,2,9,1,39,2,1,,,1,,3,2,1,1,,3,,,1,,5,1,,,,,,17,,,4,,,,,,,,,2,,,125,,,,60,,5,,,,,,64,,,,,,,,,,3,,1,2,,,1
82.5,--/211606/--,216357/215462/214529,,316,12077,3,,9,,,,13,,16,3,3,,,1,,2,2,1,5,,3,,,,,6,1,1,,,,,27,,,4,,,,,,,,,1,,,144,,,,66,,2,,,,,,23,,,,2,1,,,,,1,,,1,,,
83.5,--/215121/--,219478/218572/217626,,406,12077,3,,10,1,,,5,,26,3,4,,,,,2,3,,4,,4,,,1,,5,,2,,,,,25,,,6,,,,,,,,,1,,,133,,,,51,,3,,,,,,41,,,,,,,1,,,,,,2,,,2
84,--/216879/--,221038/220127/219174,,82,18470,3,,51,1,,7,10,3,22,5,26,,2,1,,9,3,,1,,10,,,2,,3,,,,,,,13,,,,,,,,,,,,9,,1,32,,,,65,,2,,,,,,98,,,3,5,1,,4,,,5,,,7,,,1
84.5,--/218636/--,222599/221682/220723,,53,12077,3,,40,,,2,4,2,21,1,,,2,3,,4,,,,,12,,,,,2,1,,,,,,8,,,8,,,,,,,,,4,,,28,,,,6,,1,,,,,,218,,,1,,,,1,,,,3,,7,,,6
85,--/220394/--,224158/223237/222270,,43,18470,3,,21,1,,4,6,1,22,3,2,,1,1,,9,2,,,,6,,,,1,13,1,,,,,,24,,,2,,,,,,,,,3,,1,13,1,,,25,,3,,,,1,,217,,,1,,2,,3,,,1,1,,2,,,1
85.5,--/222152/--,225718/224792/223818,,42,12077,3,,20,,,1,6,,11,,2,,,,,6,1,,,,10,,,,,2,,1,,,,,67,,,1,,,,,,,,,3,,1,19,,,,18,,1,2,,,,,188,,,1,,,,1,,,,,,,,,1
86,--/223909/--,227279/226347/225366,,54,18470,3,,12,,,1,5,2,7,3,,,,9,,5,,1,,1,16,1,,,,8,1,1,,,,,12,,,4,,,,,,,,,3,,,10,,,1,45,,2,1,,,,,242,1,,2,,,,1,,,,4,,10,,,10
86.5,--/225667/--,228840/227902/226914,,101,12077,3,,5,,,4,10,3,10,5,,,,6,,6,,,,,15,,,,,8,1,,1,,,,51,,,6,,,,,,,2,,1,,,5,,,,17,,,,,,,,223,,,,,,,,,,,1,,20,,,8
87,--/227424/--,230401/229457/228461,,71,18470,3,,10,,,2,5,2,10,1,,,1,4,,10,2,,,,12,2,,,,5,,,,,,,20,,,13,,,,1,,,,,2,,2,10,,,,33,,1,,1,,,,236,,,6,,1,,,,,,2,,22,,,8
87.5,--/229182/--,231961/231012/230008,,61,12077,3,,8,,,3,2,,13,1,,,1,7,,3,1,,,,13,,,,,7,2,1,,,,,17,,,3,,,,,,,,,9,,1,5,3,1,,32,,3,,,1,,,224,,,,,1,,,,,,2,,14,,,9
88,--/230939/--,233523/232568/231556,,109,12077,4,,10,,,1,11,2,17,1,,,,,,14,,,,,10,1,,,,9,4,3,1,,,,26,,,4,,,,1,,,,,12,,2,7,,,,30,,4,1,,,,,295,,,2,,,,1,,,1,,,31,,,10
88.5,--/232697/--,235084/234123/233103,,137,12077,4,,8,,,1,7,1,8,1,,,1,9,,7,,1,1,,11,,,,,9,2,2,,1,,,36,,,6,,,,,,,,,7,,1,10,2,,1,55,,8,,,,,,299,,1,,2,3,,,,,1,3,,29,,,12
89,--/234455/--,236645/235678/234651,,60,12077,3,,11,,,3,8,3,14,2,,,,8,,17,4,,1,,8,,,,,9,4,,,,,,37,,,4,,,,,,,,,4,,1,12,1,1,,29,,4,,,,,,221,,,,2,3,,3,,,,2,,14,,,19
