Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
940,28038/24193/20312,--/25899/--,--/19119/--,1,,4,,,9,,57,,,,,,4,,,,1,,,6,,,,1,,,3,,7,2,,59,,,,27,,,1,124,,,,2,,2,,,3,,,1,,,,
960,29122/24988/20824,--/26216/--,--/19465/--,,,4,,,4,3,37,1,4,,,,,,,,2,2,,,,,,1,,,6,,3,3,2,37,,,,46,,,2,160,,,,4,,1,,,4,,,,,,,
980,30206/25783/21334,--/26531/--,--/19811/--,,,1,,1,7,2,69,4,,,,,,,,1,1,,,7,,2,,,,,5,,9,2,2,55,,,,45,,,5,138,,,,2,,2,,,2,,,,,1,,
1000,31289/26579/21843,--/26842/--,--/20156/--,,,4,,,2,2,39,1,3,,,,1,,,,1,1,,7,,,,1,,,7,,5,1,1,34,,,3,114,,1,4,107,,,,3,,,,,1,,,,,1,,
1020,32373/27374/22354,--/27151/--,--/20502/--,2,2,2,,,6,,44,,3,2,,,3,,,,2,,,7,,,,1,,,4,1,1,2,4,36,,,,77,,,3,116,,,,3,,1,,,1,,1,,1,,,
1040,33458/28169/22864,--/27458/--,--/20848/--,,,11,,,27,2,116,1,,1,,,,,,,2,1,,1,,,,2,,,6,,9,1,,18,,,2,35,,,7,108,,,,2,,1,,,,,,1,,1,,
1060,34541/28964/23374,--/27762/--,--/21194/--,,,5,1,2,8,5,67,2,3,,,,1,1,,,3,2,,11,,,,3,1,,4,,9,1,2,43,,,,52,,,10,117,,,,2,,2,,,4,,,1,,1,,
1080,35625/29760/23885,--/28064/--,--/21539/--,8,,7,,2,16,3,98,1,2,1,,1,5,,,,1,3,,4,,,,2,,,,,6,2,5,15,,,,30,,1,5,93,,,,11,,1,,,,,1,,,,,
1100,36710/30555/24396,--/28363/--,--/21885/--,4,,7,,2,12,2,65,1,1,,,1,3,,,,2,1,,4,,,,2,,,1,,3,3,3,17,,,,27,,2,1,93,,,,11,,3,,,3,,,3,,,1,
1120,37794/31350/24907,--/28660/--,--/22231/--,,,2,,,27,5,104,2,1,,,,2,,,,,,,2,,1,1,,,,7,,1,2,2,8,,,,29,,,2,94,,,,3,,1,,,4,,,,,,,
1140,38878/32145/25416,--/28955/--,--/22577/--,,,10,1,,5,,30,5,,,,,3,,,,,1,,,,,,,,,1,,5,,,14,,,1,96,,,2,80,,,,2,,,1,,,,,,,,,
1160,39962/32940/25926,--/29247/--,--/22922/--,,,2,,,5,2,41,1,,1,,,,,2,,,1,,3,,,3,,,,,,,,1,29,,,2,79,,,2,54,,,,,,3,,,,,,,2,4,,
1180,41045/33736/26434,--/29538/--,--/23268/--,,,6,,,4,,36,,1,1,,,2,,,,,2,,2,,1,,2,,,5,,3,1,4,24,,,3,61,,,,81,,1,,1,,1,,,1,,,2,,2,,
